# Stahle - Moody Tract - QULY - ITRDB GA009
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4901
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4901.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ga009-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ga009-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ga009.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ga009.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Stahle - Moody Tract - QULY - ITRDB GA009
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Sierzchula, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Moody Tract
#   Location: Georgia
#   Northernmost_Latitude: 31.93
#   Southernmost_Latitude: 31.93
#   Easternmost_Longitude: -82.32
#   Westernmost_Longitude: -82.32
#   Elevation_m: 24
#--------------------
# Data_Collection
#   Collection_Name: GA009
#   First_Year: 1803
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus lyrata Walter
#   Common_Name: overcup oak
#   Tree_Species_Code: QULY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MOO27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO28C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO28C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO29B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO29B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO30B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO30B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MOO32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOO32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MOO27A_raw	MOO28A_raw	MOO28B_raw	MOO28C_raw	MOO29A_raw	MOO29B_raw	MOO30A_raw	MOO30B_raw	MOO31A_raw	MOO32A_raw
1803	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA
1804	NA	NA	NA	NA	1.14	NA	NA	NA	NA	NA
1805	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA
1806	NA	NA	NA	NA	0.84	NA	NA	NA	NA	NA
1807	NA	NA	NA	NA	1.34	NA	NA	NA	NA	NA
1808	NA	NA	NA	NA	1.72	NA	NA	NA	NA	NA
1809	NA	NA	NA	NA	1.92	NA	NA	NA	NA	NA
1810	NA	NA	NA	NA	3.98	NA	NA	NA	NA	NA
1811	NA	NA	NA	NA	2.69	NA	NA	NA	NA	NA
1812	NA	2.26	NA	NA	3.81	NA	NA	NA	NA	NA
1813	NA	3.51	NA	NA	2.1	NA	NA	NA	NA	NA
1814	NA	3.37	NA	NA	3.34	NA	NA	NA	NA	NA
1815	NA	2.94	NA	NA	2.48	4.65	NA	NA	NA	NA
1816	NA	2.18	NA	NA	1.54	3.79	NA	NA	NA	NA
1817	NA	1.55	NA	NA	1.83	4.19	NA	NA	NA	NA
1818	NA	2.28	NA	NA	1.57	3.29	NA	NA	NA	NA
1819	NA	1.83	NA	NA	1.28	2.43	NA	NA	NA	NA
1820	NA	1.97	2.13	NA	1.89	2.2	NA	NA	NA	NA
1821	NA	1.72	1.59	NA	2.21	3.29	NA	NA	NA	NA
1822	NA	1.85	1.55	NA	2.37	2.74	NA	NA	NA	NA
1823	NA	2.83	1.9	NA	1.78	1.56	NA	NA	NA	NA
1824	NA	3.57	1.34	NA	1.17	1.27	NA	NA	NA	NA
1825	NA	2.07	1.07	NA	0.7	0.86	NA	NA	NA	NA
1826	NA	2.9	1.39	NA	0.92	0.69	NA	NA	NA	NA
1827	NA	2.7	1.68	NA	1.23	1.04	NA	NA	NA	NA
1828	NA	2.14	0.76	NA	0.54	0.39	NA	NA	NA	NA
1829	NA	1.59	0.93	NA	0.42	0.35	NA	NA	NA	NA
1830	NA	2.22	1.54	NA	0.35	0.96	NA	NA	NA	NA
1831	NA	3.72	2.26	NA	0.25	1.28	NA	NA	NA	NA
1832	NA	2.23	1.5	NA	0.4	0.86	NA	NA	NA	NA
1833	NA	1.87	1.23	NA	0.74	0.36	NA	NA	NA	NA
1834	NA	2.57	1.3	NA	0.45	0.39	NA	NA	NA	NA
1835	NA	2.22	1.17	NA	0.46	0.43	NA	NA	NA	NA
1836	NA	2.35	1.33	NA	0.48	0.77	NA	NA	NA	NA
1837	NA	2.58	1.48	NA	0.84	0.66	NA	NA	NA	NA
1838	NA	3.37	1.79	NA	0.72	0.81	NA	9.74	NA	NA
1839	NA	2.28	1.43	NA	0.84	0.72	NA	4.84	NA	NA
1840	NA	2.32	1.17	NA	0.6	1.84	NA	5.25	NA	NA
1841	NA	3.1	1.78	NA	0.6	1.21	NA	8.27	NA	NA
1842	6.75	2.66	1.42	NA	0.78	0.98	NA	5.71	NA	NA
1843	4.72	2.33	1.62	NA	0.51	1.32	NA	3.3	NA	NA
1844	4.98	2.17	1.38	NA	0.64	0.88	NA	3.83	NA	NA
1845	2.85	1.36	0.97	NA	0.34	0.73	2.01	2.35	NA	NA
1846	4.62	1.56	1.27	NA	0.38	0.92	4.73	3.75	NA	NA
1847	5.28	2.05	1.35	NA	0.64	1.45	5.01	4.73	NA	NA
1848	3.15	1.73	0.86	NA	0.6	1.25	3.02	2.63	NA	NA
1849	3.42	0.87	0.77	NA	0.52	1.04	3.01	2.64	NA	NA
1850	3.58	1.52	0.87	NA	0.47	1.58	4.96	3.47	NA	NA
1851	3.86	1.09	0.98	1.33	0.95	1.04	3.57	3.14	NA	NA
1852	5.31	1.5	1.38	1.73	0.85	1.29	3.42	3.96	NA	NA
1853	4.02	0.97	1.13	1.05	0.8	1.06	2.94	3.87	NA	NA
1854	3.44	1.26	1.19	1.1	0.97	1.09	2.87	3.16	NA	NA
1855	2.37	1.15	0.96	0.78	0.81	0.73	1.87	2.26	NA	NA
1856	2.09	1.02	0.84	1.2	8.6	0.77	1.55	1.78	NA	NA
1857	4.43	1.3	1.06	1.15	2.95	1	2.17	2.73	NA	NA
1858	3.76	1.49	1.3	1.15	1.02	1.02	3.14	3.38	NA	NA
1859	3.82	0.97	1.38	1.12	0.44	0.9	3.55	3.03	NA	NA
1860	2.99	0.93	1.04	1.11	0.29	0.72	2.73	2.04	NA	NA
1861	2.65	0.89	1.07	0.88	0.51	0.69	2.01	1.97	NA	NA
1862	3.37	0.69	1.02	0.96	0.73	1.28	2.3	2.79	NA	4.45
1863	4.22	0.91	1.56	1.13	0.85	1.56	3.23	1.81	NA	4.58
1864	2.69	0.76	0.94	0.76	0.35	0.99	2.11	1.32	NA	3.35
1865	3.09	0.63	1.5	0.89	0.51	0.81	2.58	1.5	NA	2.08
1866	3.62	0.65	1.1	0.93	0.67	1.13	2.72	1.2	NA	2.81
1867	3.51	0.84	1.48	0.62	0.45	0.96	2.81	1.03	NA	2.2
1868	4.27	0.61	1.24	0.35	0.58	1.07	2.57	1.27	NA	2.87
1869	2.74	0.69	1.17	0.85	0.37	0.77	1.96	1.07	NA	1.61
1870	1.87	0.64	1.41	0.54	0.2	0.67	1.72	1.17	NA	1.58
1871	5.37	0.72	2	0.85	0.45	1.04	2.37	1.94	NA	4.89
