# Peterson - Mount Dana High - ABLA - ITRDB WA121
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4157
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4157.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa121-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa121-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa121.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa121.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: Peterson - Mount Dana High - ABLA - ITRDB WA121
#--------------------
# Investigators
#   Investigators: Peterson, D.W.; Peterson, D.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Mount Dana High
#   Location: Washington
#   Northernmost_Latitude: 47.85
#   Southernmost_Latitude: 47.85
#   Easternmost_Longitude: -123.48
#   Westernmost_Longitude: -123.48
#   Elevation_m: 1860
#--------------------
# Data_Collection
#   Collection_Name: WA121
#   First_Year: 1850
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MD0101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0104B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0104B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0107B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0107B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0108A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0108A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0109A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0109A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0110A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0110A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0111B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0111B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0112A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0112A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0113B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0113B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0117B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0117B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0118A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0118A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0119A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0119A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0120A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0120A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0121B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0121B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0122B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0122B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0123A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0123A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0124B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0124B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0125B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0125B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0130B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0130B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0131A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0131A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MD0135B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MD0135B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MD0101A_raw	MD0102A_raw	MD0103B_raw	MD0104B_raw	MD0106A_raw	MD0107B_raw	MD0108A_raw	MD0109A_raw	MD0110A_raw	MD0111B_raw	MD0112A_raw	MD0113B_raw	MD0117B_raw	MD0118A_raw	MD0119A_raw	MD0120A_raw	MD0121B_raw	MD0122B_raw	MD0123A_raw	MD0124B_raw	MD0125B_raw	MD0130B_raw	MD0131A_raw	MD0135B_raw
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	NA	NA	NA	NA	NA	NA	NA	0.57	NA	0.44
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	0.61	NA	0.45
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	0.53	NA	0.23
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	NA	0.62	NA	NA	NA	0.56	NA	0.24
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	0.46	NA	0.68	NA	NA	NA	0.57	NA	0.22
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	0.51	NA	0.61	NA	NA	NA	0.72	NA	0.3
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	0.58	NA	0.44	NA	NA	NA	0.33	NA	0.24
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	0.42	NA	0.16	NA	NA	NA	0.44	NA	0.23
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0.32	NA	0.53	NA	NA	NA	0.49	NA	0.21
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	0.3	NA	0.42	NA	NA	NA	0.49	NA	0.27
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	0.53	NA	0.58	NA	NA	NA	0.4	NA	0.22
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	0.3	NA	0.52	NA	NA	NA	0.2	NA	0.22
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28	NA	0.26	NA	0.2	NA	NA	NA	0.18	NA	0.22
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	0.38	NA	0.54	NA	NA	NA	0.57	NA	0.22
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	0.24	NA	0.56	NA	NA	NA	0.25	NA	0.18
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38	NA	0.36	NA	0.46	NA	NA	NA	0.38	NA	0.32
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	NA	0.13	NA	0.66	NA	NA	NA	0.23	NA	0.27
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	0.22	NA	0.61	NA	NA	NA	0.37	NA	0.45
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15	NA	0.64	NA	0.44	NA	NA	NA	0.19	NA	0.39
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	0.84	NA	0.54	NA	NA	NA	0.32	NA	0.21
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	0.47	NA	0.68	NA	NA	NA	0.29	NA	0.26
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	0.5	NA	0.54	NA	NA	NA	0.15	NA	0.19
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	0.7	NA	0.52	NA	NA	NA	0.22	NA	0.23
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	0.19	NA	0.65	NA	0.44	NA	NA	NA	0.32	NA	0.35
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	0.15	NA	0.69	NA	0.43	NA	NA	NA	0.33	NA	0.31
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	0.21	NA	0.43	NA	0.35	NA	NA	NA	0.34	NA	0.31
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	0.22	NA	0.44	NA	0.29	NA	NA	NA	0.24	NA	0.19
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88	NA	0.3	NA	0.63	NA	0.39	NA	NA	NA	0.23	NA	0.17
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0.34	NA	0.41	NA	0.3	NA	NA	NA	0.28	NA	0.22
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	0.17	NA	0.49	NA	0.39	NA	NA	NA	0.19	NA	0.33
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41	NA	0.4	NA	0.19	NA	0.32	NA	NA	NA	0.24	NA	0.37
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	0.28	NA	0.25	NA	0.29	NA	NA	NA	0.19	NA	0.28
1882	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.26	NA	0.33	NA	0.51	NA	NA	NA	0.14	NA	0.31
1883	1.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	0.31	NA	0.34	NA	0.51	NA	NA	NA	0.37	NA	0.44
1884	1.22	NA	NA	NA	NA	NA	NA	NA	0.69	NA	NA	0.65	NA	0.27	NA	0.78	NA	0.39	NA	NA	NA	0.32	NA	0.29
1885	1.25	NA	NA	NA	NA	0.37	NA	NA	0.5	NA	NA	0.54	NA	0.26	NA	0.62	NA	0.45	NA	NA	NA	0.34	NA	0.34
1886	1.25	NA	NA	NA	NA	0.35	NA	NA	0.6	1.1	NA	0.86	NA	0.23	NA	0.25	NA	0.57	NA	NA	NA	0.38	NA	0.39
1887	0.87	NA	NA	NA	NA	0.71	NA	NA	0.81	1.63	NA	1.17	NA	0.24	NA	0.21	NA	0.55	NA	NA	NA	0.24	NA	0.25
1888	0.77	NA	NA	NA	NA	0.66	NA	NA	1.08	1.28	NA	0.81	NA	0.18	NA	0.44	NA	0.55	NA	NA	NA	0.31	NA	0.14
1889	0.92	NA	NA	NA	NA	0.6	NA	NA	0.97	1.3	NA	0.97	NA	0.14	NA	0.34	NA	0.53	NA	NA	NA	0.33	NA	0.27
1890	0.94	NA	NA	NA	NA	0.45	NA	NA	1.15	1.44	NA	0.84	NA	0.35	NA	0.23	NA	0.51	NA	NA	NA	0.53	NA	0.3
1891	0.74	NA	NA	NA	NA	0.81	NA	NA	0.7	1.42	NA	0.42	NA	0.27	NA	0.27	NA	0.55	NA	NA	NA	0.39	NA	0.28
1892	0.49	1.39	NA	NA	NA	0.56	NA	NA	0.66	1.36	NA	0.35	0.97	0.19	NA	0.23	NA	0.51	NA	NA	NA	0.35	NA	0.36
1893	0.45	1.25	NA	NA	NA	0.54	NA	NA	0.25	1.28	NA	0.33	0.61	0.15	NA	0.21	NA	0.48	NA	NA	NA	0.18	NA	0.3
1894	0.66	1.6	NA	NA	NA	0.38	NA	NA	0.37	1.54	NA	0.44	0.89	0.24	NA	0.1	NA	0.61	NA	NA	NA	0.23	NA	0.33
1895	0.59	1.18	NA	NA	NA	0.43	NA	NA	0.7	1.54	NA	0.69	0.86	0.21	NA	0.24	NA	0.52	NA	NA	NA	0.26	NA	0.41
