# Tepley - Canyon Creek Update - PSME - ITRDB OR113
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38216
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38216.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or113-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or113.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or113.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Tepley - Canyon Creek Update - PSME - ITRDB OR113
#--------------------
# Investigators
#   Investigators: Tepley, Alan J.; Black, Bryan A.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: 10.1111/gcb.12756
#   Abstract:
#--------------------
# Publication
#   Authors: Cowles, Jane; Laura Templeton; John J. Battles; Peter J. Edmunds; Robert C. Carpenter; Stephen R. Carpenter; Michael Paul Nelson; Natalie L. Cleavitt; Timothy J. Fahey; Peter M. Groffman; Joe H. Sullivan; Maile C. Neel; Gretchen J. A. Hansen; Sarah Hobbie; Sally J. Holbrook; Clare E. Kazanski; Eric W. Seabloom; Russell J. Schmitt; Emily H. Stanley; Alan J. Tepley; Natalie S. Doorn; Jake M. Vander Zanden
#   Published_Date_or_Year: 2021
#   Published_Title: Resilience: insights from the U.S. LongTerm Ecological Research Network
#   Journal_Name: Ecosphere
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1002/ecs2.3434
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: DEB-0823380 Long Term Environmental Research (LTER) at the Andrews Experimental Forest
#--------------------
# Site_Information
#   Site_Name: Canyon Creek
#   Location: Oregon
#   Northernmost_Latitude: 44.288
#   Southernmost_Latitude: 44.288
#   Easternmost_Longitude: -122.301
#   Westernmost_Longitude: -122.301
#   Elevation_m: 1016
#--------------------
# Data_Collection
#   Collection_Name: OR113
#   First_Year: 1216
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CC101a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC101a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC112a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC112a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC201a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC201a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC401a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC401a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC402a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC402a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC403a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC403a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC601a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC601a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC602a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC602a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC001a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC001a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC004a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC004a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC005a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC005a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC006a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC006a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC007a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC007a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC008a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC008a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC009a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC009a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC010a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC010a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC011a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC011a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC012a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC012a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC013a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC013a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC014a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC014a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC015a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC015a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CC101a_raw	CC112a_raw	CC201a_raw	CC401a_raw	CC402a_raw	CC403a_raw	CC601a_raw	CC602a_raw	CC001a_raw	CC004a_raw	CC005a_raw	CC006a_raw	CC007a_raw	CC008a_raw	CC009a_raw	CC010a_raw	CC011a_raw	CC012a_raw	CC013a_raw	CC014a_raw	CC015a_raw
1216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.513	NA	NA	NA	NA
1217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.447	NA	NA	NA	NA
1218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.442	NA	NA	NA	NA
1219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.263	0.359	NA	NA	NA	NA
1220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.503	0.412	0.338	NA	NA	NA	NA
1221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.446	0.348	0.281	NA	NA	NA	NA
1222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.422	0.293	0.212	NA	NA	NA	0.426
1223	NA	NA	NA	NA	NA	NA	NA	NA	0.402	NA	NA	NA	NA	NA	0.389	0.289	0.207	NA	NA	NA	0.35
1224	NA	NA	NA	NA	NA	NA	3.46	NA	0.38	NA	0.264	NA	NA	NA	0.408	0.402	0.267	NA	NA	NA	0.377
1225	NA	NA	NA	NA	NA	NA	3.974	NA	0.366	NA	0.254	NA	NA	NA	0.376	0.373	0.278	0.333	NA	NA	0.325
1226	NA	NA	NA	NA	NA	NA	3.813	NA	0.398	NA	0.25	NA	NA	NA	0.33	0.416	0.269	0.42	NA	NA	0.298
1227	NA	NA	NA	NA	NA	2.217	3.474	NA	0.564	NA	0.251	NA	NA	NA	0.288	0.456	0.25	0.398	NA	NA	0.318
1228	NA	NA	NA	NA	NA	1.9	3.117	NA	0.462	NA	0.225	NA	NA	NA	0.275	0.461	0.238	0.266	NA	NA	0.272
1229	NA	NA	NA	NA	NA	2.135	3.11	2.168	0.416	NA	0.196	NA	NA	NA	0.271	0.405	0.194	0.253	NA	NA	0.248
1230	NA	NA	NA	NA	3.265	2.402	3.305	2.506	0.407	NA	0.194	NA	NA	NA	0.375	0.435	0.225	0.365	NA	NA	0.327
1231	NA	NA	NA	NA	2.873	2.376	2.14	1.869	0.338	NA	0.153	NA	NA	NA	0.313	0.34	0.205	0.273	NA	NA	0.276
1232	NA	NA	NA	NA	2.465	1.991	1.847	1.921	0.366	NA	0.154	NA	0.14	NA	0.274	0.28	0.233	0.207	NA	0.205	0.246
1233	NA	NA	2.85	NA	1.899	1.671	1.551	1.694	0.351	NA	0.162	NA	0.145	NA	0.238	0.315	0.226	0.18	NA	0.162	0.225
1234	NA	NA	3.033	NA	2.569	1.457	1.405	1.931	0.516	NA	0.2	NA	0.163	NA	0.193	0.351	0.173	0.225	NA	0.183	0.218
1235	NA	NA	2.784	NA	2.586	2.261	1.52	2.224	0.422	NA	0.189	NA	0.189	NA	0.207	0.382	0.199	0.239	NA	0.168	0.215
1236	3.448	2.748	2.623	NA	2.365	1.966	1.804	2.181	0.406	NA	0.163	NA	0.17	NA	0.203	0.377	0.184	0.268	NA	0.154	0.232
1237	2.529	2.712	1.523	NA	2.416	1.852	2.231	1.743	0.327	0.217	0.145	NA	0.166	NA	0.19	0.32	0.199	0.221	0.311	0.137	0.202
1238	2.077	2.376	2.284	NA	2.407	1.602	2.685	1.775	0.317	0.247	0.144	NA	0.182	NA	0.243	0.293	0.222	0.223	0.265	0.128	0.23
1239	2.675	2.097	2.555	NA	2.67	1.669	2.874	2.044	0.451	0.284	0.163	NA	0.23	NA	0.247	0.334	0.308	0.279	0.296	0.126	0.242
1240	2.745	2.749	2.943	NA	2.478	1.965	2.165	1.971	0.396	0.318	0.173	NA	0.285	NA	0.277	0.288	0.295	0.318	0.241	0.16	0.255
1241	2.877	2.459	2.602	NA	2.179	2.164	1.552	1.997	0.393	0.242	0.151	NA	0.23	NA	0.246	0.249	0.287	0.284	0.259	0.16	0.2
1242	3.042	2.345	2.502	NA	2.326	2.036	1.585	1.937	0.368	0.204	0.16	0.166	0.251	NA	0.228	0.274	0.289	0.316	0.246	0.159	0.209
1243	3.066	2.445	2.954	NA	2.206	1.992	2.204	1.889	0.437	0.23	0.153	0.161	0.3	NA	0.09	0.312	0.281	0.33	0.282	0.184	0.209
1244	2.946	2.12	2.996	NA	2.063	1.834	1.835	1.854	0.392	0.198	0.16	0.152	0.216	NA	0.153	0.276	0.271	0.292	0.269	0.2	0.184
1245	2.868	1.987	3.398	NA	2.267	1.905	1.737	1.898	0.318	0.209	0.126	0.157	0.185	NA	0.156	0.297	0.264	0.333	0.296	0.186	0.165
1246	3.475	2.045	3.069	NA	2.47	1.866	1.911	1.616	0.308	0.201	0.133	0.157	0.195	NA	0.174	0.223	0.263	0.356	0.232	0.18	0.143
1247	3.716	1.983	3.115	NA	2.031	1.955	1.887	1.805	0.263	0.202	0.143	0.125	0.208	NA	0.181	0.251	0.228	0.335	0.225	0.158	0.149
1248	3.101	2	2.326	NA	2.152	1.719	1.805	1.611	0.271	0.195	0.129	0.136	0.193	NA	0.185	0.288	0.258	0.323	0.238	0.153	0.138
1249	2.604	1.802	2.755	NA	2.174	1.744	1.881	1.452	0.27	0.222	0.139	0.157	0.189	NA	0.178	0.287	0.277	0.364	0.239	0.145	0.141
1250	2.61	1.939	2.429	NA	2.35	1.856	2.344	1.818	0.296	0.253	0.132	0.166	0.23	NA	0.181	0.237	0.224	0.298	0.259	0.169	0.186
1251	2.532	1.93	2.658	NA	2.381	1.383	2.209	1.802	0.312	0.254	0.133	0.141	0.204	NA	0.148	0.212	0.215	0.248	0.247	0.16	0.184
1252	2.457	1.822	2.189	NA	2.75	1.521	1.908	1.53	0.302	0.247	0.114	0.143	0.195	NA	0.102	0.214	0.162	0.233	0.214	0.165	0.174
1253	1.797	1.642	1.842	NA	1.532	1.316	1.615	1.06	0.231	0.175	0.095	0.126	0.158	NA	0.094	0.166	0.133	0.2	0.165	0.128	0.161
1254	1.555	1.396	1.741	NA	2.125	1.476	1.882	1.271	0.224	0.209	0.106	0.133	0.179	0.111	0.105	0.149	0.146	0.231	0.191	0.113	0.141
1255	1.608	1.354	1.466	NA	1.614	1.303	1.755	0.899	0.206	0.155	0.092	0.122	0.174	0.106	0.108	0.139	0.13	0.251	0.176	0.107	0.127
1256	1.739	1.449	1.436	NA	1.621	1.672	1.854	0.982	0.204	0.178	0.106	0.125	0.21	0.101	0.111	0.139	0.139	0.305	0.168	0.092	0.154
1257	1.772	1.576	1.341	NA	1.165	1.287	1.647	1.027	0.154	0.166	0.087	0.112	0.145	0.06	0.112	0.125	0.11	0.232	0.135	0.093	0.131
1258	1.606	1.463	1.316	NA	1.588	1.434	1.512	1.103	0.214	0.164	0.123	0.119	0.176	0.08	0.108	0.161	0.101	0.238	0.157	0.056	0.1
1259	1.851	1.426	1.419	NA	1.846	1.682	1.915	1.143	0.242	0.182	0.111	0.122	0.185	0.104	0.142	0.185	0.109	0.217	0.164	0.064	0.1
1260	1.65	1.379	1.329	NA	1.712	1.546	1.576	1.216	0.217	0.166	0.113	0.11	0.192	0.095	0.143	0.157	0.113	0.209	0.151	0.08	0.114
1261	2.093	1.644	1.628	NA	1.821	1.625	1.69	1.405	0.199	0.165	0.112	0.116	0.237	0.105	0.139	0.156	0.126	0.211	0.187	0.085	0.147
1262	2.517	1.547	1.491	NA	1.635	1.908	1.496	1.408	0.206	0.168	0.129	0.113	0.255	0.102	0.135	0.171	0.144	0.182	0.162	0.078	0.141
1263	1.844	1.249	1.238	NA	0.971	1.614	1.239	1.166	0.119	0.089	0.083	0.092	0.153	0.067	0.121	0.12	0.139	0.133	0.113	0.064	0.108
1264	1.649	1.255	1.474	NA	1.217	1.565	1.608	1.257	0.134	0.089	0.102	0.099	0.194	0.075	0.129	0.104	0.106	0.134	0.122	0.077	0.116
