# Larson - Barry's Tavern - QUSP - ITRDB WI022
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33923
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33923.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi022-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wi022-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi022.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wi022.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-07-03
#--------------------
# File_Last_Modified_Date
#   Date: 2021-07-03
#--------------------
# Title
#   Study_Name: Larson - Barry's Tavern - QUSP - ITRDB WI022
#--------------------
# Investigators
#   Investigators: Larson, E.R.(https://orcid.org/0000-0001-6628-1659); Allen, S.A.; Underwood, C.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Oak ring width data from the Driftless Area of southwest Wisconsin and northeast Iowa, USA, sampled from living oak trees, remnants, and archeological beams. NOAA Template Raw Measurements file added 2021-10-19.
#--------------------
# Publication
#   Authors: Larson, Evan R., Sara A. Allen, Chris A. Underwood
#   Journal_Name: Progress in Physical Geography
#   Published_Title: The Driftless Oaks: A new network of tree-ring chronologies to improve regional perspectives of drought in the Upper Midwest, USA
#   Published_Date_or_Year: 2021
#   Volume: 45
#   Pages: 375-406
#   Issue: 3
#   Report_Number: 
#   DOI: 10.1177/0309133320960670
#   Full_Citation: None
#   Abstract: New and updated multi-century tree-ring chronologies from living oak trees, remnants, and archeological beams from across the Driftless Area of southwest Wisconsin and northeast Iowa, USA, were developed to fill a spatial gap in the network of available tree-ring chronologies. We produced a robust 303-year summer drought reconstruction (June-August Palmer's Modified Drought Index (PMDI): r2 = 0.45) that identified clusters of extreme droughts and pluvials (PMDI <= -4.0 or >= 4.0) in the early 1700s and more even distributions of drought conditions, with the exception of the post 1930s period when drought became relatively infrequent. Compared to the Living Blended Drought Atlas (LBDA) and the North American Drought Atlas (NADA), our reconstruction more accurately represented moderate moisture conditions across the Driftless Area, the NADA and LBDA more closely represented extreme pluvials, and our reconstruction and the LBDA better represented extreme drought years. The three reconstructions largely captured the same high-frequency variability in drought conditions and differed most at low frequencies. Significant correlations were identified between our reconstruction and corn (r = 0.30, n = 91, p = 0.002) and soybean (r = 0.25, n  = 81, p = 0.012) yields, with the strength of the correlations increasing over recent decades suggesting a tighter coupling of interannual climate variability and crop productivity in the region. Superposed epoch analyses indicated significantly wetter conditions in the Driftless Area two years after major volcanic eruptions. In the context of long-term climatic variability, the Driftless Oaks drought reconstruction demonstrated that drought and pluvial conditions more extreme than those experienced during the instrumental record have occurred in the past.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Barry's Tavern
#   Location: Wisconsin
#   Northernmost_Latitude: 42.538
#   Southernmost_Latitude: 42.538
#   Easternmost_Longitude: -90.241
#   Westernmost_Longitude: -90.241
#   Elevation_m: 352
#--------------------
# Data_Collection
#   Collection_Name: WI022
#   First_Year: 1842
#   Last_Year: 1934
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BYT001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BYT001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BYT002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BYT002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BYT001_raw	BYT002_raw
1842	0.896	NA
1843	0.554	NA
1844	0.604	NA
1845	0.547	NA
1846	0.624	NA
1847	0.644	NA
1848	0.459	NA
1849	0.58	NA
1850	0.521	NA
1851	0.627	NA
1852	0.353	NA
1853	0.435	NA
1854	0.584	NA
1855	0.453	NA
1856	0.637	NA
1857	0.562	NA
1858	0.548	NA
1859	0.478	NA
1860	0.462	NA
1861	0.314	NA
1862	0.396	NA
1863	0.479	NA
1864	0.568	NA
1865	0.622	NA
1866	0.47	NA
1867	0.686	NA
1868	0.574	NA
1869	0.495	NA
1870	0.494	NA
1871	0.582	NA
1872	0.432	NA
1873	0.37	NA
1874	0.455	NA
1875	0.499	NA
1876	0.539	NA
1877	0.561	NA
1878	0.435	NA
1879	0.735	NA
1880	0.678	NA
1881	0.47	NA
1882	0.651	NA
1883	0.627	NA
1884	0.862	NA
1885	0.845	NA
1886	0.798	NA
1887	0.766	NA
1888	1.002	NA
1889	0.888	2.512
1890	0.884	2.744
1891	0.775	1.807
1892	1.288	1.419
1893	0.942	1.444
1894	1.024	1.323
1895	0.888	1.504
1896	0.852	2.332
1897	1.011	2.397
1898	0.804	1.601
1899	0.836	1.573
1900	1.077	1.122
1901	0.936	1.333
1902	0.929	1.728
1903	1.184	2.44
1904	0.833	1.873
1905	1.052	1.684
1906	1.109	1.667
1907	1.117	1.67
1908	0.927	1.307
1909	0.676	1.578
1910	0.579	1.393
1911	0.9	1.587
1912	0.857	2.031
1913	1.306	1.204
1914	1.234	1.493
1915	1.333	2.024
1916	1.478	1.769
1917	1.369	1.278
1918	1.454	1.5
1919	1.643	1.437
1920	1.421	1.351
1921	1.219	0.969
1922	1.273	0.901
1923	1.684	0.817
1924	1.951	1.181
1925	1.987	1.186
1926	1.658	0.904
1927	1.348	1.285
1928	1.726	NA
1929	1.275	NA
1930	1.686	NA
1931	2.021	NA
1932	1.867	NA
1933	1.934	NA
1934	1.771	NA
