# Wiles - Nichawak Mountain - PCSI - ITRDB AK022
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5246
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5246.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak022-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak022-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak022.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak022.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-07-11
#--------------------
# File_Last_Modified_Date
#   Date: 2007-07-11
#--------------------
# Title
#   Study_Name: Wiles - Nichawak Mountain - PCSI - ITRDB AK022
#--------------------
# Investigators
#   Investigators: Wiles, G.(https://orcid.org/0000-0001-7977-5383)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nichawak Mountain
#   Location: Alaska
#   Northernmost_Latitude: 60.25
#   Southernmost_Latitude: 60.25
#   Easternmost_Longitude: -143.97
#   Westernmost_Longitude: -143.97
#   Elevation_m: 310
#--------------------
# Data_Collection
#   Collection_Name: AK022
#   First_Year: 1762
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NK01SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK01SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK02SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK02SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK03SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK03SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK05NE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK05NE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK09SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK09SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK11SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK11SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK12NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK12NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK14SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK14SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK17NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK17NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK17SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK17SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK17NE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK17NE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK18SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK18SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK19SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK19SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK20NA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK20NA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK20SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK20SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK21SW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK21SW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NK21SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NK21SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NK01SW_raw	NK02SW_raw	NK03SW_raw	NK05NE_raw	NK09SW_raw	NK11SW_raw	NK12NW_raw	NK14SW_raw	NK17NW_raw	NK17SW_raw	NK17NE_raw	NK18SW_raw	NK19SW_raw	NK20NA_raw	NK20SW_raw	NK21SW_raw	NK21SE_raw
1762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.495	NA	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.681	NA	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.439	NA	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.732	NA	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.786	NA	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.607	NA	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.485	NA	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.783	NA	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.093	NA	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.932	NA	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.648	NA	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.984	NA	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.718	NA	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.204	NA	NA	NA
1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.292	NA	NA	NA	1.161	NA	NA	NA
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.821	NA	NA	NA	0.489	NA	NA	NA
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.212	NA	NA	NA	0.517	NA	NA	NA
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.366	NA	NA	NA	1.402	NA	NA	NA
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.475	NA	NA	NA	0.953	NA	NA	NA
1782	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.554	NA	NA	NA	1.478	NA	NA	NA
1783	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.683	NA	NA	NA	1.697	NA	NA	NA
1784	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.633	NA	NA	NA	1.792	NA	NA	NA
1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.796	NA	NA	NA	2.489	NA	NA	NA
1786	NA	NA	NA	NA	NA	NA	1.675	NA	NA	0.811	NA	NA	NA	1.847	NA	1.376	NA
1787	NA	NA	NA	NA	NA	NA	1.747	NA	NA	0.296	NA	NA	NA	1.795	NA	1.616	NA
1788	NA	NA	NA	NA	NA	NA	1.828	NA	NA	0.497	NA	NA	NA	1.708	NA	1.894	NA
1789	NA	NA	NA	NA	NA	NA	1.644	NA	NA	0.467	NA	NA	NA	1.622	NA	0.997	NA
1790	NA	NA	NA	NA	NA	NA	1.132	NA	NA	0.958	NA	NA	NA	1.301	NA	1.161	NA
1791	1.86	NA	NA	NA	NA	NA	1.43	NA	NA	0.951	NA	NA	NA	2.06	NA	1.692	NA
1792	2.889	NA	NA	NA	NA	NA	1.739	NA	NA	2.184	NA	NA	NA	2.198	NA	1.734	NA
1793	1.988	NA	NA	NA	NA	NA	1.243	NA	NA	1.274	NA	NA	NA	1.736	1.549	1.225	NA
1794	1.435	NA	NA	NA	NA	NA	1.947	NA	NA	1.869	NA	NA	NA	1.711	1.085	1.314	NA
1795	1.967	NA	NA	NA	NA	NA	3.206	NA	NA	3.35	NA	NA	NA	1.808	1.365	1.41	NA
1796	1.107	NA	NA	NA	NA	NA	2.112	NA	NA	2.069	NA	NA	NA	1.371	0.75	1.019	NA
1797	1.697	NA	NA	NA	NA	NA	2.688	NA	NA	2.631	NA	NA	NA	1.593	1.139	1.832	NA
1798	1.376	NA	NA	NA	NA	NA	2.406	NA	NA	1.578	NA	NA	NA	1.872	1.096	1.711	NA
1799	1.291	NA	NA	NA	NA	NA	2.793	0.875	NA	1.353	NA	NA	NA	1.715	1.302	1.218	NA
1800	0.685	NA	NA	NA	NA	NA	2.78	0.652	NA	1.062	NA	NA	NA	1.314	1.223	1.166	NA
1801	1.261	NA	NA	NA	NA	NA	2.789	1.35	NA	1.704	NA	0.308	NA	1.855	1.67	1.404	NA
1802	1.242	NA	NA	NA	NA	NA	2.804	0.811	NA	1.35	NA	0.249	NA	1.546	1.854	1.673	NA
1803	2.033	NA	NA	NA	NA	NA	3.493	1.277	NA	1.798	NA	0.466	NA	1.771	1.987	1.854	NA
1804	2.246	NA	NA	NA	NA	NA	2.976	1.148	NA	2.433	NA	0.81	NA	1.718	1.543	2.161	NA
1805	1.312	NA	NA	NA	NA	NA	1.652	0.753	NA	1.253	NA	0.729	NA	1.363	1.157	1.175	NA
1806	1.312	NA	NA	NA	NA	NA	1.839	0.643	NA	1.009	NA	0.723	NA	1.229	0.861	0.881	NA
1807	0.986	NA	NA	NA	NA	NA	1.463	0.342	NA	0.651	NA	0.556	NA	1.238	1.376	0.752	NA
1808	1.27	NA	NA	NA	NA	NA	1.984	0.995	NA	1.115	NA	0.875	NA	1.513	1.715	1.391	NA
1809	0.998	NA	NA	NA	NA	NA	1.438	0.446	NA	0.808	NA	0.388	NA	0.997	1.146	1.066	NA
1810	0.625	NA	NA	NA	NA	NA	0.936	0.319	NA	0.597	NA	0.324	NA	0.916	0.968	0.696	NA
1811	0.297	NA	NA	NA	NA	NA	1.249	0.544	NA	0.389	NA	0.314	NA	1.282	1.454	0.604	NA
1812	0.75	NA	NA	NA	NA	NA	1.201	0.48	NA	0.502	NA	0.343	NA	1.659	1.686	1.134	NA
1813	0.735	NA	NA	NA	NA	NA	1.092	0.562	NA	0.444	NA	0.281	NA	1.515	1.505	1.054	NA
1814	0.409	NA	NA	NA	NA	NA	0.869	0.468	NA	0.621	NA	0.43	NA	0.929	0.843	0.819	NA
1815	0.591	NA	NA	NA	NA	NA	0.89	0.814	NA	1.379	NA	0.629	NA	1.215	1.194	0.961	NA
1816	1.159	NA	NA	NA	NA	NA	2.463	1.125	NA	2.571	NA	0.65	NA	1.901	2.193	2.215	NA
1817	0.658	NA	NA	NA	NA	NA	1.445	0.798	NA	1.386	NA	0.407	NA	1.312	1.144	1.229	NA
1818	0.943	1.547	NA	NA	NA	NA	1.453	0.51	NA	1.897	NA	0.557	NA	1.494	1.409	1.2	NA
