# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512n-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512n-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512n.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512n.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  minimum density
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP473N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP511N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP513N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP571N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DP601N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473N_raw	DP511N_raw	DP513N_raw	DP571N_raw	DP601N_raw
1660	NA	NA	0.28	NA	NA
1661	NA	NA	0.29	NA	NA
1662	NA	NA	0.25	NA	NA
1663	NA	NA	0.3	NA	NA
1664	NA	NA	0.3	NA	NA
1665	NA	NA	0.3	NA	NA
1666	NA	NA	0.3	NA	NA
1667	NA	NA	0.33	NA	NA
1668	NA	NA	0.31	NA	NA
1669	NA	NA	0.32	NA	NA
1670	NA	NA	0.3	NA	NA
1671	NA	NA	0.35	NA	NA
1672	NA	NA	0.31	NA	NA
1673	NA	NA	0.28	NA	NA
1674	NA	NA	0.29	NA	NA
1675	NA	NA	0.29	NA	NA
1676	NA	NA	0.28	NA	NA
1677	NA	NA	0.3	NA	NA
1678	NA	NA	0.31	NA	NA
1679	NA	NA	0.24	NA	NA
1680	NA	0.31	0.28	NA	NA
1681	NA	0.3	0.26	NA	NA
1682	NA	0.28	0.26	NA	NA
1683	NA	0.33	0.3	NA	NA
1684	NA	0.31	0.28	NA	NA
1685	NA	0.3	0.3	NA	NA
1686	NA	0.3	0.29	NA	NA
1687	NA	0.3	0.26	NA	NA
1688	NA	0.28	0.25	NA	NA
1689	NA	0.3	0.26	NA	NA
1690	NA	0.29	0.25	NA	NA
1691	NA	0.31	0.25	NA	NA
1692	NA	0.29	0.25	NA	NA
1693	NA	0.3	0.25	NA	NA
1694	NA	0.33	0.29	NA	NA
1695	NA	0.31	0.29	NA	NA
1696	NA	0.3	0.26	NA	NA
1697	NA	0.3	0.26	NA	NA
1698	NA	0.31	0.26	NA	NA
1699	NA	0.3	0.26	NA	NA
1700	NA	0.29	0.27	NA	NA
1701	NA	0.31	0.3	NA	NA
1702	NA	0.33	0.31	NA	NA
1703	NA	0.3	0.28	NA	NA
1704	NA	0.31	0.26	NA	NA
1705	NA	0.31	0.27	NA	NA
1706	NA	0.27	0.27	NA	NA
1707	NA	0.32	0.29	NA	NA
1708	NA	0.33	0.27	NA	NA
1709	NA	0.3	0.27	NA	NA
1710	NA	0.28	0.22	NA	NA
1711	NA	0.29	0.24	NA	NA
1712	NA	0.32	0.29	NA	NA
1713	NA	0.3	0.28	NA	NA
1714	NA	0.32	0.31	NA	NA
1715	NA	0.32	0.3	NA	NA
1716	NA	0.34	0.29	NA	NA
1717	NA	0.31	0.3	NA	NA
1718	NA	0.3	0.28	NA	NA
1719	NA	0.29	0.26	NA	NA
1720	NA	0.28	0.25	NA	NA
1721	NA	0.3	0.27	NA	NA
1722	NA	0.31	0.33	NA	NA
1723	NA	0.3	0.29	NA	NA
1724	NA	0.31	0.29	NA	NA
1725	NA	0.33	0.31	NA	NA
1726	NA	0.31	0.26	NA	NA
1727	NA	0.3	0.25	NA	NA
1728	NA	0.31	0.28	NA	NA
1729	NA	0.33	0.36	NA	NA
1730	NA	0.34	0.31	NA	NA
1731	NA	0.33	0.32	NA	NA
1732	NA	0.31	0.32	NA	NA
1733	NA	0.35	0.29	NA	NA
1734	NA	0.31	0.29	NA	NA
1735	NA	0.45	0.35	NA	NA
1736	NA	0.33	0.27	NA	NA
1737	NA	0.36	0.34	NA	NA
1738	NA	0.33	0.33	NA	NA
1739	NA	0.31	0.32	NA	NA
1740	NA	0.38	0.36	NA	NA
1741	NA	0.39	0.37	NA	NA
1742	NA	0.4	0.4	NA	NA
1743	NA	0.34	0.29	NA	NA
1744	NA	0.34	0.33	NA	NA
1745	NA	0.34	0.33	NA	NA
1746	NA	0.31	0.29	NA	NA
1747	NA	0.27	0.26	NA	NA
1748	NA	0.29	0.3	NA	NA
1749	NA	0.28	0.25	NA	NA
1750	NA	0.31	0.29	NA	NA
1751	NA	0.3	0.31	NA	NA
1752	NA	0.33	0.34	NA	NA
1753	NA	0.31	0.33	NA	NA
1754	NA	0.3	0.3	NA	NA
1755	NA	0.3	0.3	NA	NA
1756	NA	0.31	0.3	NA	NA
1757	NA	0.32	0.3	NA	NA
1758	NA	0.32	0.32	NA	NA
1759	NA	0.31	0.3	NA	NA
1760	NA	0.31	0.31	NA	NA
1761	NA	0.31	0.3	NA	NA
1762	NA	0.31	0.27	NA	NA
1763	NA	0.31	0.3	NA	NA
1764	NA	0.32	0.34	NA	NA
1765	NA	0.3	0.34	NA	NA
1766	NA	0.29	0.3	NA	NA
1767	NA	0.3	0.32	NA	NA
1768	NA	0.34	0.32	NA	NA
1769	NA	0.31	0.26	NA	NA
