# Stahle - Sutter Buttes - QUDG - ITRDB CA689
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/17227
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-17227.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca689-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca689-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca689.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca689.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-09-09
#--------------------
# File_Last_Modified_Date
#   Date: 2014-09-09
#--------------------
# Title
#   Study_Name: Stahle - Sutter Buttes - QUDG - ITRDB CA689
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Griffin, R.D.; Therrell, M.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Sutter Buttes
#   Location: California
#   Northernmost_Latitude: 39.25
#   Southernmost_Latitude: 39.25
#   Easternmost_Longitude: -121.8
#   Westernmost_Longitude: -121.8
#   Elevation_m: 121
#--------------------
# Data_Collection
#   Collection_Name: CA689
#   First_Year: 1808
#   Last_Year: 2004
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus douglasii Hook. and Arn.
#   Common_Name: blue oak
#   Tree_Species_Code: QUDG
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SUT41A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUT41A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUT42A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUT42A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SUT43A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SUT43A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SUT41A_raw	SUT42A_raw	SUT43A_raw
1808	NA	NA	2.888
1809	NA	NA	2.984
1810	NA	NA	3.35
1811	NA	NA	2.833
1812	NA	NA	3.052
1813	NA	NA	3.251
1814	NA	NA	3.451
1815	NA	NA	2.51
1816	NA	NA	2.829
1817	NA	NA	2.162
1818	NA	NA	1.326
1819	NA	NA	1.83
1820	NA	NA	2.381
1821	NA	NA	2.84
1822	NA	NA	3.328
1823	NA	NA	2.805
1824	NA	NA	3.216
1825	NA	NA	3.821
1826	NA	NA	2.805
1827	NA	NA	2.578
1828	NA	NA	1.909
1829	NA	NA	0.885
1830	NA	NA	0.597
1831	NA	NA	0.585
1832	NA	NA	0.707
1833	NA	NA	1.415
1834	NA	NA	1.839
1835	NA	NA	2.28
1836	NA	NA	3.123
1837	NA	NA	2.061
1838	NA	NA	3.086
1839	NA	NA	2.205
1840	NA	NA	1.79
1841	NA	NA	1.601
1842	NA	NA	2.642
1843	NA	NA	1.93
1844	NA	NA	2.175
1845	NA	NA	1.888
1846	NA	NA	2.723
1847	NA	NA	2.027
1848	NA	NA	1.936
1849	NA	NA	1.75
1850	NA	NA	1.054
1851	NA	NA	2.049
1852	NA	NA	1.416
1853	NA	NA	1.831
1854	NA	NA	1.678
1855	NA	NA	1.991
1856	NA	NA	2.372
1857	NA	NA	1.266
1858	NA	NA	1.457
1859	NA	NA	1.522
1860	NA	NA	2.274
1861	NA	NA	1.901
1862	NA	NA	1.791
1863	NA	NA	1.537
1864	NA	NA	1.089
1865	NA	NA	1.034
1866	NA	NA	1.583
1867	NA	NA	1.072
1868	NA	NA	1.561
1869	NA	NA	1.308
1870	NA	NA	0.991
1871	NA	NA	1.228
1872	NA	NA	1.174
1873	NA	NA	0.878
1874	NA	NA	1.195
1875	NA	NA	0.93
1876	NA	NA	1.087
1877	NA	NA	1.533
1878	NA	NA	2.255
1879	NA	NA	1.533
1880	NA	NA	1.186
1881	NA	NA	0.966
1882	NA	NA	1.044
1883	NA	NA	0.752
1884	NA	NA	1.639
1885	NA	NA	1.002
1886	NA	NA	1.212
1887	NA	NA	1.238
1888	NA	NA	1.007
1889	NA	NA	1.473
1890	NA	NA	1.565
1891	NA	NA	1.285
1892	NA	NA	1.615
1893	NA	NA	0.876
1894	NA	NA	0.815
1895	NA	NA	0.868
1896	NA	NA	1.114
1897	NA	NA	0.505
1898	NA	NA	0.626
1899	NA	NA	0.991
1900	NA	NA	0.832
1901	NA	NA	0.901
1902	NA	NA	0.525
1903	NA	NA	0.524
1904	NA	NA	0.578
1905	NA	NA	1.223
1906	NA	NA	1.402
1907	NA	NA	0.631
1908	NA	NA	0.521
1909	NA	NA	0.496
1910	NA	NA	0.643
1911	NA	NA	0.697
1912	NA	NA	0.486
1913	NA	NA	0.61
1914	NA	0.922	0.494
1915	NA	1.294	1.091
1916	NA	0.799	0.615
1917	NA	1.015	0.654
1918	NA	1.065	0.369
1919	NA	0.896	0.427
1920	NA	0.761	0.6
1921	NA	1.013	0.41
1922	NA	1.006	0.516
1923	NA	1.121	0.658
1924	NA	0.656	0.437
1925	NA	0.833	0.462
1926	NA	1.115	0.625
1927	NA	1.144	0.492
1928	NA	1.209	0.482
1929	NA	1.177	0.42
1930	NA	1.475	0.624
1931	NA	0.738	0.53
1932	NA	1.164	0.376
1933	NA	1.417	0.47
1934	NA	0.856	0.275
1935	NA	1.132	0.429
1936	NA	1.685	0.501
1937	NA	1.055	0.455
1938	NA	0.923	0.448
1939	NA	0.624	0.324
1940	NA	1.229	0.435
1941	NA	1.081	0.606
1942	NA	1.185	0.716
1943	NA	1.146	0.573
1944	NA	1.212	0.493
1945	NA	1.154	0.332
1946	NA	0.834	0.397
1947	NA	0.819	0.375
1948	NA	1.166	0.453
1949	NA	0.943	0.368
1950	NA	0.508	0.422
1951	NA	0.513	0.352
1952	NA	0.625	0.391
1953	NA	1.189	0.546
1954	NA	1.085	0.391
1955	NA	0.814	0.35
