# Birch - T.W. Daniel Experimental Forest - PPTR - ITRDB UT554
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/35077
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-35077.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut554-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ut554-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut554.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut554.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-12-07
#--------------------
# File_Last_Modified_Date
#   Date: 2021-12-07
#--------------------
# Title
#   Study_Name: Birch - T.W. Daniel Experimental Forest - PPTR - ITRDB UT554
#--------------------
# Investigators
#   Investigators: Birch, J.D.(https://orcid.org/0000-0001-8644-7345); Bekker, M.F.; DeRose, R.J.(https://orcid.org/0000-0002-4849-7744); Jess, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-12-29.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: T.W. Daniel Experimental Forest
#   Location: Utah
#   Northernmost_Latitude: 41.856
#   Southernmost_Latitude: 41.856
#   Easternmost_Longitude: -111.503
#   Westernmost_Longitude: -111.503
#   Elevation_m: 2650
#--------------------
# Data_Collection
#   Collection_Name: UT554
#   First_Year: 1828
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Populus tremuloides Michx.
#   Common_Name: quaking aspen
#   Tree_Species_Code: PPTR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TWD40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD41_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD41; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD42_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD42; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD46_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD46; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD47_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD47; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD50_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD50; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TWD51_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TWD51; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TWD40_raw	TWD41_raw	TWD42_raw	TWD46_raw	TWD47_raw	TWD50_raw	TWD51_raw
1828	NA	NA	NA	NA	4.312	NA	NA
1829	NA	NA	NA	NA	2.401	NA	NA
1830	NA	NA	NA	NA	1.275	NA	NA
1831	NA	NA	NA	NA	2.039	NA	NA
1832	NA	NA	NA	NA	1.523	NA	NA
1833	NA	NA	NA	NA	1.759	NA	NA
1834	NA	NA	NA	3.121	2.096	NA	NA
1835	NA	NA	NA	4.37	3.409	NA	NA
1836	NA	NA	NA	2.867	2.417	NA	NA
1837	NA	NA	NA	2.107	2.471	NA	NA
1838	NA	NA	NA	1.144	1.43	NA	NA
1839	NA	NA	NA	0.839	0.96	NA	NA
1840	NA	NA	NA	1.213	1.898	NA	NA
1841	NA	NA	NA	1.274	2.028	NA	NA
1842	NA	NA	NA	0.593	1.746	NA	NA
1843	NA	2.088	NA	0.831	0.923	NA	NA
1844	NA	2.05	NA	2.181	1.824	NA	NA
1845	NA	1.619	NA	1.911	2.31	NA	NA
1846	NA	1.935	NA	1.998	2.648	NA	NA
1847	NA	1.731	NA	2.162	2.624	NA	NA
1848	NA	0.557	NA	1.181	2.102	NA	NA
1849	NA	1.645	NA	1.528	2.175	NA	NA
1850	NA	0.977	NA	1.175	2.166	NA	NA
1851	NA	0.794	NA	1.819	2.531	NA	NA
1852	NA	1.287	NA	2.193	2.185	NA	NA
1853	NA	1.464	NA	1.635	1.879	NA	NA
1854	NA	0.223	NA	0.713	0.831	NA	NA
1855	NA	0.459	NA	1.184	1.097	NA	NA
1856	NA	1.135	NA	1.55	1.689	NA	NA
1857	NA	1.288	NA	1.43	1.829	NA	NA
1858	NA	1.268	NA	1.355	1.781	NA	NA
1859	NA	1.273	NA	1.209	2.142	NA	NA
1860	NA	1.396	NA	1.792	2.459	NA	NA
1861	NA	1.256	NA	1.947	2.224	NA	NA
1862	NA	1.448	NA	2.226	2.649	3.119	NA
1863	NA	0.47	NA	1.535	2.091	1.814	NA
1864	NA	1.405	NA	2.444	2.585	3.051	NA
1865	NA	1.131	NA	1.502	2.182	2.765	NA
1866	NA	0.343	NA	0.748	1.54	1.095	NA
1867	NA	0.282	NA	1.121	1.884	1.734	NA
1868	NA	0.17	NA	0.816	2.132	2.164	NA
1869	NA	0.416	NA	0.896	1.918	1.274	NA
1870	NA	0.555	NA	1.113	0.925	2.09	NA
1871	NA	0.48	NA	1.55	0.931	2.171	NA
1872	NA	0.542	NA	1.608	1.336	1.182	NA
1873	NA	0.256	NA	0.938	0.779	0.674	NA
1874	NA	0.346	NA	0.962	0.818	0.861	NA
1875	NA	0.48	NA	0.942	1.039	1.04	NA
1876	NA	0.465	NA	1.32	1.28	1.22	NA
1877	NA	0.492	NA	1.068	1.579	1.229	NA
1878	NA	0.55	NA	1.141	1.823	0.966	NA
1879	1.582	0.763	NA	1.866	2.081	1.529	NA
1880	1.269	0.867	NA	1.244	1.876	1.038	NA
1881	0.74	0.452	NA	0.774	0.741	0.569	NA
1882	1.07	0.84	NA	0.832	1.012	1.189	NA
1883	1.516	0.677	0.828	0.892	1.298	1.899	NA
1884	1.745	0.873	0.858	1.323	1.642	1.484	NA
1885	2.164	0.453	1.008	1.206	1.772	1.281	NA
1886	2.222	0.336	0.897	1.221	1.786	1.206	NA
1887	1.995	0.431	1.215	1.317	1.924	1.49	NA
1888	1.937	0.457	1.013	1.434	1.755	1.503	NA
1889	1.623	0.713	1.533	1.233	1.545	1.167	NA
1890	1.471	0.736	1.467	1.541	1.902	1.181	NA
1891	1.479	0.616	1.022	1.321	1.374	1.241	NA
1892	0.89	0.509	0.715	1.311	1.489	1.165	NA
1893	1.545	0.839	1.032	1.537	1.514	1.805	NA
1894	1.983	0.855	1.125	1.549	1.081	1.647	NA
1895	1.588	0.45	0.925	1.525	1.026	0.745	NA
1896	1.155	0.329	0.981	1.26	0.903	0.752	NA
1897	1.177	0.461	0.906	1.297	1.303	0.865	NA
1898	0.906	0.351	0.899	1.059	1.04	0.475	NA
1899	1.045	0.795	1.064	0.74	1.237	1.227	NA
1900	1.346	0.881	1.109	0.856	1.001	1.272	NA
1901	2.743	1.211	1.548	1.029	1.093	1.337	NA
1902	2.784	1.222	1.977	1.088	2.081	1.746	NA
1903	1.927	0.883	1.327	0.76	1.185	0.768	NA
1904	1.644	0.915	1.398	0.846	0.802	1.115	NA
1905	0.945	0.518	1.125	0.675	0.821	0.896	NA
1906	1.036	0.569	0.792	0.414	0.814	0.931	NA
1907	1.44	0.485	1.266	0.699	0.869	1.463	NA
1908	1.269	0.422	1.048	0.675	0.856	1.303	1.426
1909	1.173	0.616	1.503	0.861	0.716	1.564	3.168
1910	1.53	0.63	1.939	1.109	0.904	1.596	3.708
1911	0.75	0.747	2.198	0.965	0.441	1.444	2.141
1912	0.641	0.504	1.54	0.85	0.623	1.298	1.464
1913	0.856	0.516	1.371	1.112	0.879	1.974	1.839
1914	0.548	0.407	0.616	0.88	0.905	1.355	1.441
1915	0.373	0.389	0.662	0.765	1.116	1.477	1.475
1916	0.229	0.249	0.475	0.521	0.712	0.938	0.975
1917	0.328	0.352	0.866	0.654	0.871	0.984	1.105
1918	0.528	0.353	0.586	0.683	1.05	1.279	1.49
1919	0.699	0.637	1.427	0.636	1.043	1.68	1.175
1920	0.573	0.604	1.364	0.766	1.725	0.531	0.591
1921	0.762	0.583	1.21	0.97	1.919	1.114	0.749
1922	0.401	0.506	1.259	0.376	1.482	0.503	0.468
1923	0.522	1.02	1.121	0.485	0.991	1.28	0.65
1924	0.594	0.841	0.8	0.35	1.14	0.998	1.018
1925	0.5	0.334	0.782	0.488	1.128	0.513	0.497
1926	0.818	0.621	0.784	0.678	0.76	0.993	0.622
1927	0.935	0.51	0.99	0.688	0.984	0.904	0.883
1928	1.468	0.698	1.032	1.433	0.837	2.029	1.119
1929	1.64	0.658	0.874	0.959	0.712	1.53	1.054
1930	1.598	0.54	0.976	0.769	1.064	1.784	1.304
1931	1.219	0.415	0.75	0.562	0.836	1.87	1.464
1932	1.006	0.407	1.282	0.762	1.541	2.018	2.3
1933	1.094	0.8	1.56	0.931	0.892	1.791	2.185
1934	0.567	1.124	1.596	0.834	0.976	1.931	2.048
1935	0.512	0.8	1.382	1.002	0.53	2.22	2.806
1936	1.066	1.185	1.291	1.101	0.981	1.645	1.627
1937	0.822	0.686	0.885	0.953	0.621	1.192	1.377
1938	0.32	0.707	0.667	0.563	0.52	1	1.46
1939	0.287	0.435	0.399	0.452	0.448	1.138	1.383
1940	0.414	0.389	0.93	0.51	0.421	0.988	0.972
1941	0.33	0.328	0.779	0.322	0.379	0.98	0.932
1942	0.19	0.193	0.424	0.306	0.465	1.428	0.545
1943	0.219	0.338	0.586	0.326	0.559	1.276	0.462
1944	0.381	0.642	0.675	0.574	0.536	1.291	0.632
1945	0.362	0.63	0.753	0.649	0.583	1.54	0.664
1946	0.44	0.773	1.065	0.609	0.544	0.95	0.459
1947	0.205	0.845	0.61	0.293	0.384	0.813	0.426
1948	0.233	0.63	0.605	0.36	0.289	0.377	0.427
1949	0.286	1.293	0.721	0.609	0.357	0.539	0.724
1950	0.282	1.157	1.171	0.462	0.295	0.495	0.713
1951	0.598	1.088	1.726	0.824	0.367	0.673	1.156
1952	0.724	0.864	1.178	0.724	0.34	0.711	1.378
1953	0.867	0.881	1.714	0.859	0.375	0.666	1.377
1954	0.831	1.017	1.944	1.179	0.578	0.811	1.387
1955	0.698	1.134	1.432	1.258	0.575	0.526	0.778
1956	0.33	0.528	1.152	1.087	0.584	0.688	0.73
1957	0.46	0.667	1.051	0.998	0.475	0.673	0.991
1958	0.449	0.934	1.043	1.144	0.499	0.744	1.501
1959	0.667	1.536	2.005	1.613	0.453	0.831	1.143
1960	0.924	2.193	2.097	1.756	0.462	1.615	1.463
1961	0.522	1.355	1.847	1.477	0.362	0.827	0.728
1962	0.688	0.994	0.947	2.101	0.432	1.826	1.137
1963	0.809	0.75	1.332	1.403	0.517	1.014	0.82
1964	1.131	0.898	1.601	1.615	0.641	1.271	0.615
1965	1.174	0.946	1.598	1.697	0.875	1.076	0.848
1966	1.152	0.802	1.732	1.02	0.566	0.756	0.781
1967	0.619	0.653	1.465	0.766	0.58	0.558	0.709
1968	0.521	0.773	1.158	0.935	0.786	0.969	1.123
1969	0.387	0.824	1.02	0.505	0.615	0.892	0.797
1970	0.135	0.68	0.143	0.13	0.254	0.318	0.289
1971	0.429	1.125	0.25	0.489	0.574	0.599	0.937
1972	0.434	1.205	0.294	0.716	0.449	0.792	0.86
1973	0.434	0.714	0.263	0.574	0.461	0.826	0.866
1974	0.131	0.539	0.137	0.226	0.131	0.338	0.409
1975	0.399	0.753	0.232	0.823	0.296	0.651	0.822
1976	0.462	0.75	0.298	0.961	0.286	0.853	1.474
1977	0.742	0.905	0.184	1.201	0.314	0.613	1.038
1978	0.403	0.749	0.203	1.099	0.609	0.752	0.991
1979	0.608	1.364	0.237	1.308	0.634	0.498	0.974
1980	0.565	1.236	0.389	1.079	0.521	0.537	0.893
1981	0.394	1.509	0.377	0.768	0.556	0.762	1.328
1982	0.361	1.575	0.324	0.876	0.774	0.484	0.85
1983	0.412	1.229	0.447	1.167	0.907	0.734	0.918
1984	0.487	1.032	0.358	0.586	0.599	0.875	1.305
1985	0.263	1.033	0.354	0.543	0.489	0.821	0.791
1986	0.483	1.134	0.462	0.702	0.508	0.845	0.527
1987	0.664	1.167	0.472	1.282	0.443	0.869	0.979
1988	0.697	0.796	0.564	1.7	0.358	0.684	0.773
1989	0.853	0.785	1.594	3.689	0.667	0.862	0.679
1990	0.616	0.822	1.314	2.304	0.729	0.742	1.003
1991	0.617	0.847	1.099	2.132	0.835	0.763	0.986
1992	0.603	1.247	0.674	1.566	1.545	1.371	1.113
1993	0.306	0.844	0.393	0.568	1.011	0.804	0.562
1994	0.157	0.607	0.39	0.31	0.706	0.896	0.656
1995	0.226	0.67	0.701	0.494	0.822	0.694	0.554
1996	0.388	1.12	0.627	1.002	0.619	0.946	0.614
1997	0.513	0.967	0.986	1.123	0.598	1.398	0.879
1998	0.605	0.667	0.849	1.091	0.519	1.281	0.584
1999	0.293	0.426	0.651	0.753	0.429	0.952	0.637
2000	0.483	0.842	0.796	1.095	0.411	1.559	0.693
2001	1.18	1.175	1.836	1.97	0.414	2.211	0.607
2002	0.506	0.644	0.455	0.596	0.452	1.104	0.421
2003	0.752	0.963	0.741	1.31	0.456	2.102	0.561
2004	1.097	1.672	1.002	1.931	0.311	2.418	0.704
2005	0.927	1.145	1.308	1.092	0.295	2.267	0.67
2006	1.401	1.29	1.885	1.281	0.366	2.627	1.087
2007	1.172	1.651	2.496	0.965	0.419	1.534	0.532
2008	0.703	0.85	1.717	0.72	0.198	0.931	0.518
2009	0.981	0.779	1.233	0.729	0.361	1.231	0.519
2010	1.39	1.031	1.303	0.94	0.325	1.513	0.715
2011	1.586	1.139	1.277	1.342	0.329	1.634	0.528
2012	2.312	1.021	1.153	1.043	0.303	1.901	0.409
