# Bradfield - Klagetoh - PIPO - ITRDB AZ069
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2805
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2805.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az069-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; az069-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az069.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az069.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Bradfield - Klagetoh - PIPO - ITRDB AZ069
#--------------------
# Investigators
#   Investigators: Bradfield, R.M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Klagetoh
#   Location: Arizona
#   Northernmost_Latitude: 35.0
#   Southernmost_Latitude: 35.0
#   Easternmost_Longitude: -109.0
#   Westernmost_Longitude: -109.0
#   Elevation_m: 2194
#--------------------
# Data_Collection
#   Collection_Name: AZ069
#   First_Year: 1600
#   Last_Year: 1971
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 231032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 231047_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231047; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 231061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 231082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 231254_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231254; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 231266_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 231266; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	231032_raw	231047_raw	231061_raw	231082_raw	231254_raw	231266_raw
1600	NA	NA	NA	0.56	0.67	NA
1601	NA	NA	NA	0.4	1.01	NA
1602	NA	NA	NA	0.59	0.87	NA
1603	NA	NA	NA	1.1	4.8	NA
1604	NA	NA	NA	0.8	4.32	NA
1605	NA	NA	NA	1.27	3.24	NA
1606	NA	NA	NA	1.18	2.8	NA
1607	NA	NA	NA	1.5	2.7	NA
1608	NA	NA	NA	1.34	2.02	NA
1609	NA	NA	NA	2.27	2.54	NA
1610	NA	NA	NA	2.54	3.12	NA
1611	NA	NA	NA	3.84	2.34	NA
1612	NA	NA	NA	3.62	1.02	NA
1613	1.67	NA	NA	1.64	0.75	NA
1614	2.5	NA	NA	2.1	0.76	NA
1615	1.2	NA	NA	2.16	0.66	NA
1616	1.71	NA	NA	2.28	0.98	NA
1617	2.86	NA	NA	2.67	1.7	NA
1618	4	NA	NA	3.5	2.26	3.6
1619	3.18	NA	NA	2.74	1.82	1.42
1620	4.24	NA	NA	4.2	2.52	3.6
1621	4.44	NA	NA	3.6	3.02	3.2
1622	2.34	NA	NA	1.94	2.24	2.28
1623	1.73	NA	NA	2.06	1.62	1.02
1624	2.1	NA	NA	2.16	2.84	0.82
1625	3.34	NA	NA	3.16	2.76	1.67
1626	1.46	NA	NA	1.61	0.97	0.26
1627	2.52	NA	NA	3.08	2.94	0.74
1628	1.87	NA	NA	1.86	1.91	1.05
1629	2.07	NA	NA	2.72	3.05	3.02
1630	2.13	NA	NA	3.36	2.13	2.34
1631	1.74	NA	NA	2.51	3.22	1.66
1632	0.91	NA	0.63	1.06	0.66	0.44
1633	2.49	NA	3.26	3.47	3.53	2.3
1634	1.88	NA	3.21	2.5	3.21	2.74
1635	1.31	NA	2.58	1.53	2.6	3.06
1636	0.93	NA	1.27	0.98	0.98	0.74
1637	0.32	NA	1.32	0.29	0.46	0.31
1638	0.29	NA	0.7	0.22	0.2	0.04
1639	1.26	NA	1.42	0.85	0.83	0.63
1640	1.7	NA	3.1	1.75	1.1	1.03
1641	2.27	NA	2.8	2.36	2.53	3.24
1642	2.71	NA	2.68	1.71	2.32	2.86
1643	1.7	NA	1.73	1.39	0.97	1.36
1644	2.05	NA	2.83	2.84	2.07	2.3
1645	2.9	NA	3.36	2.58	2.09	3.26
1646	1.26	NA	2.01	0.79	0.69	1.13
1647	1.89	NA	1.96	2.1	1.53	2.27
1648	1.33	NA	1.39	0.93	1.29	0.97
1649	2.43	NA	3.24	4.2	1.72	2.16
1650	2.81	NA	3.2	2.54	0.83	2.7
1651	2.44	NA	3.29	2.48	1.32	2.94
1652	2.71	NA	3.04	1.9	2.13	2.06
1653	0.9	NA	1.73	0.5	1.09	0.84
1654	1.04	NA	1.27	0.75	0.56	0.61
1655	1.4	NA	3.4	1.76	1.05	1.12
1656	1.7	NA	3.52	1.8	1.91	1.89
1657	1.46	NA	2.8	1.87	0.72	0.68
1658	0.91	1.23	0.9	0.56	0.45	0.49
1659	1.71	2.52	1.64	1.26	1.1	1.31
1660	1.63	6	3.24	1.95	1.43	1.85
1661	1.41	5	3.1	1.47	1.32	2.56
1662	1.54	4.18	2.6	1.09	0.89	1.65
1663	1.43	4.28	2.8	1.7	1.5	1.58
1664	1.57	3.84	2.14	1.05	0.95	1.6
1665	1.01	3.56	2.08	1.12	0.87	1.02
1666	0.57	2.04	0.91	0.39	0.25	0.35
1667	0.01	0.93	0.34	0.03	0.03	0.04
1668	0.41	1.06	0.59	0.16	0.15	0.21
1669	0.46	0.83	0.47	0.19	0.12	0.15
1670	0.03	0.24	0.06	0.01	0.01	0.01
1671	0.27	1.82	0.68	0.13	0.1	0.17
1672	0.73	4.56	1.88	0.72	0.56	0.41
1673	1.22	2.32	1.12	0.78	0.8	0.61
1674	0.6	3.8	1.21	0.27	0.34	0.26
1675	1.04	1.94	0.98	0.6	0.67	0.47
1676	0.23	0.47	0.26	0.16	0.19	0.09
1677	1.1	3.12	1.25	0.55	0.67	0.3
1678	0.52	3.34	0.75	0.2	0.26	0.08
1679	0.83	2.36	1.18	0.48	0.4	0.39
1680	1.15	5	1.87	0.89	0.8	0.68
1681	1.66	4.6	2.64	1.09	0.79	1.21
1682	1.94	3.54	2.49	1.23	1.78	1.82
1683	2.31	4.2	2.8	1.45	1.74	2.6
1684	0.67	1.29	0.58	0.16	0.34	0.49
1685	0.01	0.44	0.47	0.01	0.01	0.07
1686	1.47	2.58	1.57	0.84	0.94	1.05
