# Meko - Frawley - QUMA - ITRDB SD010
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3941
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3941.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd010-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd010-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd010.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd010.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Frawley - QUMA - ITRDB SD010
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Frawley
#   Location: South Dakota
#   Northernmost_Latitude: 44.48
#   Southernmost_Latitude: 44.48
#   Easternmost_Longitude: -103.68
#   Westernmost_Longitude: -103.68
#   Elevation_m: 1230
#--------------------
# Data_Collection
#   Collection_Name: SD010
#   First_Year: 1892
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FRW04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW05C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW05C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FRW11O_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FRW11O; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FRW04A_raw	FRW05A_raw	FRW05B_raw	FRW05C_raw	FRW07B_raw	FRW09A_raw	FRW09B_raw	FRW10A_raw	FRW10B_raw	FRW11A_raw	FRW11B_raw	FRW11O_raw
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.62
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.41
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.58
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.24
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.51
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52
1892	NA	NA	NA	NA	NA	2.13	NA	NA	NA	NA	NA	2.23
1893	NA	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	1.54
1894	NA	NA	NA	NA	NA	2.13	NA	NA	NA	NA	NA	1.52
1895	NA	NA	2.02	NA	NA	1.94	NA	NA	NA	NA	NA	1.23
1896	NA	NA	0.62	NA	NA	1.53	NA	NA	NA	NA	0.41	0.63
1897	NA	NA	0.91	NA	NA	1.34	NA	NA	NA	NA	0.73	0.64
1898	NA	NA	0.48	NA	NA	1.33	NA	NA	NA	NA	0.62	0.87
1899	NA	NA	0.99	NA	NA	1.46	NA	NA	NA	NA	1.16	1.36
1900	NA	NA	0.24	NA	0.93	0.7	NA	NA	NA	NA	0.27	1.04
1901	NA	NA	0.59	NA	1.22	0.67	NA	NA	NA	NA	0.38	1.43
1902	NA	NA	0.8	NA	1.45	0.74	NA	NA	NA	NA	0.44	1.32
1903	NA	NA	1.05	NA	0.8	1.11	NA	NA	NA	NA	0.55	2.86
1904	NA	NA	1.57	NA	0.77	1.33	NA	NA	NA	NA	0.8	2.39
1905	NA	NA	0.82	NA	0.6	0.78	NA	NA	NA	NA	0.71	1.22
1906	NA	NA	0.58	0.9	0.58	0.71	NA	NA	NA	NA	0.53	1.28
1907	NA	NA	0.9	1.11	0.31	1.58	NA	NA	NA	NA	0.97	1.05
1908	NA	NA	0.71	0.99	0.16	1.6	NA	NA	NA	1.39	1.15	2.32
1909	NA	NA	0.94	1.13	0.45	1.77	NA	NA	NA	0.85	0.63	2.13
1910	NA	NA	0.77	0.88	0.5	1.02	NA	NA	NA	0.79	0.44	1.12
1911	NA	NA	0.42	0.33	0.91	0.65	NA	NA	NA	0.52	0.41	1.41
1912	NA	NA	1.26	1.28	0.99	1.34	NA	NA	NA	1.04	0.66	4.22
1913	0.72	NA	0.73	1.08	0.99	1.23	NA	NA	NA	0.74	0.72	2.58
1914	0.57	NA	0.61	0.42	1	0.84	NA	NA	NA	0.64	0.68	2.18
1915	0.62	NA	0.52	0.56	0.62	0.88	NA	NA	NA	1.02	0.72	0.95
1916	1.28	NA	1.43	1.48	1.07	1.08	NA	NA	NA	1.74	1.19	1.62
1917	1.67	NA	0.99	1.13	0.33	0.94	NA	NA	NA	1.41	1	1.62
1918	1.09	NA	1.15	0.85	1.87	0.55	NA	NA	NA	1.14	1.03	2.53
1919	0.88	NA	1.04	0.74	0.63	0.73	NA	NA	NA	1.03	0.79	2.79
1920	1.26	NA	1.7	1.31	0.29	1.34	NA	NA	NA	1.56	1.13	3.18
1921	0.99	NA	0.38	0.42	0.37	0.79	NA	NA	NA	0.61	0.5	1.79
1922	2.37	NA	0.95	0.92	0.53	1.69	NA	NA	NA	1.67	1.34	2.29
1923	1.35	NA	1.14	1.32	0.12	0.88	1.71	NA	NA	1.51	0.93	1.6
1924	0.98	NA	1.13	1.79	0.43	1.11	2.55	NA	NA	2.43	1.73	1.33
