# Wyse - Good Harbor Plains - TSCA - ITRDB MI014
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5356
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5356.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi014-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi014-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi014.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi014.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - TSCA - ITRDB MI014
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI014
#   First_Year: 1898
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Tsuga canadensis (L.) Carr.
#   Common_Name: eastern hemlock
#   Tree_Species_Code: TSCA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 95-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 95-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 75-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 75-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 93-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 93-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 75-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 75-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 93-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 93-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	95-1_raw	75-1_raw	93-1_raw	75-2_raw	93-4_raw
1898	NA	1.5	NA	NA	NA
1899	NA	1.71	NA	NA	NA
1900	NA	1.03	NA	NA	NA
1901	NA	1.34	NA	NA	NA
1902	NA	1.48	NA	NA	NA
1903	NA	1.1	NA	NA	NA
1904	NA	0.66	NA	NA	NA
1905	NA	0.76	NA	NA	NA
1906	NA	0.44	NA	NA	NA
1907	NA	0.73	NA	NA	NA
1908	NA	0.5	NA	NA	NA
1909	NA	0.46	NA	NA	NA
1910	NA	0.5	NA	NA	NA
1911	NA	0.46	NA	NA	NA
1912	NA	0.59	NA	NA	NA
1913	NA	0.71	NA	NA	NA
1914	NA	0.42	NA	NA	NA
1915	NA	0.42	NA	0.27	NA
1916	NA	0.76	NA	0.32	NA
1917	NA	0.34	NA	0.31	NA
1918	NA	0.21	NA	0.1	NA
1919	NA	0.42	NA	0.1	NA
1920	NA	0.34	NA	0.09	NA
1921	NA	0.55	NA	0.09	NA
1922	NA	0.3	NA	0.12	NA
1923	NA	0.34	NA	0.34	NA
1924	NA	0.47	NA	0.46	NA
1925	NA	0.93	NA	0.38	NA
1926	NA	0.34	NA	0.34	NA
1927	NA	0.38	NA	0.43	NA
1928	NA	0.51	NA	0.5	NA
1929	NA	0.63	NA	0.44	NA
1930	NA	0.25	NA	0.24	NA
1931	NA	0.25	NA	0.51	NA
1932	NA	0.42	NA	0.46	NA
1933	NA	0.72	NA	0.54	NA
1934	NA	0.42	NA	0.41	NA
1935	NA	0.93	NA	0.57	NA
1936	NA	0.68	NA	0.36	NA
1937	NA	1.14	NA	0.94	NA
1938	NA	1.39	NA	0.73	NA
1939	NA	1.06	NA	0.55	NA
1940	NA	1.27	NA	0.91	NA
1941	NA	1.06	NA	0.57	NA
1942	NA	1.44	NA	0.78	NA
1943	NA	1.35	NA	0.82	NA
1944	NA	1.02	NA	0.66	NA
1945	NA	0.93	NA	0.58	NA
1946	NA	1.22	NA	0.58	NA
1947	NA	0.89	0.66	0.71	NA
1948	NA	0.84	0.67	0.46	NA
1949	1.1	0.76	0.46	0.63	NA
1950	1.01	0.42	0.33	0.42	NA
1951	1.58	0.58	0.5	0.34	NA
1952	2.89	0.78	0.5	0.55	NA
1953	2.87	0.99	0.67	0.77	NA
1954	3.22	0.95	0.63	0.58	NA
1955	3.15	0.7	0.5	0.42	NA
1956	2.84	0.53	0.38	0.46	NA
1957	4.13	0.82	0.34	0.42	NA
1958	2.49	1.27	0.59	0.68	NA
1959	2.49	1.24	0.55	0.55	NA
1960	1.88	1.18	0.67	0.63	NA
1961	3.1	1.59	1.17	1.06	NA
1962	2.68	1.15	0.75	0.42	NA
1963	2.57	1.47	0.79	0.72	NA
1964	1.89	1.19	0.41	0.59	NA
1965	1.87	1.7	0.29	0.63	NA
1966	1.42	1.55	0.45	0.76	NA
1967	1.22	1.74	0.74	0.8	0.5
1968	1.4	1.66	0.58	0.38	0.46
1969	1.15	1.75	0.42	0.34	0.29
1970	1.33	1.63	0.42	0.38	0.29
1971	1.29	1.54	0.5	0.51	0.46
1972	1.29	1.24	0.88	0.8	0.3
1973	2.27	1.61	0.96	0.88	0.3
1974	1.76	1.27	0.92	0.29	0.21
1975	1.64	1.27	0.84	0.46	0.51
1976	1.56	1.35	0.76	0.67	0.46
1977	1.35	1.33	0.72	0.59	0.38
1978	0.84	1.42	0.88	0.55	0.25
1979	1.05	2.45	1	1.01	0.38
1980	0.8	2.49	0.87	0.93	0.55
1981	0.67	2.32	0.54	0.59	0.29
1982	0.38	2.07	0.37	0.57	0.25
1983	0.8	2.14	0.49	0.95	0.38
1984	0.71	1.97	0.49	1.01	0.2
1985	0.92	2.86	0.53	0.93	0.35
1986	0.67	2.65	0.81	0.84	0.71
1987	0.51	2.48	0.8	0.76	0.79
1988	0.63	1.87	0.56	0.63	0.46
1989	0.79	3.63	0.97	0.76	1
1990	0.89	3.35	0.92	0.97	0.92
1991	1.1	2.92	1	0.93	1.25
1992	1.14	3.59	0.89	0.84	0.84
1993	1.56	3.59	1.29	0.97	1.14
1994	1.18	2.17	0.33	0.55	1.26
1995	1.35	3.18	0.45	0.93	1.3
1996	0.88	1.78	0.45	0.46	1.15
1997	0.92	1.86	0.72	0.38	1.59
1998	1.84	1.61	0.52	0.63	1.48
1999	1.42	1.7	1.36	0.55	1.36
2000	1.28	1.68	0.92	0.8	1.04
2001	0.88	1.26	0.64	0.63	0.86
2002	1.05	1.47	0.56	0.85	0.85
