# Black - Parsons - PSME - ITRDB OR126
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38229
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38229.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or126-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or126.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or126.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Parsons - PSME - ITRDB OR126
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Parsons
#   Location: Oregon
#   Northernmost_Latitude: 45.54
#   Southernmost_Latitude: 45.54
#   Easternmost_Longitude: -123.244
#   Westernmost_Longitude: -123.244
#   Elevation_m: 320
#--------------------
# Data_Collection
#   Collection_Name: OR126
#   First_Year: 1709
#   Last_Year: 1854
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PAC02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC01D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC01D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAC02F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PAC02F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PAC02A_raw	PAC02B_raw	PAC02C_raw	PAC01A_raw	PAC01B_raw	PAC01C_raw	PAC01D_raw	PAC02D_raw	PAC02E_raw	PAC02F_raw
1709	NA	NA	NA	NA	NA	1.32	NA	NA	NA	NA
1710	NA	NA	NA	NA	NA	1.03	NA	NA	NA	NA
1711	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA
1712	NA	NA	NA	NA	NA	1.08	0.81	NA	NA	NA
1713	NA	NA	NA	NA	NA	0.76	0.6	NA	NA	NA
1714	NA	NA	NA	NA	NA	1.03	0.75	NA	NA	NA
1715	NA	NA	NA	NA	NA	2.97	2.06	NA	NA	NA
1716	NA	NA	NA	NA	NA	3.57	2.56	NA	NA	NA
1717	NA	NA	NA	NA	NA	2.78	2.09	NA	NA	NA
1718	NA	NA	NA	NA	NA	3.37	2.92	NA	NA	NA
1719	NA	NA	NA	NA	NA	3.95	3.41	NA	NA	NA
1720	NA	NA	NA	NA	NA	3.86	3.83	NA	NA	NA
1721	NA	NA	NA	NA	NA	2.4	2.44	NA	NA	NA
1722	NA	NA	NA	NA	NA	1.59	1.49	NA	NA	NA
1723	NA	NA	NA	NA	NA	1.11	1.1	NA	NA	NA
1724	NA	NA	NA	NA	NA	1.49	1.42	NA	NA	NA
1725	NA	NA	NA	NA	NA	1.52	1.41	NA	NA	NA
1726	NA	NA	NA	NA	NA	1.66	1.55	NA	NA	NA
1727	NA	NA	NA	NA	NA	1.99	1.98	NA	NA	NA
1728	NA	NA	NA	NA	NA	1.55	1.44	NA	NA	NA
1729	NA	NA	NA	NA	NA	2.35	2.22	NA	NA	NA
1730	NA	NA	NA	NA	NA	1.85	1.72	NA	NA	NA
1731	NA	NA	NA	NA	NA	2.88	2.88	NA	NA	NA
1732	NA	NA	NA	NA	NA	2.5	2.37	NA	NA	NA
1733	NA	NA	NA	NA	NA	1.75	1.7	NA	NA	NA
1734	NA	NA	NA	NA	NA	1.23	1.16	NA	NA	NA
1735	NA	NA	NA	NA	1.41	1.22	1.26	NA	NA	NA
1736	NA	NA	NA	1.05	0.99	0.97	0.93	NA	NA	NA
1737	NA	NA	NA	0.71	0.77	0.75	0.76	NA	NA	NA
1738	NA	NA	NA	3.12	3.04	2.83	3.05	NA	NA	NA
1739	NA	NA	NA	2.06	1.96	1.72	1.81	NA	NA	NA
1740	NA	NA	NA	1.3	1.39	1.04	1.22	NA	NA	NA
1741	NA	NA	NA	0.68	0.62	0.66	0.67	NA	NA	NA
1742	NA	NA	NA	1.27	1.2	1.04	1.03	NA	NA	NA
1743	NA	NA	NA	2.08	1.99	1.59	1.7	NA	NA	NA
1744	NA	NA	NA	2.24	1.94	1.39	1.42	NA	NA	NA
1745	NA	NA	NA	1.73	1.97	1.03	1.12	NA	NA	NA
1746	NA	NA	NA	1.72	1.38	1	0.98	NA	NA	NA
1747	NA	NA	NA	1.91	1.68	1.14	0.97	NA	NA	NA
1748	NA	NA	NA	1.35	1.26	0.8	0.66	NA	NA	NA
1749	NA	NA	NA	1.9	1.84	0.89	0.84	NA	NA	NA
1750	NA	NA	NA	3.54	3.41	1.57	1.6	NA	NA	NA
1751	NA	NA	NA	2.84	3.01	1.39	1.4	NA	NA	NA
1752	NA	NA	NA	2.1	2.55	1.68	1.75	NA	NA	NA
1753	NA	NA	NA	2.52	2.5	1.52	1.51	NA	NA	NA
1754	NA	NA	NA	2.61	2.64	1.68	1.7	NA	NA	NA
1755	NA	NA	NA	4.34	4.32	2.57	2.59	NA	NA	NA
1756	NA	NA	NA	2.84	2.65	1.6	1.62	NA	NA	NA
1757	NA	NA	NA	2.99	2.92	1.46	1.49	NA	NA	NA
1758	NA	NA	NA	2.87	2.76	1.46	1.4	NA	NA	NA
1759	NA	NA	NA	1.84	1.87	1.01	1.02	NA	NA	NA
1760	NA	NA	NA	1.83	1.75	0.89	0.86	NA	NA	NA
1761	NA	NA	NA	1.72	1.75	0.73	0.73	NA	NA	NA
1762	NA	NA	NA	1.67	1.7	0.76	0.85	NA	NA	NA
1763	NA	NA	NA	1.42	1.55	0.61	0.67	NA	NA	NA
1764	NA	NA	NA	1.54	1.5	0.56	0.62	NA	NA	NA
1765	NA	NA	NA	1.45	1.26	0.6	0.66	NA	NA	NA
1766	NA	NA	NA	1.57	1.58	0.48	0.54	NA	NA	NA
1767	NA	NA	NA	1.49	1.45	0.48	0.55	NA	NA	NA
1768	NA	NA	NA	0.86	0.86	0.34	0.38	NA	NA	NA
1769	NA	NA	NA	0.76	0.71	0.29	0.31	NA	NA	NA
1770	NA	NA	NA	1.05	1.09	0.38	0.4	NA	NA	NA
1771	NA	NA	NA	2.02	2.45	0.44	0.41	NA	NA	NA
1772	NA	NA	NA	3.46	3.35	0.6	0.48	NA	NA	NA
1773	NA	NA	NA	4.61	4.31	1.29	1.07	NA	NA	NA
1774	NA	NA	NA	2.94	2.9	1.19	0.89	NA	NA	NA
1775	NA	NA	NA	2.29	2.28	0.9	0.7	NA	NA	NA
1776	NA	NA	NA	2.01	2.25	0.88	0.69	NA	NA	NA
1777	NA	NA	NA	2.48	2.25	0.81	0.73	NA	NA	NA
1778	NA	NA	NA	2.78	2.52	0.69	0.71	NA	NA	NA
1779	NA	NA	NA	2.09	2.03	0.82	0.87	NA	NA	NA
1780	NA	NA	NA	2.26	1.74	0.88	0.74	NA	NA	NA
1781	NA	NA	NA	1.71	1.28	0.54	0.52	NA	NA	NA
1782	NA	NA	NA	2.16	1.99	1	0.88	NA	NA	NA
1783	NA	NA	NA	1.89	2.01	0.74	0.66	NA	NA	NA
1784	NA	NA	NA	1.5	1.64	0.53	0.5	NA	NA	NA
