# Copenheaver - Stroubles Creek - QUAL - ITRDB VA035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/18965
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-18965.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/va035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; va035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/va035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/va035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2015-04-29
#--------------------
# File_Last_Modified_Date
#   Date: 2015-04-29
#--------------------
# Title
#   Study_Name: Copenheaver - Stroubles Creek - QUAL - ITRDB VA035
#--------------------
# Investigators
#   Investigators: Copenheaver, C.A.(https://orcid.org/0000-0003-1778-3593)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: Carolyn A. Copenheaver, R. Travis Belote, Jason K. Steele, John A. Peterson, Lawton E. Grinter
#   Journal_Name: Journal of the Torrey Botanical Society
#   Published_Title: A dendroclimatic assessment of habitat specificity: Use of a functional trait to classify white oak
#   Published_Date_or_Year: 2013
#   Volume: 140
#   Pages: 41-51
#   Issue: 1
#   Report_Number: 
#   DOI: 10.3159/TORREY-D-12-00037.1 
#   Full_Citation: None
#   Abstract: Habitat specificity of tree species has traditionally been determined by identifying synchronous abiotic characteristics and species presence on the landscape. On a local scale this identifies many species as specialists; however, on a regional scale, most tree species are classified as generalists because individual species are present across a wide-range of edaphic and topographic conditions. To improve our ecological understanding of habitat specificity in trees, we classified white oak (Quercus alba) based on two performance currencies: responsiveness to climate and maximum tree age. We sampled tree rings from both ridge and valley stands in the southern Appalachian Mountains to contrast the dendroclimatic response at these topographic positions. White oak had radial growth responses to Palmer Drought Severity Index, temperature, and precipitation that was not dependent upon topographic position (ridge vs. valley), suggesting that white oak is a generalist species. A dendroclimatic response that is not dependent upon topographic position should allow white oak to adapt readily to climatic shifts that span a range of environmental conditions. Tree age has served as a successful performance currency in relatively undisturbed forests; however, in the southern Appalachian Mountains where there is a long history of human disturbance, maximum tree age revealed more about regional logging history than about white oak habitat specificity. Understanding habitat specificity of plant species improves predictions of species' response to environmental change. Traditionally trees have been classified based on occurrence on the landscape; however, in heavily-impacted forests occurrence is a reflection of land-use history. Dendroclimatology offers a more accurate tool to assess a tree's habitat specificity and was successfully applied in several ridge and valley sites in the Appalachian Mountains to identify white oak as a generalist species.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stroubles Creek
#   Location: Virginia
#   Northernmost_Latitude: 37.2833
#   Southernmost_Latitude: 37.2833
#   Easternmost_Longitude: -80.8
#   Westernmost_Longitude: -80.8
#   Elevation_m: 600
#--------------------
# Data_Collection
#   Collection_Name: VA035
#   First_Year: 1919
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## scwo24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: scwo24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## scwo21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: scwo21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## scwo20_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: scwo20; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## scwo19_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: scwo19; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo19_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo19; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## crwo20_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: crwo20; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	scwo24_raw	scwo21_raw	scwo20_raw	scwo19_raw	crwo01_raw	crwo02_raw	crwo03_raw	crwo04_raw	crwo05_raw	crwo06_raw	crwo07_raw	crwo08_raw	crwo09_raw	crwo10_raw	crwo12_raw	crwo16_raw	crwo17_raw	crwo18_raw	crwo19_raw	crwo20_raw
1919	NA	0.67	NA	NA	NA	NA	NA	NA	NA	0.616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	1.42	NA	NA	NA	NA	NA	NA	NA	0.278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	0.988	NA	NA	NA	NA	NA	NA	NA	0.132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	1.006	NA	NA	NA	NA	NA	NA	NA	0.226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	0.852	NA	NA	NA	NA	NA	NA	NA	0.188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	1.23	NA	NA	NA	NA	NA	NA	NA	0.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	0.792	NA	NA	NA	NA	NA	NA	NA	0.188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1926	NA	1.676	NA	NA	NA	NA	NA	NA	NA	0.216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1927	NA	1.834	NA	NA	NA	NA	NA	NA	NA	0.402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1928	NA	2.62	NA	NA	NA	NA	NA	NA	NA	0.474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1929	NA	1.616	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1930	NA	1.132	NA	NA	NA	NA	NA	NA	NA	0.138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1931	NA	1.406	NA	NA	NA	NA	NA	NA	NA	0.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1932	NA	2.884	NA	NA	NA	NA	NA	NA	NA	0.172	NA	NA	NA	NA	2.272	NA	NA	NA	NA	NA
1933	NA	5.078	NA	NA	NA	NA	NA	NA	NA	0.106	NA	NA	NA	NA	2.76	NA	NA	NA	NA	NA
1934	NA	5.274	NA	NA	NA	NA	NA	NA	NA	0.206	NA	NA	NA	NA	3.616	NA	NA	NA	NA	NA
1935	1.484	3.44	NA	NA	NA	NA	NA	NA	NA	0.292	NA	2.892	NA	NA	2.134	NA	NA	NA	NA	NA
1936	1.212	2.176	NA	NA	NA	NA	NA	NA	NA	0.492	NA	2.242	NA	NA	3.63	NA	NA	NA	NA	NA
1937	0.92	2.484	NA	NA	NA	NA	NA	NA	NA	0.584	NA	2.892	NA	NA	4.08	NA	NA	NA	NA	NA
1938	1.444	2.854	NA	NA	NA	NA	NA	NA	NA	0.314	NA	3.892	NA	NA	2.914	NA	NA	NA	NA	NA
1939	1.918	2.812	NA	NA	NA	NA	NA	NA	NA	0.56	NA	2.678	NA	NA	2.146	NA	NA	NA	NA	NA
1940	1.276	3.004	NA	NA	NA	NA	NA	NA	NA	0.65	NA	2.762	NA	NA	1.966	NA	NA	NA	NA	NA
1941	1.232	2.368	NA	NA	NA	NA	NA	NA	NA	0.612	NA	2.488	NA	NA	3.006	NA	NA	NA	NA	NA
1942	1.438	2.054	NA	NA	NA	NA	NA	NA	NA	0.526	NA	2.284	NA	NA	2.07	NA	NA	NA	NA	NA
1943	1.136	2.374	NA	NA	NA	NA	NA	NA	NA	0.614	NA	2.308	NA	NA	2.1	NA	NA	NA	NA	NA
1944	1.324	2.226	NA	NA	NA	NA	NA	NA	NA	0.422	NA	1.786	NA	NA	2.476	NA	NA	NA	NA	NA
1945	0.882	1.616	NA	NA	NA	NA	NA	NA	NA	0.63	NA	2.746	NA	NA	2.556	NA	NA	NA	NA	NA
1946	1.2	1.228	NA	NA	NA	NA	NA	NA	NA	0.714	NA	3.58	NA	NA	3.59	NA	NA	NA	NA	NA
1947	1.1	1.026	NA	NA	NA	NA	NA	NA	NA	0.418	NA	3.56	NA	NA	4.446	NA	NA	NA	NA	NA
1948	0.952	1.354	NA	NA	NA	NA	NA	NA	NA	0.656	NA	5.272	NA	NA	3.402	NA	NA	NA	NA	NA
1949	1.256	1.38	NA	NA	NA	NA	NA	NA	NA	0.66	NA	6.86	NA	NA	4.71	NA	NA	NA	NA	NA
1950	1.366	1.32	NA	NA	NA	NA	NA	NA	NA	0.858	NA	11.734	NA	NA	3.574	NA	NA	NA	NA	NA
1951	1	1.376	NA	NA	NA	NA	NA	NA	NA	0.988	NA	9.512	NA	NA	3.094	NA	NA	NA	NA	1.83
1952	0.904	1.28	NA	NA	NA	NA	NA	NA	NA	0.516	NA	8.792	NA	NA	3.88	NA	NA	NA	NA	0.972
1953	0.572	1.424	NA	NA	NA	NA	NA	NA	NA	0.91	NA	5.93	NA	NA	3.4	NA	NA	NA	NA	1.186
1954	0.732	0.876	NA	NA	NA	NA	NA	NA	NA	0.212	NA	4.39	NA	NA	1.472	NA	NA	NA	NA	0.536
1955	0.406	0.942	NA	NA	NA	NA	NA	NA	NA	0.986	NA	4.138	NA	NA	2.314	NA	NA	NA	NA	1.44
1956	0.374	1.21	NA	NA	NA	NA	NA	NA	NA	1.17	NA	4.832	NA	NA	1.982	NA	NA	NA	NA	1.25
1957	0.404	1.156	NA	NA	NA	NA	NA	NA	NA	1.442	NA	5.882	NA	NA	2.386	1.202	NA	NA	NA	1.24
1958	0.484	1.198	NA	NA	NA	NA	1.09	NA	NA	1.274	NA	4.52	NA	NA	2.118	0.734	NA	NA	NA	1.02
1959	0.256	1.12	NA	NA	0.388	NA	0.596	NA	NA	1.034	NA	3.098	NA	NA	2.164	0.994	NA	NA	NA	0.186
1960	0.246	1.006	NA	NA	0.248	NA	0.874	NA	NA	1.5	NA	3.622	NA	NA	1.92	0.564	NA	NA	NA	0.382
1961	0.312	1.294	NA	NA	0.626	NA	0.982	NA	NA	1.45	NA	5.162	NA	NA	2.256	1.388	NA	NA	NA	0.99
1962	0.266	0.83	NA	NA	0.296	NA	0.61	NA	NA	1.534	NA	3.77	NA	NA	1.392	0.504	NA	NA	NA	0.474
1963	0.414	0.804	NA	NA	0.684	0.61	0.478	NA	0.406	1.15	NA	2.846	NA	NA	1.18	0.746	NA	NA	NA	0.434
1964	0.356	0.976	NA	NA	0.53	0.724	0.788	NA	0.524	0.762	NA	3.094	NA	NA	0.968	0.456	NA	NA	NA	0.318
1965	1.36	0.912	NA	2.5	0.898	0.862	0.85	NA	0.25	1.48	NA	5.03	NA	NA	2.418	0.634	NA	NA	NA	0.596
1966	2.688	0.496	NA	1.99	0.608	0.794	0.498	NA	0.34	0.416	NA	1.994	NA	NA	0.662	0.656	1.026	NA	NA	0.182
1967	3.76	0.862	NA	2.724	0.694	2.71	1.326	NA	0.404	1.548	NA	4.988	NA	NA	1.516	2.162	1.374	NA	NA	0.774
1968	3.466	1.134	NA	2.954	0.408	1.768	0.812	3.014	2.108	2.552	NA	6.196	NA	NA	1.754	2.62	2.114	NA	NA	0.572
1969	2.012	0.924	NA	2.648	0.868	2.568	0.67	3.414	1.64	1.684	NA	7.958	NA	NA	1.276	2.15	1.65	1.712	NA	0.594
1970	1.696	1.142	NA	2.192	0.628	2.084	0.688	3.824	1.14	1.964	NA	7.162	NA	NA	1.308	2.138	3.08	3.19	NA	0.55
1971	2.094	1.002	NA	2.752	1.03	1.662	1.128	2.01	2.684	2.304	NA	8.094	NA	3.41	1.606	1.776	1.892	2.662	NA	0.748
1972	3.38	1.394	4.28	3.332	1.392	1.3	0.83	3.434	2.974	2.702	NA	8.194	NA	5.158	1.896	2.016	2.772	2.256	NA	0.842
1973	4.204	1.6	2.97	2.41	0.998	1.048	0.842	2.002	1.078	2.452	NA	6.936	1.746	3.846	1.736	2.366	1.952	2.156	NA	0.806
1974	3.534	1.196	2.91	1.932	1.088	1.992	0.86	2.198	0.798	2.896	NA	6.178	2.038	3.774	1.6	2.58	2.308	2.542	2.292	0.71
1975	3.344	1.548	2.26	1.598	1.246	1.092	0.846	1.84	1.074	2.066	NA	4.524	1.87	3.078	0.942	2.16	2.28	2.854	2.42	0.332
1976	3.332	0.994	2.288	1.538	0.852	0.842	1.046	2.066	1.126	2.166	NA	5.244	1.516	2.412	1.388	2.31	2.124	2.262	1.88	0.502
1977	1.8	0.692	1.366	1.042	0.758	0.344	0.582	0.938	0.324	0.794	NA	2.182	0.794	2.012	1.312	1.588	0.88	1.514	0.716	0.246
