# Yamaguchi - Columbia River/Grays River snags - THPL - ITRDB WA131
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5379
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5379.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa131-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa131-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa131.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa131.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Yamaguchi - Columbia River/Grays River snags - THPL - ITRDB WA131
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Columbia River/Grays River snags
#   Location: Washington
#   Northernmost_Latitude: 46.3
#   Southernmost_Latitude: 46.3
#   Easternmost_Longitude: -123.68
#   Westernmost_Longitude: -123.68
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA131
#   First_Year: 1291
#   Last_Year: 1691
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SS578_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS578; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS580_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS580; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC5821_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC5821; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CC5822_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CC5822; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS7761_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS7761; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SS7772_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SS7772; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SS578_raw	SS580_raw	CC5821_raw	CC5822_raw	SS7761_raw	SS7772_raw
1291	NA	NA	NA	NA	NA	2.95
1292	NA	NA	NA	NA	NA	3.05
1293	NA	NA	NA	NA	NA	2.9
1294	NA	NA	NA	NA	NA	3.04
1295	NA	NA	NA	NA	NA	2.73
1296	NA	NA	NA	NA	NA	3.13
1297	NA	NA	NA	NA	NA	3.17
1298	NA	NA	NA	NA	NA	2.94
1299	NA	NA	NA	NA	NA	3.3
1300	NA	NA	NA	NA	NA	2.52
1301	NA	NA	NA	NA	NA	1.98
1302	NA	NA	NA	NA	NA	1.96
1303	NA	NA	NA	NA	NA	2.76
1304	NA	NA	NA	NA	NA	1.97
1305	NA	NA	NA	NA	NA	1.85
1306	NA	NA	NA	NA	NA	1.74
1307	NA	NA	NA	NA	NA	1.4
1308	NA	NA	NA	NA	NA	1.54
1309	NA	NA	NA	NA	NA	1.74
1310	NA	NA	NA	NA	NA	1.61
1311	NA	NA	NA	NA	NA	1.57
1312	NA	NA	NA	NA	NA	1.64
1313	NA	NA	NA	NA	NA	1.6
1314	NA	NA	NA	NA	NA	1.35
1315	NA	NA	NA	NA	NA	1.31
1316	NA	NA	NA	NA	NA	1.32
1317	NA	NA	NA	NA	NA	1.47
1318	NA	NA	NA	NA	NA	1.93
1319	NA	NA	NA	NA	NA	1.5
1320	NA	NA	NA	NA	NA	1.24
1321	NA	NA	NA	NA	NA	1.16
1322	NA	NA	NA	NA	NA	1.29
1323	NA	NA	NA	NA	NA	1.26
1324	NA	NA	NA	NA	NA	1.13
1325	NA	NA	NA	NA	NA	1.16
1326	NA	NA	NA	NA	NA	1.37
1327	NA	NA	NA	NA	NA	1.29
1328	NA	NA	NA	NA	NA	1.2
1329	NA	NA	NA	NA	NA	1.42
1330	NA	NA	NA	NA	NA	1.19
1331	NA	NA	NA	NA	NA	1.23
1332	NA	NA	NA	NA	NA	1.32
1333	NA	NA	NA	NA	NA	1.43
1334	NA	NA	NA	NA	NA	1.47
1335	NA	NA	NA	NA	NA	1.88
1336	NA	NA	NA	NA	NA	1.36
1337	NA	NA	NA	NA	NA	1.21
1338	NA	NA	NA	NA	NA	0.98
1339	1.71	NA	NA	NA	NA	1.2
1340	1.81	NA	NA	NA	NA	0.77
1341	2.68	NA	NA	NA	NA	0.79
1342	2.8	NA	NA	NA	NA	1.42
1343	3.24	NA	NA	NA	NA	1.66
1344	2.13	NA	NA	NA	NA	0.66
1345	2.19	NA	NA	NA	NA	0.86
1346	2.59	NA	NA	NA	NA	1.07
1347	2.34	NA	NA	NA	NA	0.97
1348	2.66	NA	NA	NA	NA	1.12
1349	2.58	NA	NA	NA	NA	1.16
1350	2.5	NA	NA	NA	NA	1.5
1351	1.44	NA	NA	NA	NA	0.94
1352	2.35	NA	NA	NA	NA	1.28
1353	2.77	NA	NA	NA	NA	1.13
1354	2.36	NA	NA	NA	NA	1.07
1355	2.08	NA	NA	NA	NA	0.79
1356	1.77	NA	NA	NA	NA	0.93
1357	1.6	NA	NA	NA	NA	0.95
1358	1.82	NA	NA	NA	NA	1.02
1359	1.79	NA	NA	NA	NA	1.01
1360	2.35	NA	NA	NA	NA	1.07
1361	2.45	NA	NA	NA	NA	1.08
1362	2.41	NA	NA	NA	NA	0.88
1363	2.05	NA	NA	NA	NA	0.86
1364	1.85	NA	NA	NA	NA	0.96
1365	1.72	NA	NA	NA	NA	0.51
1366	1.84	NA	NA	NA	NA	0.67
1367	1.97	NA	NA	NA	NA	0.66
1368	2.06	NA	NA	NA	NA	0.68
1369	2	NA	NA	NA	NA	0.7
1370	2.13	NA	NA	NA	NA	0.81
1371	2.12	NA	NA	NA	NA	1.09
1372	2.11	NA	NA	NA	NA	1.08
1373	1.93	NA	NA	NA	NA	1.06
1374	1.71	NA	NA	NA	NA	1.02
1375	1.46	NA	NA	NA	NA	1.17
1376	1.37	NA	NA	NA	NA	1.12
1377	1.02	NA	NA	NA	NA	1.03
1378	1.28	NA	NA	NA	NA	1.13
1379	1.82	NA	NA	NA	NA	1.06
1380	1.82	NA	NA	NA	NA	0.83
1381	2.14	NA	NA	NA	NA	0.81
1382	2.06	NA	NA	NA	NA	0.86
1383	1.79	NA	NA	NA	NA	0.82
1384	1.67	NA	NA	NA	NA	0.76
1385	2.08	NA	NA	NA	NA	0.84
1386	2.3	NA	NA	NA	NA	0.85
1387	1.68	NA	NA	NA	NA	0.94
1388	2.18	NA	NA	NA	NA	0.72
1389	2.23	NA	NA	NA	NA	0.78
