# Sauchyn - Boyce Ranch A - PIPO - ITRDB MT137
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27511
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27511.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt137-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mt137-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mt137.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mt137.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-05-17
#--------------------
# File_Last_Modified_Date
#   Date: 2019-05-17
#--------------------
# Title
#   Study_Name: Sauchyn - Boyce Ranch A - PIPO - ITRDB MT137
#--------------------
# Investigators
#   Investigators: Sauchyn, D.J.; Beriault, A.; Axelson, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: Upper Missouri River Basin Streamflow project NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Boyce Ranch A
#   Location: Montana
#   Northernmost_Latitude: 48.16
#   Southernmost_Latitude: 48.16
#   Easternmost_Longitude: -109.52
#   Westernmost_Longitude: -109.52
#   Elevation_m: 1400
#--------------------
# Data_Collection
#   Collection_Name: MT137
#   First_Year: 1572
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BBC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BBC05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BBC05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BBC01A_raw	BBC01B_raw	BBC02A_raw	BBC02B_raw	BBC03A_raw	BBC03B_raw	BBC04A_raw	BBC04B_raw	BBC05A_raw
1572	NA	NA	NA	0.304	NA	NA	NA	NA	NA
1573	NA	NA	NA	1.207	NA	NA	NA	NA	NA
1574	NA	NA	NA	1.127	NA	NA	NA	NA	NA
1575	NA	NA	NA	1.291	NA	NA	NA	NA	NA
1576	NA	NA	NA	1.438	NA	NA	NA	NA	NA
1577	NA	NA	NA	0.76	NA	NA	NA	NA	NA
1578	NA	NA	NA	0.929	NA	NA	NA	NA	NA
1579	NA	NA	NA	1.15	NA	NA	NA	NA	NA
1580	NA	NA	NA	1.325	NA	NA	NA	NA	NA
1581	NA	NA	NA	0.969	NA	NA	NA	NA	NA
1582	NA	NA	NA	0.856	NA	NA	NA	NA	NA
1583	NA	NA	NA	0.492	NA	NA	NA	NA	NA
1584	NA	NA	NA	0.363	NA	NA	NA	NA	NA
1585	NA	NA	NA	0.307	NA	NA	NA	NA	NA
1586	NA	NA	NA	0.454	NA	NA	NA	NA	NA
1587	NA	NA	NA	0.608	NA	NA	NA	NA	NA
1588	NA	NA	NA	0.714	NA	NA	NA	NA	NA
1589	NA	NA	NA	0.616	NA	NA	NA	NA	NA
1590	NA	NA	NA	0.545	NA	NA	NA	NA	NA
1591	NA	NA	NA	0.54	NA	NA	NA	NA	NA
1592	NA	NA	NA	0.835	NA	NA	NA	NA	NA
1593	NA	NA	NA	0.699	NA	NA	NA	NA	NA
1594	NA	NA	NA	0.743	NA	NA	NA	NA	NA
1595	NA	NA	NA	0.753	NA	NA	NA	NA	NA
1596	NA	NA	NA	0.702	NA	NA	NA	NA	NA
1597	NA	NA	NA	1.055	NA	NA	NA	NA	NA
1598	NA	NA	NA	1.331	NA	NA	NA	NA	NA
1599	NA	NA	NA	1.732	NA	NA	NA	NA	NA
1600	NA	NA	NA	1.429	NA	NA	NA	NA	NA
1601	NA	NA	NA	1.348	NA	NA	NA	NA	NA
1602	NA	NA	NA	1.353	NA	NA	NA	NA	NA
1603	NA	NA	NA	0.821	NA	NA	NA	NA	NA
1604	NA	NA	NA	1.037	NA	NA	NA	NA	NA
1605	NA	NA	NA	1.035	NA	NA	NA	NA	NA
1606	NA	NA	NA	1.403	NA	NA	NA	NA	NA
1607	NA	NA	NA	1.322	NA	NA	NA	NA	NA
1608	NA	NA	NA	1.315	NA	NA	NA	NA	NA
1609	NA	NA	NA	0.9	NA	NA	NA	NA	NA
1610	NA	NA	NA	0.641	NA	NA	NA	NA	NA
1611	NA	NA	NA	0.562	NA	NA	NA	NA	NA
1612	NA	NA	NA	0.452	NA	NA	NA	NA	NA
1613	NA	NA	NA	0.314	NA	NA	NA	NA	NA
1614	NA	NA	NA	0.487	NA	NA	NA	NA	NA
1615	NA	NA	NA	0.461	NA	NA	NA	NA	NA
1616	NA	NA	NA	1.013	NA	NA	NA	NA	NA
1617	NA	NA	NA	0.829	NA	NA	NA	NA	NA
1618	NA	NA	NA	0.877	NA	NA	NA	NA	NA
1619	NA	NA	NA	0.583	NA	NA	NA	NA	NA
1620	NA	NA	NA	0.496	NA	NA	NA	NA	NA
1621	NA	NA	NA	1.445	NA	NA	NA	NA	NA
1622	NA	NA	NA	1.476	NA	NA	NA	NA	NA
1623	NA	NA	NA	0.98	NA	NA	NA	NA	NA
1624	NA	NA	NA	1.271	NA	NA	NA	NA	NA
1625	NA	NA	NA	0.384	NA	NA	NA	NA	NA
1626	NA	NA	NA	1.031	NA	NA	NA	NA	NA
1627	NA	NA	NA	1.519	NA	NA	NA	NA	NA
1628	NA	NA	NA	1.183	NA	NA	NA	NA	NA
1629	NA	NA	NA	2.185	NA	NA	NA	NA	NA
1630	NA	NA	NA	1.919	NA	NA	NA	NA	NA
1631	NA	NA	NA	1.268	NA	NA	NA	NA	NA
1632	NA	NA	NA	0.968	NA	NA	NA	NA	NA
1633	NA	NA	NA	0.922	NA	NA	NA	NA	NA
1634	NA	NA	NA	1.139	NA	NA	NA	NA	NA
1635	NA	NA	NA	0.693	NA	NA	NA	NA	NA
1636	NA	NA	NA	0.886	NA	NA	NA	NA	NA
1637	NA	NA	NA	0.725	NA	NA	NA	NA	NA
1638	NA	NA	NA	0.741	NA	NA	NA	NA	NA
1639	NA	NA	NA	1.011	NA	NA	NA	NA	NA
1640	NA	NA	NA	0.85	NA	NA	NA	NA	NA
1641	NA	NA	NA	1.022	NA	NA	NA	NA	NA
1642	NA	NA	NA	1.453	NA	NA	NA	NA	NA
1643	NA	NA	NA	0.477	NA	NA	NA	NA	NA
1644	NA	NA	NA	1.687	NA	NA	NA	NA	NA
1645	NA	NA	NA	0.851	NA	NA	NA	NA	NA
1646	NA	NA	NA	1.493	NA	NA	NA	NA	NA
1647	NA	NA	NA	2.377	NA	NA	NA	NA	NA
1648	NA	NA	NA	1.358	NA	NA	NA	NA	NA
1649	NA	NA	NA	0.839	NA	NA	NA	NA	NA
1650	NA	NA	NA	1.093	NA	NA	NA	NA	NA
1651	NA	NA	NA	0.888	NA	NA	NA	NA	NA
1652	NA	NA	NA	0.951	NA	NA	NA	NA	NA
1653	NA	NA	NA	2.04	NA	NA	NA	NA	NA
1654	NA	NA	NA	1.271	NA	NA	NA	NA	NA
