# Kaiser - Yakutat Situk River Valley - PCSI - ITRDB AK138
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16478
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16478.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak138-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak138-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak138.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak138.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Situk River Valley - PCSI - ITRDB AK138
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Situk River Valley
#   Location: Alaska
#   Northernmost_Latitude: 59.5592
#   Southernmost_Latitude: 59.5592
#   Easternmost_Longitude: -139.3503
#   Westernmost_Longitude: -139.3503
#   Elevation_m: 39
#--------------------
# Data_Collection
#   Collection_Name: AK138
#   First_Year: 1825
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GLDO0210_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0210; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0220_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0220; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0240_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0240; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0250_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0250; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0270_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0270; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0280_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0280; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0290_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0290; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GLDO0300_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GLDO0300; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GLDO0210_raw	GLDO0220_raw	GLDO0230_raw	GLDO0240_raw	GLDO0250_raw	GLDO0260_raw	GLDO0270_raw	GLDO0280_raw	GLDO0290_raw	GLDO0300_raw
1825	NA	NA	NA	NA	NA	NA	NA	NA	0.29	NA
1826	NA	NA	NA	NA	NA	NA	NA	NA	0.37	NA
1827	NA	NA	NA	NA	0.99	NA	NA	NA	0.29	NA
1828	NA	NA	NA	NA	1.58	NA	NA	NA	0.48	NA
1829	NA	NA	NA	NA	2.05	NA	NA	NA	0.64	NA
1830	NA	NA	NA	NA	1.19	NA	NA	NA	0.8	NA
1831	NA	NA	NA	NA	0.68	NA	NA	0.34	0.31	NA
1832	NA	NA	NA	NA	1.27	NA	NA	0.26	0.46	NA
1833	NA	NA	NA	NA	1.66	NA	NA	0.63	0.52	NA
1834	NA	NA	NA	NA	1.61	NA	NA	0.73	0.61	NA
1835	NA	NA	NA	NA	2.66	NA	NA	0.68	0.8	NA
1836	NA	NA	NA	NA	2.09	NA	NA	0.54	0.9	NA
1837	NA	NA	NA	NA	2.47	NA	NA	0.99	0.51	NA
1838	NA	NA	NA	NA	2.38	NA	NA	1.22	0.62	NA
1839	NA	NA	NA	NA	2.84	NA	NA	1.27	0.47	NA
1840	NA	NA	NA	NA	3.1	NA	NA	1.05	0.8	1.89
1841	NA	NA	NA	NA	3.62	NA	NA	1.54	0.67	1.94
1842	NA	NA	NA	NA	2.84	NA	NA	0.42	0.35	1.35
1843	NA	NA	NA	NA	2.78	NA	NA	0.3	0.47	1.72
1844	NA	NA	NA	NA	3.57	NA	NA	0.6	0.98	2.2
1845	NA	NA	NA	NA	2.5	NA	NA	0.53	1.76	1.6
1846	NA	NA	NA	NA	3.43	NA	NA	1.04	1.82	2.55
1847	NA	NA	NA	NA	2.08	NA	NA	0.73	0.92	1.99
1848	NA	NA	NA	NA	2.1	NA	NA	1.26	1.47	2.14
1849	NA	NA	NA	NA	2.36	NA	NA	1.06	1.18	1.96
1850	NA	NA	NA	NA	2.88	NA	NA	0.99	1.28	1.48
1851	NA	NA	NA	NA	3.13	NA	NA	0.74	0.78	2.29
1852	NA	NA	NA	NA	2.93	NA	NA	0.96	1	2.65
1853	NA	NA	NA	NA	2.53	NA	NA	0.73	0.77	2.27
1854	NA	NA	2.26	2.67	2.32	NA	NA	0.85	0.62	1.74
1855	NA	NA	2.55	2.87	2.33	NA	NA	0.85	0.63	2.27
1856	NA	NA	2.05	3.57	2.17	NA	NA	0.88	0.84	2.47
1857	NA	NA	1.64	3.71	2.15	NA	NA	0.82	1.12	1.96
1858	NA	NA	2.35	3.29	2.78	NA	NA	0.52	1.08	2.11
1859	NA	NA	2.42	3.96	2.63	NA	NA	0.35	1.17	1.91
1860	NA	NA	4.25	4.46	4.57	NA	NA	0.79	1.77	2.01
1861	NA	NA	4.93	5.05	5.21	NA	NA	0.53	1.21	2.02
1862	NA	NA	1.86	2.62	2.82	NA	NA	0.17	0.4	0.43
1863	NA	NA	2.5	3.67	3.06	NA	NA	0.2	0.28	0.7
1864	NA	NA	1.9	3.33	2.02	NA	1.97	0.33	0.35	1.39
1865	NA	NA	2.01	3.74	1.92	NA	1.78	0.69	0.58	2.47
1866	NA	NA	2.7	4.56	2.02	NA	1.31	1.05	0.63	2.9
1867	NA	NA	3.74	4.16	2.28	NA	1.63	0.93	0.82	2.03
1868	NA	NA	3.53	4.13	2.13	NA	1.97	1.26	1.34	2.53
1869	NA	NA	3.6	4.06	1.87	NA	2.28	1.87	2.16	3.1
1870	NA	0.88	4.38	5.58	2.06	NA	1.88	2.24	2.42	3.99
1871	NA	1.36	3.66	3.9	1.9	NA	0.69	1.33	1.44	2.38
1872	NA	1.5	5.95	5.03	2.49	NA	1.41	1.74	2.07	2.49
1873	NA	1.31	4.99	4.94	2.07	NA	0.67	1.51	2.04	2.49
1874	NA	1.23	5.26	5.18	2.24	NA	0.91	1.53	1.85	3.14
1875	NA	0.28	2.47	4.06	1.38	NA	0.79	1.48	1.67	1.64
1876	NA	0.15	1.36	2.44	0.61	NA	0.16	0.25	0.1	0.08
1877	NA	0.62	1.56	2.06	0.8	NA	0.09	0.14	0.15	0.11
1878	NA	1.19	2.2	3.05	1.72	NA	0.2	0.75	0.2	0.22
1879	NA	1.49	3.67	4	2.06	NA	0.26	1.98	0.34	0.37
1880	NA	2.06	5.41	3.01	2.4	NA	0.29	2.25	0.56	0.7
1881	NA	3.02	5.31	3.41	2.32	NA	0.51	3.19	0.99	1.56
1882	NA	3.49	4.31	3.28	2.09	0.61	0.72	2.83	1.21	2.46
1883	NA	5.98	6.25	4.99	3.31	0.73	1.79	3.76	2.16	3.5
1884	NA	4.5	6.16	5.7	3.41	1.3	1.7	4.92	3.41	4.5
1885	NA	4.65	4.63	6.06	3.06	1.05	2.36	3.71	3.55	2.89
1886	NA	3.96	3.92	5.09	2.32	1.5	2.39	3.99	4.14	3.7
1887	NA	4.74	3.72	4.5	2.01	1.17	1.66	3.46	2.55	2.7
1888	4.23	5.57	4.64	5.22	2.81	1.72	2.41	4.16	3.98	3.41
1889	3.78	5.07	4.7	3.42	2.31	1.34	1.89	3.96	4.59	3.83
1890	4.59	5.02	4.6	5.5	2.78	1.84	2.58	5.36	3.32	4.3
1891	5.83	6.51	5.23	5.78	2.87	2.49	3.62	5.12	3.56	4.9
1892	5.07	7.1	5.1	4.13	2.65	2.34	3.41	4.44	3.35	4.31
1893	2.88	5.67	4.85	4.67	2.64	2.81	3.28	4.96	4.14	4.24
