# Peterson - Lake Minotaur Low - ABLA - ITRDB WA113
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4147
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4147.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa113-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa113-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa113.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa113.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-12-09
#--------------------
# File_Last_Modified_Date
#   Date: 2002-12-09
#--------------------
# Title
#   Study_Name: Peterson - Lake Minotaur Low - ABLA - ITRDB WA113
#--------------------
# Investigators
#   Investigators: Peterson, D.W.; Peterson, D.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Lake Minotaur Low
#   Location: Washington
#   Northernmost_Latitude: 47.83
#   Southernmost_Latitude: 47.83
#   Easternmost_Longitude: -121.0
#   Westernmost_Longitude: -121.0
#   Elevation_m: 1130
#--------------------
# Data_Collection
#   Collection_Name: WA113
#   First_Year: 1865
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FLLM01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FLLM15B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FLLM15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FLLM01B_raw	FLLM03B_raw	FLLM05A_raw	FLLM09B_raw	FLLM10B_raw	FLLM11A_raw	FLLM12A_raw	FLLM14A_raw	FLLM15B_raw
1865	NA	NA	NA	NA	1.89	NA	NA	NA	NA
1866	NA	NA	NA	NA	1.98	NA	NA	NA	NA
1867	NA	NA	NA	NA	1.55	NA	NA	NA	0.43
1868	NA	NA	NA	NA	2.36	NA	NA	NA	0.81
1869	NA	NA	NA	NA	2.07	NA	NA	NA	0.65
1870	NA	NA	NA	NA	1.58	NA	NA	NA	0.35
1871	NA	NA	NA	NA	1.36	NA	NA	NA	0.68
1872	NA	NA	NA	NA	1.15	NA	NA	NA	0.99
1873	NA	NA	NA	NA	0.98	NA	NA	NA	1.04
1874	NA	NA	NA	NA	1.11	NA	NA	NA	1.95
1875	0.76	NA	NA	NA	1.43	NA	NA	NA	1.23
1876	1.28	NA	NA	NA	1.08	NA	NA	NA	0.6
1877	1.47	NA	NA	NA	1.55	NA	NA	NA	1.92
1878	1.36	NA	NA	NA	1.46	NA	NA	NA	1.5
1879	0.65	NA	NA	NA	0.58	NA	NA	NA	0.7
1880	0.45	NA	NA	NA	0.78	NA	NA	NA	0.79
1881	0.88	NA	NA	NA	1.08	NA	2.57	NA	1.35
1882	1.89	NA	NA	NA	1.3	NA	2.05	NA	2.38
1883	1.62	NA	NA	NA	1.37	NA	1.18	NA	1.4
1884	1.74	NA	NA	NA	1.66	NA	1.52	NA	1.25
1885	1.68	NA	NA	NA	1.83	NA	1.57	NA	1.03
1886	1.54	NA	NA	NA	1.65	NA	1.17	NA	0.71
1887	0.64	NA	NA	NA	1.23	NA	0.86	NA	1.31
1888	1.5	NA	NA	NA	2.13	NA	1.85	NA	2.14
1889	1.72	NA	NA	NA	2.06	NA	1.96	NA	1.54
1890	1.34	NA	NA	NA	2.27	NA	1.36	NA	0.93
1891	1.29	NA	NA	NA	2.51	NA	1.34	NA	0.79
1892	0.69	NA	NA	NA	1.62	0.55	0.73	NA	0.54
1893	0.7	NA	NA	1.24	1.43	0.59	0.62	NA	0.56
1894	0.61	NA	NA	1.4	0.99	0.36	0.74	NA	0.51
1895	1.12	NA	1.69	1.5	1.93	1.08	1.56	NA	0.75
1896	1.2	NA	1.18	1.09	1.94	1.42	0.96	NA	0.78
1897	1.36	NA	1.36	1.36	2.32	1.66	1.06	NA	0.78
1898	1.11	NA	2.08	1.37	1.91	1.33	1.43	NA	0.89
1899	1.11	NA	1.03	1.04	1.21	0.7	0.99	NA	0.81
1900	1.61	1.86	1.49	1.67	2.33	1.82	1.72	NA	1.31
1901	1.09	0.83	1.05	1.69	1.75	1.65	1.27	1.54	0.9
1902	0.94	1	1.25	1.3	1.95	1.45	1.23	1.34	0.88
1903	1.17	0.79	1.85	1.43	1.99	1.33	0.87	1.58	1.76
1904	1.35	0.96	1.9	1.74	2.24	1.58	1.13	1.69	2.02
1905	1.27	1.36	1.1	1.39	1.96	1.41	0.91	1.39	1.01
1906	1.55	1.61	0.92	1.07	2.26	2.06	1.39	1.64	1.13
1907	1.71	1.26	0.91	1.13	1.89	1.89	0.97	1.43	0.88
1908	1.59	1.43	0.95	1.22	2.21	1.87	0.98	1.21	1.02
1909	1.17	1.22	0.83	0.98	1.58	1.59	0.99	1.06	0.88
1910	1.32	1.13	0.94	1.29	1.77	2.22	1.37	1.21	0.94
1911	1.39	0.99	0.82	1.32	1.82	2.05	1.37	1.11	0.75
1912	1.57	0.85	0.97	1.14	1.57	2.21	1.21	1.03	0.71
1913	1.18	0.51	1.24	1.31	1.67	1.83	1.02	1.01	0.59
1914	1.37	1.12	1.55	1.98	2.23	1.95	1.54	1.52	0.91
1915	1.24	1.22	1.25	1.47	2.09	1.4	0.84	1.58	0.82
1916	0.9	0.53	0.99	1.23	1.18	0.95	0.63	0.89	0.45
1917	1.21	0.93	0.95	1.36	1.14	1.36	0.89	0.99	0.47
1918	1.16	1.24	0.98	1.52	1.13	1.73	0.82	1.43	0.56
1919	1.25	0.75	1.05	1.36	1.19	1.47	0.79	1.25	0.44
1920	1.31	1.1	1.31	1.67	1.71	1.57	0.99	2.14	0.6
1921	0.94	0.88	0.94	1.22	1.18	1.03	0.6	1.56	0.42
1922	1.23	0.77	1.08	1.15	1.36	1.73	0.85	1.66	0.57
1923	1.16	0.88	0.92	1.25	1.4	2.01	0.63	1.06	0.43
1924	1.36	0.84	1.14	1.18	1.77	2.71	0.75	1.7	0.78
1925	1.14	0.79	1.18	1.21	1.58	2.21	0.84	1.05	0.83
1926	1.25	0.98	1.07	1.18	1.44	1.92	0.71	1.27	0.72
1927	1.14	0.82	0.95	1.42	1.34	1.87	0.8	1.74	0.73
1928	1.18	0.7	1.17	1.44	1.34	2.6	0.96	1.92	0.81
1929	1.2	0.86	1.24	1.21	1.5	1.75	1.01	1.66	0.81
1930	1.36	0.92	1.33	1.31	1.61	1.16	0.97	1.55	0.81
1931	1.1	0.77	1.31	1.08	1.24	1.07	0.8	1.3	0.83
1932	0.98	1.02	1.35	1.08	1.09	1.14	0.92	1.48	0.74
1933	1.16	0.9	1.53	1.26	1.46	1.38	0.94	1.47	0.84
1934	1.31	1.16	1.83	1.29	1.53	3.37	0.97	2.65	1.18
1935	1.1	0.98	1.49	1.37	1.84	2.72	1	2.22	1.15
