# Kaiser - Yakutat Gravel Pit Outer Moraine - PCSI - ITRDB AK146
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16482
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16482.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak146-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak146-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak146.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak146.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Gravel Pit Outer Moraine - PCSI - ITRDB AK146
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Gravel Pit Outer Moraine
#   Location: Alaska
#   Northernmost_Latitude: 59.5353
#   Southernmost_Latitude: 59.5353
#   Easternmost_Longitude: -139.2919
#   Westernmost_Longitude: -139.2919
#   Elevation_m: 57
#--------------------
# Data_Collection
#   Collection_Name: AK146
#   First_Year: 1526
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GRAV0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0080_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0080; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRAV0120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRAV0120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GRAV0010_raw	GRAV0020_raw	GRAV0030_raw	GRAV0080_raw	GRAV0100_raw	GRAV0120_raw
1526	NA	NA	NA	NA	0.48	NA
1527	NA	NA	NA	NA	0.55	NA
1528	NA	NA	NA	NA	0.74	NA
1529	NA	NA	NA	NA	0.34	NA
1530	NA	NA	NA	NA	1.32	NA
1531	NA	NA	NA	NA	1.08	NA
1532	NA	NA	NA	NA	0.79	NA
1533	NA	NA	NA	NA	0.8	NA
1534	NA	NA	NA	NA	0.83	NA
1535	NA	NA	NA	NA	1.04	NA
1536	NA	NA	NA	NA	1.12	NA
1537	NA	NA	NA	NA	1.57	NA
1538	NA	NA	NA	NA	1.67	NA
1539	NA	NA	NA	NA	1.04	NA
1540	NA	NA	NA	NA	1.04	NA
1541	NA	NA	NA	NA	1.1	NA
1542	NA	NA	NA	NA	0.84	NA
1543	NA	NA	NA	NA	0.9	NA
1544	NA	NA	NA	NA	0.9	NA
1545	NA	NA	NA	NA	0.79	NA
1546	NA	NA	NA	NA	0.81	NA
1547	NA	NA	NA	NA	0.59	NA
1548	NA	NA	NA	NA	0.73	NA
1549	NA	NA	NA	NA	0.95	NA
1550	NA	NA	NA	NA	1.04	NA
1551	NA	NA	NA	NA	0.93	NA
1552	NA	NA	NA	NA	0.94	NA
1553	NA	NA	NA	NA	0.9	NA
1554	NA	NA	NA	NA	0.69	NA
1555	NA	NA	NA	NA	0.76	NA
1556	NA	NA	NA	NA	0.69	NA
1557	NA	NA	NA	NA	0.46	NA
1558	NA	NA	NA	NA	0.45	NA
1559	NA	NA	NA	NA	0.39	NA
1560	NA	NA	NA	NA	0.41	NA
1561	NA	NA	NA	NA	0.61	NA
1562	NA	NA	NA	NA	0.62	NA
1563	NA	NA	NA	NA	0.94	NA
1564	NA	NA	NA	NA	1.24	NA
1565	NA	NA	NA	NA	1.82	NA
1566	NA	NA	NA	NA	1.56	NA
1567	NA	NA	NA	NA	1.74	NA
1568	NA	NA	NA	NA	1.51	NA
1569	NA	NA	NA	NA	1.61	NA
1570	NA	NA	NA	NA	1.73	NA
1571	NA	NA	NA	NA	1.83	NA
1572	NA	NA	NA	NA	1.78	NA
1573	NA	NA	NA	NA	1.66	NA
1574	NA	NA	NA	NA	2.11	NA
1575	NA	NA	NA	NA	2.87	NA
1576	NA	NA	NA	NA	2.3	NA
1577	NA	NA	NA	NA	2.15	NA
1578	NA	NA	NA	NA	2.61	NA
1579	NA	NA	NA	NA	2.19	NA
1580	NA	NA	NA	NA	1.98	NA
1581	NA	NA	NA	NA	1.97	NA
1582	NA	NA	NA	NA	2.32	NA
1583	NA	NA	NA	NA	2.96	NA
1584	NA	NA	NA	NA	2.73	NA
1585	NA	NA	NA	NA	2.28	NA
1586	NA	NA	NA	NA	2.68	NA
1587	NA	NA	NA	NA	1.89	NA
1588	NA	NA	NA	NA	2.15	NA
1589	NA	NA	NA	NA	2.3	NA
1590	NA	NA	NA	NA	2.53	NA
1591	NA	NA	NA	NA	2.65	NA
1592	NA	NA	NA	NA	2.51	NA
1593	NA	NA	NA	NA	2.33	NA
1594	NA	NA	NA	NA	2.9	NA
1595	NA	NA	NA	NA	2.66	NA
1596	NA	NA	NA	NA	1.86	NA
1597	NA	NA	NA	NA	3.77	NA
1598	NA	NA	NA	NA	2.7	NA
1599	NA	NA	NA	NA	2.69	NA
1600	NA	NA	NA	NA	1.67	NA
1601	NA	NA	NA	NA	1.41	NA
1602	NA	NA	NA	NA	1.16	NA
1603	NA	NA	NA	NA	1.23	NA
1604	NA	NA	NA	NA	1.44	NA
1605	NA	NA	NA	NA	1.15	NA
1606	NA	NA	NA	NA	1.54	NA
1607	NA	NA	NA	NA	1.08	NA
1608	NA	NA	NA	NA	0.83	NA
1609	NA	NA	NA	NA	0.73	NA
1610	NA	NA	NA	NA	0.92	NA
1611	NA	NA	NA	NA	1.7	NA
1612	NA	NA	NA	NA	1.65	NA
1613	NA	NA	NA	NA	1.41	NA
1614	NA	NA	NA	NA	1.3	NA
1615	NA	NA	NA	NA	0.75	NA
1616	NA	NA	NA	NA	0.86	NA
1617	NA	NA	NA	NA	0.88	NA
1618	NA	NA	NA	NA	0.94	NA
1619	NA	NA	NA	NA	1.3	NA
1620	NA	NA	NA	NA	1.25	NA
1621	NA	NA	NA	NA	1.43	NA
1622	NA	NA	NA	NA	1.49	NA
1623	NA	NA	NA	NA	0.83	NA
1624	NA	NA	NA	NA	0.64	NA
1625	NA	NA	NA	NA	0.23	NA
1626	NA	NA	NA	NA	0.3	NA
1627	NA	NA	NA	NA	0.45	NA
1628	NA	NA	NA	NA	0.52	NA
1629	NA	NA	NA	NA	0.62	NA
