# Meko - Custer State Park - QUMA - ITRDB SD007
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3939
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3939.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd007-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd007-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd007.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd007.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Custer State Park - QUMA - ITRDB SD007
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Custer State Park
#   Location: South Dakota
#   Northernmost_Latitude: 43.75
#   Southernmost_Latitude: 43.75
#   Easternmost_Longitude: -103.38
#   Westernmost_Longitude: -103.38
#   Elevation_m: 1340
#--------------------
# Data_Collection
#   Collection_Name: SD007
#   First_Year: 1775
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CSP01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP01G_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP01G; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CSP06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CSP06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CSP01A_raw	CSP01B_raw	CSP01E_raw	CSP01F_raw	CSP01G_raw	CSP02A_raw	CSP03A_raw	CSP04A_raw	CSP05A_raw	CSP06A_raw
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82
1777	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.14
1778	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64
1779	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.83
1780	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92
1781	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.68
1782	NA	NA	NA	NA	NA	NA	NA	NA	0.8	1.46
1783	NA	NA	NA	NA	NA	NA	NA	NA	0.88	1.37
1784	NA	NA	NA	NA	NA	NA	NA	NA	0.76	1.27
1785	NA	NA	NA	NA	NA	NA	NA	NA	0.57	0.8
1786	NA	NA	NA	NA	NA	NA	NA	NA	1.11	1.76
1787	NA	NA	NA	NA	NA	NA	NA	NA	0.96	0.92
1788	NA	NA	NA	NA	NA	NA	NA	NA	1.18	1.7
1789	NA	NA	NA	NA	NA	NA	NA	NA	1.15	1.59
1790	NA	NA	NA	NA	NA	NA	NA	NA	1.63	1.43
1791	NA	NA	NA	NA	NA	NA	NA	NA	1.14	1.04
1792	NA	NA	NA	NA	NA	NA	NA	NA	1.82	1.46
1793	NA	NA	NA	NA	NA	NA	NA	NA	2.87	2.03
1794	NA	NA	NA	NA	NA	NA	1.25	NA	2.26	1.74
1795	NA	2.73	NA	NA	NA	NA	1.03	NA	1.66	1.43
1796	NA	1.94	NA	NA	NA	NA	0.92	NA	1.37	1.56
1797	NA	1.1	NA	NA	NA	NA	0.84	NA	1.43	1.22
1798	NA	0.64	NA	NA	NA	NA	0.65	NA	1.21	1.1
1799	NA	0.67	NA	NA	NA	NA	0.83	NA	1.63	1.24
1800	NA	0.56	NA	NA	NA	NA	0.52	NA	0.9	0.77
1801	NA	0.47	NA	NA	NA	NA	0.42	NA	1.23	1.37
1802	NA	0.52	NA	NA	NA	NA	0.59	NA	1.03	1.26
1803	NA	0.55	NA	NA	NA	NA	0.19	NA	1.45	1.19
1804	NA	0.83	NA	NA	NA	NA	0.46	NA	0.9	0.82
1805	NA	1.35	NA	NA	NA	NA	0.6	NA	1.15	0.8
1806	NA	1.15	NA	NA	NA	NA	0.8	NA	1.16	0.98
1807	NA	0.76	NA	NA	NA	NA	0.59	NA	0.94	0.95
1808	NA	0.52	NA	NA	NA	NA	0.49	NA	0.65	0.62
1809	NA	0.52	NA	NA	NA	NA	0.58	NA	0.53	0.43
1810	NA	0.49	NA	NA	NA	NA	0.57	NA	0.74	0.62
1811	NA	0.41	NA	NA	NA	NA	0.58	NA	0.84	0.77
1812	NA	0.4	NA	NA	NA	NA	0.53	NA	0.69	0.77
1813	NA	0.97	NA	NA	NA	NA	0.98	NA	0.93	0.88
1814	NA	0.8	NA	NA	NA	NA	0.89	NA	0.99	0.89
1815	NA	0.66	NA	NA	NA	NA	0.55	NA	0.64	0.57
1816	NA	0.58	NA	NA	NA	NA	0.81	NA	0.93	0.72
1817	NA	0.99	NA	NA	NA	NA	0.94	NA	0.79	0.58
1818	NA	0.79	NA	NA	NA	NA	0.71	NA	0.61	0.5
1819	NA	0.83	NA	NA	NA	NA	0.84	NA	0.91	0.7
1820	NA	0.57	NA	NA	NA	NA	0.43	NA	0.53	0.56
1821	NA	0.71	NA	NA	NA	NA	0.51	NA	0.79	0.61
1822	NA	0.42	NA	NA	NA	NA	0.43	NA	0.49	0.62
1823	NA	0.35	NA	NA	NA	NA	0.32	NA	0.4	0.48
1824	NA	0.34	NA	NA	NA	NA	0.32	NA	0.28	0.41
1825	NA	0.4	NA	NA	NA	NA	0.21	NA	0.28	0.52
1826	NA	0.28	NA	NA	NA	NA	0.38	NA	0.45	0.52
1827	NA	0.49	NA	NA	NA	NA	0.8	NA	0.39	0.61
1828	NA	1.03	NA	NA	NA	NA	0.76	NA	0.55	0.6
1829	NA	1.1	NA	NA	NA	NA	0.6	NA	0.49	0.62
1830	NA	1.86	NA	NA	NA	NA	1.27	NA	0.46	0.69
1831	NA	1.34	NA	NA	NA	NA	1.12	NA	0.39	0.57
1832	NA	2.39	NA	NA	NA	NA	1.36	NA	0.67	0.84
1833	NA	2.12	NA	NA	NA	NA	1.25	NA	0.65	0.77
1834	NA	1.77	NA	NA	NA	NA	1.37	NA	0.64	0.57
1835	NA	1.04	NA	NA	NA	NA	2.05	NA	0.86	1.02
1836	NA	0.86	NA	NA	NA	NA	1.69	NA	0.64	0.77
1837	NA	1.19	NA	NA	NA	NA	1.28	NA	0.64	0.63
1838	NA	1.09	NA	NA	NA	NA	1.17	NA	0.84	0.69
1839	NA	0.6	NA	NA	NA	NA	1.05	NA	0.6	0.65
1840	NA	0.82	NA	NA	NA	NA	1.48	NA	0.88	0.79
1841	NA	0.96	NA	NA	NA	NA	1.63	NA	0.61	0.78
1842	NA	0.91	NA	NA	NA	NA	0.91	NA	0.46	0.51
1843	NA	1.13	NA	NA	NA	NA	0.85	NA	0.65	0.56
1844	NA	1.57	NA	NA	NA	NA	1.51	NA	0.94	0.8
1845	NA	1.91	NA	NA	NA	NA	1.76	NA	0.72	0.75
1846	0.58	1.56	NA	NA	NA	NA	0.91	NA	0.89	0.82
1847	0.55	1.02	NA	NA	NA	NA	1.07	NA	0.9	0.82
