# Yamaguchi - Grays Harbor/Johns River snags - THPL - ITRDB WA133
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5381
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5381.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa133-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa133-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa133.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa133.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Grays Harbor/Johns River snags - THPL - ITRDB WA133
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Grays Harbor/Johns River snags
#   Location: Washington
#   Northernmost_Latitude: 46.9
#   Southernmost_Latitude: 46.9
#   Easternmost_Longitude: -124.02
#   Westernmost_Longitude: -124.02
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA133
#   First_Year: 1378
#   Last_Year: 1685
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## JR560_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR560; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR5611_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR5611; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR5612_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR5612; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## JR566_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: JR566; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	JR560_raw	JR5611_raw	JR5612_raw	JR566_raw
1378	2.65	NA	NA	NA
1379	2.35	NA	NA	NA
1380	1.94	NA	NA	NA
1381	1.83	NA	NA	NA
1382	2.06	NA	NA	NA
1383	1.82	NA	NA	NA
1384	2.39	NA	NA	NA
1385	2.25	NA	NA	NA
1386	1.64	NA	NA	NA
1387	1.23	NA	NA	NA
1388	1.45	NA	NA	NA
1389	1.3	NA	NA	NA
1390	1.48	NA	NA	NA
1391	1.36	NA	NA	NA
1392	2	NA	NA	NA
1393	2.03	NA	NA	NA
1394	1.53	NA	NA	NA
1395	1.68	NA	NA	NA
1396	1.45	NA	NA	NA
1397	1.4	NA	NA	NA
1398	1.72	NA	NA	NA
1399	1.57	NA	NA	NA
1400	2.17	NA	NA	NA
1401	1.43	NA	NA	NA
1402	1.41	NA	NA	NA
1403	1.07	NA	NA	NA
1404	1.57	NA	NA	NA
1405	1.43	NA	NA	NA
1406	1.56	NA	NA	NA
1407	1.45	NA	NA	NA
1408	1.06	NA	NA	NA
1409	1.48	NA	NA	NA
1410	1.58	NA	NA	NA
1411	1.08	NA	NA	NA
1412	1.72	NA	NA	NA
1413	1.6	NA	3.93	NA
1414	1.4	NA	3.96	NA
1415	1.54	NA	3.52	NA
1416	1.19	NA	2.57	NA
1417	1.07	NA	2.27	NA
1418	0.96	NA	2.13	NA
1419	1.35	NA	3.41	NA
1420	0.77	NA	4.29	NA
1421	1.09	NA	4.01	NA
1422	1.02	NA	3.05	NA
1423	1.25	NA	3.97	NA
1424	1.34	NA	3.96	NA
1425	1.31	NA	3.32	NA
1426	1.34	NA	2.7	NA
1427	1.33	NA	2.76	NA
1428	1.51	NA	3.18	NA
1429	2.28	NA	3.74	NA
1430	3	NA	4.07	NA
1431	2.2	3.36	4.07	NA
1432	2.3	2.45	4.11	NA
1433	2.59	1.97	3.22	NA
1434	2.35	2.4	3.72	NA
1435	2.29	3.76	4.57	NA
1436	3.04	2.43	4.3	NA
1437	2.02	2.23	4.64	NA
1438	2.33	2.39	4.54	NA
1439	1.89	2.02	4.26	NA
1440	2.5	2.52	4.83	NA
1441	2.27	6.36	5.59	NA
1442	3.41	7	5.93	NA
1443	2.56	6.23	5.32	NA
1444	2.52	4.72	4.63	NA
1445	3.54	6.79	7.26	NA
1446	2.38	4.23	4.04	NA
1447	1.25	5.54	3.83	NA
1448	1.84	4.63	3.36	NA
1449	1.71	5.77	4.08	NA
1450	1.92	3.79	3.36	NA
1451	2.28	4.29	3.24	NA
1452	3.27	5.1	3.17	NA
1453	2.71	4.81	2.96	NA
1454	2.87	3.17	2.28	NA
1455	2.19	3.21	2.48	NA
1456	1.94	2.74	3.11	NA
1457	2.58	2.64	3.46	1.99
1458	2.86	3.18	2.36	2.22
1459	1.98	3.53	3.07	2.19
1460	2.16	3.39	2.53	2.64
1461	1.52	2.55	1.98	2.36
1462	2.02	2.21	2.15	2.53
1463	2.33	3.38	3.37	2.63
1464	2.23	2.64	2.83	2.38
1465	1.89	2.35	2.48	2.73
1466	1.34	1.01	1.56	1.97
1467	1.65	2.08	1.99	4.44
1468	1.69	3.56	3.07	4.65
1469	1.44	2.61	2.56	4.23
1470	1.85	3.2	3.03	3.43
1471	1.78	2.22	2.43	3.22
1472	2.11	2.07	2.63	2.79
1473	1.69	2.19	2.97	3.09
1474	1.72	1.95	3.34	2.73
1475	1.49	2.04	3.04	3.68
1476	1.96	1.96	3.48	4.32
1477	2.11	2.26	3.56	4.1
1478	1.69	1.23	2.27	2.83
1479	1.72	1.07	1.72	2.6
1480	1.83	2.12	3.25	2.78
1481	1.99	1.48	3.03	3.11
1482	1.7	1.83	3.38	3.55
1483	2.12	1.99	2.77	3.67
1484	1.94	1.67	2.08	3.13
1485	1.74	2.1	2.16	2.02
1486	1.59	1.76	1.83	1.8
1487	1.45	1.39	1.65	1.8
1488	1.05	1.26	2.73	1.93
1489	1.03	1.55	2.56	1.83
1490	1.2	2.05	2.43	2.01
1491	1.18	1.54	2.85	2.58
1492	1.14	1.3	1.82	3.35
1493	1.21	1.51	1.15	3.1
1494	1.52	2.43	1.32	3.13
