# Bigler - Cameron Pass - PICO - ITRDB CO634
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5503
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5503.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co634-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co634-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co634.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co634.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2007-08-02
#--------------------
# Title
#   Study_Name: Bigler - Cameron Pass - PICO - ITRDB CO634
#--------------------
# Investigators
#   Investigators: Bigler, C.; Veblen, T.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cameron Pass
#   Location: Colorado
#   Northernmost_Latitude: 40.55
#   Southernmost_Latitude: 40.55
#   Easternmost_Longitude: -105.83
#   Westernmost_Longitude: -105.83
#   Elevation_m: 3100
#--------------------
# Data_Collection
#   Collection_Name: CO634
#   First_Year: 1747
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus contorta Douglas ex Loudon
#   Common_Name: lodgepole pine
#   Tree_Species_Code: PICO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## C043216_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043216; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043234_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043234; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043408_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043408; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044204_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044204; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044230_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044230; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044236_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044236; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044244_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044244; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	C043216_raw	C043234_raw	C043408_raw	C044204_raw	C044222_raw	C044230_raw	C044236_raw	C044244_raw
1747	NA	NA	NA	NA	NA	NA	0.192	NA
1748	NA	NA	NA	NA	NA	NA	0.198	NA
1749	NA	NA	NA	NA	NA	NA	0.28	NA
1750	NA	NA	NA	NA	NA	NA	0.288	NA
1751	NA	NA	NA	NA	NA	NA	0.285	NA
1752	NA	NA	NA	NA	NA	NA	0.24	NA
1753	NA	NA	NA	NA	NA	NA	0.258	NA
1754	NA	NA	NA	NA	NA	NA	0.243	NA
1755	NA	NA	NA	NA	NA	NA	0.286	NA
1756	NA	NA	NA	NA	NA	NA	0.251	NA
1757	NA	NA	NA	NA	NA	NA	0.276	NA
1758	NA	NA	NA	NA	NA	NA	0.185	NA
1759	NA	NA	NA	NA	NA	NA	0.223	NA
1760	NA	0.086	NA	NA	NA	NA	0.183	NA
1761	NA	0.088	NA	NA	0.179	0.079	0.14	NA
1762	NA	0.099	NA	NA	0.187	0.143	0.188	NA
1763	NA	0.09	NA	NA	0.158	0.173	0.191	0.173
1764	NA	0.084	NA	NA	0.129	0.133	0.179	0.151
1765	NA	0.065	NA	0.179	0.102	0.139	0.164	0.145
1766	NA	0.066	0.11	0.178	0.173	0.222	0.218	0.134
1767	NA	0.057	0.067	0.184	0.178	0.207	0.196	0.107
1768	NA	0.078	0.086	0.176	0.148	0.214	0.16	0.091
1769	NA	0.071	0.095	0.141	0.146	0.135	0.137	0.127
1770	NA	0.055	0.028	0.162	0.14	0.13	0.19	0.096
1771	NA	0.072	0.075	0.19	0.19	0.178	0.195	0.094
1772	NA	0.087	0.071	0.139	0.174	0.184	0.088	0.125
1773	NA	0.092	0.092	0.179	0.122	0.181	0.155	0.118
1774	NA	0.111	0.094	0.196	0.161	0.205	0.159	0.086
1775	NA	0.082	0.086	0.169	0.158	0.185	0.127	0.069
1776	NA	0.089	0.061	0.187	0.124	0.149	0.114	0.072
1777	NA	0.088	0.059	0.214	0.12	0.158	0.097	0.081
1778	NA	0.096	0.09	0.272	0.131	0.177	0.108	0.113
1779	NA	0.088	0.059	0.221	0.113	0.148	0.112	0.15
1780	NA	0.064	0.118	0.177	0.12	0.148	0.123	0.144
1781	NA	0.08	0.086	0.212	0.136	0.147	0.113	0.157
1782	NA	0.082	0.064	0.17	0.111	0.125	0.092	0.097
1783	NA	0.078	0.079	0.19	0.126	0.124	0.133	0.094
1784	NA	0.079	0.077	0.234	0.144	0.157	0.11	0.123
1785	NA	0.075	0.079	0.203	0.115	0.156	0.099	0.093
1786	NA	0.076	0.083	0.142	0.083	0.1	0.085	0.098
1787	NA	0.09	0.083	0.22	0.11	0.112	0.085	0.11
1788	NA	0.083	0.075	0.203	0.108	0.094	0.092	0.1
1789	NA	0.077	0.068	0.202	0.124	0.115	0.097	0.101
1790	NA	0.086	0.064	0.222	0.108	0.104	0.076	0.108
1791	NA	0.077	0.035	0.172	0.09	0.068	0.058	0.096
1792	NA	0.092	0.119	0.216	0.126	0.129	0.073	0.104
1793	NA	0.071	0.068	0.165	0.096	0.093	0.051	0.076
1794	NA	0.086	0.099	0.205	0.108	0.13	0.044	0.098
1795	0.041	0.077	0.106	0.159	0.118	0.137	0.048	0.083
1796	0.029	0.083	0.08	0.134	0.101	0.08	0.048	0.061
1797	0.034	0.092	0.086	0.138	0.111	0.094	0.06	0.067
1798	0.042	0.085	0.091	0.159	0.09	0.071	0.056	0.06
1799	0.043	0.097	0.107	0.139	0.092	0.088	0.056	0.05
1800	0.032	0.07	0.094	0.154	0.093	0.074	0.048	0.06
1801	0.04	0.076	0.1	0.177	0.095	0.104	0.054	0.074
1802	0.047	0.066	0.093	0.181	0.09	0.084	0.071	0.048
1803	0.058	0.065	0.099	0.157	0.072	0.069	0.077	0.05
1804	0.038	0.059	0.095	0.103	0.067	0.058	0.041	0.052
1805	0.043	0.062	0.111	0.13	0.063	0.069	0.047	0.052
1806	0.043	0.048	0.05	0.107	0.069	0.061	0.036	0.05
1807	0.061	0.064	0.11	0.14	0.063	0.062	0.049	0.054
1808	0.045	0.065	0.124	0.098	0.06	0.053	0.034	0.055
1809	0.055	0.062	0.126	0.076	0.067	0.061	0.038	0.064
1810	0.054	0.062	0.122	0.085	0.063	0.057	0.036	0.06
1811	0.057	0.061	0.115	0.081	0.051	0.047	0.034	0.052
1812	0.049	0.071	0.138	0.108	0.059	0.061	0.036	0.074
1813	0.044	0.065	0.103	0.127	0.055	0.056	0.034	0.073
1814	0.051	0.064	0.092	0.125	0.043	0.059	0.023	0.055
1815	0.059	0.071	0.092	0.128	0.042	0.051	0.027	0.057
1816	0.065	0.082	0.089	0.121	0.055	0.055	0.032	0.059
1817	0.067	0.081	0.117	0.145	0.057	0.051	0.031	0.07
1818	0.051	0.075	0.092	0.142	0.051	0.056	0.029	0.053
