# King - Little Baldy Sequoia National Park - ABCO - ITRDB CA564
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3708
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3708.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca564-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca564-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca564.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca564.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: King - Little Baldy Sequoia National Park - ABCO - ITRDB CA564
#--------------------
# Investigators
#   Investigators: King, J.C.; Graumlich, L.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Little Baldy Sequoia National Park
#   Location: California
#   Northernmost_Latitude: 36.62
#   Southernmost_Latitude: 36.62
#   Easternmost_Longitude: -118.8
#   Westernmost_Longitude: -118.8
#   Elevation_m: 2394
#--------------------
# Data_Collection
#   Collection_Name: CA564
#   First_Year: 1880
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies concolor (Gordon) Lindl. ex Hildebr.
#   Common_Name: white fir
#   Tree_Species_Code: ABCO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BWF06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BWF06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BWF07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BWF07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BWF08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BWF08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BWF08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BWF06A_raw	BWF06B_raw	BWF07A_raw	BWF07B_raw	BWF08A_raw	BWF08B_raw
1880	2.18	NA	1.43	1.04	2.14	2.14
1881	3.83	NA	1.88	1.27	3.08	2.72
1882	2.94	NA	1.15	0.93	1.35	1.01
1883	2.89	4.1	1.09	0.99	1.79	1.58
1884	2.43	3.6	1.44	1.16	1.96	2.18
1885	2.51	4.23	1.86	1.31	2.75	3.13
1886	2.13	3.84	1.38	0.98	2.15	2.08
1887	2.32	4.42	1.38	1.14	2.89	2.56
1888	2.37	4.34	1.04	0.93	2.28	2.19
1889	2.4	3.35	1.01	1.04	1.96	1.36
1890	2.85	3.48	1.06	1	1.62	0.91
1891	3.11	4.43	1.4	0.94	2.15	1.03
1892	2.71	3.6	1.25	0.94	1.01	0.92
1893	2.92	3.58	1.15	1.04	1.88	1.13
1894	3.49	3.9	1.2	1.02	2.66	1.39
1895	3.74	3.79	1.08	1.09	2.76	1.59
1896	2.81	3.03	1.38	1.07	2.58	1.84
1897	3.63	4.43	1.65	1.48	3.12	2.06
1898	2.94	3.72	1.46	1.43	2.22	1.91
1899	2.67	2.34	0.92	1.17	1.57	1.23
1900	3.13	2.61	1.19	1.19	2.2	1.35
1901	3.54	3.37	1.04	1.11	2.48	1.59
1902	2.43	2.85	0.95	1.3	2.03	1.48
1903	3.13	3.52	1.13	1.54	1.97	1.62
1904	2.91	3.53	0.94	1.22	1.85	1.47
1905	2.37	3.94	0.89	0.96	2.27	1.64
1906	3.09	5.12	1.33	1.28	2	2.15
1907	2.95	4.45	1.27	1.43	2.28	1.89
1908	2.8	3.52	1.05	1.35	2.2	1.6
1909	2.96	3.37	0.97	1.17	1.96	1.48
1910	2.92	3.66	1.02	1.26	2.32	1.79
1911	2.33	3.08	0.72	0.75	1.84	1.18
1912	2.21	2.72	0.65	0.95	1.34	1.08
1913	2.72	3.39	0.9	1.05	1.68	1.42
1914	2.73	3.03	1.05	1.12	1.95	1.62
1915	2.6	2.49	0.9	0.78	1.52	1.37
1916	1.9	1.97	0.96	0.94	1.91	1.82
1917	1.3	1.16	0.66	0.83	1.32	1.08
1918	1.05	1.07	0.62	0.84	0.71	0.71
1919	1.47	1.86	0.56	0.57	1.33	1.29
1920	1.61	1.93	0.62	0.69	0.91	1.07
1921	1.84	2.19	0.6	0.78	1.05	1.49
1922	2.16	2.28	0.64	0.76	1.01	1.15
1923	2.35	2.14	0.75	0.88	1.36	1.61
1924	1.67	1.46	0.5	0.85	1.17	1.3
1925	2.03	2.21	0.69	0.64	1.28	1.47
1926	2.14	2.57	0.62	0.77	1.76	1.78
1927	1.78	2.29	0.58	0.72	1.85	1.44
1928	1.83	2.6	0.3	0.67	2.18	1.56
1929	1.96	2.53	0.33	0.7	2.65	1.45
1930	1.38	1.91	0.2	0.61	1.92	1.28
1931	2.25	3.19	0.25	0.66	2.97	2.29
1932	2.28	2.77	0.21	0.6	2.42	1.59
1933	1.85	2.01	0.25	0.68	1.93	1.39
1934	2.21	2.85	0.31	0.68	2.7	2.49
1935	2.32	2.92	0.28	0.59	2.74	2.39
1936	3.32	3.79	0.38	0.82	3.52	2.91
1937	1.38	3.06	0.3	0.67	2.38	1.91
1938	3.01	2.77	0.24	0.71	2.51	2.06
1939	3.01	1.82	0.2	0.65	2.84	2.13
1940	2.05	1.6	0.22	0.65	1.56	1.02
1941	2.15	1.86	0.28	0.58	1.8	1.27
1942	2.2	1.59	0.3	0.6	2.3	1.4
1943	2.8	2.07	0.32	0.76	2.23	1.85
1944	2.09	1.83	0.35	0.71	0.97	0.93
1945	1.69	1.58	0.35	0.69	0.87	0.69
1946	1.5	2.56	0.3	0.59	1.1	0.83
1947	1.66	2.31	0.44	0.78	0.75	1.1
1948	0.93	1.56	0.26	0.54	0.56	0.76
1949	0.87	1.57	0.25	0.43	0.72	0.5
1950	1.21	2.56	0.37	0.51	0.96	0.75
1951	1.16	2.22	0.26	0.53	0.65	0.69
1952	1.03	3.31	0.29	0.61	0.87	0.79
1953	1.09	3.11	0.31	0.56	0.98	0.88
1954	1.64	4.36	0.32	0.58	1.4	1.25
1955	1.16	3.22	0.32	0.44	0.55	0.95
1956	1.18	3.17	0.31	0.47	0.93	0.95
1957	0.89	2.62	0.33	0.47	1.09	1.04
1958	1.22	3.9	0.35	0.46	1.33	1.21
1959	1.12	3.02	0.31	0.61	0.99	1.01
1960	0.91	2.44	0.28	0.56	0.87	0.75
1961	0.98	3.04	0.27	0.47	0.7	0.89
1962	0.7	3.21	0.13	0.35	0.58	0.75
1963	0.93	3.11	0.18	0.45	1.01	0.98
1964	1.36	3.2	0.31	0.44	1.24	1.16
