# de Graauw - The Barracks Addition - QUAL - ITRDB WV016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28232
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28232.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv016-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wv016-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv016.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wv016.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-10-30
#--------------------
# File_Last_Modified_Date
#   Date: 2019-10-30
#--------------------
# Title
#   Study_Name: de Graauw - The Barracks Addition - QUAL - ITRDB WV016
#--------------------
# Investigators
#   Investigators: de Graauw, K.K.; Hessl, A.E.(https://orcid.org/0000-0002-2279-6260)
#--------------------
# Description_Notes_and_Keywords
#   Description: Chronology derived from log building (The Barracks Addition; BAR2). NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: Kristen K. de Graauw and Amy E. Hessl
#   Journal_Name: Journal of Biogeography
#   Published_Title: Do historic log buildings provide evidence of reforestation following depopulation of Indigenous Peoples?
#   Published_Date_or_Year: 2020
#   Volume: 47
#   Pages: 630-642
#   Issue: 
#   Report_Number: 
#   DOI: 10.1111/jbi.13769
#   Full_Citation: None
#   Abstract: None
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: The Barracks Addition
#   Location: West Virginia
#   Northernmost_Latitude: 37.8
#   Southernmost_Latitude: 37.8
#   Easternmost_Longitude: -80.44
#   Westernmost_Longitude: -80.44
#   Elevation_m: 628
#--------------------
# Data_Collection
#   Collection_Name: WV016
#   First_Year: 1698
#   Last_Year: 1877
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAR202A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR202A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAE101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAE101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAE102A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAE102A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAE104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAE104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAE106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAE106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR105B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR105B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR204A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR204A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR205A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR205A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR107A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR107A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAE107A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAE107A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAR206A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAR206A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAR202A_raw	BAE101A_raw	BAE102A_raw	BAE104A_raw	BAE106A_raw	BAR105B_raw	BAR103A_raw	BAR204A_raw	BAR205A_raw	BAR107A_raw	BAR106A_raw	BAE107A_raw	BAR206A_raw
1698	NA	NA	NA	NA	1.374	NA	NA	NA	NA	NA	NA	NA	NA
1699	NA	NA	NA	NA	1.634	NA	NA	NA	NA	NA	NA	NA	NA
1700	NA	NA	NA	NA	1.316	NA	NA	NA	NA	NA	NA	NA	NA
1701	NA	NA	NA	NA	0.883	NA	NA	NA	NA	NA	NA	NA	NA
1702	NA	NA	NA	NA	1.093	NA	NA	NA	NA	NA	NA	NA	NA
1703	NA	NA	NA	NA	0.779	NA	NA	NA	NA	NA	NA	NA	NA
1704	NA	NA	NA	NA	1.259	NA	NA	NA	NA	NA	NA	NA	NA
1705	NA	NA	NA	NA	1.327	NA	NA	NA	NA	NA	NA	NA	NA
1706	NA	NA	NA	NA	1.103	NA	NA	NA	NA	NA	NA	NA	NA
1707	NA	NA	NA	NA	0.978	NA	NA	NA	NA	NA	NA	1.09	NA
1708	NA	NA	NA	NA	0.749	1.124	NA	NA	NA	NA	NA	0.602	NA
1709	NA	NA	NA	NA	1.001	1.582	NA	NA	NA	NA	NA	0.651	NA
1710	NA	NA	NA	NA	1.13	1.847	NA	NA	NA	NA	NA	1.816	NA
1711	NA	NA	NA	NA	0.977	1.384	NA	NA	NA	NA	NA	1.322	NA
1712	NA	NA	NA	NA	1.034	1.712	NA	NA	NA	NA	NA	0.902	NA
1713	NA	NA	NA	NA	0.795	1.372	NA	NA	0.941	NA	NA	0.661	NA
1714	NA	NA	NA	NA	0.717	0.921	NA	NA	1.041	NA	NA	0.668	NA
1715	NA	NA	NA	NA	0.71	0.969	NA	NA	0.904	NA	NA	0.54	NA
1716	NA	NA	NA	NA	0.962	1.233	NA	NA	1.146	NA	NA	0.966	NA
1717	NA	NA	NA	NA	1.097	1.036	NA	NA	1.114	NA	NA	0.843	NA
1718	NA	NA	NA	NA	0.553	0.845	NA	NA	1.091	NA	NA	0.62	NA
1719	NA	NA	NA	NA	0.607	1.132	NA	NA	0.781	NA	NA	0.658	NA
1720	NA	NA	NA	NA	0.77	0.863	NA	NA	1.052	NA	NA	0.682	NA
1721	NA	NA	NA	NA	0.855	0.746	NA	NA	0.809	NA	NA	1.204	NA
1722	NA	NA	NA	NA	0.785	1.019	NA	NA	0.781	NA	NA	1.017	NA
1723	NA	NA	NA	NA	0.634	1.305	NA	NA	0.851	NA	NA	0.856	NA
1724	NA	NA	NA	NA	0.614	0.781	NA	NA	0.706	NA	NA	0.878	NA
1725	NA	NA	NA	NA	0.925	1.396	NA	NA	0.795	NA	NA	1.236	NA
1726	NA	NA	NA	NA	0.725	1.015	NA	NA	0.799	NA	NA	0.826	NA
1727	NA	NA	NA	NA	0.726	1.088	NA	NA	1.001	NA	NA	0.844	NA
1728	NA	1.199	NA	NA	0.771	0.919	NA	NA	1.017	NA	NA	1.022	NA
1729	NA	0.846	NA	NA	0.404	1.005	1.356	NA	0.881	NA	NA	0.879	NA
1730	NA	1.166	NA	NA	0.561	0.921	1.281	NA	0.866	NA	NA	1.041	NA
1731	NA	1.128	NA	NA	0.913	0.923	1.36	NA	0.774	NA	NA	1.003	1.283
1732	NA	1.047	1.161	NA	0.706	0.738	1.005	NA	0.664	NA	NA	1.124	0.751
1733	NA	1.13	1.097	NA	0.545	0.839	0.855	NA	0.703	NA	NA	0.911	0.95
1734	NA	0.991	1.046	NA	0.659	0.766	0.937	NA	0.63	NA	NA	1.023	0.87
1735	NA	0.982	1.24	NA	0.945	1.01	0.859	NA	0.679	NA	NA	0.565	1.14
1736	NA	1.232	1.228	NA	0.753	0.834	0.871	NA	0.661	NA	NA	1.036	0.768
1737	NA	0.806	1.088	NA	0.621	0.765	0.657	NA	0.592	NA	NA	0.743	0.545
1738	NA	0.663	0.969	NA	0.578	0.664	0.665	NA	0.609	NA	NA	0.942	0.516
1739	NA	0.899	1.011	NA	0.686	0.955	0.684	NA	0.717	NA	NA	0.979	0.782
1740	NA	0.726	0.892	NA	0.475	0.811	0.813	NA	0.662	NA	NA	0.647	0.535
1741	NA	0.469	0.618	NA	0.387	0.549	0.429	NA	0.516	NA	NA	0.568	0.272
1742	NA	1.156	1.154	NA	0.825	0.567	0.689	NA	0.612	NA	NA	1.066	0.615
1743	NA	0.787	0.883	NA	0.525	0.627	0.75	NA	0.606	NA	NA	0.716	0.415
1744	NA	0.801	1.036	NA	0.669	0.565	0.727	NA	0.771	NA	NA	0.732	0.521
1745	NA	1.009	1.066	NA	0.772	0.727	0.801	NA	0.704	NA	NA	0.794	0.834
1746	NA	0.913	0.863	NA	0.511	0.584	0.757	NA	0.708	NA	NA	0.66	0.538
1747	NA	0.99	1.014	NA	0.646	0.672	0.738	NA	0.704	NA	NA	0.583	0.692
1748	NA	0.689	0.767	NA	0.481	0.431	0.672	NA	0.58	NA	NA	0.391	0.462
1749	1.296	1.046	1.06	NA	0.455	0.702	0.631	NA	0.461	NA	NA	0.695	0.527
1750	1.285	1.019	0.852	NA	0.667	0.682	0.664	NA	0.688	NA	NA	0.658	0.369
1751	1.417	0.74	0.769	NA	0.618	0.744	0.61	NA	0.584	NA	NA	0.71	0.431
1752	0.992	0.559	0.769	NA	0.467	0.504	0.554	NA	0.645	NA	NA	0.486	0.479
1753	0.992	0.858	0.947	NA	0.625	0.549	0.488	NA	0.584	NA	NA	0.611	0.464
1754	1.57	0.78	1.09	NA	0.517	0.679	0.571	NA	0.539	NA	NA	0.808	0.554
1755	1.022	0.484	0.695	NA	0.436	0.509	0.397	NA	0.437	NA	NA	0.367	0.375
1756	0.872	0.425	0.752	NA	0.299	0.556	0.468	NA	0.28	NA	NA	0.335	0.449
1757	0.676	0.44	1.024	NA	0.459	0.432	0.304	NA	0.479	NA	NA	0.218	0.705
1758	0.82	0.617	1.097	NA	0.327	0.652	0.398	NA	0.6	NA	NA	0.363	0.964
1759	0.654	0.805	0.892	NA	0.306	0.439	0.424	NA	0.476	0.318	NA	0.348	0.663
1760	0.9	0.911	1.158	NA	0.559	0.729	0.471	1.346	0.752	0.512	NA	0.598	0.855
