# Wager - Mill D South - PSME - ITRDB UT575
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37971
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37971.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut575-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ut575.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ut575.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-04-17
#--------------------
# File_Last_Modified_Date
#   Date: 2023-04-17
#--------------------
# Title
#   Study_Name: Wager - Mill D South - PSME - ITRDB UT575
#--------------------
# Investigators
#   Investigators: Wager, David J.; DeRose, R. Justin; Jess, Ryan
#--------------------
# Description_Notes_and_Keywords
#   Description: nan
#--------------------
# Publication
#   Authors: Wager, David J; F A Baker
#   Published_Date_or_Year: 2003
#   Published_Title: Potential effects of ozone, climate, and spruce budworm on Douglas-fir growth in the Wasatch Mountains
#   Journal_Name: Can. J. For. Res.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1139/x02-211
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mill D South
#   Location: Utah
#   Northernmost_Latitude: 40.68
#   Southernmost_Latitude: 40.68
#   Easternmost_Longitude: -111.65
#   Westernmost_Longitude: -111.65
#   Elevation_m: 2300
#--------------------
# Data_Collection
#   Collection_Name: UT575
#   First_Year: 1873
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MDS-02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MCS-03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MCS-03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MDS-07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MDS-07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MDS-02A_raw	MDS-02B_raw	MCS-03A_raw	MDS-03B_raw	MDS-04A_raw	MDS-04B_raw	MDS-06A_raw	MDS-06B_raw	MDS-07A_raw	MDS-07B_raw
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.748
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.208
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.247
1876	NA	NA	NA	NA	NA	NA	2.062	NA	NA	3.818
1877	NA	NA	NA	1.899	2.377	NA	1.767	NA	NA	2.777
1878	NA	NA	NA	2.491	1.581	NA	1.712	NA	NA	1.466
1879	NA	NA	NA	3.35	2.181	NA	2.09	NA	NA	2.575
1880	NA	NA	NA	2.596	1.321	NA	1.572	NA	NA	1.745
1881	NA	NA	NA	5.472	2.567	NA	1.731	NA	NA	3.625
1882	NA	NA	NA	4.491	2.04	2.385	2.19	NA	NA	2.946
1883	NA	NA	NA	2.992	1.446	1.713	2.202	NA	NA	2.79
1884	NA	NA	NA	3.184	1.505	1.652	1.779	NA	NA	2.867
1885	NA	NA	NA	3.083	1.945	1.611	2.056	NA	NA	2.982
1886	NA	NA	3.694	2.984	1.64	1.781	2.291	NA	NA	2.278
1887	NA	NA	3.986	3.222	1.219	1.496	2.698	NA	NA	2.74
1888	NA	NA	4.238	3.094	1.91	2.274	2.772	NA	NA	3.902
1889	NA	NA	3.241	2.667	1.911	2.258	2.755	NA	NA	3.353
1890	NA	NA	2.665	2.505	1.468	2.069	2.245	NA	NA	3.072
1891	NA	NA	3.355	2.668	1.467	2.87	2.555	NA	NA	2.792
1892	NA	NA	4.276	3.26	1.881	2.886	3.039	NA	NA	2.948
1893	NA	NA	3.702	2.909	1.462	1.786	2.959	NA	NA	2.47
1894	NA	NA	5.534	3.835	3.199	3.463	4.08	NA	NA	3.071
1895	NA	NA	4.251	2.899	2.192	2.176	3.305	NA	3.777	2.364
1896	NA	NA	3.718	2.766	1.923	1.746	2.077	NA	3.411	1.815
1897	NA	NA	4.715	3.59	2.941	2.729	2.637	NA	3.877	2.292
1898	NA	NA	3.135	2.919	2.072	2.184	2.985	NA	2.731	2.074
1899	NA	NA	2.541	2.155	0.966	1.992	2.152	NA	2.524	1.907
1900	NA	NA	2.644	2.639	1.645	2.711	2.705	NA	3.153	2.412
1901	NA	NA	1.967	1.745	2.159	2.042	2.301	NA	2.749	1.746
1902	NA	NA	2.002	1.85	2.318	1.984	1.905	NA	2.881	1.83
1903	NA	NA	2.303	1.935	2.593	2.155	2.564	NA	2.685	1.718
1904	NA	NA	2.535	1.848	2.924	2.123	2.736	3.977	3.207	1.913
1905	1.397	NA	2.618	1.924	3.161	2.182	2.92	3.903	3.712	2.562
1906	1.82	NA	3.074	2.301	2.497	2.103	2.944	3.441	2.877	2.744
1907	2.455	NA	3.75	2.347	3.144	2.772	2.968	4.437	3.897	3.1
1908	1.323	NA	3.29	1.891	2.839	2.595	3.415	4.207	2.992	2.848
1909	1.085	NA	3.31	2.201	2.778	2.783	2.829	3.996	3.702	2.635
1910	1.169	NA	2.902	1.941	2.341	2.725	2.669	3.304	2.895	2.05
1911	2.136	NA	2.791	1.632	2.243	2.559	2.459	3.218	2.953	2.095
1912	1.421	NA	2.493	1.372	2.488	2.287	2.225	2.717	2.16	1.562
1913	2.025	NA	2.766	1.863	3.063	2.877	2.298	3.231	2.241	1.449
1914	2.3	NA	3.624	3.168	3.636	3.108	2.722	3.551	3.07	2.381
1915	1.867	NA	2.394	2.845	3.148	2.881	2.338	3.147	2.581	1.989
1916	1.319	NA	2.058	2.323	2.431	2.318	1.96	2.541	2.304	1.38
1917	1.468	NA	1.838	3.024	2.175	2.102	2.293	2.701	2.355	1.289
1918	1.353	NA	1.389	2.533	2.505	1.864	1.698	2.187	2.44	1.401
1919	1.921	NA	1.815	2.414	3.023	2.234	1.857	2.372	2.617	1.685
1920	1.415	2.11	1.242	1.928	2.344	1.898	1.501	1.847	2.105	1.297
1921	1.836	2.8	1.754	3.232	2.731	2.192	1.738	2.125	2.412	1.581
1922	2.462	3.197	1.798	2.588	2.326	2.038	1.457	2.459	2.179	1.47
1923	2.751	3.56	1.854	2.871	2.752	2.351	1.851	2.722	2.455	1.686
1924	2.257	3.19	1.556	2.458	2.933	2.083	1.464	1.933	1.664	1.33
1925	2.117	2.792	1.486	2.041	3.195	2.571	1.482	2.224	1.884	1.647
1926	2.04	2.938	2.033	1.866	3.22	2.408	2.243	2.732	1.62	1.751
1927	1.842	2.718	2.144	1.642	2.78	2.145	1.66	2.027	1.579	1.469
1928	1.733	2.801	1.81	1.47	2.533	1.927	1.665	1.926	1.364	1.364
1929	1.9	3.31	2.465	1.476	2.188	1.604	1.629	2.062	1.591	1.552
1930	1.76	3.139	2.357	1.347	2.448	1.661	1.443	2.063	1.478	1.274
1931	2.059	2.977	2.113	1.065	2.315	1.97	1.344	1.747	1.352	1.197
1932	1.872	2.598	2.112	1.26	1.89	1.753	1.133	1.479	1.304	1.152
1933	1.759	2.763	1.814	1.423	1.85	1.678	1.184	1.523	1.473	1.334
1934	1.484	2.283	1.006	0.658	1.447	1.292	0.457	0.735	0.929	0.687
1935	2.013	2.602	1.819	1.369	1.93	1.596	1.138	1.504	1.766	1.374
1936	2.222	2.677	1.402	1.231	1.677	1.227	0.956	1.535	1.572	1.147
1937	2.635	3.283	1.793	1.748	2.174	1.467	1.2	2.158	1.94	1.538
1938	2.849	3.543	1.986	1.643	2.303	1.707	1.395	2.262	1.808	1.65
