# Ackerman - Inigok Riparian - SAPC - ITRDB AK162
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/23931
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-23931.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak162-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak162-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak162.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak162.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2018-05-01
#--------------------
# File_Last_Modified_Date
#   Date: 2018-05-01
#--------------------
# Title
#   Study_Name: Ackerman - Inigok Riparian - SAPC - ITRDB AK162
#--------------------
# Investigators
#   Investigators: Ackerman, D.; Griffin, D.(https://orcid.org/0000-0002-1547-3615); Hobbie, S.E.; Popham, K.; Jones, E.; Finlay, J.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: Daniel E. Ackerman, Daniel Griffin, Sarah E. Hobbie, Kelly Popham, Erin Jones, Jacques C. Finlay
#   Journal_Name: Environmental Research Letters
#   Published_Title: Uniform shrub growth response to June temperature across the North Slope of Alaska
#   Published_Date_or_Year: 2018
#   Volume: 13
#   Pages: 
#   Issue: 4
#   Report_Number: 
#   DOI: 10.1088/1748-9326/aab326
#   Full_Citation: None
#   Abstract: The expansion of woody shrubs in arctic tundra alters many aspects of high-latitude ecosystems, including carbon cycling and wildlife habitat. Dendroecology, the study of annual growth increments in woody plants, has shown promise in revealing how climate and environmental conditions interact with shrub growth to affect these key ecosystem properties. However, a predictive understanding of how shrub growth response to climate varies across the heterogeneous landscape remains elusive. Here we use individual-based mixed effects modeling to analyze 19 624 annual growth ring measurements in the stems of Salix pulchra (Cham.), a rapidly expanding deciduous shrub. Stem samples were collected at six sites throughout the North Slope of Alaska. Sites spanned four landscapes that varied in time since glaciation and hence in soil properties, such as nutrient availability, that we expected would modulate shrub growth response to climate. Ring growth was remarkably coherent among sites and responded positively to mean June temperature. The strength of this climate response varied slightly among glacial landscapes, but in contrast to expectations, this variability was not systematically correlated with landscape age. Additionally, shrubs at all sites exhibited diminishing marginal growth gains in response to increasing temperatures, indicative of alternative growth limiting mechanisms in particularly warm years, such as temperature-induced moisture limitation. Our results reveal a regionally-coherent and robust shrub growth response to early season growing temperature, with local soil properties contributing only a minor influence on shrub growth. Our conclusions strengthen predictions of changes to wildlife habitat and improve the representation of tundra vegetation dynamics in earth systems models in response to future arctic warming.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Inigok Riparian
#   Location: Alaska
#   Northernmost_Latitude: 69.99
#   Southernmost_Latitude: 69.99
#   Easternmost_Longitude: -153.04
#   Westernmost_Longitude: -153.04
#   Elevation_m: 35
#--------------------
# Data_Collection
#   Collection_Name: AK162
#   First_Year: 1968
#   Last_Year: 2016
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Salix pulchra Cham.
#   Common_Name: Tealeaf Willow
#   Tree_Species_Code: SAPC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## INR01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR16_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR16; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR19_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR19; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR20_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR20; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR21_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR21; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR23_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR23; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR24_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR24; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR25_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR25; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR26_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR26; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR27_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR27; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR28_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR28; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR29_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR29; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR32_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR32; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR33_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR33; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR34_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR34; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR35_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR35; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR36_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR36; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR37_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR37; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR38_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR38; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR39_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR39; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## INR40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: INR40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	INR01_raw	INR02_raw	INR03_raw	INR04_raw	INR05_raw	INR06_raw	INR07_raw	INR08_raw	INR09_raw	INR11_raw	INR12_raw	INR14_raw	INR15_raw	INR16_raw	INR17_raw	INR18_raw	INR19_raw	INR20_raw	INR21_raw	INR22_raw	INR23_raw	INR24_raw	INR25_raw	INR26_raw	INR27_raw	INR28_raw	INR29_raw	INR30_raw	INR32_raw	INR33_raw	INR34_raw	INR35_raw	INR36_raw	INR37_raw	INR38_raw	INR39_raw	INR40_raw
1968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1976	NA	NA	NA	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1977	NA	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1978	NA	NA	NA	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1979	NA	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1980	NA	NA	NA	0.12	NA	NA	0.29	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1981	NA	NA	NA	0.11	NA	NA	0.52	NA	NA	NA	NA	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1982	NA	NA	0.3	0.12	NA	NA	0.45	NA	NA	NA	NA	0.25	NA	0.06	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1983	NA	NA	0.21	0.13	NA	NA	0.26	NA	NA	NA	NA	0.25	NA	0.09	NA	NA	NA	0.31	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1984	NA	NA	0.28	0.19	NA	NA	0.28	NA	NA	NA	NA	0.15	NA	0.09	NA	NA	NA	0.07	NA	NA	0.04	NA	NA	NA	NA	0.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1985	NA	NA	0.08	0.12	NA	NA	0.22	NA	NA	NA	NA	0.23	NA	0.04	NA	NA	NA	0.17	NA	NA	0.19	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1986	NA	NA	0.19	0.12	NA	NA	0.31	NA	NA	NA	NA	0.2	NA	0.13	NA	NA	NA	0.21	NA	NA	0.14	NA	NA	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1987	NA	NA	0.35	0.15	NA	NA	0.37	NA	NA	NA	NA	0.26	NA	0.16	NA	NA	NA	0.38	NA	NA	0.28	NA	NA	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1988	NA	NA	0.13	0.07	NA	NA	0.34	NA	NA	NA	NA	0.19	NA	0.11	NA	NA	NA	0.22	NA	NA	0.3	NA	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1989	NA	NA	0.16	0.1	NA	NA	0.36	NA	NA	NA	NA	0.2	NA	0.35	NA	NA	NA	0.21	NA	NA	0.33	NA	NA	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990	NA	NA	0.21	0.07	NA	NA	0.4	NA	NA	NA	NA	0.33	NA	0.34	NA	NA	NA	0.26	NA	NA	0.47	NA	NA	0.21	NA	0.54	NA	NA	NA	NA	0.24	NA	0.38	NA	NA	NA	0.42
1991	NA	NA	0.06	0.04	NA	NA	0.35	0.34	NA	0.17	NA	0.21	NA	0.2	NA	0.29	NA	0.15	NA	NA	0.18	NA	NA	0.15	NA	0.22	NA	NA	NA	NA	0.1	NA	0.32	0.17	0.22	0.63	0.22
1992	NA	NA	0.25	0.08	NA	NA	0.36	0.39	NA	0.36	NA	0.16	NA	0.21	NA	0.2	NA	0.19	NA	NA	0.24	NA	NA	0.16	NA	0.21	NA	NA	NA	NA	0.14	NA	0.2	0.15	0.07	0.66	0.25
1993	NA	NA	0.12	0.07	NA	NA	0.24	0.2	0.33	0.43	NA	0.24	NA	0.27	NA	0.21	NA	0.12	NA	NA	0.17	NA	NA	0.21	0.45	0.09	0.42	0.35	NA	NA	0.16	NA	0.33	0.25	0.1	0.67	0.26
1994	NA	NA	0.15	0.09	0.16	NA	0.2	0.34	0.47	0.26	0.36	0.29	NA	0.13	0.21	0.23	NA	0.13	NA	0.17	0.26	NA	NA	0.23	0.38	0.14	0.19	0.24	NA	NA	0.16	0.52	0.37	0.28	0.29	0.37	0.26
1995	NA	NA	0.18	0.1	0.21	NA	0.27	0.2	0.54	0.09	0.17	0.28	NA	0.17	0.1	0.22	NA	0.18	NA	0.17	0.22	NA	0.55	0.29	0.24	0.17	0.11	0.14	NA	NA	0.17	0.47	0.3	0.14	0.29	0.36	0.24
1996	NA	0.24	0.2	0.08	0.31	NA	0.34	0.24	0.66	0.17	0.41	0.2	0.4	0.41	0.25	0.46	NA	0.16	NA	0.32	0.18	NA	0.44	0.3	0.3	0.15	0.18	0.17	NA	NA	0.25	0.5	0.29	0.22	0.37	0.52	0.24
1997	0.41	0.24	0.13	0.08	0.24	NA	0.21	0.16	0.27	0.15	0.36	0.16	0.2	0.14	0.23	0.26	NA	0.12	NA	0.29	0.18	NA	0.33	0.22	0.24	0.18	0.19	0.16	NA	NA	0.23	0.22	0.18	0.15	0.23	0.3	0.13
1998	0.37	0.48	0.17	0.15	0.23	NA	0.4	0.17	0.45	0.16	0.48	0.2	0.29	0.25	0.29	0.25	NA	0.19	NA	0.31	0.22	0.44	0.48	0.25	0.2	0.26	0.17	0.29	NA	NA	0.25	0.24	0.18	0.24	0.29	0.38	0.19
1999	0.26	0.3	0.11	0.2	0.27	0.82	0.39	0.13	0.25	0.13	0.38	0.2	0.21	0.3	0.16	0.28	NA	0.16	NA	0.22	0.18	0.66	0.33	0.2	0.16	0.26	0.23	0.24	0.6	0.45	0.26	0.24	0.11	0.18	0.26	0.25	0.12
2000	0.33	0.36	0.1	0.14	0.35	0.85	0.46	0.15	0.32	0.14	0.29	0.1	0.32	0.17	0.22	0.28	NA	0.12	NA	0.29	0.2	0.59	0.35	0.12	0.19	0.18	0.2	0.24	0.48	0.31	0.32	0.18	0.2	0.19	0.24	0.24	0.15
2001	0.08	0.25	0.06	0.08	0.35	0.56	0.41	0.07	0.22	0.08	0.22	0.1	0.54	0.1	0.34	0.35	NA	0.09	NA	0.28	0.16	0.43	0.36	0.06	0.12	0.11	0.2	0.25	0.46	0.2	0.22	0.14	0.13	0.17	0.16	0.2	0.09
2002	0.38	0.34	0.02	0.04	0.39	0.45	0.4	0.05	0.24	0.07	0.29	0.11	0.57	0.08	0.33	0.16	NA	0.06	NA	0.16	0.05	0.27	0.24	0.05	0.06	0.04	0.11	0.31	0.42	0.07	0.21	0.17	0.08	0.12	0.11	0.14	0.03
2003	0.24	0.44	0.12	0.1	0.41	0.44	0.53	0.17	0.24	0.14	0.2	0.16	0.53	0.17	0.25	0.34	NA	0.11	NA	0.16	0.12	0.05	0.16	0.1	0.06	0.12	0.09	0.35	0.54	0.21	0.34	0.29	0.31	0.08	0.21	0.24	0.07
2004	0.27	0.48	0.19	0.17	0.4	0.46	0.59	0.12	0.18	0.13	0.27	0.24	0.9	0.28	0.4	0.64	NA	0.12	NA	0.12	0.17	0.13	0.18	0.08	0.16	0.1	0.09	0.4	0.52	0.3	0.58	0.3	0.32	0.09	0.28	0.28	0.13
2005	0.21	0.14	0.08	0.07	0.03	0.2	0.24	0.12	0.17	0.1	0.17	0.17	0.23	0.14	0.21	0.2	NA	0.08	0.56	0.06	0.08	0.1	0.12	0.06	0.09	0.03	0.14	0.16	0.29	0.12	0.43	0.21	0.1	0.09	0.16	0.23	0.05
2006	0.45	0.31	0.18	0.1	0.45	0.41	0.3	0.24	0.28	0.18	0.12	0.15	0.28	0.28	0.33	0.24	NA	0.13	0.82	0.11	0.09	0.09	0.19	0.15	0.1	0.05	0.12	0.36	0.38	0.3	0.29	0.19	0.13	0.16	0.14	0.26	0.07
2007	0.53	0.49	0.25	0.08	0.45	0.42	0.37	0.13	0.28	0.11	0.14	0.13	0.44	0.21	0.3	0.32	NA	0.14	0.61	0.09	0.12	0.12	0.2	0.2	0.15	0.04	0.07	0.46	0.35	0.26	0.36	0.14	0.1	0.09	0.12	0.19	0.09
2008	0.56	0.36	0.21	0.18	0.42	0.31	0.22	0.21	0.27	0.19	0.18	0.13	0.3	0.18	0.17	0.32	0.68	0.12	0.41	0.11	0.09	0.17	0.16	0.21	0.16	0.06	0.14	0.28	0.22	0.16	0.49	0.18	0.13	0.18	0.18	0.19	0.13
2009	0.32	0.12	0.03	0.08	0.01	0.24	0.08	0.06	0.09	0.05	0.04	0.14	0.33	0.01	0.06	0.08	0.22	0.04	0.19	0.1	0.01	0.08	0.02	0.1	0.01	0	0.08	0.05	0.07	0.05	0.26	0.21	0.04	0.04	0.07	0.07	0.07
2010	0.7	0.55	0.26	0.12	0.16	0.48	0.18	0.19	0.29	0.16	0.14	0.22	0.4	0.12	0.26	0.38	0.39	0.11	0.27	0.14	0.14	0.28	0.14	0.2	0.15	0.08	0.2	0.21	0.25	0.42	0.44	0.31	0.06	0.09	0.11	0.16	0.1
