# Bigler - Cameron Pass - ABLA - ITRDB CO635
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5501
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5501.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co635-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co635-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co635.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co635.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2007-08-02
#--------------------
# Title
#   Study_Name: Bigler - Cameron Pass - ABLA - ITRDB CO635
#--------------------
# Investigators
#   Investigators: Bigler, C.; Veblen, T.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cameron Pass
#   Location: Colorado
#   Northernmost_Latitude: 40.55
#   Southernmost_Latitude: 40.55
#   Easternmost_Longitude: -105.83
#   Westernmost_Longitude: -105.83
#   Elevation_m: 3100
#--------------------
# Data_Collection
#   Collection_Name: CO635
#   First_Year: 1709
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## C043012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043016_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043016; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043024_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043024; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043038_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043038; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043046_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043046; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C043050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C043050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044078_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044078; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044192_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044192; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044260_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044260; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044266_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044266; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044292_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044292; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044304_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044304; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## C044326_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: C044326; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	C043012_raw	C043016_raw	C043024_raw	C043038_raw	C043046_raw	C043050_raw	C044052_raw	C044078_raw	C044122_raw	C044192_raw	C044260_raw	C044262_raw	C044266_raw	C044292_raw	C044304_raw	C044326_raw
1709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.088	NA	NA	NA	NA	NA
1710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.088	NA	NA	NA	NA	NA
1711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.091	NA	NA	NA	NA	NA
1712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.105	NA	NA	NA	NA	NA
1713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.078	NA	NA	NA	NA	NA
1714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.098	NA	NA	NA	NA	NA
1715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	NA	NA
1716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.079	NA	NA	NA	NA	NA
1717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.086	NA	NA	NA	NA	NA
1718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	NA	NA
1719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.093	NA	NA	NA	NA	NA
1720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.086	NA	NA	NA	NA	NA
1721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.072	NA	NA	NA	NA	NA
1722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.083	NA	NA	NA	NA	NA
1723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.061	NA	NA	NA	NA	NA
1724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.053	NA	NA	NA	NA	NA
1725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.094	NA	NA	NA	NA	NA
1726	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.109	NA	NA	NA	NA	NA
1727	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.253	0.086	NA	NA	NA	NA	NA
1728	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.232	0.074	0.029	NA	NA	NA	NA
1729	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.22	0.053	0.041	NA	NA	NA	NA
1730	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.223	0.067	0.063	NA	NA	NA	NA
1731	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.219	0.069	0.065	NA	NA	NA	NA
1732	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.24	0.048	0.033	NA	NA	NA	NA
1733	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.229	0.071	0.054	NA	NA	NA	NA
1734	NA	NA	NA	NA	NA	0.103	NA	NA	NA	0.212	0.063	0.051	NA	NA	NA	NA
1735	NA	NA	NA	NA	NA	0.074	NA	NA	NA	0.21	0.059	0.051	NA	NA	NA	NA
1736	NA	NA	NA	NA	NA	0.093	NA	0.025	NA	0.19	0.049	0.025	NA	NA	NA	NA
1737	NA	NA	NA	NA	NA	0.103	NA	0.028	NA	0.194	0.044	0.023	NA	NA	NA	NA
1738	NA	NA	NA	NA	NA	0.106	NA	0.031	NA	0.229	0.049	0.026	NA	NA	NA	NA
1739	NA	NA	NA	NA	NA	0.116	NA	0.037	NA	0.28	0.043	0.021	NA	NA	NA	NA
1740	NA	NA	NA	NA	NA	0.1	NA	0.035	NA	0.208	0.036	0.021	NA	NA	NA	NA
1741	NA	NA	NA	NA	NA	0.089	NA	0.029	NA	0.209	0.031	0.016	NA	NA	NA	NA
1742	NA	NA	NA	NA	NA	0.108	NA	0.027	NA	0.2	0.028	0.023	NA	NA	NA	NA
1743	NA	NA	NA	NA	NA	0.104	NA	0.029	NA	0.206	0.026	0.028	NA	NA	NA	NA
1744	NA	NA	NA	NA	NA	0.114	NA	0.027	NA	0.266	0.031	0.035	NA	NA	NA	NA
1745	NA	NA	NA	NA	NA	0.124	NA	0.028	NA	0.304	0.04	0.042	NA	NA	NA	NA
1746	NA	NA	NA	NA	NA	0.115	NA	0.039	NA	0.248	0.058	0.077	NA	NA	NA	NA
1747	NA	NA	NA	NA	NA	0.114	NA	0.057	NA	0.242	0.058	0.057	NA	NA	NA	NA
1748	NA	NA	NA	NA	NA	0.074	NA	0.024	NA	0.229	0.047	0.034	NA	NA	NA	NA
1749	NA	NA	NA	NA	NA	0.087	NA	0.025	NA	0.258	0.048	0.03	NA	NA	NA	NA
1750	NA	NA	NA	NA	NA	0.08	NA	0.024	NA	0.209	0.065	0.028	NA	NA	NA	0.03
1751	NA	NA	NA	NA	NA	0.055	NA	0.028	NA	0.166	0.057	0.031	NA	NA	NA	0.026
1752	NA	NA	NA	NA	NA	0.061	NA	0.037	NA	0.204	0.051	0.025	NA	NA	NA	0.03
1753	NA	NA	NA	NA	NA	0.046	NA	0.024	0.032	0.21	0.037	0.02	NA	NA	NA	0.022
1754	NA	NA	NA	NA	NA	0.047	NA	0.026	0.034	0.183	0.042	0.026	NA	NA	NA	0.02
1755	NA	NA	NA	NA	NA	0.053	NA	0.029	0.037	0.194	0.054	0.031	NA	NA	NA	0.022
1756	NA	NA	NA	NA	NA	0.045	NA	0.024	0.036	0.193	0.055	0.026	NA	NA	NA	0.028
1757	NA	NA	NA	NA	NA	0.052	NA	0.035	0.054	0.209	0.062	0.02	NA	NA	NA	0.031
1758	NA	NA	NA	NA	NA	0.038	NA	0.024	0.038	0.176	0.04	0.021	NA	NA	NA	0.024
1759	NA	NA	NA	NA	NA	0.047	NA	0.034	0.044	0.174	0.048	0.034	NA	NA	NA	0.032
1760	NA	NA	NA	NA	NA	0.036	NA	0.031	0.049	0.161	0.036	0.026	NA	NA	NA	0.033
1761	NA	NA	NA	NA	NA	0.039	NA	0.031	0.048	0.16	0.04	0.029	NA	NA	NA	0.03
1762	NA	NA	NA	NA	NA	0.05	NA	0.036	0.06	0.217	0.052	0.029	NA	NA	NA	0.039
1763	NA	NA	NA	NA	NA	0.038	NA	0.034	0.057	0.183	0.043	0.021	NA	NA	NA	0.029
1764	NA	NA	NA	NA	NA	0.037	NA	0.032	0.055	0.158	0.03	0.012	NA	NA	NA	0.02
