# Holmes - Donner Summit - PIJE - ITRDB CA074
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3519
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3519.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca074-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca074-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca074.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca074.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Holmes - Donner Summit - PIJE - ITRDB CA074
#--------------------
# Investigators
#   Investigators: Holmes, R.L.; Adams, R.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Donner Summit
#   Location: California
#   Northernmost_Latitude: 39.32
#   Southernmost_Latitude: 39.32
#   Easternmost_Longitude: -120.35
#   Westernmost_Longitude: -120.35
#   Elevation_m: 2265
#--------------------
# Data_Collection
#   Collection_Name: CA074
#   First_Year: 1510
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus jeffreyi Balf.
#   Common_Name: Jeffrey pine
#   Tree_Species_Code: PIJE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DON06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DON11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: DON11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DON06A_raw	DON06B_raw	DON07A_raw	DON07B_raw	DON08A_raw	DON08B_raw	DON09B_raw	DON10A_raw	DON10B_raw	DON11A_raw	DON11B_raw
1510	NA	NA	NA	2.29	NA	NA	NA	NA	NA	NA	NA
1511	NA	NA	NA	3.12	NA	NA	NA	NA	NA	NA	NA
1512	NA	NA	NA	3.61	NA	NA	NA	NA	NA	NA	NA
1513	NA	NA	NA	3.37	NA	NA	NA	NA	NA	NA	NA
1514	NA	NA	NA	2.76	NA	NA	NA	NA	NA	NA	NA
1515	NA	NA	NA	3.27	NA	NA	NA	NA	NA	NA	NA
1516	NA	NA	NA	3.46	NA	NA	NA	NA	NA	NA	NA
1517	NA	NA	NA	3.22	NA	NA	NA	NA	NA	NA	NA
1518	NA	NA	NA	2.74	NA	NA	NA	NA	NA	NA	NA
1519	NA	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA
1520	NA	NA	NA	2.37	NA	NA	NA	NA	NA	NA	NA
1521	NA	NA	NA	2.71	NA	NA	NA	NA	NA	NA	NA
1522	NA	NA	NA	2.18	NA	NA	NA	NA	NA	NA	NA
1523	NA	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA
1524	NA	NA	NA	1.69	NA	NA	NA	NA	NA	NA	NA
1525	NA	NA	NA	2.08	NA	NA	NA	NA	NA	NA	NA
1526	NA	NA	NA	1.34	NA	NA	NA	NA	NA	NA	NA
1527	NA	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA
1528	NA	NA	NA	1.99	NA	NA	NA	NA	NA	NA	NA
1529	NA	NA	NA	1.95	NA	2.91	NA	NA	NA	NA	NA
1530	NA	NA	NA	1.19	NA	1.9	NA	NA	NA	NA	NA
1531	NA	NA	NA	1.74	NA	2.58	NA	NA	NA	NA	NA
1532	NA	NA	NA	1.7	NA	2.17	NA	NA	NA	NA	NA
1533	NA	NA	NA	0.87	NA	1.96	NA	NA	NA	NA	NA
1534	NA	NA	NA	2.15	NA	2.51	NA	NA	NA	NA	NA
1535	NA	NA	NA	1.89	NA	2.07	NA	NA	NA	NA	NA
1536	NA	NA	NA	1.9	NA	2.95	NA	NA	NA	NA	3.45
1537	NA	NA	NA	1.21	NA	2.73	NA	NA	NA	NA	3
1538	NA	NA	NA	1.69	NA	2.65	NA	NA	NA	NA	2.07
1539	NA	NA	NA	2.94	NA	2.79	NA	NA	NA	NA	3.15
1540	NA	NA	NA	2.12	NA	2.61	NA	NA	NA	NA	2.42
1541	NA	NA	NA	1.4	NA	2.51	NA	NA	NA	NA	3.42
1542	NA	NA	NA	2.13	NA	3.02	NA	NA	NA	NA	3.4
1543	NA	NA	NA	2.41	NA	2.87	NA	NA	NA	NA	2.88
1544	NA	NA	NA	2.94	NA	3.84	NA	NA	NA	NA	2.83
1545	NA	NA	NA	2.3	NA	3.5	NA	NA	NA	NA	2.64
1546	NA	NA	NA	1.73	NA	1.81	NA	NA	NA	NA	1.52
1547	NA	NA	NA	2.27	NA	2.59	NA	NA	NA	NA	2.15
1548	NA	NA	NA	2.32	NA	2.23	NA	NA	NA	NA	2.22
1549	NA	NA	NA	1.73	NA	2.33	NA	NA	NA	NA	2.54
1550	NA	NA	2.9	2.12	3.09	3.05	NA	NA	NA	NA	2.56
1551	NA	NA	3.33	2.34	3.32	2.59	NA	NA	NA	NA	3.36
1552	NA	NA	2.57	1.98	3.88	3.42	NA	NA	NA	NA	3.04
1553	NA	NA	2.58	2.03	2.39	2.73	NA	NA	NA	NA	2.53
1554	NA	NA	1.97	1.4	2.65	2.31	NA	NA	NA	NA	1.7
1555	NA	NA	2.16	1.19	2.61	2.71	NA	NA	NA	NA	1.92
1556	NA	NA	2.87	1.53	3.5	2.55	NA	NA	NA	NA	2.19
1557	NA	NA	1.8	1.02	2.56	2.28	NA	NA	NA	NA	2.2
1558	NA	NA	2.21	1.95	3.38	2.72	NA	NA	NA	NA	2.68
1559	NA	NA	1.58	1.96	3.18	2.29	NA	NA	NA	NA	2.76
1560	NA	NA	2.41	2.36	2.7	1.82	NA	NA	NA	NA	2.98
1561	NA	NA	2.03	3.21	2.67	1.95	NA	NA	NA	NA	2.6
1562	NA	NA	2.26	3.49	2.4	2.31	NA	NA	NA	NA	2.93
1563	NA	NA	2.25	3.16	3.42	2.76	NA	NA	NA	NA	3.16
1564	NA	NA	2.3	2.65	2.47	2.31	NA	NA	NA	NA	2.34
1565	NA	NA	3	2.54	3.53	2.55	NA	NA	NA	NA	2.82
1566	NA	NA	2.49	3.32	2.77	1.93	NA	NA	NA	NA	3.2
1567	NA	NA	2.11	2.54	2.54	2.41	NA	NA	NA	NA	2.45
1568	NA	NA	2.2	2	2.54	1.81	NA	NA	NA	NA	3.01
1569	NA	NA	2.18	2.16	2.74	1.97	NA	NA	NA	NA	2.03
1570	NA	NA	1.3	1.45	1.87	1.73	NA	NA	NA	NA	1.67
1571	NA	NA	1.94	1.82	2.48	2.11	NA	NA	NA	NA	2.45
1572	NA	NA	2.03	1.25	2.48	2.21	NA	NA	NA	NA	2.43
1573	NA	NA	1.28	1.31	2.11	1.74	NA	NA	NA	NA	2.65
1574	NA	NA	2.8	1.92	2.51	1.98	NA	NA	NA	NA	3.08
1575	NA	NA	3.08	2.09	2.48	2.31	NA	NA	NA	NA	3.62
1576	NA	NA	1.66	1.4	1.73	1.75	NA	NA	NA	NA	1.85
1577	NA	NA	1.58	1.52	1.77	1.88	NA	NA	NA	NA	1.72
1578	NA	NA	2.04	1.41	1.59	1.59	NA	NA	NA	NA	0.94
1579	NA	NA	2.21	1.57	2.38	1.94	NA	NA	NA	NA	1.63
1580	NA	NA	2.43	2	2.84	2.52	NA	NA	NA	NA	2.43
1581	NA	NA	1.46	1.24	1.65	1.66	NA	NA	NA	NA	1.82
1582	NA	NA	1.45	1.42	1.81	1.46	NA	NA	NA	NA	2.52
1583	NA	NA	2.2	1.91	2.35	2.23	NA	NA	NA	NA	3.62
1584	NA	NA	1.9	2.38	2.38	2.14	NA	NA	NA	NA	2.18
1585	NA	NA	2.57	3.65	2.55	2.33	NA	NA	NA	NA	3.3
1586	NA	NA	2.4	2.73	2.11	2.19	NA	NA	NA	NA	3.01
1587	NA	NA	1.4	1.98	2.03	1.93	NA	NA	NA	NA	2.14
1588	NA	NA	1.73	2.53	1.85	1.64	NA	NA	NA	NA	2.3
1589	NA	NA	1.84	2.94	1.95	2.12	NA	NA	NA	NA	2.26
1590	NA	NA	1.92	2.75	2.42	2.23	NA	NA	NA	NA	2.63
1591	NA	NA	2.93	2.66	2.45	2.02	NA	NA	NA	NA	2.15
1592	NA	NA	2.81	2.88	1.94	1.26	NA	NA	NA	NA	1.81
1593	NA	NA	2.94	2.16	1.76	1.17	NA	NA	NA	NA	1.85
1594	NA	NA	3.1	2.29	2.14	1.93	NA	NA	NA	NA	2.34
1595	NA	NA	2.15	2.01	2.01	1.93	NA	NA	NA	NA	2.05
1596	NA	NA	1.96	1.46	1.76	1.42	NA	NA	NA	NA	2.06
1597	NA	NA	3.1	2.2	2.43	1.78	NA	NA	NA	NA	2.36
1598	NA	NA	3.37	2.09	2.42	2.18	NA	NA	NA	NA	2.45
1599	NA	NA	2.9	1.82	1.93	1.31	NA	NA	NA	NA	2.2
1600	NA	NA	3.58	2.57	2.06	1.72	NA	NA	NA	NA	2.58
1601	NA	NA	1.4	1.06	1.9	1.48	NA	NA	NA	NA	1.47
1602	NA	NA	1.7	1.21	1.85	1.8	NA	NA	NA	NA	1.42
1603	NA	NA	1.62	1.42	1.42	1.23	NA	NA	NA	NA	1.18
1604	NA	NA	1.65	0.86	0.81	1.27	NA	NA	NA	NA	1.35
1605	NA	NA	1.66	1.37	0.91	1.25	NA	NA	NA	NA	1.38
1606	NA	NA	1.57	1.71	1.4	1.73	NA	NA	NA	NA	1.98
1607	NA	NA	1.47	1.34	1.41	1.88	NA	NA	NA	NA	1.65
1608	NA	NA	1.36	1.6	1.3	1.5	NA	NA	NA	NA	1.42
1609	NA	NA	1.78	1.77	1.25	1.52	NA	NA	NA	NA	1.78
1610	NA	NA	2.12	1.98	1.45	1.95	NA	NA	NA	NA	1.98
1611	NA	NA	2.53	2.38	2.05	1.98	NA	NA	NA	NA	2.05
1612	NA	NA	1.93	1.77	1.33	1.58	NA	NA	NA	NA	1.67
1613	NA	NA	2.16	2.11	1.88	1.86	NA	NA	NA	NA	1.96
1614	NA	NA	1.87	1.94	1.58	1.72	NA	NA	NA	NA	2
1615	NA	NA	2.61	2.7	2.52	2.08	NA	NA	NA	NA	2.2
1616	NA	NA	1.72	1.68	1.6	1.43	NA	NA	NA	NA	1.52
1617	NA	NA	2.12	1.49	1.53	1.17	NA	NA	NA	NA	1.69
1618	NA	NA	2.33	1.91	1.87	1.89	NA	NA	NA	NA	2.06
1619	NA	NA	1.65	1.4	1.19	1.21	NA	NA	NA	NA	1.17
1620	NA	NA	1.67	1.37	1.73	1.61	NA	NA	NA	NA	2
1621	NA	NA	1.91	1.18	1.54	1.46	NA	NA	NA	NA	1.33
1622	NA	NA	1.6	0.89	1.3	0.83	NA	NA	NA	NA	1.65
1623	NA	NA	1.89	1.02	1.96	1.5	NA	NA	NA	NA	1.63
1624	NA	NA	1.8	1.32	1.61	1.12	NA	NA	NA	NA	1.69
1625	NA	NA	1.49	1.18	1.51	0.85	NA	NA	NA	NA	1.27
1626	NA	NA	1.84	1.54	1.55	1.31	NA	NA	NA	NA	1.66
1627	NA	NA	1.66	1.37	1.96	1.25	NA	NA	NA	NA	1.19
1628	NA	NA	1.9	1.48	1.69	1.16	NA	NA	NA	NA	1.81
1629	NA	NA	2.57	1.48	1.4	1.19	NA	NA	NA	NA	1.67
1630	NA	NA	2.23	1.2	1.44	1.1	NA	NA	NA	NA	1.61
1631	NA	NA	1.74	0.94	1.51	0.76	NA	NA	NA	NA	1.3
1632	NA	NA	2.52	1.48	1.39	1.12	NA	NA	NA	NA	1.76
1633	NA	NA	2.31	1.42	1.77	1.11	NA	NA	NA	NA	1.37
1634	NA	NA	2.18	1.44	2.03	1.39	NA	NA	NA	NA	1.8
1635	NA	NA	1.86	0.91	1.29	0.8	NA	NA	NA	NA	1.67
1636	NA	NA	2.1	1.5	1.42	0.94	NA	NA	NA	NA	2.06
1637	NA	NA	1.93	1.45	1.19	1.15	NA	NA	NA	NA	1.2
1638	NA	NA	1.2	1.25	1.46	1.11	NA	NA	NA	NA	1.41
1639	NA	NA	1.17	1.12	0.74	1.02	NA	NA	NA	NA	1.06
1640	NA	NA	1.22	0.86	1.12	0.99	NA	NA	NA	NA	1.09
1641	NA	NA	1.24	1.67	1.27	1.16	NA	NA	NA	NA	1.3
1642	NA	NA	1.2	1.38	1.03	1.36	NA	NA	NA	NA	1.03
1643	NA	NA	1.38	1.44	1.08	1.31	NA	NA	NA	NA	1.38
1644	NA	NA	1.81	1.45	1.85	1.62	NA	NA	NA	NA	1.7
1645	NA	NA	1.63	1.36	1.44	1.44	NA	NA	NA	NA	1.5
1646	NA	NA	1.11	1.06	0.96	0.87	NA	NA	NA	NA	1.15
1647	NA	NA	1.4	1.12	1.09	0.96	NA	NA	NA	NA	1.07
1648	NA	NA	1.02	1.21	0.76	0.96	NA	NA	NA	NA	1.1
1649	NA	NA	0.93	0.94	1.23	1.19	NA	NA	NA	NA	1.51
1650	NA	NA	1.31	1.5	1.32	1.02	NA	NA	NA	NA	1.9
1651	NA	NA	1.13	1.11	1.18	1.26	NA	NA	NA	NA	1.43
1652	NA	NA	1.25	1.12	0.91	1.43	NA	NA	NA	NA	1.73
1653	NA	NA	1.1	0.69	1.04	1.13	NA	NA	NA	NA	1.12
1654	NA	NA	1.24	1.07	0.76	1.04	NA	NA	NA	NA	1.14
1655	NA	NA	0.98	0.99	1.05	0.98	NA	NA	NA	NA	0.86
1656	NA	NA	0.75	0.75	1.12	1.15	NA	NA	NA	NA	1.16
1657	NA	NA	0.62	0.71	1.27	0.97	NA	NA	NA	NA	1.07
1658	NA	NA	0.7	0.88	0.97	1.14	NA	NA	NA	NA	1
1659	NA	NA	0.53	0.59	0.57	0.76	NA	NA	NA	NA	0.57
1660	NA	NA	1.15	0.63	0.83	1.09	NA	NA	NA	NA	1.12
1661	NA	NA	1.69	0.95	1.12	1.26	NA	NA	NA	NA	1.23
1662	NA	NA	1.09	0.93	0.82	0.77	NA	NA	NA	NA	1.42
1663	NA	NA	0.93	1.04	1.06	1.01	NA	NA	NA	NA	1.22
1664	NA	NA	0.79	0.81	0.82	0.86	NA	NA	NA	NA	1.16
1665	NA	NA	0.8	0.69	0.74	0.83	NA	NA	NA	NA	1.19
1666	NA	NA	0.99	0.67	0.65	0.86	NA	NA	NA	NA	1.04
1667	NA	NA	0.85	0.76	0.97	1.08	NA	NA	NA	NA	1.3
1668	NA	NA	0.67	0.81	0.7	1.06	NA	NA	NA	NA	1.13
1669	NA	NA	0.83	0.81	0.73	0.83	NA	NA	NA	NA	1.12
1670	NA	NA	1.06	0.71	0.85	0.91	NA	NA	NA	NA	0.86
1671	NA	NA	1.19	0.63	0.78	0.93	NA	NA	NA	NA	0.72
1672	NA	NA	0.86	0.55	0.7	0.72	NA	NA	NA	NA	0.78
1673	NA	NA	1.14	0.87	0.94	0.94	NA	NA	NA	NA	1.07
1674	NA	NA	1.02	0.94	1.05	1.17	NA	NA	NA	NA	0.91
1675	NA	NA	1.64	1.39	1.11	1.35	NA	NA	NA	NA	1.07
1676	NA	NA	1.33	1.17	0.55	0.61	NA	NA	NA	NA	0.63
1677	NA	NA	1.21	1.25	0.64	0.55	NA	NA	NA	NA	0.71
1678	NA	NA	1.37	1.12	0.76	0.75	NA	NA	NA	NA	0.9
1679	NA	NA	1.27	0.83	0.85	0.79	NA	NA	NA	NA	1.06
1680	NA	NA	0.75	0.42	0.59	0.81	NA	NA	NA	NA	0.81
1681	NA	NA	1.38	0.65	0.72	0.99	NA	NA	NA	NA	0.98
1682	NA	NA	1.01	0.47	0.62	0.92	NA	NA	NA	NA	0.68
1683	NA	NA	0.37	0.32	0.73	0.7	NA	NA	NA	NA	0.72
1684	NA	NA	0.65	0.52	0.51	0.62	NA	NA	NA	NA	0.3
1685	NA	NA	0.53	0.58	0.65	0.77	NA	NA	NA	NA	0.54
1686	NA	NA	0.79	0.73	0.92	0.94	NA	NA	NA	NA	0.66
1687	NA	NA	0.79	0.55	0.6	0.44	NA	NA	NA	NA	0.87
1688	NA	NA	1.08	0.71	0.71	0.68	NA	NA	NA	NA	1.06
1689	NA	NA	0.76	0.79	0.91	0.61	NA	NA	NA	NA	0.73
1690	NA	NA	1.05	0.89	1.01	0.9	NA	NA	NA	NA	1.25
1691	NA	NA	1.26	1.23	1.01	0.92	NA	NA	NA	NA	1.17
1692	NA	NA	1.35	0.94	1.03	0.71	NA	NA	NA	NA	0.98
1693	NA	NA	1	0.94	0.89	0.76	NA	NA	NA	NA	0.71
1694	NA	NA	1.27	0.81	0.72	0.68	NA	NA	NA	NA	0.91
1695	NA	NA	1.6	1.17	1	0.83	NA	NA	NA	NA	1.03
1696	NA	NA	0.97	0.86	0.89	0.67	NA	NA	NA	NA	0.75
1697	NA	NA	0.62	1.28	0.74	0.59	NA	NA	NA	NA	0.77
1698	NA	NA	0.47	0.94	0.85	0.4	NA	NA	NA	NA	0.48
1699	NA	NA	0.51	1.02	0.95	0.71	NA	NA	NA	NA	0.79
1700	NA	NA	0.46	1.45	1.02	0.69	NA	NA	NA	NA	0.93
1701	NA	NA	0.39	0.73	0.63	0.35	NA	NA	NA	NA	0.78
1702	NA	NA	0.46	0.55	0.74	0.54	NA	NA	NA	NA	0.5
1703	NA	NA	0.61	0.52	0.7	0.49	NA	NA	NA	NA	0.31
1704	NA	NA	0.67	0.7	0.9	0.49	NA	NA	NA	NA	0.59
1705	NA	NA	1.39	1.59	1.21	0.83	NA	NA	NA	NA	0.93
1706	NA	NA	1.77	1.33	0.79	0.64	NA	NA	NA	NA	0.29
1707	NA	NA	0.85	0.68	0.7	0.68	NA	NA	NA	NA	0.46
1708	NA	NA	2.03	1.19	0.97	0.76	NA	NA	NA	NA	0.68
1709	NA	NA	1.53	1.22	0.9	0.76	NA	NA	NA	NA	0.96
1710	NA	NA	1.75	1.2	0.65	0.74	NA	NA	NA	NA	0.96
1711	NA	NA	1.02	0.77	0.81	0.7	NA	NA	NA	NA	0.75
1712	NA	NA	1.15	0.83	1.04	0.84	NA	NA	NA	NA	0.83
1713	NA	NA	1.15	0.86	0.83	0.56	NA	NA	NA	NA	0.9
1714	NA	NA	1.17	0.85	0.82	0.64	NA	NA	NA	NA	0.85
1715	NA	NA	1.08	0.5	0.85	0.68	NA	NA	NA	NA	0.96
1716	NA	NA	1.07	0.79	0.72	0.85	NA	NA	NA	NA	0.65
1717	NA	NA	0.98	0.9	0.98	0.76	NA	NA	NA	NA	0.62
1718	NA	NA	0.8	0.56	0.59	0.64	NA	NA	NA	NA	0.48
1719	NA	NA	1.14	0.43	0.75	0.63	NA	NA	NA	NA	0.79
1720	NA	NA	0.95	0.37	0.94	0.64	NA	NA	NA	NA	0.81
1721	NA	NA	1.12	0.22	0.61	0.83	NA	NA	NA	NA	0.55
1722	NA	NA	1.3	0.4	0.91	0.88	NA	NA	NA	NA	0.49
1723	NA	NA	1.28	0.56	0.87	0.93	NA	NA	NA	NA	0.9
1724	NA	NA	1.31	0.57	0.89	0.91	NA	NA	NA	NA	1.01
1725	NA	NA	1.63	0.44	0.86	0.93	NA	NA	NA	NA	1.12
1726	NA	NA	2.33	0.54	1.14	1.13	NA	NA	NA	NA	0.88
1727	NA	NA	1.75	0.53	1.46	1.22	NA	NA	NA	NA	0.78
1728	NA	NA	1.35	0.45	0.79	1	NA	NA	NA	NA	0.8
1729	1.57	NA	0.79	0.31	0.73	0.73	NA	NA	NA	NA	0.51
1730	1.67	NA	0.82	0.41	0.92	0.88	NA	NA	NA	NA	1.1
1731	1.97	NA	1.23	0.63	1.2	1.19	NA	NA	NA	NA	1.23
1732	1.99	NA	1.14	0.63	0.93	1.13	NA	NA	NA	NA	0.71
1733	2.01	NA	1.14	0.69	1.21	1.14	NA	NA	NA	NA	0.85
1734	1.46	NA	0.85	0.64	0.78	0.8	NA	NA	NA	NA	0.75
1735	1.41	NA	0.83	0.6	0.97	0.89	NA	NA	NA	NA	0.91
1736	2.12	NA	0.87	0.56	1.06	0.92	NA	NA	NA	NA	0.93
1737	1	NA	0.74	0.72	1.13	0.93	NA	NA	NA	NA	0.88
1738	1.08	NA	0.47	0.68	1.18	0.89	NA	NA	NA	NA	0.97
1739	1.58	NA	0.59	0.79	1.16	0.95	NA	NA	NA	NA	0.88
1740	1.45	0.51	0.4	0.55	0.96	0.83	NA	NA	NA	NA	0.66
1741	1.44	0.58	0.35	0.3	0.56	0.68	NA	NA	NA	NA	0.59
1742	0.97	0.58	0.55	0.59	1.11	0.81	NA	NA	NA	NA	0.51
1743	1.58	0.89	0.7	0.64	1.31	1.13	NA	NA	NA	NA	0.7
1744	1.68	0.7	0.7	0.63	1.15	0.95	NA	NA	NA	NA	0.63
1745	1.24	0.76	0.71	0.78	1.38	0.8	NA	NA	NA	NA	0.87
1746	1.2	0.8	0.85	0.72	1.41	0.91	NA	NA	NA	NA	0.69
1747	1.42	0.86	0.83	0.75	1.28	0.9	NA	NA	NA	NA	0.81
1748	0.98	0.63	0.69	0.57	0.84	0.53	NA	NA	NA	NA	0.45
1749	1.13	0.68	0.52	0.5	0.86	0.56	NA	NA	NA	NA	0.62
1750	1.09	0.76	1.02	0.75	1.31	0.74	NA	NA	NA	NA	0.78
