# Lloyd - Usibelli treeline - PCGL - ITRDB AK045
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3897
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3897.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak045-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak045-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak045.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak045.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-23
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-23
#--------------------
# Title
#   Study_Name: Lloyd - Usibelli treeline - PCGL - ITRDB AK045
#--------------------
# Investigators
#   Investigators: Lloyd, A.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Usibelli treeline
#   Location: Alaska
#   Northernmost_Latitude: 63.9
#   Southernmost_Latitude: 63.9
#   Easternmost_Longitude: -148.67
#   Westernmost_Longitude: -148.67
#   Elevation_m: 762
#--------------------
# Data_Collection
#   Collection_Name: AK045
#   First_Year: 1774
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## U11-07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-20B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-20B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-22_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-22; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-32_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-32; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U11-34B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U11-34B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U12-03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U12-03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U12-04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U12-04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U13-01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U13-01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U13-02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U13-02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U13-05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U13-05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## U13-06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: U13-06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	U11-07_raw	U11-12_raw	U11-15_raw	U11-20B_raw	U11-22_raw	U11-30A_raw	U11-31A_raw	U11-32_raw	U11-34B_raw	U12-03_raw	U12-04_raw	U13-01_raw	U13-02A_raw	U13-05_raw	U13-06A_raw
1774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.069	NA	NA	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.133	NA	NA	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08	NA	NA	NA	NA
1777	NA	0.086	NA	NA	NA	NA	NA	NA	NA	NA	0.124	NA	NA	NA	NA
1778	NA	0.114	NA	NA	NA	NA	NA	NA	NA	NA	0.136	NA	NA	NA	NA
1779	NA	0.076	NA	NA	NA	NA	NA	NA	NA	NA	0.118	NA	NA	NA	0.025
1780	NA	0.114	NA	NA	NA	NA	NA	NA	NA	NA	0.133	NA	NA	NA	0.064
1781	NA	0.167	NA	NA	NA	NA	NA	NA	NA	NA	0.109	NA	NA	NA	0.048
1782	NA	0.05	NA	NA	NA	NA	NA	NA	NA	NA	0.031	NA	NA	NA	0.139
1783	NA	0.077	NA	NA	NA	NA	NA	NA	NA	NA	0.051	NA	NA	NA	0.122
1784	NA	0.093	NA	NA	NA	NA	NA	NA	NA	NA	0.09	NA	NA	NA	0.122
1785	NA	0.053	NA	NA	NA	NA	NA	NA	NA	NA	0.108	NA	NA	NA	0.091
1786	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	0.053	NA	NA	NA	0.102
1787	NA	0.031	NA	NA	NA	NA	NA	NA	NA	NA	0.137	NA	NA	NA	0.127
1788	NA	0.033	NA	NA	NA	NA	NA	NA	NA	NA	0.145	NA	NA	NA	0.142
1789	NA	0.024	NA	NA	0.112	NA	NA	NA	NA	NA	0.091	NA	NA	NA	0.111
1790	NA	0.043	NA	NA	0.19	NA	NA	NA	NA	NA	0.143	NA	NA	NA	0.192
1791	NA	0.149	NA	NA	0.155	NA	NA	NA	NA	NA	0.253	NA	NA	NA	0.181
1792	NA	0.082	NA	NA	0.122	NA	NA	NA	NA	NA	0.242	NA	NA	NA	0.134
1793	NA	0.028	NA	NA	0.099	NA	NA	NA	NA	NA	0.159	NA	NA	NA	0.124
1794	NA	0.059	NA	NA	0.065	NA	NA	NA	NA	NA	0.145	NA	NA	NA	0.125
1795	NA	0.077	NA	NA	0.038	NA	NA	NA	0.056	NA	0.182	NA	NA	NA	0.129
1796	NA	0.054	NA	NA	0.043	NA	NA	NA	0.061	NA	0.229	NA	NA	NA	0.14
1797	0.057	0.061	NA	NA	0.097	NA	NA	NA	0.044	NA	0.175	NA	NA	NA	0.09
1798	0.087	0.043	NA	NA	0.027	NA	NA	NA	0.062	NA	0.17	NA	NA	NA	0.062
1799	0.079	0.087	NA	0.072	0.041	NA	NA	NA	0.061	NA	0.113	NA	NA	NA	0.081
1800	0.097	0.092	NA	0.06	0.019	NA	NA	NA	0.064	NA	0.168	NA	NA	NA	0.081
1801	0.208	0.045	NA	0.057	0.014	NA	NA	NA	0.059	NA	0.253	NA	NA	NA	0.085
1802	0.248	0.084	NA	0.06	0.023	NA	NA	NA	0.081	NA	0.136	NA	NA	NA	0.079
1803	0.422	0.088	NA	0.083	0.032	NA	NA	NA	0.1	NA	0.091	NA	NA	NA	0.032
1804	0.154	0.194	NA	0.076	0.059	NA	NA	NA	0.047	NA	0.18	NA	NA	NA	0.088
1805	0.086	0.113	NA	0.092	0.084	NA	NA	NA	0.033	NA	0.14	NA	NA	NA	0.083
1806	0.081	0.066	NA	0.115	0.102	NA	NA	NA	0.035	NA	0.095	NA	NA	NA	0.064
1807	0.04	0.068	NA	0.047	0.091	NA	NA	NA	0.037	NA	0.14	NA	NA	NA	0.054
1808	0.103	0.065	NA	0.052	0.071	NA	NA	NA	0.025	NA	0.065	NA	NA	NA	0.063
1809	0.123	0.075	NA	0.059	0.063	0.042	NA	NA	0.018	NA	0.079	NA	NA	NA	0.074
1810	0.181	0.046	NA	0.061	0.054	0.057	NA	NA	0.027	NA	0.069	0.383	NA	NA	0.1
1811	0.152	0.024	NA	0.052	0.06	0.077	NA	NA	0.031	NA	0.048	0.39	NA	NA	0.16
1812	0.109	0.056	NA	0.032	0.045	0.039	NA	NA	0.021	NA	0.073	0.324	NA	NA	0.089
1813	0.134	0.078	NA	0.031	0.035	0.048	0.032	NA	0.023	NA	0.126	0.245	NA	NA	0.1
1814	0.127	0.072	NA	0.024	0.053	0.062	0.026	NA	0.027	NA	0.084	0.229	NA	NA	0.051
1815	0.129	0.095	NA	0.023	0.029	0.053	0.051	NA	0.035	NA	0.071	0.21	NA	NA	0.05
1816	0.171	0.1	NA	0.039	0.043	0.066	0.063	NA	0.035	NA	0.113	0.155	NA	NA	0.073
1817	0.21	0.138	NA	0.045	0.043	0.103	0.041	NA	0.019	NA	0.127	0.131	NA	NA	0.059
1818	0.224	0.161	NA	0.043	0.029	0.064	0.055	NA	0.011	NA	0.132	0.161	NA	NA	0.073
1819	0.155	0.158	NA	0.09	0.021	0.09	0.066	NA	0.018	NA	0.101	0.197	NA	NA	0.135
1820	0.148	0.092	NA	0.134	0.029	0.055	0.037	NA	0.014	NA	0.101	0.125	NA	NA	0.131
1821	0.132	0.041	NA	0.113	0.023	0.052	0.089	NA	0.012	NA	0.078	0.116	NA	NA	0.09
1822	0.121	0.046	NA	0.055	0.035	0.05	0.069	NA	0.01	NA	0.084	0.16	NA	NA	0.086
1823	0.131	0.056	NA	0.046	0.031	0.038	0.068	NA	0.014	NA	0.094	0.089	NA	NA	0.126
1824	0.163	0.034	NA	0.036	0.038	0.066	0.037	NA	0.009	NA	0.067	0.119	NA	NA	0.069
1825	0.13	0.023	NA	0.031	0.045	0.027	0.032	NA	0.016	NA	0.086	0.119	NA	NA	0.069
1826	0.236	0.036	NA	0.048	0.048	0.046	0.046	NA	0.02	NA	0.145	0.121	NA	NA	0.035
1827	0.209	0.029	NA	0.074	0.031	0.034	0.06	NA	0.022	NA	0.196	0.081	NA	NA	0.095
1828	0.561	0.037	NA	0.094	0.057	0.029	0.085	NA	0.02	NA	0.253	0.134	0.087	NA	0.115
1829	0.469	0.04	NA	0.105	0.058	0.054	0.049	NA	0.017	NA	0.178	0.138	0.185	NA	0.18
