# Larson - Yellowstone State Natural Area - QUMA - ITRDB WI059
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33961
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33961.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi059-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wi059-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi059.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wi059.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-07-03
#--------------------
# File_Last_Modified_Date
#   Date: 2021-07-03
#--------------------
# Title
#   Study_Name: Larson - Yellowstone State Natural Area - QUMA - ITRDB WI059
#--------------------
# Investigators
#   Investigators: Larson, E.R.(https://orcid.org/0000-0001-6628-1659); Allen, S.A.; Underwood, C.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Oak ring width data from the Driftless Area of southwest Wisconsin and northeast Iowa, USA, sampled from living oak trees, remnants, and archeological beams. NOAA Template Raw Measurements file added 2021-10-19.
#--------------------
# Publication
#   Authors: Larson, Evan R., Sara A. Allen, Chris A. Underwood
#   Journal_Name: Progress in Physical Geography
#   Published_Title: The Driftless Oaks: A new network of tree-ring chronologies to improve regional perspectives of drought in the Upper Midwest, USA
#   Published_Date_or_Year: 2021
#   Volume: 45
#   Pages: 375-406
#   Issue: 3
#   Report_Number: 
#   DOI: 10.1177/0309133320960670
#   Full_Citation: None
#   Abstract: New and updated multi-century tree-ring chronologies from living oak trees, remnants, and archeological beams from across the Driftless Area of southwest Wisconsin and northeast Iowa, USA, were developed to fill a spatial gap in the network of available tree-ring chronologies. We produced a robust 303-year summer drought reconstruction (June-August Palmer's Modified Drought Index (PMDI): r2 = 0.45) that identified clusters of extreme droughts and pluvials (PMDI <= -4.0 or >= 4.0) in the early 1700s and more even distributions of drought conditions, with the exception of the post 1930s period when drought became relatively infrequent. Compared to the Living Blended Drought Atlas (LBDA) and the North American Drought Atlas (NADA), our reconstruction more accurately represented moderate moisture conditions across the Driftless Area, the NADA and LBDA more closely represented extreme pluvials, and our reconstruction and the LBDA better represented extreme drought years. The three reconstructions largely captured the same high-frequency variability in drought conditions and differed most at low frequencies. Significant correlations were identified between our reconstruction and corn (r = 0.30, n = 91, p = 0.002) and soybean (r = 0.25, n  = 81, p = 0.012) yields, with the strength of the correlations increasing over recent decades suggesting a tighter coupling of interannual climate variability and crop productivity in the region. Superposed epoch analyses indicated significantly wetter conditions in the Driftless Area two years after major volcanic eruptions. In the context of long-term climatic variability, the Driftless Oaks drought reconstruction demonstrated that drought and pluvial conditions more extreme than those experienced during the instrumental record have occurred in the past.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yellowstone State Natural Area
#   Location: Wisconsin
#   Northernmost_Latitude: 42.772
#   Southernmost_Latitude: 42.772
#   Easternmost_Longitude: -89.965
#   Westernmost_Longitude: -89.965
#   Elevation_m: 283
#--------------------
# Data_Collection
#   Collection_Name: WI059
#   First_Year: 1831
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## YNA001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA002A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA002B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA003B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA004A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA004B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA004B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA005A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA005A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA005B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA005B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA006A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA006A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA006B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA006B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA007A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA007A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA007B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA007B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA008A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA008A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA008B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA008B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA009A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA009A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA009B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA009B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA010A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA010A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA010B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA010B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA011A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA011A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YNA011B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YNA011B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	YNA001A_raw	YNA002A_raw	YNA002B_raw	YNA003A_raw	YNA003B_raw	YNA004A_raw	YNA004B_raw	YNA005A_raw	YNA005B_raw	YNA006A_raw	YNA006B_raw	YNA007A_raw	YNA007B_raw	YNA008A_raw	YNA008B_raw	YNA009A_raw	YNA009B_raw	YNA010A_raw	YNA010B_raw	YNA011A_raw	YNA011B_raw
1831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.594	NA	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.551	NA	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.298	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.317	NA	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.464	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.679	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.786	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.443	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.723	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.633	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.233	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.211	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.211	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.278	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.253	1.387	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.612	1.828	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.741	2.499	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.102	2.836	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	2.506	NA	NA	NA	NA	NA	NA	NA	NA	1.619	4.361	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	1.839	NA	NA	NA	NA	NA	NA	NA	NA	0.974	2.646	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	1.857	NA	NA	NA	NA	NA	NA	NA	NA	0.867	1.439	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	1.643	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.101	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	2.547	NA	NA	NA	NA	NA	NA	NA	NA	1.27	1.461	NA	NA	NA	NA	NA
1859	NA	NA	NA	0.55	NA	1.482	NA	NA	NA	NA	NA	NA	NA	NA	0.614	0.952	NA	NA	NA	NA	NA
1860	NA	NA	NA	0.561	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA	0.698	1.44	NA	NA	NA	NA	NA
1861	NA	NA	NA	0.549	NA	1.693	NA	NA	NA	NA	NA	NA	NA	NA	1.037	2.073	NA	NA	NA	NA	NA
1862	NA	NA	NA	0.823	NA	1.778	NA	NA	NA	NA	NA	NA	NA	NA	1.439	4.53	NA	NA	NA	NA	NA
1863	NA	NA	NA	1.064	NA	1.356	NA	NA	NA	NA	NA	NA	NA	NA	0.91	3.451	NA	NA	NA	NA	NA
1864	NA	NA	NA	1.319	NA	2.264	NA	NA	NA	NA	NA	NA	NA	NA	1.609	2.117	NA	NA	NA	NA	NA
1865	NA	NA	NA	1.473	NA	2.096	NA	NA	NA	NA	NA	NA	NA	NA	0.995	3.428	4.556	NA	NA	NA	NA
1866	NA	NA	NA	1.766	NA	1.693	NA	NA	NA	NA	NA	NA	NA	NA	1.207	3.451	5.327	NA	NA	NA	NA
1867	NA	NA	NA	1.693	NA	1.947	NA	NA	NA	NA	NA	NA	NA	NA	1.926	4.044	5.228	NA	NA	NA	NA
1868	3.704	NA	NA	1.228	NA	2.117	NA	NA	NA	NA	NA	NA	NA	NA	0.825	2.286	3.493	NA	NA	NA	NA
1869	2.413	NA	NA	1.482	1.169	1.525	NA	NA	NA	NA	NA	NA	NA	NA	1.164	3.09	5.546	NA	NA	NA	NA
1870	1.566	NA	NA	1.122	1.083	1.608	NA	NA	NA	NA	NA	NA	NA	NA	1.122	2.921	4.572	NA	NA	NA	NA
1871	1.651	NA	NA	1.143	1.501	2.053	NA	NA	NA	NA	NA	NA	NA	NA	1.1	2.857	5.863	NA	NA	NA	NA
1872	2.223	NA	NA	1.376	2.149	2.964	NA	NA	NA	NA	NA	NA	NA	NA	1.715	4.34	5.567	NA	NA	NA	NA
1873	1.777	NA	NA	1.672	1.873	2.095	NA	NA	NA	NA	NA	NA	NA	NA	1.313	2.646	3.62	NA	NA	NA	NA
1874	1.398	NA	NA	1.757	2.381	2.159	NA	NA	NA	NA	NA	NA	1.611	1.884	1.312	2.625	3.682	NA	NA	NA	NA
1875	1.524	NA	NA	2.223	2.899	2.604	NA	NA	NA	NA	NA	NA	2.01	1.397	1.101	4.001	4.212	NA	NA	NA	NA
1876	1.481	NA	NA	2.476	3.344	3.704	NA	NA	NA	NA	NA	NA	2.18	2.18	1.863	3.471	4.128	NA	NA	NA	1.931
1877	1.312	NA	NA	2.307	3.175	2.751	NA	NA	NA	NA	NA	NA	2.031	1.99	1.567	4.022	4.17	NA	NA	NA	4.196
1878	1.143	NA	NA	1.143	2.286	1.376	NA	NA	NA	NA	NA	NA	1.841	0.91	0.698	3.027	2.625	NA	NA	1.99	2.476
1879	1.481	NA	NA	1.545	2.815	2.244	NA	NA	NA	NA	NA	NA	2.773	2.053	1.842	4.89	4.847	NA	NA	2.688	4.805
1880	0.975	NA	NA	1.672	2.921	2.328	NA	NA	3.288	NA	NA	NA	2.9	2.265	1.524	4.996	4.614	NA	NA	4.001	4.106
1881	1.396	NA	NA	2.011	2.9	2.392	NA	NA	4.05	NA	NA	NA	3.344	2.307	1.736	4.382	3.979	NA	NA	4	3.895
1882	1.884	NA	NA	1.376	2.307	2.201	NA	NA	1.856	NA	NA	NA	2.963	3.048	1.948	5.504	5.165	NA	NA	3.238	2.709
1883	1.778	NA	NA	2.138	2.943	2.286	NA	NA	2.603	NA	NA	NA	2.731	2.878	1.799	6.075	5.503	NA	NA	3.26	3.239
1884	1.439	NA	NA	1.312	2.18	1.588	NA	NA	1.059	NA	NA	NA	1.926	1.799	1.206	3.726	3.069	NA	NA	2.371	2.244
1885	2.18	NA	NA	2.011	2.794	2.434	NA	NA	2.095	NA	NA	NA	2.815	3.937	2.032	5.144	6.837	NA	NA	3.175	4
1886	1.418	NA	NA	1.481	1.82	1.566	NA	NA	1.312	NA	0.699	NA	2.265	2.053	1.058	3.875	4.212	NA	NA	2.053	2.413
1887	1.693	NA	NA	1.758	2.604	2.032	2.393	NA	1.27	4.477	0.783	NA	2.815	3.133	1.757	4.593	4.72	NA	NA	2.921	2.879
1888	1.545	NA	NA	2.116	2.963	2.73	2.666	NA	1.841	5.662	0.804	NA	3.302	3.747	2.477	4.825	4.932	NA	NA	3.472	3.239
1889	1.418	NA	NA	1.884	2.816	2.498	2.18	NA	2.032	5.736	0.593	NA	2.857	2.709	1.397	4.192	4.635	NA	NA	3.535	3.598
1890	1.1	NA	NA	1.757	2.392	2.18	1.841	NA	2.201	4.89	0.635	NA	2.921	2.074	1.418	3.791	3.662	NA	NA	2.286	3.217
1891	0.783	NA	NA	0.974	1.482	1.313	1.101	NA	1.313	3.577	1.291	NA	1.905	0.932	0.783	2.284	1.736	NA	NA	1.968	2.286
1892	1.757	5.958	12.059	2.138	1.904	2.244	2.075	NA	2.392	5.545	1.714	NA	3.091	3.047	2.498	5.737	5.08	NA	NA	3.26	4.635
