# Black - West Point - PSME - ITRDB WA160
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38208
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38208.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa160-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa160.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa160.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-12
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-12
#--------------------
# Title
#   Study_Name: Black - West Point - PSME - ITRDB WA160
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Atwater, Brian F.; Stuiver, Minze; Jacoby, Gordon C.
#--------------------
# Description_Notes_and_Keywords
#   Description: This is a single tree killed in a tsunami and is crossdated against other chronologies in the region
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Geological Survey
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: West Point
#   Location: Washington
#   Northernmost_Latitude: 47.662
#   Southernmost_Latitude: 47.662
#   Easternmost_Longitude: -122.436
#   Westernmost_Longitude: -122.436
#   Elevation_m: 1
#--------------------
# Data_Collection
#   Collection_Name: WA160
#   First_Year: 809
#   Last_Year: 923
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## WPT01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT01C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT01C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	WPT01A_raw	WPT01C_raw	WPT01B_raw
809	2.56	2.45	NA
810	1.51	2.01	NA
811	1.11	1.39	NA
812	1.41	1.45	NA
813	1.16	1.1	NA
814	2.11	1.65	NA
815	3.42	3.06	NA
816	2.62	2.39	NA
817	3.54	3.39	NA
818	6.39	2.67	NA
819	7.8	1.58	NA
820	7.12	1.05	NA
821	5.66	2.21	NA
822	4.24	1.5	NA
823	5.26	3.27	NA
824	2.25	1.76	NA
825	3.94	1.91	NA
826	3.62	2.37	NA
827	3.85	3.04	NA
828	2.42	1.83	NA
829	2.94	2.29	2.71
830	1.26	2.06	2.21
831	2.34	3.25	4.16
832	1.19	1.8	2.96
833	1.79	1.78	3.22
834	2.02	1.92	2.89
835	1.92	1.7	3.26
836	2.94	2.17	4.37
837	2.18	1.48	2.58
838	3.41	2.45	3.68
839	2.82	2.01	2.97
840	3.72	2.72	3.6
841	3.84	3.07	4.29
842	3.49	2.16	3.18
843	3.94	2.46	4.36
844	3.99	2.71	4.16
845	4.23	3.59	4.61
846	4.06	2.39	4.09
847	5.06	3.42	5.58
848	5.05	2.88	4.93
849	4.44	2.86	4.77
850	3.82	2.69	3.93
851	4.45	2.95	4.64
852	3.56	1.68	3.28
853	3.74	1.77	3.68
854	2.25	1.65	2.48
855	3.66	2.59	3.64
856	2.08	1.74	2.02
857	3.25	2.64	2.66
858	3.54	2.91	2.82
859	2.51	1.92	2.18
860	3.14	2.29	2.55
861	2.8	1.64	2.57
862	4.3	2.62	3.37
863	2.31	2.23	1.69
864	4.06	2.98	2.73
865	2.61	2.38	1.62
866	3.36	3.24	2.79
867	3.68	3.73	3.43
868	4.57	4.52	4.54
869	3.6	3.23	3.16
870	4.29	3.81	4.01
871	3.06	2.46	2.52
872	4.07	3.57	3.86
873	3.23	2.46	2.88
874	3.77	3.25	3.72
875	3.8	3.24	3.57
876	4.29	3.89	3.87
877	3.69	3.45	2.92
878	4.26	4.01	3.68
879	2.43	2.32	1.77
880	3.39	3.35	2.65
881	3.82	4.13	3.28
882	3.04	3.38	2.71
883	1.56	1.75	1.36
884	2.87	2.86	2.41
885	2.07	2.65	1.87
886	3.61	3.76	2.93
887	3.02	3.27	2.17
888	3.04	2.85	2.47
889	3.54	3.56	2.64
890	1.77	1.83	1.09
891	2.68	2.36	2
892	1.73	1.75	1.12
893	2.39	2.2	1.94
894	1.92	1.99	1.59
895	2.75	2.4	2.11
896	1.6	1.6	1.42
897	2.17	1.96	1.48
898	2.35	2.65	1.73
899	1.76	1.65	1.19
900	2.11	1.75	1.6
901	1.95	2.03	1.37
902	1.9	1.88	1.54
903	2.94	2.71	2.11
904	2.86	2.95	2.18
905	2.65	3.31	2.74
906	1.55	1.67	1.4
907	2.78	2.65	2.25
908	2.74	2.85	2.4
909	3.16	3.26	2.42
910	2.44	2.7	2.05
911	2.47	2.79	2.21
912	1.52	2.17	1.27
913	1.86	2.23	1.49
914	1.13	1.39	0.94
915	2.08	2.11	1.36
916	1.55	1.61	1.2
917	1.94	2.15	1.67
918	1.95	2.45	1.7
919	1.67	2.15	1.63
920	1.62	2.33	1.9
921	1.74	2.15	1.58
922	1.78	2.11	1.56
923	1.48	1.74	0.81
