# Cook - Slo-N-Easy Ranch - JUOC - ITRDB WY067
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27630
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27630.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy067-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wy067-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy067.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wy067.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-05-17
#--------------------
# File_Last_Modified_Date
#   Date: 2019-05-17
#--------------------
# Title
#   Study_Name: Cook - Slo-N-Easy Ranch - JUOC - ITRDB WY067
#--------------------
# Investigators
#   Investigators: Cook, E.R.(https://orcid.org/0000-0001-7478-4176)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2020-01-15.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Slo-N-Easy Ranch
#   Location: Wyoming
#   Northernmost_Latitude: 42.333
#   Southernmost_Latitude: 42.333
#   Easternmost_Longitude: -105.5833
#   Westernmost_Longitude: -105.5833
#   Elevation_m: 2335
#--------------------
# Data_Collection
#   Collection_Name: WY067
#   First_Year: 1296
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Juniperus occidentalis Hook.
#   Common_Name: western juniper
#   Tree_Species_Code: JUOC
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## sne061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sne081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sne081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	sne061_raw	sne091_raw	sne021_raw	sne041_raw	sne111_raw	sne071_raw	sne011_raw	sne051_raw	sne031_raw	sne081_raw
1296	NA	0.425	NA	NA	NA	NA	NA	NA	NA	NA
1297	NA	0.289	NA	NA	NA	NA	NA	NA	NA	NA
1298	NA	0.365	NA	NA	NA	NA	NA	NA	NA	NA
1299	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA
1300	NA	0.442	NA	NA	NA	NA	NA	NA	NA	NA
1301	NA	0.738	NA	NA	NA	NA	NA	NA	NA	NA
1302	NA	0.483	NA	NA	NA	NA	NA	NA	NA	NA
1303	NA	0.543	NA	NA	NA	NA	NA	NA	NA	NA
1304	NA	0.345	NA	NA	NA	NA	NA	NA	NA	NA
1305	NA	0.497	NA	NA	NA	NA	NA	NA	NA	NA
1306	NA	0.299	NA	NA	NA	NA	NA	NA	NA	NA
1307	NA	0.03	NA	NA	NA	NA	0.035	NA	NA	NA
1308	NA	1.002	NA	NA	NA	NA	0.611	NA	NA	NA
1309	NA	0.954	NA	NA	NA	NA	0.33	NA	NA	NA
1310	NA	0.477	NA	NA	NA	NA	0.101	NA	NA	NA
1311	NA	0.499	NA	NA	NA	NA	0.185	NA	NA	NA
1312	NA	0.728	NA	NA	NA	NA	0.25	NA	NA	NA
1313	NA	0.632	NA	NA	NA	NA	0.422	NA	NA	NA
1314	NA	0.77	NA	NA	NA	NA	0.548	NA	NA	NA
1315	NA	0.48	NA	NA	NA	NA	0.519	NA	NA	NA
1316	NA	0.17	NA	NA	NA	NA	0.461	NA	NA	NA
1317	NA	0.532	NA	NA	NA	NA	0.145	NA	NA	NA
1318	NA	0.555	NA	NA	NA	NA	0.41	NA	NA	NA
1319	NA	1.136	NA	NA	NA	NA	0.553	NA	NA	NA
1320	NA	0.91	NA	NA	NA	NA	0.379	NA	NA	NA
1321	NA	0.739	NA	NA	NA	NA	0.273	NA	NA	NA
1322	NA	0.736	NA	NA	NA	NA	0.249	NA	NA	NA
1323	NA	0.368	NA	NA	NA	NA	0.185	NA	NA	NA
1324	NA	0.549	NA	NA	NA	NA	0.249	NA	NA	NA
1325	NA	0.756	NA	NA	NA	NA	0.286	NA	NA	NA
1326	NA	0.947	NA	NA	NA	NA	0.488	NA	NA	NA
1327	NA	0.701	NA	NA	NA	NA	0.444	NA	NA	NA
1328	NA	0.642	NA	NA	NA	NA	0.612	NA	NA	NA
1329	NA	0.538	NA	NA	NA	NA	0.598	NA	NA	NA
1330	NA	0.529	NA	NA	NA	NA	0.515	NA	NA	NA
1331	NA	0.543	NA	NA	NA	NA	0.482	NA	NA	NA
1332	NA	0.736	NA	NA	NA	NA	0.588	NA	NA	NA
1333	NA	1.35	NA	NA	NA	NA	0.807	NA	NA	NA
1334	NA	0.573	NA	NA	NA	NA	0.399	NA	NA	NA
1335	NA	0.298	NA	NA	NA	NA	0.314	NA	NA	NA
1336	NA	0.437	NA	NA	NA	NA	0.294	NA	NA	NA
1337	NA	0.506	NA	NA	NA	NA	0.255	NA	NA	NA
1338	NA	0.699	NA	NA	NA	NA	0.374	NA	NA	NA
1339	NA	0.763	NA	NA	NA	NA	0.217	NA	NA	NA
1340	NA	0.364	NA	NA	NA	NA	0.157	NA	NA	NA
1341	NA	0.566	NA	NA	NA	NA	0.31	NA	NA	NA
1342	NA	0.836	NA	NA	NA	NA	0.296	NA	NA	NA
1343	NA	1.156	NA	NA	NA	NA	0.402	NA	NA	NA
1344	NA	0.215	NA	NA	NA	NA	0.065	NA	NA	NA
1345	NA	0.458	NA	NA	NA	NA	0.053	NA	NA	NA
1346	NA	0.672	NA	NA	NA	NA	0.125	NA	NA	NA
1347	NA	0.588	NA	NA	NA	NA	0.147	NA	NA	NA
1348	NA	0.315	NA	NA	NA	NA	0.065	NA	NA	NA
1349	NA	0.666	NA	NA	NA	NA	0.241	NA	NA	NA
1350	NA	0.386	NA	NA	NA	NA	0.23	NA	NA	NA
1351	NA	0.357	NA	NA	NA	NA	0.31	NA	NA	NA
1352	NA	0.486	NA	NA	NA	NA	0.29	NA	NA	NA
1353	NA	0.679	NA	NA	NA	NA	0.351	NA	NA	NA
1354	NA	0.338	NA	NA	NA	NA	0.344	NA	NA	NA
1355	NA	0.548	NA	NA	NA	NA	0.521	NA	NA	NA
1356	NA	0.471	NA	NA	NA	NA	0.354	NA	NA	NA
1357	NA	0.555	NA	NA	NA	NA	0.399	NA	NA	NA
1358	NA	0.478	NA	NA	NA	NA	0.229	NA	NA	NA
1359	NA	0.854	NA	NA	NA	NA	0.416	NA	NA	NA
1360	NA	0.384	NA	NA	NA	NA	0.394	NA	NA	NA
1361	NA	0.247	NA	NA	NA	NA	0.302	NA	NA	NA
1362	NA	0.243	NA	NA	NA	NA	0.204	NA	NA	NA
1363	NA	0.387	NA	NA	NA	NA	0.434	NA	NA	NA
1364	NA	0.314	NA	NA	NA	NA	0.451	NA	NA	NA
1365	NA	0.283	NA	NA	NA	NA	0.513	NA	NA	NA
1366	NA	0.421	NA	NA	NA	NA	0.229	NA	NA	NA
1367	NA	0.316	NA	NA	NA	NA	0.1	NA	NA	NA
1368	NA	0.216	NA	NA	NA	NA	0.291	NA	NA	NA
1369	NA	0.411	NA	NA	NA	NA	0.35	NA	NA	NA
