# Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16477
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16477.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak137-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak137.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak137.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Alsek Logging Road - PCSI - ITRDB AK137
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Alsek Logging Road
#   Location: Alaska
#   Northernmost_Latitude: 59.5417
#   Southernmost_Latitude: 59.5417
#   Easternmost_Longitude: -139.3511
#   Westernmost_Longitude: -139.3511
#   Elevation_m: 54
#--------------------
# Data_Collection
#   Collection_Name: AK137
#   First_Year: 1576
#   Last_Year: 1995
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ALSE00E0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00E0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00F0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00F0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00L0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00L0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00B0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00B0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00N0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00N0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00M0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00M0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00G0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00G0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00A0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00A0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00D0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00D0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00O0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00O0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ALSE00C0_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ALSE00C0; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ALSE00E0_raw	ALSE00F0_raw	ALSE00L0_raw	ALSE00B0_raw	ALSE00N0_raw	ALSE00M0_raw	ALSE00G0_raw	ALSE00A0_raw	ALSE00D0_raw	ALSE00O0_raw	ALSE00C0_raw
1576	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77	NA
1577	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.37	NA
1578	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.78	NA
1579	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	NA
1580	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25	NA
1581	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA
1582	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA
1583	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	NA
1584	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA
1585	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.82	NA
1586	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	NA
1587	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA
1588	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA
1589	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA
1590	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA
1591	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	NA
1592	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54	NA
1593	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3	NA
1594	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.11	NA
1595	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.44	NA
1596	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.36	NA
1597	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.68	NA
1598	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.59	NA
1599	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66	NA
1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46	NA
1601	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54	NA
1602	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	NA
1603	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	NA
1604	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA
1605	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA
1606	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25	NA
1607	NA	NA	NA	NA	NA	NA	NA	NA	2.08	1.54	NA
1608	NA	NA	NA	NA	NA	NA	NA	NA	2.21	2.07	NA
1609	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.72	NA
1610	NA	NA	NA	NA	NA	NA	NA	NA	1.71	2.01	NA
1611	NA	NA	NA	NA	NA	NA	NA	NA	1.8	2.68	NA
1612	NA	NA	NA	NA	NA	NA	NA	NA	2.05	2.77	NA
1613	NA	NA	NA	NA	NA	NA	NA	NA	2.15	2.6	NA
1614	NA	NA	NA	NA	NA	NA	NA	NA	2	2.58	NA
1615	NA	NA	NA	NA	NA	NA	NA	0.85	1.7	2.04	NA
1616	NA	NA	NA	NA	NA	NA	NA	1.12	1.65	2.15	NA
1617	NA	NA	NA	NA	NA	NA	NA	0.81	1.52	1.47	NA
1618	NA	NA	NA	NA	NA	NA	NA	0.86	1.61	1.41	NA
1619	NA	NA	NA	NA	NA	NA	NA	0.87	1.73	2.02	NA
1620	NA	NA	NA	NA	NA	NA	NA	1.06	1.8	1.69	NA
1621	NA	NA	NA	NA	NA	NA	NA	1.25	2.06	2.52	NA
1622	NA	NA	NA	NA	NA	NA	NA	1.44	1.95	2.24	NA
1623	NA	NA	NA	NA	NA	NA	NA	1.04	1.51	1.37	NA
1624	NA	NA	NA	NA	NA	NA	NA	1.06	0.95	0.94	NA
1625	NA	NA	NA	NA	NA	NA	NA	0.7	0.76	0.66	NA
1626	NA	NA	NA	NA	NA	NA	NA	0.79	0.89	1	NA
1627	NA	NA	NA	NA	NA	NA	NA	1.04	1	1.59	NA
1628	NA	NA	NA	NA	NA	NA	NA	0.91	1.15	1.75	NA
1629	NA	NA	NA	NA	NA	NA	NA	0.75	1.51	1.99	NA
1630	NA	NA	NA	NA	NA	NA	NA	0.91	1.6	2.15	NA
1631	NA	NA	NA	NA	NA	NA	NA	1.21	1.38	1.61	NA
1632	NA	NA	NA	NA	NA	NA	NA	1.67	1.94	2.24	NA
1633	NA	NA	NA	NA	NA	NA	NA	0.95	1.29	1.36	NA
1634	NA	NA	NA	NA	NA	NA	NA	1.31	1.72	2.22	NA
1635	NA	NA	NA	NA	NA	NA	NA	0.97	1.71	2.18	NA
1636	NA	NA	NA	NA	NA	NA	NA	0.84	1.13	1.77	NA
1637	NA	NA	NA	NA	NA	NA	NA	0.79	0.99	1.63	NA
1638	NA	NA	NA	NA	NA	NA	NA	1.04	0.96	1.66	NA
1639	NA	NA	NA	NA	NA	NA	NA	0.93	1.22	1.41	NA
1640	NA	NA	NA	NA	NA	NA	NA	0.88	1.48	2.15	NA
1641	NA	NA	NA	NA	NA	NA	NA	0.54	1.49	1.47	NA
1642	NA	NA	NA	NA	NA	NA	NA	0.58	1.57	1.67	NA
1643	NA	NA	NA	NA	NA	NA	NA	0.84	1.26	1.4	NA
1644	NA	NA	NA	NA	NA	NA	NA	0.97	1.2	1.06	NA
1645	NA	NA	NA	NA	NA	NA	NA	0.93	1.5	1.12	NA
1646	NA	NA	NA	NA	NA	NA	NA	0.65	1.36	1.07	NA
1647	NA	NA	NA	NA	NA	NA	NA	0.55	1.39	1.44	NA
1648	NA	NA	NA	NA	NA	NA	NA	0.58	1.12	1.12	NA
1649	NA	NA	NA	NA	NA	NA	NA	0.59	0.94	0.93	NA
