# de Graauw - Zigafuss House - QUAL - ITRDB WV031
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28247
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28247.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv031-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wv031-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wv031.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wv031.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-10-30
#--------------------
# File_Last_Modified_Date
#   Date: 2019-10-30
#--------------------
# Title
#   Study_Name: de Graauw - Zigafuss House - QUAL - ITRDB WV031
#--------------------
# Investigators
#   Investigators: de Graauw, K.K.; Hessl, A.E.(https://orcid.org/0000-0002-2279-6260)
#--------------------
# Description_Notes_and_Keywords
#   Description: Chronology derived from log building (Zigafuss House; ZH). NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: Kristen K. de Graauw and Amy E. Hessl
#   Journal_Name: Journal of Biogeography
#   Published_Title: Do historic log buildings provide evidence of reforestation following depopulation of Indigenous Peoples?
#   Published_Date_or_Year: 2020
#   Volume: 47
#   Pages: 630-642
#   Issue: 
#   Report_Number: 
#   DOI: 10.1111/jbi.13769
#   Full_Citation: None
#   Abstract: None
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Zigafuss House
#   Location: West Virginia
#   Northernmost_Latitude: 37.91
#   Southernmost_Latitude: 37.91
#   Easternmost_Longitude: -80.62
#   Westernmost_Longitude: -80.62
#   Elevation_m: 745
#--------------------
# Data_Collection
#   Collection_Name: WV031
#   First_Year: 1675
#   Last_Year: 1874
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ZHE103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHE103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHW105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHW105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN209A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN209A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHS104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHS104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN207A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN207A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHE105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHE105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN208A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN208A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHW207A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHW207A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHS106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHS106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHS207A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHS207A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHW209A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHW209A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHW104A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHW104A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHS105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHS105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHW103A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHW103A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHN105A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHN105A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHE106A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHE106A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ZHS208A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ZHS208A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ZHE103A_raw	ZHW105A_raw	ZHN104A_raw	ZHN209A_raw	ZHS104A_raw	ZHN207A_raw	ZHE105A_raw	ZHN208A_raw	ZHW207A_raw	ZHS106A_raw	ZHS207A_raw	ZHN103A_raw	ZHW209A_raw	ZHW104A_raw	ZHS105A_raw	ZHW103A_raw	ZHN105A_raw	ZHE106A_raw	ZHS208A_raw
1675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.645	NA
1676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.215	NA
1677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.465	NA
1678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.113	NA
1679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.167	NA
1680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.191	NA
1681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.635	NA
1682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.633	NA
1683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.614	NA
1684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.869	NA
1685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.454	NA
1686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.655	0.36
1687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.776	0.729
1688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.188	0.988
1689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37	1.074
1690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735	0.915
1691	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.707	1.08
1692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.324	1.34
1693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08	1.228
1694	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.424	1.195
1695	NA	NA	NA	NA	NA	NA	NA	1.102	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.36	0.802
1696	NA	NA	NA	NA	NA	NA	NA	1.499	NA	NA	NA	NA	NA	NA	NA	1.899	NA	1.225	1.118
1697	NA	NA	NA	0.807	NA	NA	NA	1.345	NA	NA	NA	NA	NA	NA	NA	1.076	NA	0.935	0.572
1698	NA	NA	NA	0.673	NA	NA	NA	1.251	NA	NA	NA	NA	NA	NA	NA	0.897	NA	0.705	0.79
1699	NA	NA	NA	0.382	NA	NA	NA	1.361	NA	NA	NA	NA	NA	NA	NA	1.255	NA	0.831	0.496
1700	NA	NA	NA	1.11	NA	NA	NA	2.472	NA	NA	NA	NA	NA	NA	NA	1.962	NA	1.128	0.686
1701	NA	NA	NA	0.879	NA	NA	NA	2.522	NA	NA	NA	NA	NA	NA	NA	2.159	NA	1.186	0.792
1702	NA	NA	NA	0.864	NA	NA	NA	2.383	NA	NA	NA	NA	NA	NA	NA	2.299	NA	1.15	0.71
1703	NA	NA	NA	0.868	NA	NA	NA	2.718	NA	NA	NA	NA	NA	NA	NA	1.645	NA	1.359	0.851
1704	NA	NA	NA	1.095	NA	NA	NA	2.434	NA	NA	NA	NA	NA	NA	NA	1.781	NA	0.981	0.907
1705	NA	NA	NA	1.127	NA	NA	NA	2.566	NA	NA	NA	NA	NA	NA	NA	2.024	NA	1.197	1.086
1706	1.702	NA	NA	1.202	NA	NA	NA	2.498	NA	NA	NA	NA	NA	NA	NA	1.758	NA	1.055	0.904
1707	1.625	NA	NA	0.896	1.179	NA	NA	2.367	NA	NA	NA	NA	NA	NA	NA	1.979	NA	1.087	1.129
1708	0.982	NA	NA	1.058	0.568	NA	0.834	1.768	NA	NA	NA	NA	NA	NA	NA	1.273	NA	0.757	0.789
1709	0.387	NA	NA	0.721	0.22	NA	0.629	1.042	NA	NA	NA	NA	NA	NA	NA	0.861	NA	0.738	0.347
1710	0.328	NA	NA	0.937	0.45	0.48	1.343	2.787	NA	NA	NA	NA	NA	NA	NA	1.013	NA	1.266	1.085
1711	1.483	NA	NA	0.921	0.894	0.591	0.895	1.836	NA	NA	NA	NA	NA	NA	NA	0.927	NA	0.785	0.891
1712	2.385	NA	NA	1.092	1.211	0.747	1.451	1.291	NA	NA	2.113	NA	NA	NA	NA	1.075	NA	0.925	0.803
1713	1.69	NA	NA	0.692	0.872	0.619	0.919	0.894	NA	NA	1.541	NA	NA	NA	NA	0.709	NA	0.568	0.511
1714	1.687	NA	NA	0.65	1.307	0.755	1.105	1.1	NA	NA	1.162	NA	NA	NA	NA	0.539	NA	0.664	0.661
1715	1.143	NA	NA	0.716	1.141	0.867	1.079	0.964	NA	NA	1.106	NA	NA	NA	NA	0.758	NA	0.61	0.62
1716	1.821	NA	NA	0.845	2.432	1.76	1.607	1.234	NA	NA	1.787	NA	NA	NA	NA	1.059	NA	0.92	1.069
1717	1.669	NA	NA	0.967	2.047	0.921	1.161	1.08	NA	NA	1.395	NA	NA	NA	1.32	1.21	NA	0.708	0.883
1718	1.572	NA	NA	0.755	1.799	1.031	0.871	0.946	NA	NA	1.415	NA	NA	NA	1.19	0.957	NA	0.572	0.708
1719	1.128	NA	NA	0.787	1.869	1.58	1.612	1.179	NA	NA	1.585	NA	NA	NA	1.638	0.706	NA	0.65	1.061
1720	1.249	NA	NA	0.961	1.816	0.823	0.964	1.105	NA	NA	1.268	NA	NA	NA	0.909	0.603	NA	0.529	0.738
1721	1.457	NA	NA	0.979	1.58	1.211	0.886	0.855	1.2	NA	1.179	NA	NA	1.413	1.05	0.475	NA	0.88	0.806
1722	1.265	NA	NA	1.043	1.776	1.381	1.254	0.994	1.34	NA	1.238	NA	NA	1.394	1.139	0.609	NA	0.809	0.867
1723	1.469	NA	NA	0.88	1.646	1.145	1.004	0.956	1.45	NA	1.449	NA	NA	1.292	1.446	0.694	NA	0.771	0.296
1724	0.927	NA	NA	1.148	1.658	0.918	0.822	0.856	1.13	NA	0.872	NA	NA	0.818	1.375	0.598	NA	0.647	0.53
1725	1.131	NA	NA	1.254	2.309	1.388	1.548	1.115	1.765	NA	1.668	NA	NA	1.673	2.279	0.751	NA	1.044	1.045
1726	1.037	NA	NA	1	1.461	1.02	1.332	1.004	1.402	NA	1.122	NA	NA	1.55	2.439	0.765	NA	0.834	0.785
1727	1.13	NA	1.011	1.182	1.903	0.811	1.173	0.874	1.335	NA	1.022	NA	NA	1.991	2.183	1.004	NA	0.638	0.592
1728	1.003	NA	0.992	1.415	1.737	0.955	0.854	0.973	1.486	NA	1.39	NA	NA	1.723	2.541	0.868	NA	0.696	0.678
1729	0.974	NA	0.864	0.979	1.452	0.873	1.259	0.886	1.057	NA	1.412	NA	NA	1.327	2.326	0.604	NA	0.661	0.559
