# Pederson - Savage Gulf Update - TSCA - ITRDB TN029
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8534
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8534.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn029-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tn029-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn029.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tn029.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-10
#--------------------
# Title
#   Study_Name: Pederson - Savage Gulf Update - TSCA - ITRDB TN029
#--------------------
# Investigators
#   Investigators: Pederson, N.(https://orcid.org/0000-0003-3830-263X); Griffin, R.D.; Riddle, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Savage Gulf Update
#   Location: Tennessee
#   Northernmost_Latitude: 35.43
#   Southernmost_Latitude: 35.43
#   Easternmost_Longitude: -85.57
#   Westernmost_Longitude: -85.57
#   Elevation_m: 200
#--------------------
# Data_Collection
#   Collection_Name: TN029
#   First_Year: 1635
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Tsuga canadensis (L.) Carr.
#   Common_Name: eastern hemlock
#   Tree_Species_Code: TSCA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## sav01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav11b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav11b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav13a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav13a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav16a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav16a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav17a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav17a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav18a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav18a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav20a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav20a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav21a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav21a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav22a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav22a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav23a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav23a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav24a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav24a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav25a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav25a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav26a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav26a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav27a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav27a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav28a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav28a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## sav29a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: sav29a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	sav01a_raw	sav02a_raw	sav03a_raw	sav04a_raw	sav05a_raw	sav06a_raw	sav07a_raw	sav08a_raw	sav10a_raw	sav11b_raw	sav12a_raw	sav13a_raw	sav14a_raw	sav15a_raw	sav16a_raw	sav17a_raw	sav18a_raw	sav20a_raw	sav21a_raw	sav22a_raw	sav23a_raw	sav24a_raw	sav25a_raw	sav26a_raw	sav27a_raw	sav28a_raw	sav29a_raw
1635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.573	NA
1636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.484	NA
1637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.657	NA
1638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.702	NA
1639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.786	NA
1640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.717	NA
1641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.805	NA
1642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA
1643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.881	NA
1644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.003	NA
1645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.882	NA
1646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.008	NA
1647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.223	NA
1648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.775	NA
1649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.897	NA
1650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86	NA
1651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.989	NA
1652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.024	NA
1653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA
1654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.984	NA
1655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.964	NA
1656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.463	NA
1657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.044	NA
1658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.414	NA
1659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.415	NA	NA	NA	2.016	NA
1660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.337	NA	NA	NA	0.548	NA	NA	0.581	NA	NA	NA	1.829	NA
1661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.265	NA	NA	NA	0.413	NA	NA	0.901	NA	NA	NA	1.873	NA
1662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.055	NA	NA	NA	0.638	NA	NA	1.019	NA	NA	NA	1.382	NA
1663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.934	NA	NA	NA	0.323	NA	NA	0.733	NA	NA	NA	1.641	NA
1664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.403	NA	NA	NA	0.428	NA	NA	0.665	NA	NA	NA	1.437	NA
1665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.316	NA	NA	NA	0.435	NA	NA	0.623	NA	NA	NA	1.366	NA
1666	1.876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.274	NA	NA	NA	0.314	NA	NA	0.786	NA	NA	NA	1.473	NA
1667	1.731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.303	NA	NA	NA	0.309	NA	2.07	0.49	NA	NA	NA	1.54	NA
1668	1.214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.368	NA	NA	NA	0.404	NA	2.201	0.69	NA	NA	NA	1.757	NA
1669	1.339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.213	NA	NA	NA	0.616	NA	2.003	0.604	NA	NA	NA	1.802	NA
1670	1.346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.878	NA	NA	NA	0.621	NA	1.776	0.76	NA	NA	NA	1.628	NA
1671	0.956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.464	NA	NA	NA	0.276	NA	1.598	0.594	NA	NA	NA	1.294	NA
1672	1.174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.538	NA	NA	NA	0.269	NA	1.709	0.563	NA	NA	NA	1.186	NA
1673	1.154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.357	NA	NA	0.994	0.474	NA	2.135	0.861	NA	NA	NA	1.814	NA
1674	1.291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.368	NA	NA	0.679	0.943	NA	1.924	0.845	NA	NA	NA	1.877	NA
1675	1.211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.871	NA	NA	0.527	0.651	NA	1.198	0.604	NA	NA	NA	1.7	NA
1676	0.945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.38	NA	NA	0.552	0.53	NA	1.218	0.628	NA	NA	NA	1.532	NA
1677	1.396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.462	NA	NA	0.923	0.662	NA	1.076	0.564	NA	NA	NA	1.443	NA
1678	1.233	NA	NA	NA	1.376	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.201	NA	NA	0.894	0.446	NA	0.898	0.667	NA	NA	NA	1.177	NA
1679	1.458	NA	NA	NA	1.457	NA	1.77	NA	NA	NA	NA	NA	NA	NA	0.943	NA	NA	0.537	0.432	NA	0.885	0.543	NA	NA	NA	1.155	NA
1680	1.869	NA	NA	NA	1.562	NA	2.03	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	0.68	0.333	NA	1.002	0.523	NA	NA	NA	1.457	NA
1681	1.036	NA	NA	NA	1.749	NA	0.942	NA	NA	NA	NA	NA	NA	NA	0.652	NA	NA	0.269	0.212	NA	0.381	0.271	NA	NA	NA	0.833	NA
1682	1.022	NA	NA	NA	1.364	NA	1.382	NA	NA	NA	NA	NA	NA	NA	1.214	NA	NA	0.599	0.446	NA	0.811	0.425	NA	NA	NA	1.582	NA
