# Young - Rainbow Falls Trail - CADN - ITRDB TN015
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5392
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5392.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn015-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; tn015-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/tn015.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tn015.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Young - Rainbow Falls Trail - CADN - ITRDB TN015
#--------------------
# Investigators
#   Investigators: Young, J.; Keeland, R.; Alford, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rainbow Falls Trail
#   Location: Tennessee
#   Northernmost_Latitude: 35.67
#   Southernmost_Latitude: 35.67
#   Easternmost_Longitude: -83.5
#   Westernmost_Longitude: -83.5
#   Elevation_m: 825
#--------------------
# Data_Collection
#   Collection_Name: TN015
#   First_Year: 1695
#   Last_Year: 1922
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Castanea dentata (Marsh.) Borkh.
#   Common_Name: American Chestnut
#   Tree_Species_Code: CADN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## RFT03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT08D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT08D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT10E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT10E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT13B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT13B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RFT21B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RFT21B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	RFT03B_raw	RFT05B_raw	RFT08A_raw	RFT08B_raw	RFT08D_raw	RFT10B_raw	RFT10C_raw	RFT10E_raw	RFT13B_raw	RFT21A_raw	RFT21B_raw
1695	NA	NA	NA	NA	2.615	NA	NA	NA	NA	NA	NA
1696	NA	NA	2.118	NA	2.596	NA	NA	NA	NA	NA	NA
1697	NA	NA	1.714	NA	2.037	NA	NA	NA	NA	NA	NA
1698	NA	NA	2.006	NA	2.359	NA	NA	NA	NA	NA	NA
1699	NA	NA	2.075	NA	2.311	NA	NA	NA	NA	NA	NA
1700	NA	NA	2.178	NA	1.952	NA	NA	NA	NA	NA	NA
1701	NA	NA	2.015	NA	2.195	NA	NA	NA	NA	NA	NA
1702	NA	NA	1.821	NA	2	NA	NA	NA	NA	NA	NA
1703	NA	NA	1.149	NA	1.185	NA	NA	NA	NA	NA	NA
1704	NA	NA	1.361	NA	1.531	NA	NA	NA	NA	NA	NA
1705	NA	NA	1.652	NA	1.739	NA	NA	NA	NA	NA	NA
1706	NA	NA	2.046	NA	2.375	NA	NA	NA	NA	NA	NA
1707	NA	NA	2.26	NA	2.301	NA	NA	NA	NA	NA	NA
1708	NA	NA	1.388	NA	1.427	NA	NA	NA	NA	NA	NA
1709	NA	NA	1.302	NA	1.618	NA	NA	NA	NA	NA	NA
1710	NA	NA	1.503	NA	1.434	NA	NA	NA	NA	NA	NA
1711	NA	NA	1.996	NA	2.152	NA	NA	NA	NA	NA	NA
1712	NA	NA	2.118	NA	2.09	NA	NA	NA	NA	NA	NA
1713	NA	NA	2	NA	1.721	NA	NA	NA	NA	NA	NA
1714	NA	NA	1.937	NA	2.001	NA	NA	NA	NA	NA	NA
1715	NA	NA	1.728	NA	1.643	NA	NA	NA	NA	NA	NA
1716	NA	NA	1.82	NA	1.598	NA	NA	NA	NA	NA	NA
1717	NA	NA	2.004	NA	1.72	NA	NA	NA	NA	NA	NA
1718	NA	NA	1.67	NA	1.622	NA	NA	NA	NA	NA	NA
1719	NA	NA	1.402	NA	1.227	NA	NA	NA	NA	NA	NA
1720	NA	NA	1.412	NA	1.513	NA	NA	NA	NA	NA	NA
1721	NA	NA	1.597	NA	1.583	NA	NA	NA	NA	NA	NA
1722	NA	NA	1.63	NA	1.878	NA	NA	NA	NA	NA	NA
1723	NA	NA	1.482	NA	1.674	NA	NA	NA	NA	NA	NA
1724	NA	NA	1.211	NA	1.256	NA	NA	NA	NA	NA	NA
1725	NA	NA	1.141	NA	1.046	NA	NA	NA	NA	NA	NA
1726	NA	NA	1.139	NA	1.072	NA	NA	NA	NA	NA	NA
1727	NA	NA	1.47	NA	1.384	NA	NA	NA	NA	NA	NA
1728	NA	NA	1.106	NA	1.068	NA	NA	NA	NA	NA	NA
1729	NA	NA	1.367	NA	1.194	NA	NA	NA	NA	NA	NA
1730	NA	NA	1.324	NA	1.439	NA	NA	NA	NA	NA	NA
1731	NA	NA	1.525	NA	1.579	NA	NA	NA	NA	NA	NA
1732	NA	NA	1.845	NA	1.588	NA	NA	NA	NA	NA	NA
1733	NA	NA	1.888	NA	1.865	NA	NA	NA	NA	NA	NA
1734	NA	NA	2.119	NA	2.035	NA	NA	NA	NA	NA	NA
1735	NA	NA	1.483	NA	1.468	NA	NA	NA	NA	NA	NA
1736	NA	NA	1.444	NA	1.655	NA	NA	NA	NA	NA	NA
1737	NA	NA	1.624	NA	1.782	NA	NA	NA	NA	NA	NA
1738	NA	NA	1.744	NA	2.138	NA	NA	NA	NA	NA	NA
1739	NA	NA	1.898	NA	1.956	NA	NA	NA	NA	NA	NA
1740	NA	NA	2.048	NA	2.184	NA	NA	NA	NA	NA	NA
1741	NA	NA	1.881	NA	2.199	NA	NA	NA	NA	NA	NA
1742	NA	NA	1.794	NA	2.037	NA	NA	NA	NA	NA	NA
1743	NA	NA	1.911	NA	2.134	NA	NA	NA	NA	NA	NA
1744	NA	NA	1.894	NA	2.198	NA	NA	NA	NA	NA	NA
1745	NA	NA	2.052	NA	2.316	NA	NA	NA	NA	NA	NA
1746	NA	NA	1.771	NA	1.818	NA	NA	NA	NA	NA	NA
1747	NA	NA	1.242	NA	1.105	NA	NA	NA	NA	NA	NA
1748	NA	NA	1.718	NA	1.871	NA	NA	NA	NA	NA	NA
1749	NA	NA	1.372	NA	1.223	NA	NA	NA	NA	NA	NA
1750	NA	NA	1.119	NA	1.229	NA	NA	NA	NA	NA	NA
1751	NA	NA	1.209	NA	1.254	NA	NA	NA	NA	NA	NA
1752	NA	NA	1.611	NA	1.774	NA	NA	NA	NA	NA	NA
1753	NA	NA	1.743	NA	1.845	NA	NA	NA	NA	NA	NA
1754	NA	NA	1.959	NA	2.099	NA	NA	NA	NA	NA	NA
1755	NA	NA	1.729	NA	1.722	NA	NA	NA	NA	NA	NA
1756	NA	NA	1.714	NA	1.631	NA	NA	NA	NA	NA	NA
1757	NA	NA	2.758	NA	2.571	3.377	NA	NA	3.249	NA	NA
1758	NA	NA	2.341	NA	2.251	2.874	NA	NA	3.23	NA	NA
1759	NA	NA	2.515	NA	2.339	2.909	NA	NA	2.374	NA	NA
1760	NA	NA	2.392	NA	2.191	2.585	NA	NA	2.387	NA	NA
1761	NA	NA	3.22	NA	3.208	3.23	NA	NA	1.954	NA	NA
1762	NA	NA	2.086	NA	2.055	2.696	NA	NA	1.548	NA	NA
1763	NA	NA	2.123	NA	2.146	3.242	NA	NA	1.532	NA	NA
1764	NA	NA	2.657	NA	2.495	3.829	NA	NA	2.115	NA	NA
1765	NA	NA	2.182	NA	1.932	3.533	NA	NA	2.161	NA	NA
1766	NA	NA	2.315	NA	1.958	3.606	NA	NA	1.465	NA	NA
