# Jacoby - Chisana Air - PCGL - ITRDB AK076
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3590
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3590.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak076-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak076-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak076.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak076.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2006-04-26
#--------------------
# Title
#   Study_Name: Jacoby - Chisana Air - PCGL - ITRDB AK076
#--------------------
# Investigators
#   Investigators: Jacoby, G.C.; Davi, N.K.(https://orcid.org/0000-0002-4529-5418); Wiles, G.(https://orcid.org/0000-0001-7977-5383)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Chisana Air
#   Location: Alaska
#   Northernmost_Latitude: 62.08
#   Southernmost_Latitude: 62.08
#   Easternmost_Longitude: -142.02
#   Westernmost_Longitude: -142.02
#   Elevation_m: 1006
#--------------------
# Data_Collection
#   Collection_Name: AK076
#   First_Year: 1415
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA1E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA1E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA3SW1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA3SW1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA4SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA4SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA4NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA4NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA5N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA5N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA1E_raw	CA2N_raw	CA3S_raw	CA3N_raw	CA3SW1_raw	CA4SE_raw	CA4NW_raw	CA5N_raw
1415	NA	NA	NA	NA	NA	NA	NA	0.441
1416	NA	NA	NA	NA	NA	NA	NA	0.463
1417	NA	NA	NA	NA	NA	NA	NA	0.379
1418	NA	NA	NA	NA	NA	NA	NA	0.49
1419	NA	NA	NA	NA	NA	NA	NA	0.472
1420	NA	NA	NA	NA	NA	NA	NA	0.411
1421	NA	NA	NA	NA	NA	NA	NA	0.337
1422	NA	NA	NA	NA	NA	NA	NA	0.247
1423	NA	NA	NA	NA	NA	NA	NA	0.351
1424	NA	NA	NA	NA	NA	NA	NA	0.332
1425	NA	NA	NA	NA	NA	NA	NA	0.302
1426	NA	NA	NA	NA	NA	NA	NA	0.174
1427	NA	NA	NA	NA	NA	NA	NA	0.223
1428	NA	NA	NA	NA	NA	NA	NA	0.162
1429	NA	NA	NA	NA	NA	NA	NA	0.238
1430	NA	NA	NA	NA	NA	NA	NA	0.194
1431	NA	NA	NA	NA	NA	NA	NA	0.274
1432	NA	NA	NA	NA	NA	NA	NA	0.191
1433	NA	NA	NA	NA	NA	NA	NA	0.234
1434	NA	NA	NA	NA	NA	NA	NA	0.197
1435	NA	NA	NA	NA	NA	NA	NA	0.19
1436	NA	NA	NA	NA	NA	NA	NA	0.177
1437	NA	NA	NA	NA	NA	NA	NA	0.162
1438	NA	NA	NA	NA	NA	NA	NA	0.216
1439	NA	NA	NA	NA	NA	NA	NA	0.097
1440	NA	NA	NA	NA	NA	NA	NA	0.107
1441	NA	NA	NA	NA	NA	NA	NA	0.138
1442	NA	NA	NA	NA	NA	NA	NA	0.115
1443	NA	NA	NA	NA	NA	NA	NA	0.131
1444	NA	NA	NA	NA	NA	NA	NA	0.094
1445	NA	NA	NA	NA	NA	NA	NA	0.109
1446	NA	NA	NA	NA	NA	NA	NA	0.092
1447	NA	NA	NA	NA	NA	NA	NA	0.131
1448	NA	NA	NA	NA	NA	NA	NA	0.129
1449	NA	NA	NA	NA	NA	NA	NA	0.128
1450	NA	NA	NA	NA	NA	NA	NA	0.107
1451	NA	NA	NA	NA	NA	NA	NA	0.119
1452	NA	NA	NA	NA	NA	NA	NA	0.111
1453	NA	NA	NA	NA	NA	NA	NA	0.112
1454	NA	NA	NA	NA	NA	NA	NA	0.116
1455	NA	NA	NA	NA	NA	NA	NA	0.119
1456	NA	NA	NA	NA	NA	NA	NA	0.093
1457	NA	NA	NA	NA	NA	NA	NA	0.109
1458	NA	NA	NA	NA	NA	NA	NA	0.092
1459	NA	NA	NA	NA	NA	NA	NA	0.097
1460	NA	NA	NA	NA	NA	NA	NA	0.107
1461	NA	NA	NA	NA	NA	NA	NA	0.093
1462	NA	NA	NA	NA	NA	NA	NA	0.121
1463	NA	NA	NA	NA	NA	NA	NA	0.123
1464	NA	NA	NA	NA	NA	NA	NA	0.11
1465	NA	NA	NA	NA	NA	NA	NA	0.102
1466	NA	NA	NA	NA	NA	NA	NA	0.108
1467	NA	NA	NA	NA	NA	NA	NA	0.147
1468	NA	NA	NA	NA	NA	NA	NA	0.137
1469	NA	NA	NA	NA	NA	NA	NA	0.098
1470	NA	NA	NA	NA	NA	NA	NA	0.105
1471	NA	NA	NA	NA	NA	NA	NA	0.131
1472	NA	NA	NA	NA	NA	NA	NA	0.115
1473	NA	NA	NA	NA	NA	NA	NA	0.075
1474	NA	NA	NA	NA	NA	NA	NA	0.145
1475	NA	NA	NA	NA	NA	NA	NA	0.16
1476	NA	NA	NA	NA	NA	NA	NA	0.18
1477	NA	NA	NA	NA	NA	NA	NA	0.161
1478	NA	NA	NA	NA	NA	NA	NA	0.066
1479	NA	NA	NA	NA	NA	NA	NA	0.104
1480	NA	NA	NA	NA	NA	NA	NA	0.161
1481	NA	NA	NA	NA	NA	NA	NA	0.118
1482	NA	NA	NA	NA	NA	NA	NA	0.18
1483	NA	NA	NA	NA	NA	NA	NA	0.118
1484	NA	NA	NA	NA	NA	NA	NA	0.121
1485	NA	NA	NA	NA	NA	NA	NA	0.13
1486	NA	NA	NA	NA	NA	NA	NA	0.107
1487	NA	NA	NA	NA	NA	NA	NA	0.121
1488	NA	NA	NA	NA	NA	NA	NA	0.161
1489	NA	NA	NA	NA	NA	NA	NA	0.111
1490	NA	NA	NA	NA	NA	NA	NA	0.102
1491	NA	NA	NA	NA	NA	NA	NA	0.1
1492	NA	NA	NA	NA	NA	NA	NA	0.114
1493	NA	NA	NA	NA	NA	NA	NA	0.154
1494	NA	NA	NA	NA	NA	NA	NA	0.099
1495	NA	NA	NA	NA	NA	NA	NA	0.166
1496	NA	NA	NA	NA	NA	NA	NA	0.137
1497	NA	NA	NA	NA	NA	NA	NA	0.093
1498	NA	NA	NA	NA	NA	NA	NA	0.1
1499	NA	NA	NA	NA	NA	NA	NA	0.093
1500	NA	NA	NA	NA	NA	NA	NA	0.131
1501	NA	NA	NA	NA	NA	NA	NA	0.164
1502	NA	NA	NA	NA	NA	NA	NA	0.178
1503	NA	NA	NA	NA	NA	NA	NA	0.133
