# Yamaguchi - Copalis River snags - THPL - ITRDB WA130
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5380
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5380.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa130-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa130-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa130.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa130.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Copalis River snags - THPL - ITRDB WA130
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Copalis River snags
#   Location: Washington
#   Northernmost_Latitude: 47.13
#   Southernmost_Latitude: 47.13
#   Easternmost_Longitude: -124.18
#   Westernmost_Longitude: -124.18
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA130
#   First_Year: 1305
#   Last_Year: 1680
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CP7892_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP7892; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP790_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP790; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP791_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP791; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP793_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP793; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CP794_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CP794; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CPGF2NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CPGF2NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CP7892_raw	CP790_raw	CP791_raw	CP793_raw	CP794_raw	CPGF2A_raw	CPGF2B_raw	CPGF2NW_raw
1305	NA	2.91	NA	NA	NA	NA	NA	NA
1306	NA	1.87	NA	NA	NA	NA	NA	NA
1307	NA	2.29	NA	NA	NA	NA	NA	NA
1308	NA	1.84	NA	NA	NA	NA	NA	NA
1309	NA	2.14	NA	NA	NA	NA	NA	NA
1310	NA	1.96	NA	NA	NA	NA	NA	NA
1311	NA	1.86	NA	NA	NA	NA	NA	NA
1312	NA	2.35	NA	NA	NA	NA	NA	NA
1313	NA	2.23	NA	NA	NA	NA	NA	NA
1314	NA	2.07	NA	NA	NA	NA	NA	NA
1315	NA	1.56	NA	NA	NA	NA	NA	NA
1316	NA	1.66	NA	NA	NA	NA	NA	NA
1317	NA	1.45	NA	NA	NA	NA	NA	NA
1318	NA	1.48	NA	NA	NA	NA	NA	NA
1319	NA	1.54	NA	NA	NA	NA	NA	NA
1320	NA	1.49	NA	NA	NA	NA	NA	NA
1321	NA	1.44	NA	NA	NA	NA	NA	NA
1322	NA	2.09	NA	NA	NA	NA	NA	NA
1323	NA	1.8	NA	NA	NA	NA	NA	NA
1324	NA	1.55	NA	NA	NA	NA	NA	NA
1325	NA	1.51	NA	NA	NA	NA	NA	NA
1326	NA	1.45	NA	NA	2.11	NA	NA	NA
1327	NA	1.57	NA	NA	2.06	NA	NA	NA
1328	NA	1.75	NA	NA	2.18	NA	NA	NA
1329	NA	1.78	NA	NA	2.79	NA	NA	NA
1330	1.63	1.53	NA	NA	2.66	NA	NA	NA
1331	1.19	1.29	NA	NA	2.38	NA	NA	NA
1332	1.25	1.32	NA	NA	2.68	NA	NA	NA
1333	1.81	1.42	NA	NA	2.87	NA	NA	NA
1334	2.3	1.46	NA	NA	2.36	NA	NA	NA
1335	2.56	1.16	NA	NA	3.24	NA	NA	NA
1336	3.17	0.96	NA	NA	2.7	NA	NA	NA
1337	2.93	0.85	NA	3.61	2.73	NA	NA	NA
1338	1.73	0.83	NA	3.08	2.5	NA	NA	NA
1339	1.27	0.75	NA	2.77	2.26	NA	NA	NA
1340	1.1	0.91	NA	1.99	1.84	NA	NA	NA
1341	0.7	1.11	NA	3.05	2.05	NA	NA	NA
1342	1.03	1.2	NA	2.79	1.97	NA	NA	NA
1343	1.31	1.25	NA	2.68	2.22	NA	NA	NA
1344	0.81	0.87	NA	1.5	1.92	NA	NA	NA
1345	1.02	1	NA	1.69	1.98	NA	NA	NA
1346	1.13	1.23	NA	1.61	2.14	NA	NA	NA
1347	1.66	1.26	NA	1.69	2.36	NA	NA	NA
1348	1.72	1.35	NA	1.51	2.31	NA	NA	NA
1349	2.02	1.33	NA	1.03	2.72	NA	NA	NA
1350	2.19	1.52	NA	1.49	3.15	NA	NA	NA
1351	1.84	1.12	NA	1.27	2.43	NA	NA	NA
1352	1.65	1.35	NA	1.34	2.45	NA	NA	NA
1353	1.53	1.42	NA	0.98	2.2	NA	NA	NA
1354	1.54	1.54	NA	1.18	2.44	NA	NA	NA
1355	1.45	1.33	NA	0.8	1.81	NA	NA	NA
1356	1.38	1.73	NA	1.2	2.42	NA	NA	NA
1357	1.03	1.57	NA	1.15	2.03	NA	NA	NA
1358	0.88	1.83	NA	1.01	2.57	NA	NA	NA
1359	0.63	1.77	NA	0.86	2.63	NA	NA	NA
1360	0.91	1.61	NA	1.57	2.92	NA	NA	NA
1361	0.82	2.1	NA	1.3	2.93	NA	NA	NA
1362	0.64	1.68	NA	1.19	2.64	NA	NA	NA
1363	0.55	1.4	NA	1.4	3.35	NA	NA	NA
1364	0.36	1.2	NA	0.92	2.43	NA	NA	NA
1365	0.74	1.27	NA	1.57	3.49	NA	NA	NA
1366	0.76	1.34	NA	1.04	2.35	NA	NA	NA
1367	0.75	1.26	NA	0.84	2.53	NA	NA	NA
1368	0.87	1.32	NA	1.16	3.16	NA	NA	NA
1369	0.71	1.17	NA	0.55	2.39	NA	NA	NA
1370	0.87	1.18	NA	1.01	2.78	NA	NA	NA
1371	0.99	1.06	NA	1.03	2.54	NA	NA	NA
1372	1.06	0.87	NA	1.18	2.27	NA	NA	NA
1373	1.16	0.96	NA	0.87	2.54	NA	NA	NA
1374	1.47	0.92	NA	1.33	3.26	NA	NA	NA
1375	2.21	1.04	NA	1.43	2.79	NA	NA	NA
1376	2.16	0.99	NA	1.11	3.07	NA	NA	NA
1377	2.05	0.99	NA	1.04	2.79	NA	NA	NA
1378	2.75	1.31	NA	1.16	2.84	NA	NA	NA
1379	3.29	1.29	NA	1.09	3.89	NA	NA	NA
1380	3.27	1.15	NA	1.3	2.84	NA	NA	NA
1381	2.67	1.11	NA	1.22	2.54	NA	NA	NA
1382	2.7	1.03	NA	1.26	3.05	NA	NA	NA
1383	2.56	0.84	NA	1.18	2.72	NA	NA	NA
1384	2	0.86	NA	1.35	2.73	NA	NA	NA
