# Stokes - Wofford Lookout Tower - PSME - ITRDB NM097
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5055
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5055.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm097-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm097-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm097.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm097.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Stokes - Wofford Lookout Tower - PSME - ITRDB NM097
#--------------------
# Investigators
#   Investigators: Stokes, M.A.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Wofford Lookout Tower
#   Location: New Mexico
#   Northernmost_Latitude: 32.98
#   Southernmost_Latitude: 32.98
#   Easternmost_Longitude: -105.7
#   Westernmost_Longitude: -105.7
#   Elevation_m: 2791
#--------------------
# Data_Collection
#   Collection_Name: NM097
#   First_Year: 1663
#   Last_Year: 1965
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 150011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 150011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 150021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 150021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 150031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 150031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 150041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 150041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 150051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 150051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	150011_raw	150021_raw	150031_raw	150041_raw	150051_raw
1663	NA	0.93	NA	NA	NA
1664	NA	0.62	NA	NA	NA
1665	NA	1.02	NA	NA	NA
1666	NA	0.5	NA	NA	NA
1667	NA	0.14	NA	NA	NA
1668	NA	0.33	NA	NA	NA
1669	NA	0.37	NA	NA	NA
1670	NA	0.36	NA	NA	NA
1671	NA	0.62	NA	NA	NA
1672	NA	0.41	NA	NA	NA
1673	NA	0.49	NA	NA	NA
1674	NA	0.24	NA	NA	NA
1675	NA	0.48	NA	NA	NA
1676	NA	0.48	NA	NA	NA
1677	NA	0.39	NA	NA	NA
1678	NA	0.3	NA	NA	NA
1679	NA	0.3	NA	NA	NA
1680	NA	0.47	NA	NA	NA
1681	NA	0.39	NA	NA	NA
1682	NA	0.61	NA	NA	NA
1683	NA	0.7	NA	NA	NA
1684	NA	0.18	NA	NA	NA
1685	NA	0.13	NA	NA	NA
1686	NA	0.82	NA	NA	NA
1687	NA	0.55	NA	NA	NA
1688	NA	0.56	NA	NA	NA
1689	NA	1.13	NA	NA	NA
1690	NA	1.46	NA	NA	NA
1691	NA	0.91	NA	NA	NA
1692	NA	1.31	NA	NA	NA
1693	NA	1.04	NA	NA	NA
1694	NA	0.4	NA	NA	NA
1695	NA	0.51	NA	NA	NA
1696	NA	0.1	NA	NA	NA
1697	NA	0.58	NA	NA	NA
1698	NA	0.42	NA	NA	NA
1699	NA	0.48	NA	NA	NA
1700	NA	0.28	NA	NA	NA
1701	NA	0.37	NA	NA	NA
1702	NA	0.32	NA	NA	NA
1703	NA	0.26	NA	NA	NA
1704	NA	0.29	NA	NA	NA
1705	NA	0.15	NA	NA	NA
1706	NA	0.36	NA	NA	NA
1707	NA	0.47	NA	NA	NA
1708	NA	0.87	NA	NA	NA
1709	NA	1.27	1.67	NA	NA
1710	NA	2.13	1.84	NA	NA
1711	NA	1.93	1.61	NA	NA
1712	NA	2.13	1.54	NA	NA
1713	NA	1.73	1.51	NA	NA
1714	NA	1.27	1.06	NA	NA
1715	NA	1.15	1.13	NA	NA
1716	NA	0.87	0.53	NA	NA
1717	NA	2.4	1.05	NA	NA
1718	NA	3.12	0.98	NA	NA
1719	NA	1.67	1.07	NA	NA
1720	NA	2.64	1.11	NA	NA
1721	NA	3.49	1.22	NA	NA
1722	NA	3.63	1.37	NA	NA
1723	NA	1.7	1.22	NA	NA
1724	NA	1.84	1.14	NA	NA
1725	NA	2.02	1.57	NA	NA
1726	NA	2.93	1.62	NA	NA
1727	NA	2.03	1.43	NA	NA
1728	NA	2.27	1.39	NA	NA
1729	NA	0.45	1.36	NA	NA
1730	NA	1.24	0.72	NA	NA
1731	NA	1.07	1.25	NA	NA
1732	NA	0.96	1.59	NA	NA
1733	NA	0.3	0.76	NA	NA
1734	NA	0.96	1.13	NA	NA
1735	NA	0.92	1.25	NA	NA
1736	NA	0.81	1.49	NA	NA
1737	NA	0.77	1.71	NA	NA
1738	NA	0.59	1.87	NA	NA
1739	NA	0.48	1.31	NA	NA
1740	NA	0.54	1.04	NA	NA
1741	NA	0.73	2.62	NA	NA
1742	3.03	0.7	2.85	NA	NA
1743	4.71	0.88	2.36	NA	NA
1744	4.44	0.97	2.86	NA	NA
1745	3.15	0.98	1.64	NA	NA
1746	4.02	1.41	1.79	NA	NA
1747	3.77	1.84	2	NA	NA
1748	2.07	0.75	1.84	NA	NA
1749	2.8	1.21	1.54	NA	NA
1750	2.86	1.02	0.83	NA	NA
1751	3.65	1.74	1.54	NA	NA
1752	1.81	0.8	0.8	NA	NA
1753	2.65	1.29	0.87	NA	NA
1754	2.54	1.47	1.22	NA	NA
1755	2.56	1.33	1.26	NA	NA
1756	2.62	1.09	1.32	NA	NA
1757	2.03	0.62	0.99	NA	NA
1758	3.1	1.41	1.53	NA	NA
1759	3.1	1.5	1.66	NA	2.45
1760	2.64	1.42	1.32	NA	1.91
1761	2.4	1.63	1.34	NA	2.08
1762	2.87	2.02	1.46	NA	2.19
1763	1.42	0.84	0.79	NA	1.63
1764	1.84	0.96	1.69	NA	2.71
1765	1.7	0.92	1.96	NA	2.22
1766	2.6	1.81	1.61	NA	2.61
1767	2.59	2.34	2.14	NA	2.87
1768	2.04	2.02	1.42	NA	1.69
1769	2.26	2.54	1.4	NA	2.05
1770	1.43	2.28	1.19	NA	1.61
1771	2.43	3.18	1.43	NA	2.49
1772	1.58	1.82	1.08	NA	1.86
1773	1.06	1.08	0.74	NA	1.54
1774	1.36	1.45	0.89	NA	1.25
1775	1.79	1.79	1.02	NA	2
1776	1.63	1.66	0.96	NA	2.11
1777	0.96	1.1	0.69	NA	1.47
1778	1.72	1.26	0.72	NA	1.72
1779	1.94	1.96	1.08	NA	2.16
1780	1.28	1.04	0.83	NA	1.35
1781	1.64	2.44	1.07	NA	1.94
1782	1.03	1.15	0.63	NA	1.07
1783	1.85	3.21	1.16	NA	1.68
1784	2.38	4.03	1.56	NA	2.22
1785	1.83	2.51	1.35	NA	1.63
1786	1.55	2.04	0.96	NA	1.59
1787	1.58	1.67	1.15	NA	1.79
1788	2.14	1.84	1.18	NA	2.36
1789	1.17	0.83	0.58	NA	1.69
1790	1.74	1.01	0.61	NA	2.48
1791	2.36	1.11	1.22	NA	3.34
1792	2.93	0.98	1.19	NA	3.36
1793	3.25	1.41	1.66	NA	4.63
1794	2.56	1.03	1.59	NA	3.28
1795	1.17	0.72	0.78	NA	1.53
1796	1.34	1.06	1.22	NA	2.91
1797	1.74	1.37	1.16	NA	2.19
1798	1.44	1.23	0.89	NA	1.31
1799	2.25	1.76	1.07	NA	1.7
1800	1.98	1.5	1.3	NA	2.72
1801	1.87	1.2	1.14	NA	2.08
1802	1.81	1.72	1.51	NA	2.62
1803	1.84	1.81	1.7	NA	2.33
1804	1.37	1.25	1.55	1.61	1.71
1805	1.03	1.07	1.28	1.46	1.66
1806	1.21	1.14	1.17	1.05	2.05
1807	1.95	2.1	1.61	1.3	2.44
1808	2.32	2.23	1.67	1.44	3.5
1809	2.1	1.95	1.71	1.14	2.37
1810	1.63	1.9	1.51	0.76	2.16
1811	1.63	1.54	1.53	1.01	2.05
1812	1.56	1.82	2.03	1.11	1.5
1813	1.14	1.19	1.1	0.63	1.59
1814	1.25	1.6	1.53	1.06	1.1
1815	1.47	1.93	1.55	1.1	1.51
1816	2	2.32	1.68	1.57	1.83
1817	1.26	1.49	1.14	1.06	1.01
1818	0.77	0.8	0.94	0.8	0.76
1819	0.85	1.11	1	0.8	0.92
1820	1	1.34	1.14	0.75	0.62
1821	1.22	1.61	1.08	1.01	1.08
1822	0.91	1.02	0.82	0.83	1
1823	1.34	1.51	1.24	1.11	1.53
1824	1.14	1.23	0.85	0.85	1.21
1825	1.3	1.38	1.38	1.22	1.16
1826	1.36	1.67	1.41	1.34	1.51
1827	1	1.82	1.2	1.25	1.99
1828	1.13	1.63	1.52	1.22	2.56
1829	1.26	2.22	2.59	1.13	3.2
1830	1.09	1.46	2.59	1.34	2.14
1831	1.16	1.62	2.74	1.31	2.22
1832	0.71	1.02	2.29	1.66	1.67
1833	0.78	1.26	2.09	1.15	1.84
1834	0.87	1.44	1.81	1.2	1.5
1835	0.6	0.86	1.75	1.31	1.01
1836	0.53	0.75	2.44	1.2	0.75
1837	0.49	0.78	1.1	0.68	0.7
1838	0.59	0.82	1.47	0.88	1.47
1839	0.92	0.84	1.46	0.64	2.14
1840	1.34	0.73	1.53	0.74	1.8
1841	0.65	0.62	0.76	0.75	0.91
1842	0.41	0.52	0.61	0.63	0.65
1843	0.6	0.64	1.21	0.6	0.56
1844	0.51	0.85	1.01	0.76	0.97
1845	0.9	0.98	1.23	0.96	1.4
1846	0.98	1.04	1.41	0.8	1.6
1847	0.26	0.44	0.73	0.29	0.45
1848	0.43	0.9	0.93	0.48	0.84
1849	0.8	1.2	1.04	0.62	1.03
1850	0.86	1.24	0.87	0.63	1.35
1851	0.56	0.58	0.56	0.5	0.8
1852	0.9	1.09	0.67	0.49	1.44
1853	1.03	1.11	0.63	0.64	1.03
1854	0.69	1	0.61	0.59	1.18
1855	0.66	0.81	0.59	0.56	0.61
1856	0.85	1.37	1.23	0.56	2.18
1857	1.1	1.04	1.39	0.84	1.76
1858	1.18	1.58	1.65	0.81	2.07
1859	0.53	0.56	0.9	0.47	1.04
1860	0.92	0.82	0.75	0.54	0.92
1861	0.9	1.21	1.14	0.45	0.59
1862	0.76	1	1.06	0.54	0.83
1863	0.22	0.62	0.35	0.25	0.51
1864	0.24	0.52	0.49	0.18	0.51
1865	0.41	0.77	0.56	0.34	0.6
1866	0.73	0.88	0.68	0.36	0.55
1867	0.79	0.91	0.79	0.52	0.87
1868	0.92	0.84	0.63	0.44	0.71
1869	1.46	1.15	1.3	0.7	1.79
1870	0.38	0.37	0.6	0.58	0.99
1871	0.75	0.94	0.83	0.6	1.88
1872	0.7	0.97	0.77	0.5	1.27
1873	0.67	0.76	0.67	0.49	1.54
1874	0.57	0.66	0.5	0.34	0.87
1875	0.61	0.94	0.81	0.38	0.93
1876	0.9	0.77	0.76	0.49	1.46
1877	0.8	0.89	0.64	0.54	1.34
1878	0.79	0.63	0.58	0.48	0.98
1879	0.34	0.41	0.55	0.43	1.44
1880	0.5	0.67	0.41	0.43	0.92
1881	0.66	0.69	0.69	0.47	1.19
1882	1	0.81	0.93	0.53	1.45
1883	0.88	0.52	0.94	0.3	1.22
1884	0.8	0.48	0.61	0.38	0.97
1885	0.98	0.65	0.8	0.32	1.26
1886	0.81	0.41	0.75	0.35	1.43
1887	0.74	0.58	0.62	0.33	1.44
1888	0.84	0.67	0.7	0.45	1.15
1889	0.96	0.61	0.8	0.41	0.96
1890	0.28	0.47	0.56	0.39	0.84
1891	0.91	1.15	0.93	0.45	1.13
1892	0.54	0.64	0.58	0.42	0.55
1893	0.26	0.56	0.44	0.22	0.63
1894	0.45	0.46	0.42	0.32	0.6
1895	0.65	0.74	0.53	0.31	0.77
1896	0.74	0.68	0.62	0.42	0.73
1897	0.84	1.12	0.78	0.57	0.61
1898	1.31	0.9	1.24	0.87	0.74
1899	0.92	0.58	0.94	0.56	0.63
1900	0.38	0.46	0.68	0.5	0.62
1901	1.15	0.72	0.79	0.53	0.94
1902	0.72	0.43	0.7	0.47	0.7
1903	0.83	0.65	0.72	0.55	0.96
1904	0.15	0.22	0.3	0.16	0.36
1905	0.69	0.56	0.84	0.56	0.78
1906	0.79	0.48	0.98	0.27	0.54
1907	1	0.65	1.08	0.31	0.99
1908	0.84	0.59	0.87	0.35	0.74
1909	0.63	0.44	0.6	0.3	0.6
1910	0	0.14	0.27	0.12	0.4
1911	0.85	0.64	0.66	0.38	0.68
1912	0.51	0.33	0.45	0.41	0.67
1913	0.86	0.66	0.64	0.47	0.73
1914	0.85	0.73	0.59	0.51	0.88
1915	0.54	0.54	0.51	0.36	0.7
1916	0.61	0.47	0.45	0.28	0.69
1917	0.62	0.46	0.6	0.29	0.81
1918	0.35	0.26	0.44	0.39	0.58
1919	1.31	0.97	0.92	0.98	1.29
1920	1.3	1.09	0.95	1.04	1.22
1921	0.68	0.52	0.67	0.71	0.96
1922	0.43	0.3	0.52	0.69	0.95
1923	0.48	0.4	0.45	0.42	0.75
1924	0.53	0.39	0.57	0.69	0.54
1925	0.05	0.04	0.28	0.15	0.49
1926	0.74	0.54	0.58	0.65	0.54
1927	0.7	0.35	0.54	0.84	0.79
1928	0.41	0.26	0.55	0.48	0.79
1929	0.74	0.49	0.74	0.51	0.81
1930	0.72	0.39	0.68	0.4	0.91
1931	0.67	0.35	0.57	0.34	0.7
1932	0.89	0.28	1.14	0.46	1.08
1933	1.02	0.57	1	0.49	1.11
1934	0	0.04	0.23	0.18	0.6
1935	0.62	0.22	0.5	0.22	1.01
1936	0.9	0.32	0.54	0.34	1.11
1937	0.75	0.45	0.43	0.16	0.87
1938	0.63	0.37	0.39	0.3	0.91
1939	0.47	0.19	0.41	0.25	0.76
1940	0.82	0.57	0.57	0.35	0.54
1941	1.05	0.73	0.9	0.57	0.67
1942	1.11	0.41	0.69	0.36	0.57
1943	1.26	0.6	0.7	0.45	0.66
1944	1.01	0.45	0.74	0.57	0.55
1945	0.23	0.1	0.27	0.17	0.27
1946	0.66	0.32	0.51	0.33	0.36
1947	0.2	0.1	0.15	0.25	0.33
1948	0.52	0.36	0.4	0.32	0.23
1949	0.63	0.4	0.56	0.43	0.26
1950	0.63	0.22	0.58	0.43	0.31
1951	0.38	0	0.47	0.41	0.27
1952	0.77	0.26	0.86	0.5	0.26
1953	0.72	0.5	0.54	0.49	0.29
1954	0.22	0.33	0.07	0.05	0.22
1955	0.46	0.29	0.26	0.39	0.16
1956	0.35	0.16	0.17	0.2	0.18
1957	0.32	0.27	0.28	0.31	0.14
1958	0.63	0.28	0.31	0.31	0.2
1959	0.46	0.18	0.2	0.28	0.18
1960	1.04	0.4	0.5	0.43	0.29
1961	0.79	0.29	0.33	0.28	0.28
1962	0.91	0.23	0.37	0.41	0.15
1963	0.56	0.17	0.23	0.27	0.16
1964	0.88	0.21	0.26	0.23	0.07
1965	1.31	0.34	0.5	0.33	0.09
