# Wyse - Good Harbor Plains - QURU - ITRDB MI013
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5355
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5355.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi013-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi013-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi013.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi013.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Wyse - Good Harbor Plains - QURU - ITRDB MI013
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Good Harbor Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.93
#   Southernmost_Latitude: 44.93
#   Easternmost_Longitude: -85.85
#   Westernmost_Longitude: -85.85
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI013
#   First_Year: 1872
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus rubra L.
#   Common_Name: red oak
#   Tree_Species_Code: QURU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 81-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 81-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 94-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 94-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 87-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 87-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 96_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 96; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 89-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 89-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 84-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 84-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 71-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 71-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 96-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 96-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	81-2_raw	94-2_raw	87-1_raw	96_raw	60-2_raw	89-2_raw	84-2_raw	71-3_raw	96-3_raw
1872	2.06	NA	NA	NA	NA	NA	NA	NA	NA
1873	2.14	NA	NA	NA	NA	NA	NA	NA	NA
1874	1.58	NA	NA	NA	NA	NA	NA	NA	NA
1875	2.36	NA	NA	NA	NA	NA	NA	NA	NA
1876	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1877	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1878	1.71	NA	NA	NA	NA	NA	NA	NA	NA
1879	1.85	NA	NA	NA	NA	NA	NA	NA	NA
1880	2.47	NA	NA	NA	NA	NA	NA	NA	NA
1881	2.61	NA	NA	NA	NA	NA	NA	NA	NA
1882	3.04	NA	NA	NA	NA	NA	NA	NA	NA
1883	2.54	NA	NA	NA	NA	NA	NA	NA	NA
1884	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1885	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1886	1.46	NA	NA	NA	NA	NA	NA	NA	NA
1887	1.46	NA	NA	NA	NA	NA	NA	NA	NA
1888	1.27	NA	NA	NA	NA	NA	NA	NA	NA
1889	1.15	NA	NA	NA	NA	NA	NA	NA	NA
1890	1.65	NA	NA	NA	NA	NA	NA	NA	NA
1891	2.35	NA	NA	NA	NA	NA	NA	NA	NA
1892	6.16	NA	NA	NA	NA	NA	NA	NA	NA
1893	5.4	NA	NA	NA	NA	NA	NA	NA	NA
1894	2.72	NA	NA	NA	NA	NA	NA	NA	NA
1895	1.8	NA	0.39	NA	NA	NA	NA	NA	NA
1896	1.76	NA	0.47	NA	NA	NA	NA	NA	NA
1897	1.78	NA	0.38	NA	NA	NA	NA	NA	NA
1898	2.72	NA	0.45	NA	NA	NA	NA	NA	NA
1899	2.35	NA	0.51	NA	NA	NA	NA	NA	NA
1900	2.28	NA	0.5	NA	NA	NA	NA	NA	NA
1901	2.41	NA	0.48	NA	NA	NA	NA	NA	NA
1902	3.43	NA	0.63	NA	NA	NA	NA	NA	NA
1903	3.24	NA	0.32	NA	NA	NA	NA	NA	NA
1904	1.71	NA	0.22	NA	NA	NA	0.27	NA	NA
1905	2.61	NA	0.41	NA	NA	NA	0.25	NA	NA
1906	1.08	NA	0.19	NA	NA	NA	0.19	NA	NA
1907	1.21	NA	0.32	NA	NA	0.77	0.19	NA	NA
1908	1.2	NA	0.38	NA	NA	1.27	0.19	NA	NA
1909	0.89	NA	0.38	NA	NA	0.8	0.22	NA	NA
1910	0.89	NA	0.29	NA	NA	1.01	0.13	NA	NA
1911	1.27	NA	0.7	NA	NA	1.09	0.16	NA	NA
1912	1.52	NA	0.95	NA	NA	0.5	0.14	NA	NA
1913	1.14	2.25	1.05	NA	NA	0.82	0.74	NA	NA
1914	1.71	3.5	1.02	NA	NA	1.65	0.56	NA	NA
1915	0.83	1.87	0.48	NA	NA	1.28	0.16	NA	NA
1916	1.27	2.05	0.7	NA	NA	0.89	0.37	NA	NA
1917	1.59	1.84	0.89	NA	NA	1.39	0.31	NA	NA
1918	1.65	1.68	0.67	NA	NA	0.89	0.41	NA	NA
1919	1.27	0.98	0.51	NA	NA	0.96	0.17	NA	NA
1920	1.59	1.56	1.37	NA	NA	1.71	0.54	NA	NA
1921	0.83	1.08	0.67	NA	NA	1.21	0.27	NA	NA
1922	1.2	2	1.75	NA	NA	2.98	0.48	NA	NA
1923	1.08	1.21	1.3	NA	NA	1.72	0.56	NA	NA
1924	1.46	1.52	2.16	NA	NA	1.71	0.65	NA	NA
1925	1.27	0.95	1.52	NA	NA	1.27	0.42	NA	NA
1926	0.76	0.82	1.24	NA	NA	0.96	0.31	NA	NA
1927	1.02	0.7	0.79	NA	NA	1.02	0.36	NA	NA
1928	1.21	0.76	1.27	NA	NA	1.77	0.75	NA	NA
1929	1.59	0.95	1.65	NA	NA	1.65	0.6	NA	NA
1930	1.59	0.89	1.37	NA	NA	1.33	0.48	NA	NA
1931	0.95	0.41	0.79	NA	NA	0.96	0.28	NA	NA
1932	1.27	0.44	1.11	NA	NA	1.26	0.29	NA	NA
1933	1.33	0.41	1.21	0.72	NA	0.95	0.32	NA	NA
1934	1.33	0.6	1.49	1.07	NA	1.08	0.6	NA	NA
1935	1.21	0.86	1.75	1.02	NA	0.96	0.7	NA	NA
1936	1.52	0.57	1.14	0.69	NA	0.95	0.57	NA	NA
1937	1.46	0.54	1.49	0.97	NA	0.82	0.32	NA	NA
1938	1.27	0.86	1.84	1.02	NA	1.14	0.83	NA	NA
1939	1.52	0.95	1.49	1.09	NA	1.39	0.89	NA	NA
1940	1.97	0.25	2.54	1.53	NA	1.84	1.02	NA	NA
1941	1.46	0.19	1.78	1.08	NA	1.46	0.7	NA	NA
1942	2.1	0.16	2.25	1.61	NA	1.9	1.52	NA	1.09
1943	1.21	0.29	1.81	1.26	NA	1.53	1.08	NA	1.38
1944	1.52	0.22	1.75	1.21	NA	1.46	1.02	NA	0.78
1945	1.33	0.16	1.62	1.65	NA	1.21	0.7	NA	0.63
