# Meko - Rockerville - QUMA - ITRDB SD018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3964
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3964.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; sd018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/sd018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/sd018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Meko - Rockerville - QUMA - ITRDB SD018
#--------------------
# Investigators
#   Investigators: Meko, D.M.(https://orcid.org/0000-0002-5171-2724); Sieg, C.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Rockerville
#   Location: South Dakota
#   Northernmost_Latitude: 43.93
#   Southernmost_Latitude: 43.93
#   Easternmost_Longitude: -103.37
#   Westernmost_Longitude: -103.37
#   Elevation_m: 1370
#--------------------
# Data_Collection
#   Collection_Name: SD018
#   First_Year: 1717
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ROC01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ROC06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ROC06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ROC01A_raw	ROC01B_raw	ROC03A_raw	ROC03B_raw	ROC04A_raw	ROC04B_raw	ROC05A_raw	ROC05B_raw	ROC06A_raw	ROC06B_raw
1717	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA
1718	NA	NA	NA	NA	NA	0.73	NA	NA	NA	NA
1719	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA
1720	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA
1721	NA	NA	NA	NA	NA	0.63	NA	NA	NA	NA
1722	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1723	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA
1724	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA
1725	NA	NA	NA	NA	NA	0.81	NA	NA	NA	NA
1726	NA	NA	NA	NA	NA	0.67	NA	NA	NA	NA
1727	NA	NA	NA	NA	NA	1.11	NA	0.63	NA	NA
1728	NA	NA	NA	NA	NA	1.09	NA	0.81	NA	NA
1729	NA	NA	NA	NA	NA	1.47	NA	0.8	NA	NA
1730	NA	NA	NA	NA	NA	0.97	NA	0.65	NA	NA
1731	NA	NA	NA	NA	NA	0.64	NA	0.53	NA	NA
1732	NA	NA	NA	NA	NA	0.66	NA	0.35	NA	NA
1733	NA	NA	NA	NA	NA	0.49	NA	0.6	NA	NA
1734	NA	NA	NA	NA	NA	0.26	NA	0.66	NA	NA
1735	NA	NA	NA	NA	NA	0.27	NA	0.44	NA	NA
1736	NA	NA	NA	NA	NA	0.42	NA	0.37	NA	NA
1737	NA	NA	NA	NA	NA	0.57	NA	0.42	NA	NA
1738	NA	NA	NA	NA	NA	0.63	NA	0.43	NA	NA
1739	NA	NA	NA	NA	NA	0.63	NA	0.84	NA	NA
1740	NA	NA	NA	NA	NA	0.65	NA	0.77	NA	NA
1741	NA	NA	NA	NA	NA	0.4	NA	0.8	NA	NA
1742	NA	NA	NA	NA	NA	0.34	NA	0.49	NA	NA
1743	NA	NA	NA	NA	NA	0.34	NA	0.56	NA	NA
1744	NA	NA	NA	NA	NA	0.28	NA	0.57	NA	NA
1745	NA	NA	NA	NA	NA	0.47	0.67	0.58	NA	NA
1746	NA	NA	NA	NA	NA	1.02	0.77	0.59	NA	NA
1747	NA	NA	NA	NA	0.92	1	1.29	0.79	NA	NA
1748	NA	NA	NA	NA	0.79	0.85	0.88	0.84	NA	NA
1749	NA	NA	NA	NA	0.59	0.65	0.47	0.62	NA	NA
1750	NA	NA	NA	NA	0.47	0.62	0.41	0.39	NA	NA
1751	NA	NA	NA	NA	0.69	0.64	1.61	0.48	NA	NA
1752	NA	NA	NA	NA	0.91	0.78	1.33	0.68	NA	NA
1753	NA	NA	NA	NA	0.81	0.72	0.55	1.25	NA	NA
1754	NA	NA	NA	NA	0.97	0.71	0.78	0.83	NA	NA
1755	NA	NA	NA	NA	1.44	1.19	1.41	1.36	NA	NA
1756	NA	NA	NA	NA	0.7	0.96	0.99	0.87	NA	NA
1757	NA	NA	NA	NA	0.46	0.62	0.43	0.58	NA	NA
1758	NA	NA	NA	NA	0.42	0.53	0.34	0.39	NA	NA
1759	NA	NA	NA	NA	0.49	0.53	0.45	0.45	NA	NA
1760	NA	NA	NA	NA	0.5	0.49	0.49	0.54	NA	NA
1761	NA	NA	NA	NA	0.69	0.73	0.89	0.93	NA	NA
1762	NA	NA	NA	NA	0.6	0.72	0.63	0.83	NA	NA
1763	NA	NA	NA	NA	0.74	0.64	0.71	0.72	NA	NA
1764	NA	NA	NA	NA	0.67	0.87	0.79	0.79	NA	NA
1765	NA	NA	NA	NA	1.29	1.4	0.99	1.12	NA	NA
1766	NA	NA	NA	NA	0.98	1.32	0.93	1.08	NA	NA
1767	NA	NA	NA	NA	1.02	1.5	1.12	1.33	NA	NA
1768	NA	NA	NA	NA	0.67	1.12	1	1.16	NA	NA
1769	NA	NA	NA	NA	0.83	1.14	0.94	1.01	NA	NA
1770	NA	NA	NA	NA	0.58	0.74	0.81	0.76	NA	NA
1771	NA	NA	NA	NA	1.03	1.28	1.65	1.23	NA	NA
1772	NA	NA	NA	NA	1.04	0.86	1.59	1.21	NA	NA
1773	NA	NA	NA	NA	1.19	0.94	1.63	1.06	NA	NA
1774	NA	NA	NA	NA	1	0.96	1.23	0.81	NA	NA
1775	NA	NA	NA	NA	1.06	1.08	1.41	0.93	NA	NA
1776	NA	NA	NA	NA	0.94	0.96	1.25	0.75	NA	NA
1777	NA	NA	NA	NA	1	0.82	0.85	0.78	NA	NA
1778	NA	NA	NA	NA	0.71	0.62	0.76	0.49	NA	NA
1779	NA	NA	NA	NA	0.81	0.62	0.95	0.55	NA	NA
1780	NA	NA	NA	NA	0.92	0.79	1	0.61	NA	0.71
1781	NA	NA	NA	NA	0.7	0.82	0.98	0.69	NA	0.66
1782	NA	NA	NA	NA	0.63	0.62	0.62	0.61	NA	0.81
1783	NA	NA	NA	NA	0.49	0.56	0.68	0.48	NA	0.87
1784	NA	NA	NA	NA	0.59	0.58	0.99	0.71	NA	0.99
1785	NA	NA	NA	NA	0.67	0.59	0.66	0.53	NA	0.37
1786	NA	NA	NA	NA	0.45	0.36	1.14	0.56	NA	0.59
1787	NA	NA	NA	NA	0.5	0.32	1.3	0.94	NA	0.65
1788	NA	NA	NA	NA	0.99	0.56	1.63	1.17	NA	0.98
1789	NA	NA	NA	NA	1.11	0.7	1.46	1.32	NA	1.28
