# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545l-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545l-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PP352L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP352L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP363L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP363L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP364L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP364L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP373L_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: PP373L; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PP352L_raw	PP363L_raw	PP364L_raw	PP373L_raw
1760	0.18	NA	NA	NA
1761	0.08	NA	NA	NA
1762	0.1	NA	NA	NA
1763	0.06	NA	NA	NA
1764	0.1	NA	NA	NA
1765	0.09	NA	NA	NA
1766	0.12	NA	NA	NA
1767	0.14	NA	NA	NA
1768	0.1	NA	NA	NA
1769	0.11	NA	NA	NA
1770	0.12	NA	NA	NA
1771	0.16	NA	NA	NA
1772	0.26	NA	NA	NA
1773	0.14	NA	NA	NA
1774	0.15	NA	NA	NA
1775	0.12	NA	NA	NA
1776	0.11	NA	NA	NA
1777	0.08	NA	NA	NA
1778	0.08	NA	NA	NA
1779	0.06	NA	NA	NA
1780	0.06	NA	NA	NA
1781	0.21	NA	NA	NA
1782	0.06	NA	NA	NA
1783	0.12	NA	NA	NA
1784	0.09	NA	NA	NA
1785	0.09	NA	NA	NA
1786	0.15	NA	NA	NA
1787	0.13	NA	NA	NA
1788	0.18	NA	NA	NA
1789	0.07	NA	NA	NA
1790	0.11	NA	NA	NA
1791	0.1	NA	NA	NA
1792	0.14	NA	NA	NA
1793	0.11	NA	NA	NA
1794	0.07	NA	NA	NA
1795	0.04	NA	NA	NA
1796	0.07	NA	NA	NA
1797	0.1	NA	NA	NA
1798	0.04	NA	NA	NA
1799	0.08	NA	NA	NA
1800	0.07	NA	NA	NA
1801	0.05	NA	NA	NA
1802	0.12	NA	NA	NA
1803	0.06	NA	NA	NA
1804	0.04	NA	NA	NA
1805	0.06	NA	NA	NA
1806	0.11	NA	NA	NA
1807	0.11	NA	NA	NA
1808	0.07	NA	NA	NA
1809	0.05	NA	NA	NA
1810	0.06	NA	NA	NA
1811	0.06	NA	NA	NA
1812	0.05	NA	NA	NA
1813	0.05	NA	NA	NA
1814	0.07	NA	NA	NA
1815	0.08	NA	NA	NA
1816	0.11	NA	NA	NA
1817	0.06	NA	NA	NA
1818	0.05	NA	NA	NA
1819	0.06	NA	NA	NA
1820	0.07	NA	NA	NA
1821	0.06	NA	NA	NA
1822	0.06	NA	NA	NA
1823	0.06	NA	NA	NA
1824	0.06	NA	NA	NA
1825	0.04	NA	NA	NA
1826	0.05	NA	NA	NA
1827	0.06	NA	NA	NA
1828	0.06	NA	NA	NA
1829	0.06	NA	NA	NA
1830	0.08	NA	NA	NA
1831	0.14	NA	NA	NA
1832	0.11	NA	NA	NA
1833	0.1	NA	NA	NA
1834	0.12	NA	NA	NA
1835	0.13	NA	NA	NA
1836	0.08	NA	NA	NA
1837	0.06	NA	NA	0.45
1838	0.04	NA	NA	0.38
1839	0.06	NA	NA	0.47
1840	0.04	NA	NA	0.72
1841	0.07	NA	NA	0.79
1842	0.06	NA	NA	1.01
1843	0.13	NA	NA	0.95
1844	0.08	NA	NA	0.63
1845	0.06	1.43	NA	0.82
1846	0.07	0.9	NA	0.54
1847	0.04	1.14	NA	0.97
1848	0.06	0.52	NA	0.7
1849	0.08	0.75	NA	0.8
1850	0.09	0.21	NA	0.38
1851	0.11	0.38	NA	0.59
1852	0.07	0.47	NA	0.66
1853	0.06	0.3	NA	1.3
1854	0.08	0.44	NA	0.97
1855	0.06	0.73	NA	0.87
1856	0.06	0.27	NA	0.98
1857	0.12	0.33	NA	1.31
1858	0.09	0.51	NA	1.36
1859	0.06	0.26	NA	1.72
1860	0.09	0.63	NA	0.95
1861	0.05	0.69	NA	0.76
1862	0.04	0.13	NA	0.68
1863	0.04	0.45	NA	0.72
1864	0	0.14	NA	0.35
1865	0.05	0.16	NA	0.64
1866	0.06	0.38	NA	0.43
1867	0.04	0.29	NA	0.32
1868	0.05	0.39	NA	0.34
1869	0.07	0.41	NA	0.3
1870	0.04	0.16	NA	0.18
1871	0	0.24	NA	0.62
1872	0.05	0.19	NA	0.61
1873	0	0.25	NA	0.39
1874	0.04	0.18	NA	0.39
1875	0.05	0.55	NA	0.44
1876	0.04	0.17	NA	0.49
1877	0	0.35	NA	0.48
1878	0.07	0.15	NA	0.28
1879	0.05	0.26	NA	0.47
1880	0.07	0.29	0.27	0.3
1881	0.1	0.18	0.11	0.46
1882	0.07	0.09	0.07	0.41
1883	0	0.09	0.06	0.08
1884	0	0.13	0.11	0.11
