# Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5383
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5383.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa132-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa132.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wa132.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Yamaguchi - Willapa Bay/Palix River snags - THPL - ITRDB WA132
#--------------------
# Investigators
#   Investigators: Yamaguchi, D.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Willapa Bay/Palix River snags
#   Location: Washington
#   Northernmost_Latitude: 46.63
#   Southernmost_Latitude: 46.63
#   Easternmost_Longitude: -123.95
#   Westernmost_Longitude: -123.95
#   Elevation_m: 0
#--------------------
# Data_Collection
#   Collection_Name: WA132
#   First_Year: 1325
#   Last_Year: 1682
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PR7772_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7772; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7773_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7773; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7774_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7774; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7791_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7791; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7792_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7792; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7821_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7821; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7822_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7822; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR7823_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR7823; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PR783_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PR783; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PR7772_raw	PR7773_raw	PR7774_raw	PR7791_raw	PR7792_raw	PR7821_raw	PR7822_raw	PR7823_raw	PR783_raw
1325	NA	1.46	NA	NA	NA	NA	NA	NA	NA
1326	NA	1.2	NA	NA	NA	NA	NA	NA	NA
1327	NA	1.16	NA	NA	NA	NA	NA	NA	NA
1328	NA	1.55	NA	NA	NA	NA	NA	NA	NA
1329	NA	1.48	NA	NA	NA	NA	NA	NA	NA
1330	NA	1.54	NA	NA	NA	NA	NA	NA	NA
1331	NA	1.49	NA	NA	NA	NA	NA	NA	NA
1332	NA	1.17	NA	NA	NA	NA	NA	NA	NA
1333	NA	1.31	NA	NA	NA	NA	NA	NA	1.22
1334	NA	1.39	NA	NA	NA	NA	NA	NA	0.82
1335	NA	1.36	NA	NA	NA	NA	NA	NA	0.8
1336	NA	1.77	NA	NA	NA	NA	NA	NA	0.77
1337	NA	1.66	NA	NA	NA	NA	NA	NA	0.89
1338	NA	1.19	NA	NA	NA	NA	NA	NA	0.53
1339	NA	0.86	NA	NA	NA	NA	NA	NA	0.59
1340	NA	1.03	NA	NA	NA	NA	NA	NA	0.54
1341	NA	1.49	NA	NA	NA	NA	NA	NA	0.97
1342	NA	1.55	NA	NA	NA	NA	NA	NA	0.77
1343	NA	2.09	NA	NA	NA	NA	NA	NA	1.05
1344	NA	1.32	NA	NA	NA	NA	NA	NA	0.74
1345	NA	0.9	NA	NA	NA	NA	NA	NA	0.66
1346	NA	0.81	NA	NA	NA	NA	NA	NA	0.66
1347	NA	0.89	NA	NA	NA	NA	NA	NA	0.65
1348	NA	1.21	NA	NA	NA	NA	NA	NA	0.73
1349	NA	1.28	NA	NA	NA	NA	NA	NA	0.63
1350	NA	1.22	NA	NA	NA	NA	NA	NA	0.53
1351	NA	1.21	NA	NA	NA	NA	NA	NA	0.55
1352	NA	1.43	NA	NA	NA	NA	NA	NA	0.63
1353	NA	1.24	NA	NA	NA	NA	NA	NA	0.61
1354	NA	1.27	NA	NA	NA	NA	NA	NA	0.72
1355	NA	1.72	NA	NA	NA	NA	NA	NA	0.76
1356	NA	1.83	NA	NA	NA	NA	NA	NA	0.79
1357	NA	1.46	NA	NA	NA	NA	NA	NA	0.66
1358	NA	1.26	NA	NA	NA	NA	NA	NA	0.63
1359	NA	0.94	NA	NA	NA	NA	NA	NA	0.71
1360	NA	1.02	NA	NA	NA	NA	NA	NA	0.6
1361	NA	0.9	NA	NA	NA	NA	NA	NA	0.84
1362	NA	1.03	NA	NA	NA	NA	NA	NA	0.7
1363	NA	0.96	NA	NA	NA	NA	NA	NA	0.73
1364	NA	0.51	NA	NA	NA	NA	NA	NA	0.6
1365	NA	0.9	NA	NA	NA	NA	NA	NA	0.52
1366	NA	0.98	NA	NA	NA	NA	NA	NA	0.67
1367	NA	0.62	NA	NA	NA	NA	NA	NA	0.66
1368	NA	1.11	NA	NA	NA	NA	NA	NA	0.84
1369	NA	1.23	NA	NA	NA	NA	NA	NA	0.98
1370	NA	1.17	NA	NA	NA	NA	NA	NA	0.94
1371	NA	1.12	NA	NA	NA	NA	NA	NA	0.88
1372	NA	1.08	NA	NA	NA	NA	NA	NA	0.87
1373	NA	1.17	NA	NA	NA	NA	NA	NA	0.87
1374	NA	1.6	NA	NA	NA	NA	NA	NA	0.9
1375	NA	1.45	NA	NA	NA	NA	NA	NA	0.87
1376	NA	1.2	NA	NA	NA	NA	NA	NA	1.52
1377	NA	1.19	NA	NA	NA	NA	NA	NA	1.19
1378	NA	1.07	NA	NA	NA	NA	NA	NA	1.27
1379	NA	0.96	NA	NA	NA	NA	NA	NA	1.06
1380	NA	1.12	NA	NA	NA	NA	NA	NA	1.24
1381	NA	1.08	NA	NA	NA	NA	NA	NA	1.16
1382	NA	1.03	NA	NA	NA	NA	NA	NA	1.33
1383	NA	1.41	NA	NA	NA	NA	NA	NA	1.64
1384	NA	0.9	NA	NA	NA	NA	NA	NA	1.17
1385	NA	1	1.51	NA	NA	NA	NA	NA	1.09
1386	NA	1.24	1.03	NA	2.9	NA	NA	NA	1.21
1387	NA	1.24	1.04	NA	2.29	NA	NA	NA	1.12
1388	NA	1.32	1.04	NA	2.87	NA	NA	NA	1.89
1389	NA	1.09	1.02	NA	2.78	NA	NA	NA	1.6
1390	NA	1.26	1.42	NA	2.67	NA	NA	NA	1.43
1391	NA	1.11	1.34	NA	1.56	NA	NA	NA	1.75
1392	NA	1.17	1.25	NA	1.16	NA	NA	NA	2.11
1393	NA	1.16	1.4	NA	1.29	NA	NA	NA	1.61
1394	NA	0.73	0.93	NA	1.11	NA	NA	NA	1.37
1395	NA	0.83	0.71	NA	1.03	NA	NA	NA	1.3
1396	NA	0.59	0.84	NA	1	NA	NA	NA	1.05
1397	NA	0.81	0.77	NA	1.36	NA	NA	NA	1.22
1398	NA	0.78	0.8	NA	1.31	NA	NA	NA	1.2
1399	NA	0.73	0.79	NA	1.28	NA	NA	NA	1.06
1400	NA	1.08	0.96	NA	1.48	NA	NA	NA	2.23
1401	NA	0.84	0.76	NA	1.33	NA	NA	NA	1.2
1402	NA	1.09	1.15	NA	1.65	NA	NA	NA	1.59
