# O'Neill - South Canyon - PSME - ITRDB AZ624
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38246
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38246.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az624-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az624.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az624.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-19
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-19
#--------------------
# Title
#   Study_Name: O'Neill - South Canyon - PSME - ITRDB AZ624
#--------------------
# Investigators
#   Investigators: O'Neill, Leo; Fulé, Peter
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Němec, Martin; Marcel Riedl; Vilém Jarský; Roman Dudík
#   Published_Date_or_Year: 2023
#   Published_Title: Analysis of Consumer Attitudes as an Important Tool for the Segmentation and Development of the Game Market in the Czech Republic
#   Journal_Name: Forests
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3390/f14030450
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: South Canyon
#   Location: Arizona
#   Northernmost_Latitude: 36.352
#   Southernmost_Latitude: 36.352
#   Easternmost_Longitude: -112.101
#   Westernmost_Longitude: -112.101
#   Elevation_m: 2775
#--------------------
# Data_Collection
#   Collection_Name: AZ624
#   First_Year: 1850
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SC-002_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-002; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SC-009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SC-009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SC-002_raw	SC-003_raw	SC-004_raw	SC-005_raw	SC-006_raw	SC-007_raw	SC-008_raw	SC-009_raw
1850	NA	NA	0.36	NA	NA	NA	NA	NA
1851	NA	1.44	0.58	NA	1.12	1.3	1.14	1.75
1852	NA	1.57	0.52	NA	0.85	1.04	0.87	1.51
1853	NA	1.86	0.52	NA	1.07	1	0.63	1.34
1854	NA	1.29	0.63	NA	0.88	1.06	0.57	1.38
1855	NA	1.64	0.79	NA	0.88	1.26	0.68	1.35
1856	NA	1	0.4	NA	0.48	0.83	0.44	0.64
1857	NA	1.4	0.46	NA	0.48	0.87	0.61	0.84
1858	NA	1.29	0.48	NA	0.49	0.98	0.66	1.05
1859	NA	1.3	0.46	NA	0.45	0.87	0.51	0.94
1860	NA	1.34	0.48	NA	0.44	0.68	0.42	0.84
1861	NA	1.07	0.49	NA	0.38	0.42	0.78	0.78
1862	NA	1.46	0.48	NA	0.64	0.79	1.38	0.74
1863	NA	1.24	0.49	NA	0.51	0.94	1	0.98
1864	NA	1.13	0.27	NA	0.32	0.61	0.43	0.67
1865	NA	1.2	0.26	NA	0.45	0.81	0.51	0.6
1866	NA	2.28	0.7	NA	1.02	2.09	0.62	0.76
1867	NA	1.67	0.73	NA	0.99	1.66	0.68	1.05
1868	NA	1.75	0.68	NA	1.02	1.29	0.61	1.27
1869	NA	1.3	0.64	NA	0.97	1.25	0.36	1.22
1870	NA	1.13	0.93	NA	1.2	1.52	0.66	1.44
1871	NA	0.93	1.07	NA	1.03	1.3	0.53	1.08
1872	NA	1.19	1.06	NA	0.48	1.09	0.85	1.48
1873	NA	1.28	1.07	NA	0.7	1.19	0.97	1.24
1874	NA	1.34	1.23	NA	0.74	0.96	1.42	1.22
1875	NA	1.23	0.83	NA	0.62	0.86	1.57	1.09
1876	NA	0.98	0.7	NA	0.6	0.5	1.67	1.02
1877	NA	1.32	0.87	NA	0.54	0.86	2.5	1.48
1878	NA	1.3	1.11	NA	0.42	0.9	2.41	1.18
1879	NA	0.76	0.52	NA	0.49	0.85	1.31	0.94
1880	NA	0.82	0.44	NA	0.39	0.53	1.48	0.77
1881	0.51	1.13	0.39	NA	0.55	0.85	1.65	1.12
1882	1.08	1.11	0.41	NA	0.57	0.33	1.14	1.01
1883	1.21	1.16	0.38	NA	0.83	0.92	1.16	0.88
1884	1.44	1.56	0.64	NA	1.34	1.05	1.33	1.12
1885	2.03	1.78	0.72	NA	1.27	1.31	1.27	1.18
1886	1.93	1.75	0.76	NA	0.97	1.14	1.17	1.2
1887	1.78	1.52	0.89	NA	1.79	1.84	1.38	1.44
1888	1.95	1.88	1.04	NA	2.3	1.78	1.42	1.46
1889	1.99	2.07	1.14	NA	1.7	1.17	1.71	1.12
1890	2.04	2.31	1.23	NA	1.57	1	1.74	1.2
1891	1.73	1.28	1.33	NA	1.71	1.26	1.61	1.33
1892	1.6	1.07	1.57	NA	1.33	1.33	1.49	1.05
1893	1.91	1.09	1.12	NA	1.18	0.9	1.08	0.79
1894	2.03	1.07	0.72	NA	1.86	1.13	1.14	0.84
1895	2.06	1.37	0.87	NA	1.71	1.28	1.2	1.01
1896	2.03	1.09	0.59	NA	1.27	1.35	0.73	0.7
1897	2.12	1.5	0.87	NA	1.52	1.56	0.92	0.95
1898	2.6	1.77	1.06	NA	1.87	2.03	0.99	1.38
1899	2.58	1.15	0.4	NA	0.98	1.18	0.57	0.77
1900	2.07	1.04	0.53	NA	0.92	1.56	0.68	1.1
1901	1.99	0.93	0.66	NA	0.99	1.6	0.75	0.92
1902	1.5	1	0.52	NA	0.76	1.12	0.62	0.79
1903	2.2	1.5	0.75	NA	1.15	1.89	1.01	1.21
1904	1.91	1.16	0.53	NA	0.87	1.18	0.9	1.22
1905	2.14	1.08	0.59	NA	0.76	1	1.09	1.46
1906	2.69	1.29	0.87	NA	1.37	1.27	2.63	1.69
1907	2.12	1.33	0.95	2.54	1.39	1.18	2.6	1.56
1908	2.35	1.25	1.08	2.79	1.58	1.27	2.79	1.77
1909	2.5	1.54	1.1	2.69	1.39	1.35	2.71	1.74
1910	1.86	1.25	1.02	1.74	1.19	1.11	2.07	1.62
1911	2.58	1.4	1.12	2.05	1.33	0.89	2.27	1.79
1912	1.99	1.38	0.78	1.67	0.78	0.79	1.55	1.59
1913	1.57	1.02	0.87	1.5	0.85	0.74	1.42	1.28
1914	2.33	1.16	0.89	1.99	1.2	0.71	1.61	1.59
1915	2.01	1.27	1.14	1.99	1.86	0.8	1.79	1.47
1916	1.57	0.99	1.14	2.18	1.92	0.76	2.14	1.62
1917	1.42	1.29	1.21	1.78	1.3	0.72	1.94	1.34
1918	0.76	1.1	0.7	1	0.99	0.46	1.35	0.95
1919	0.91	1.23	0.7	1	1.04	0.44	1.4	1.19
1920	0.81	1.4	0.76	0.85	0.88	0.48	1.51	1.19
1921	1.06	0.97	0.95	0.72	1.2	0.48	1.44	1.19
1922	0.99	1.12	0.95	0.87	1.51	0.53	1.53	1.15
