# Black - Burchard - PSME - ITRDB OR119
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38222
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38222.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or119-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or119.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or119.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Burchard - PSME - ITRDB OR119
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Burchard
#   Location: Oregon
#   Northernmost_Latitude: 43.668
#   Southernmost_Latitude: 43.668
#   Easternmost_Longitude: -123.765
#   Westernmost_Longitude: -123.765
#   Elevation_m: 55
#--------------------
# Data_Collection
#   Collection_Name: OR119
#   First_Year: 1711
#   Last_Year: 1889
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BUR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BUR03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BUR03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BUR02A_raw	BUR02B_raw	BUR01A_raw	BUR01B_raw	BUR03A_raw	BUR03B_raw
1711	4.71	NA	NA	NA	NA	NA
1712	5.31	NA	NA	NA	NA	NA
1713	5.1	NA	NA	NA	NA	NA
1714	5.03	NA	NA	NA	NA	NA
1715	5.57	NA	NA	NA	NA	NA
1716	4.86	NA	NA	NA	NA	NA
1717	4.71	NA	NA	NA	NA	NA
1718	4.47	NA	NA	NA	NA	NA
1719	5.04	NA	NA	NA	NA	NA
1720	4.41	NA	NA	NA	NA	NA
1721	5.1	NA	NA	NA	NA	NA
1722	3.83	NA	NA	NA	NA	NA
1723	3.73	3.71	NA	NA	NA	NA
1724	4.01	4	NA	NA	NA	NA
1725	4.16	4.18	NA	NA	NA	NA
1726	4.61	4.54	NA	NA	NA	NA
1727	4.5	4.58	NA	NA	NA	NA
1728	3.88	3.99	NA	NA	NA	NA
1729	4.51	4.35	NA	NA	NA	NA
1730	4.38	4.29	NA	NA	NA	NA
1731	5.13	4.69	NA	NA	NA	NA
1732	5.23	5.24	NA	NA	NA	NA
1733	5.03	5.28	NA	NA	NA	NA
1734	3.71	3.49	NA	NA	NA	3.02
1735	4.3	4.39	NA	NA	3.55	3.44
1736	4.41	4.25	NA	NA	3.82	3.67
1737	3.4	3.64	NA	NA	3.23	3.16
1738	5.37	5.55	NA	NA	3.94	4.13
1739	1.01	1.03	NA	NA	2.83	2.73
1740	1.25	1.13	NA	NA	2.88	2.94
1741	2.09	2.17	NA	NA	3.34	3.28
1742	3.6	3.47	NA	NA	3.03	3.12
1743	3.93	3.91	NA	NA	3.42	3.24
1744	4.15	4.22	NA	NA	2.77	2.97
1745	4.17	4.08	NA	NA	2.26	2.27
1746	4.54	4.56	1.27	1.43	2.77	2.71
1747	4.37	4.29	1.7	1.7	2.99	3.04
1748	4.19	4.1	1.52	1.69	2.95	2.82
1749	4.36	4.29	0.88	0.89	2.51	2.48
1750	4.48	4.61	1.69	1.77	2.92	3.2
1751	4.29	4.38	1.44	1.38	2.85	2.8
1752	4.85	3.72	1.34	1.45	2.83	2.85
1753	4.37	4.35	1.34	1.37	2.7	2.68
1754	4.05	4.14	1.77	2.18	3.29	3.18
1755	4.48	4.48	2.74	3.15	3.29	3.03
1756	3.94	3.74	2.07	2.29	2.11	2.2
1757	4.01	4.04	2.14	2.26	2.78	2.91
1758	4.36	4	1.88	1.71	2.85	2.84
1759	4.24	4.09	2.69	2.49	2.2	2.23
1760	4.08	3.69	3.3	3.02	2.28	2.2
1761	4.07	4.09	2.14	2.07	2.27	2.26
1762	4.13	4.6	2.85	2.68	2.2	2.2
1763	3.93	4.09	2.72	2.75	2.19	2.19
1764	4.12	4.47	3.42	3.19	2.39	2.36
1765	3.72	4.07	3.28	3.24	2.24	2
1766	4.01	3.79	3.88	3.8	1.41	1.72
1767	3.81	3.44	3.46	3.48	1.57	1.68
1768	3	3.33	3.33	3.32	1.72	1.71
1769	3.08	2.93	3.12	3.25	1.72	1.44
1770	3.33	3.15	2.14	2.33	1.68	1.78
1771	3.49	3.45	2.46	2.02	2.46	2.32
1772	3.19	3.3	2.19	2.59	2.26	2.14
1773	4.38	4.54	3.06	2.93	2.26	2.16
1774	3.49	3.2	2.36	2.03	2.1	2.11
1775	2.89	3.23	1.82	2.16	2.32	2.29
1776	2.6	2.59	1.76	1.93	1.87	1.83
1777	2.77	2.81	2.2	2.53	1.59	1.58
1778	3.56	4	2.85	3.35	1.94	1.97
1779	3.52	3.53	2.87	2.9	1.75	1.64
1780	4.05	3.93	2.72	2.53	1.42	1.62
1781	3.71	3.69	2.61	2.45	1.9	1.83
1782	3.24	3.77	2.19	2.07	1.63	1.71
1783	3.02	3.33	1.99	1.89	1.15	1.46
1784	2.93	3.28	2.33	2.22	1.27	1.07
1785	3.27	3.31	2.24	1.73	1.17	1
1786	3.36	3.32	2.03	1.51	1.48	1.68
1787	2.72	2.78	1.4	1.61	1.24	1.21
1788	2.84	2.9	1.3	1.06	1.36	1.35
1789	2.61	2.41	0.83	0.83	0.43	0.34
1790	3.19	3.01	0.9	1.11	0.56	0.6
1791	2.83	2.74	0.88	1.11	0.77	0.8
1792	3.53	3.29	1.03	1.2	1.04	1.1
1793	3.79	3.43	1.32	1.07	1.63	1.58
1794	3.53	3.29	1.54	1.72	1.9	1.87
1795	2.79	2.64	1.64	1.58	1.76	1.57
1796	2.64	2.51	1.72	1.71	1.14	1.67
1797	2.78	2.51	1.87	2.84	1.59	1.44
1798	3.21	3.18	2.25	2.38	1.86	1.65
1799	2.45	2.44	1.77	1.35	1.3	1.43
1800	3.02	3.03	1.61	1.21	1.15	0.94
1801	1	0.94	1.62	1.27	1.26	1.38
1802	0.33	0.5	1.37	1.09	1.51	1.5
1803	0.3	0.4	1.55	1.39	1.72	1.71
