# Graybill - Ord Mountain - PIPO - ITRDB AZ533
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3394
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3394.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az533-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; az533-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az533.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az533.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Graybill - Ord Mountain - PIPO - ITRDB AZ533
#--------------------
# Investigators
#   Investigators: Graybill, D.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ord Mountain
#   Location: Arizona
#   Northernmost_Latitude: 33.9
#   Southernmost_Latitude: 33.9
#   Easternmost_Longitude: -111.4
#   Westernmost_Longitude: -111.4
#   Elevation_m: 2133
#--------------------
# Data_Collection
#   Collection_Name: AZ533
#   First_Year: 1570
#   Last_Year: 1987
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ORD011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD023_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD023; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ORD092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ORD092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ORD011_raw	ORD012_raw	ORD021_raw	ORD022_raw	ORD023_raw	ORD031_raw	ORD032_raw	ORD041_raw	ORD042_raw	ORD051_raw	ORD052_raw	ORD061_raw	ORD062_raw	ORD071_raw	ORD072_raw	ORD081_raw	ORD082_raw	ORD091_raw	ORD092_raw
1567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA
1568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	NA	NA	NA	NA	NA
1569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86	NA	NA	NA	NA	NA	NA	NA
1570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA	NA
1571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA
1572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA	NA
1574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA	NA	NA	NA
1575	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA
1576	NA	NA	NA	NA	NA	NA	2.81	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA
1577	NA	NA	NA	NA	NA	NA	2.13	NA	0.88	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA
1578	NA	NA	NA	NA	NA	NA	2.09	NA	0.44	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA
1579	NA	NA	NA	NA	NA	NA	2.65	NA	0.84	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA
1580	NA	NA	NA	NA	NA	NA	2.22	NA	0.52	NA	NA	0.45	NA	NA	NA	NA	NA	NA	NA
1581	NA	NA	NA	NA	NA	NA	2.09	NA	0.78	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA
1582	NA	NA	NA	NA	NA	NA	2.38	NA	0.36	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA
1583	NA	NA	NA	NA	NA	NA	0.71	NA	0.3	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA
1584	NA	NA	NA	NA	NA	NA	0.36	NA	0.92	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA
1585	NA	NA	NA	NA	NA	NA	0.23	NA	0	NA	NA	0.08	NA	NA	NA	NA	NA	NA	NA
1586	NA	NA	NA	NA	NA	NA	2.11	NA	1.14	NA	NA	0.43	NA	NA	NA	NA	NA	NA	NA
1587	NA	NA	NA	NA	NA	NA	2.24	NA	0.94	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA
1588	NA	NA	NA	NA	NA	NA	2.05	NA	0.82	NA	NA	0.86	NA	NA	NA	NA	NA	NA	NA
1589	NA	NA	NA	NA	NA	1.67	1.89	NA	0.77	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA
1590	NA	NA	NA	NA	NA	2.04	2.25	NA	0.99	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA
1591	NA	NA	NA	NA	NA	2.11	2.23	1.3	0.96	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1592	NA	NA	NA	NA	NA	1.55	1.49	1.55	1.23	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA
1593	NA	NA	NA	NA	NA	3.16	2.78	1.64	1.3	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA
1594	NA	NA	NA	NA	NA	3.05	3.07	1.08	0.93	NA	NA	1.59	NA	NA	NA	NA	NA	NA	NA
1595	NA	NA	NA	NA	NA	2.34	2.12	1.74	1.52	NA	NA	1.23	NA	NA	NA	NA	NA	NA	NA
1596	NA	NA	NA	NA	NA	2.76	2.58	1.57	1.33	NA	NA	1.93	NA	NA	NA	NA	NA	NA	NA
1597	NA	NA	NA	NA	NA	2.7	2.26	1.54	1.28	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA
1598	NA	NA	NA	NA	NA	2.32	2.21	3.12	2.24	NA	NA	1.14	NA	NA	NA	NA	NA	NA	NA
1599	NA	NA	NA	NA	NA	3.85	3.29	0.86	0.67	NA	NA	1.79	NA	NA	NA	NA	NA	NA	NA
1600	NA	NA	NA	NA	NA	1.56	1.38	0.36	0.32	NA	NA	0.91	NA	NA	NA	NA	NA	1.24	NA
1601	NA	NA	NA	NA	NA	1.97	1.76	0.87	0.71	NA	NA	0.91	NA	NA	NA	NA	NA	1.18	NA
1602	NA	NA	NA	NA	NA	1.89	1.72	1.09	0.92	NA	NA	1.31	NA	NA	NA	NA	NA	1.85	NA
1603	NA	NA	NA	NA	NA	2.5	1.75	1.22	1	NA	NA	1.71	NA	NA	NA	NA	NA	2.08	1.62
1604	NA	NA	NA	NA	NA	2.53	1.95	0.95	0.81	NA	NA	1.52	NA	NA	NA	NA	NA	1.34	1.18
1605	NA	NA	NA	NA	NA	1.7	1.51	0.63	0.64	NA	NA	0.75	NA	NA	NA	NA	NA	1.48	1.15
1606	NA	NA	NA	NA	NA	2.14	2.41	0.76	0.74	NA	NA	0.26	NA	NA	NA	NA	NA	1.93	1.51
1607	NA	NA	1.22	1.7	NA	3.03	2.46	1.49	1.15	NA	NA	0.61	NA	NA	NA	NA	NA	1.61	1.91
1608	NA	NA	1.4	2.27	NA	3.3	2.72	1.13	0.84	NA	NA	0.99	NA	NA	NA	NA	NA	1.75	1.95
1609	NA	NA	1.92	3.1	NA	4.18	3.57	1.83	1.23	NA	NA	1.77	NA	NA	NA	NA	NA	1.97	2.36
1610	NA	NA	1.9	2.99	NA	2.85	2.56	1.85	0.98	NA	NA	1.93	NA	NA	NA	NA	NA	2	2.11
1611	NA	NA	2.1	2.3	NA	1.99	1.68	0.73	0.6	NA	NA	1.47	NA	NA	NA	NA	NA	2	2.29
1612	NA	NA	1.77	2.81	NA	1.65	1.71	0.64	0.71	NA	NA	1.52	NA	NA	NA	NA	NA	1.32	1.57
1613	NA	NA	1.08	1.64	NA	0.76	0.58	0.31	0.23	NA	NA	0.94	NA	NA	NA	NA	NA	2.76	3.7
1614	NA	NA	2.19	2.9	NA	2.06	2.09	0.38	0.16	NA	NA	1.45	NA	0.81	NA	NA	NA	2.84	3.75
1615	NA	NA	2.3	3.05	NA	2.45	1.73	0.75	0.71	NA	NA	1.89	NA	1.48	NA	NA	NA	2.71	2.87
1616	NA	NA	2.49	3.25	NA	2.64	2.53	0.91	0.87	NA	NA	2.41	NA	1.37	NA	NA	NA	2.82	2.89
1617	NA	NA	2.49	3.67	NA	2.59	2.56	1.43	1.28	NA	NA	2.57	NA	2.04	NA	NA	NA	2.76	2.97
1618	NA	2.08	2.51	2.71	NA	2.89	2.52	1.55	1.17	NA	NA	2.49	NA	2.27	NA	NA	NA	2.83	3.02
1619	NA	2.08	2.5	2.51	NA	3.47	2.65	1.82	1.14	NA	NA	2.31	NA	1.56	NA	NA	NA	3.48	3.57
