# Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2943
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2943.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm512e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm512e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm512e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Ditch Canyon B - PIPO - ITRDB NM512
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Ditch Canyon B
#   Location: New Mexico
#   Northernmost_Latitude: 36.98
#   Southernmost_Latitude: 36.98
#   Easternmost_Longitude: -107.07
#   Westernmost_Longitude: -107.07
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM512
#   First_Year: 1660
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## DP473E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP473E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP511E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP511E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP513E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP513E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP571E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP571E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## DP601E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: DP601E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	DP473E_raw	DP511E_raw	DP513E_raw	DP571E_raw	DP601E_raw
1660	NA	NA	1.13	NA	NA
1661	NA	NA	0.74	NA	NA
1662	NA	NA	0.93	NA	NA
1663	NA	NA	0.42	NA	NA
1664	NA	NA	0.6	NA	NA
1665	NA	NA	0.44	NA	NA
1666	NA	NA	0.43	NA	NA
1667	NA	NA	0.29	NA	NA
1668	NA	NA	0.37	NA	NA
1669	NA	NA	0.25	NA	NA
1670	NA	NA	0.41	NA	NA
1671	NA	NA	0.18	NA	NA
1672	NA	NA	0.6	NA	NA
1673	NA	NA	0.91	NA	NA
1674	NA	NA	0.89	NA	NA
1675	NA	NA	0.72	NA	NA
1676	NA	NA	0.79	NA	NA
1677	NA	NA	0.73	NA	NA
1678	NA	NA	1.11	NA	NA
1679	NA	NA	1.06	NA	NA
1680	NA	1.17	1.53	NA	NA
1681	NA	0.93	1.01	NA	NA
1682	NA	1.3	1.54	NA	NA
1683	NA	1.33	1.39	NA	NA
1684	NA	0.7	0.79	NA	NA
1685	NA	0.23	0.38	NA	NA
1686	NA	0.76	0.77	NA	NA
1687	NA	1.04	1.09	NA	NA
1688	NA	1.25	1.79	NA	NA
1689	NA	1.58	1.64	NA	NA
1690	NA	1.72	2.42	NA	NA
1691	NA	1.28	1.74	NA	NA
1692	NA	2.05	2.67	NA	NA
1693	NA	1.91	2.55	NA	NA
1694	NA	1.47	1.58	NA	NA
1695	NA	1.15	1.21	NA	NA
1696	NA	0.78	0.9	NA	NA
1697	NA	1.48	1.68	NA	NA
1698	NA	1.03	1.21	NA	NA
1699	NA	1.8	1.58	NA	NA
1700	NA	1.4	1.31	NA	NA
1701	NA	1.47	0.93	NA	NA
1702	NA	1.17	1.01	NA	NA
1703	NA	0.87	0.87	NA	NA
1704	NA	0.93	1.48	NA	NA
1705	NA	0.85	1.62	NA	NA
1706	NA	1.67	1.15	NA	NA
1707	NA	0.8	0.95	NA	NA
1708	NA	0.56	0.92	NA	NA
1709	NA	1.15	0.79	NA	NA
1710	NA	1.64	2.01	NA	NA
1711	NA	1.47	1.46	NA	NA
1712	NA	0.9	1.12	NA	NA
1713	NA	0.8	1.29	NA	NA
1714	NA	1.11	0.75	NA	NA
1715	NA	0.62	0.92	NA	NA
1716	NA	0.5	1.23	NA	NA
1717	NA	0.68	0.81	NA	NA
1718	NA	1.06	1.61	NA	NA
1719	NA	1.17	1.26	NA	NA
1720	NA	1.98	1.53	NA	NA
1721	NA	1.76	1.48	NA	NA
1722	NA	1.38	1.93	NA	NA
1723	NA	2.11	2.04	NA	NA
1724	NA	1.04	1.16	NA	NA
1725	NA	1.52	1.1	NA	NA
1726	NA	1.7	1.58	NA	NA
1727	NA	0.67	0.65	NA	NA
1728	NA	0.65	0.6	NA	NA
1729	NA	0.33	0.22	NA	NA
1730	NA	0.27	0.31	NA	NA
1731	NA	0.38	0.43	NA	NA
1732	NA	0.32	0.56	NA	NA
1733	NA	0.35	0.59	NA	NA
1734	NA	0.55	1	NA	NA
1735	NA	0.05	0.22	NA	NA
1736	NA	0.65	0.89	NA	NA
1737	NA	0.41	0.32	NA	NA
1738	NA	0.31	0.48	NA	NA
1739	NA	0.34	0.42	NA	NA
1740	NA	0.19	0.25	NA	NA
1741	NA	0.1	0.12	NA	NA
1742	NA	0.06	0.05	NA	NA
1743	NA	0.34	0.42	NA	NA
1744	NA	0.24	0.32	NA	NA
1745	NA	0.31	0.39	NA	NA
1746	NA	0.85	1.03	NA	NA
1747	NA	0.43	0.88	NA	NA
1748	NA	0.25	0.16	NA	NA
1749	NA	1.13	1.14	NA	NA
1750	NA	0.41	0.44	NA	NA
1751	NA	0.5	0.54	NA	NA
1752	NA	0.25	0.23	NA	NA
1753	NA	0.41	0.37	NA	NA
1754	NA	0.75	0.66	NA	NA
1755	NA	0.36	0.44	NA	NA
1756	NA	0.43	0.25	NA	NA
1757	NA	0.6	0.52	NA	NA
1758	NA	0.39	0.24	NA	NA
1759	NA	0.56	0.27	NA	NA
1760	NA	0.5	0.43	NA	NA
1761	NA	0.98	0.82	NA	NA
1762	NA	0.76	0.52	NA	NA
1763	NA	0.67	0.42	NA	NA
1764	NA	0.87	0.64	NA	NA
1765	NA	0.86	0.49	NA	NA
1766	NA	1.02	0.62	NA	NA
1767	NA	1.5	0.79	NA	NA
1768	NA	0.59	0.7	NA	NA
1769	NA	1.02	0.73	NA	NA
1770	NA	0.83	0.54	NA	NA
