# King - Cooking Hillside - PICO - ITRDB  WY035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8519
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8519.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy035-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wy035-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wy035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wy035.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-02
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-02
#--------------------
# Title
#   Study_Name: King - Cooking Hillside - PICO - ITRDB  WY035
#--------------------
# Investigators
#   Investigators: King, J.C.; Evans, W.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Cooking Hillside
#   Location: Wyoming
#   Northernmost_Latitude: 44.62
#   Southernmost_Latitude: 44.62
#   Easternmost_Longitude: -110.43
#   Westernmost_Longitude: -110.43
#   Elevation_m: 2400
#--------------------
# Data_Collection
#   Collection_Name: WY035
#   First_Year: 1900
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus contorta Douglas ex Loudon
#   Common_Name: lodgepole pine
#   Tree_Species_Code: PICO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## ref101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref103_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref103; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref104_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref104; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref105_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref105; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref106_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref106; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref108_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref108; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref109_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref109; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref110_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref110; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref113_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref113; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref114_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref114; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref115_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref115; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref116_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref116; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref117_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref117; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## ref122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: ref122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	ref101_raw	ref102_raw	ref103_raw	ref104_raw	ref105_raw	ref106_raw	ref108_raw	ref109_raw	ref110_raw	ref113_raw	ref114_raw	ref115_raw	ref116_raw	ref117_raw	ref120_raw	ref121_raw	ref122_raw
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.014	1.712	2.033	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.116	2.191	1.628	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.499	1.806	1.237	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.95	1.615	1.719	NA	NA	NA	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.298	1.478	1.499	NA	NA	NA	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.185	1.892	1.409	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.961	1.857	1.316	NA	NA	NA	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79	1.414	1.863	NA	NA	NA	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.507	1.928	1.922	NA	NA	NA	NA
1909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.854	1.732	1.152	NA	NA	NA	NA
1910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.712	1.516	1.101	NA	NA	NA	NA
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.328	1.801	1.065	NA	NA	NA	NA
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.066	2.044	1.349	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.075	2.587	1.374	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.888	1.664	1.106	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.461	1.8	1.43	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.577	1.955	1.568	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.917	1.309	0.793	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.511	1.684	1.012	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.447	1.233	0.903	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.297	1.168	0.883	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.858	1.259	0.84	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.301	1.125	0.538	NA	4.109	NA	NA
1923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.212	1.217	0.624	NA	4.006	NA	NA
1924	NA	NA	NA	NA	1.964	NA	NA	NA	NA	NA	1.082	1.162	0.64	NA	4.493	NA	NA
1925	NA	NA	NA	NA	3.194	NA	NA	NA	NA	NA	1.42	1.234	0.958	NA	4.952	NA	NA
1926	NA	NA	NA	NA	3.487	NA	NA	NA	NA	NA	1.687	1.454	0.784	NA	6.088	NA	NA
1927	NA	NA	NA	NA	3.017	NA	NA	NA	NA	NA	1.487	1.305	0.805	NA	5.147	NA	NA
1928	NA	NA	NA	4.15	3.714	NA	NA	NA	NA	NA	2.112	1.646	1.519	NA	6.177	NA	NA
1929	NA	NA	NA	4.082	3.061	NA	NA	NA	NA	1.797	1.665	1.388	1.039	NA	5.616	NA	NA
1930	NA	NA	NA	3.771	3.745	NA	NA	NA	NA	1.708	1.463	0.997	0.798	NA	5.471	NA	NA
1931	NA	NA	NA	4.836	4.393	NA	NA	NA	NA	2.046	1.705	1.084	1	NA	5.75	NA	NA
1932	NA	NA	NA	5.166	4.403	NA	NA	NA	NA	2.033	1.791	0.788	1.146	NA	5.069	NA	NA
1933	NA	NA	NA	4.972	3.784	3.231	NA	NA	NA	1.402	1.153	0.666	0.58	NA	4.858	NA	NA
1934	NA	NA	4.51	6.123	4.338	3.654	2.169	NA	NA	1.719	0.812	0.645	0.556	NA	5.592	NA	NA
1935	NA	NA	4.182	6.009	3.564	3.281	2.321	NA	NA	1.689	0.923	0.584	0.576	NA	4.817	NA	NA
1936	NA	NA	4.195	5.714	3.045	3.133	2.223	NA	NA	2.174	0.854	0.613	0.758	NA	4.833	NA	NA
1937	NA	NA	5.885	6.535	4.714	3.684	2.989	5.843	NA	2.199	0.893	0.594	0.545	NA	4.971	NA	NA
1938	NA	NA	5.65	6.159	3.891	3.646	3.107	6.073	NA	2.537	1.283	0.374	0.489	NA	4.83	NA	NA
1939	NA	NA	5.217	6.318	3.588	3.661	3.259	6.627	NA	3.041	1.391	0.709	0.588	NA	5.025	2.729	NA
1940	NA	NA	5.036	5.955	4.206	3.474	2.796	4.567	NA	2.915	1.404	0.634	0.234	NA	4.067	2.684	NA
1941	NA	NA	4.583	5.751	3.526	2.709	4.011	4.491	NA	3.37	1.241	0.319	0.16	NA	4.358	3.477	NA
1942	NA	NA	4.172	4.957	2.645	2.023	3.433	3.761	NA	3.172	1.333	0.525	0.226	NA	3.693	3.034	NA
1943	NA	NA	4.067	4.744	2.725	2.34	3.25	4.221	NA	3.614	1.114	0.549	0.307	NA	3.653	3.025	NA
1944	NA	3.179	5.034	4.155	2.807	2.873	3.413	4.992	NA	3.935	1.316	0.612	0.511	NA	3.831	3.594	NA
1945	NA	3.629	5.23	5.303	3.187	3.37	3.25	4.845	NA	4.027	1.337	0.733	0.9	NA	4.293	4.049	NA
1946	NA	3.648	3.714	4.454	2.852	3.319	2.699	4.622	NA	3.948	1.37	0.991	0.744	NA	3.969	3.358	NA
1947	NA	3.285	4.274	5.48	3.047	3.612	3.583	5.363	NA	4.513	1.228	1.045	1.197	NA	4.028	3.971	NA
1948	NA	3.642	3.797	4.445	2.799	2.919	3.569	3.7	NA	3.769	1.122	0.799	0.651	NA	3.816	2.941	NA
1949	NA	3.268	2.393	4.32	2.433	2.494	2.281	3.385	NA	3.389	0.617	0.561	0.267	NA	3.447	2.291	NA
1950	2.316	2.232	2.357	3.071	2.468	1.959	2.235	2.31	3.16	3.306	0.603	0.619	0.401	2.643	2.489	1.801	NA
1951	2.509	3.33	3.214	3.36	3.048	2.542	2.08	2.45	3.122	3.303	1.601	0.855	0.673	2.407	3.048	2.502	NA
