# Wyse - Platte Plains - QUAL - ITRDB MI016
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5359
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5359.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi016-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi016-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi016.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi016.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-09-14
#--------------------
# File_Last_Modified_Date
#   Date: 2005-09-14
#--------------------
# Title
#   Study_Name: Wyse - Platte Plains - QUAL - ITRDB MI016
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Platte Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.72
#   Southernmost_Latitude: 44.72
#   Easternmost_Longitude: -86.08
#   Westernmost_Longitude: -86.08
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI016
#   First_Year: 1888
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 38-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 38-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 33-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 33-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 47-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 47-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 32-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 32-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 48-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 48-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 13-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 13-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 48-4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 48-4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	38-3_raw	33-2_raw	47-1_raw	32-2_raw	41-2_raw	48-2_raw	13-2_raw	48-4_raw
1888	NA	NA	NA	3.98	NA	NA	NA	NA
1889	NA	NA	NA	3.51	NA	NA	NA	NA
1890	NA	NA	NA	2.29	NA	NA	NA	NA
1891	NA	NA	NA	2.24	NA	NA	NA	NA
1892	NA	NA	NA	1.78	NA	NA	NA	NA
1893	NA	NA	NA	1.35	NA	NA	NA	NA
1894	NA	NA	NA	1.18	NA	NA	NA	NA
1895	NA	NA	NA	1.18	NA	NA	NA	NA
1896	NA	NA	NA	3.39	NA	NA	NA	NA
1897	NA	NA	NA	2.29	NA	NA	NA	NA
1898	2.46	NA	NA	2.12	NA	NA	NA	NA
1899	1.78	NA	NA	2.16	NA	NA	NA	NA
1900	2.25	NA	NA	2.75	NA	NA	NA	NA
1901	1.48	NA	NA	0.93	NA	NA	NA	NA
1902	1.77	NA	NA	2.33	NA	NA	NA	NA
1903	1.18	NA	NA	1.78	NA	NA	NA	NA
1904	1.23	NA	NA	1.61	NA	NA	NA	NA
1905	1.52	NA	NA	2.2	NA	NA	NA	NA
1906	1.27	NA	NA	1.9	NA	NA	NA	NA
1907	0.8	NA	NA	1.69	NA	NA	NA	NA
1908	1.1	NA	NA	2.2	NA	NA	NA	NA
1909	1.1	NA	NA	2.79	NA	NA	NA	NA
1910	0.68	NA	NA	2.07	NA	NA	NA	NA
1911	0.51	3.31	NA	2.54	1.8	NA	NA	NA
1912	0.72	4.5	NA	2.54	0.9	NA	NA	NA
1913	1.06	3.17	NA	3.05	0.74	NA	NA	NA
1914	0.93	4.24	NA	3.09	1.19	NA	NA	NA
1915	1.14	1.86	NA	1.99	1.4	NA	NA	NA
1916	0.97	1.55	NA	2.62	1.19	NA	NA	NA
1917	0.97	1.22	NA	1.57	1.1	NA	NA	NA
1918	0.97	1.1	NA	0.93	0.93	NA	NA	NA
1919	0.55	0.89	NA	0.68	1.14	NA	NA	NA
1920	1.23	1.86	NA	1.31	0.8	NA	NA	NA
1921	0.89	0.97	0.46	0.76	0.46	NA	NA	NA
1922	1.99	4.7	1.47	1.14	0.85	NA	NA	NA
1923	2.33	3.85	1.29	1.31	3.89	NA	NA	NA
1924	2.79	4.74	1.62	1.4	2.92	NA	NA	NA
1925	2.62	3.43	1.46	1.44	3.39	NA	NA	NA
1926	1.57	2.88	0.83	0.76	1.29	NA	NA	NA
1927	1.23	3.18	0.69	1.1	1.17	NA	NA	NA
1928	0.93	2.58	1.17	1.4	2.19	NA	NA	NA
1929	1.4	3.05	1.36	1.4	2.2	NA	NA	NA
1930	0.93	0.76	0.27	0.47	1.81	NA	2.27	NA
1931	0.8	1.02	0.34	0.59	2.12	NA	1.15	NA
1932	1.14	2.29	0.33	1.52	3	NA	1.65	NA
1933	1.1	2.2	0.75	1.1	1.95	NA	0.94	NA
1934	1.31	1.52	0.78	1.27	3.85	NA	1.46	NA
1935	0.93	2.41	0.74	1.4	2.33	NA	2.12	NA
1936	0.8	0.8	0.37	0.51	0.38	NA	1.18	NA
1937	0.93	1.48	0.87	1.1	0.68	NA	1.62	NA
1938	1.61	1.4	1.1	1.35	2.54	NA	1.61	NA
1939	1.19	1.23	1.19	1.35	3.01	NA	2.06	NA
1940	1.48	2.46	1.27	2.24	3.18	1.86	0.68	2.27
1941	1.18	0.51	0.59	0.51	1.14	0.71	1.06	1.95
1942	1.57	1.14	1.14	1.44	2.08	1.58	1.61	2.49
1943	1.31	1.99	1.27	2.33	1.14	1.88	1.69	1.78
1944	1.4	2.03	1.1	1.9	1.06	2.19	1.39	2.75
1945	1.1	1.78	1.44	1.44	1.31	1.51	1.27	1.99
1946	1.4	1.99	1.48	1.23	1.31	1.11	1.19	1.99
1947	1.1	1.69	1.23	1.4	1.4	1.77	1.35	1.1
1948	0.97	1.31	0.76	1.1	0.72	2.24	1.02	0.34
1949	1.35	0.76	0.8	0.38	0.93	1.52	0.63	0.55
1950	1.44	1.52	1.48	1.27	1.52	1.32	1.35	1.14
1951	1.78	1.74	1.61	1.48	1.06	0.72	1.9	1.4
1952	1.69	1.95	1.69	1.82	1.65	1.23	2.41	2.5
1953	2.03	1.27	1.57	1.52	1.35	1.02	2.24	1.69
1954	1.57	1.27	1.61	1.69	1.02	1.02	1.1	1.99
1955	1.19	0.55	0.93	1.01	1.19	0.84	1.19	0.93
1956	2.03	1.31	1.9	1.57	1.52	1.1	0.89	2.24
1957	1.48	1.1	1.69	1.19	0.55	0.76	1.52	1.06
1958	1.52	1.14	1.06	0.89	0.59	0.46	0.64	0.46
1959	1.18	0.89	0.93	1.69	0.72	0.59	0.89	0.72
1960	1.86	1.82	2.24	2.62	2.2	1.48	1.52	2.75
1961	1.95	1.44	1.82	2.92	1.44	1.1	1.52	1.61
1962	1.74	2.12	1.57	2.29	2.16	1.61	1.27	2.07
