# Stambaugh - Tallgrass Prairie Preserve - QUMA - ITRDB KS012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5507
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5507.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ks012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ks012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ks012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ks012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2007-05-30
#--------------------
# File_Last_Modified_Date
#   Date: 2007-05-30
#--------------------
# Title
#   Study_Name: Stambaugh - Tallgrass Prairie Preserve - QUMA - ITRDB KS012
#--------------------
# Investigators
#   Investigators: Stambaugh, M.C.; Guyette, R.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Tallgrass Prairie Preserve
#   Location: Kansas
#   Northernmost_Latitude: 38.48
#   Southernmost_Latitude: 38.48
#   Easternmost_Longitude: -96.58
#   Westernmost_Longitude: -96.58
#   Elevation_m: 408
#--------------------
# Data_Collection
#   Collection_Name: KS012
#   First_Year: 1600
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TGPC4B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC4B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC8B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC8B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC6B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC6B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGPC09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGPC09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP26A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP26A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP24A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP24A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TGP22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TGP22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TGPC4B_raw	TGPC8B_raw	TGPC6B_raw	TGPC05_raw	TGPC01_raw	TGPC07_raw	TGPC09_raw	TGP02B_raw	TGP26A_raw	TGP21A_raw	TGP25A_raw	TGP23A_raw	TGP24A_raw	TGP20A_raw	TGP22A_raw
1820	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	NA	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	1.31	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	0.82	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	1.39	NA	NA	NA	NA	1.45	NA	NA	NA	NA	NA	1.8	NA
1829	NA	NA	1.12	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA	1.22	NA
1830	NA	NA	1.35	NA	NA	NA	NA	1.14	NA	NA	NA	NA	NA	1.09	NA
1831	NA	NA	2.32	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	1.62	NA
1832	NA	NA	2.49	NA	NA	NA	NA	1.3	NA	1.73	NA	NA	NA	1.62	NA
1833	NA	NA	1.62	NA	NA	NA	NA	1.49	NA	1.73	NA	NA	NA	1.79	NA
1834	NA	NA	1.53	NA	NA	NA	NA	1.07	NA	1.47	NA	NA	NA	1.17	NA
1835	NA	NA	1.59	NA	NA	NA	NA	1.06	NA	1.13	NA	NA	NA	1.46	NA
1836	NA	NA	1.56	NA	NA	NA	NA	1.08	2.49	0.91	NA	NA	NA	1.37	NA
1837	NA	NA	1.03	NA	NA	NA	NA	1.09	1.62	0.94	NA	NA	NA	1	NA
1838	NA	NA	1.08	NA	NA	NA	NA	0.92	0.4	1.01	NA	NA	NA	0.8	NA
1839	NA	NA	1.32	NA	NA	NA	NA	0.53	0.83	1.3	NA	NA	NA	0.84	NA
1840	NA	NA	0.66	NA	NA	NA	NA	0.68	1.37	1.05	NA	NA	NA	0.74	NA
1841	NA	NA	0.68	NA	NA	NA	NA	0.73	1.67	1.04	3.75	NA	NA	0.87	NA
1842	NA	NA	0.72	NA	NA	NA	NA	0.56	2.17	1.2	4.28	NA	NA	0.78	NA
1843	NA	NA	1.13	NA	NA	NA	NA	0.83	1.95	1.3	4.54	NA	NA	0.98	NA
1844	NA	NA	1.27	NA	NA	NA	NA	0.81	2.95	1.09	4.6	NA	NA	0.91	NA
1845	NA	NA	1.43	NA	NA	NA	NA	0.77	1.62	1.02	4.37	NA	NA	0.85	NA
1846	NA	NA	1.18	NA	NA	NA	NA	0.94	1.82	1.51	4.3	NA	NA	0.87	NA
1847	NA	NA	1.13	NA	NA	NA	NA	0.6	1.11	1.68	3.79	NA	NA	0.8	NA
1848	NA	NA	1.84	NA	NA	NA	NA	0.56	0.62	1.14	1.79	NA	NA	0.52	NA
1849	NA	NA	1.7	NA	NA	NA	NA	0.55	1.17	0.83	3.04	NA	NA	0.36	NA
1850	NA	NA	1.32	NA	NA	NA	NA	0.66	1.22	1.01	3.27	NA	NA	0.86	NA
1851	NA	NA	2.15	NA	NA	NA	NA	0.38	1.93	1.17	3.4	NA	NA	0.43	NA
1852	NA	NA	1.9	NA	NA	NA	NA	0.3	0.56	0.75	1.52	NA	NA	0.34	NA
1853	NA	NA	1.76	NA	NA	NA	NA	0.56	1.01	1.13	3.62	NA	NA	0.66	NA
1854	NA	NA	1.3	NA	NA	NA	NA	0.35	1.31	0.98	4	NA	NA	0.31	NA
1855	NA	NA	1.91	NA	NA	NA	NA	0.35	0.6	0.39	1.89	NA	NA	0.38	NA
1856	NA	NA	1.74	NA	NA	NA	NA	0.56	0.73	0.96	1.87	NA	NA	0.47	NA
1857	NA	NA	1.31	NA	NA	NA	NA	0.61	0.93	0.89	1.29	NA	NA	0.61	NA
1858	NA	NA	1.45	NA	NA	NA	NA	1.39	0.99	1.1	1.84	NA	NA	1.73	NA
1859	NA	NA	1.75	NA	NA	NA	NA	2.05	1.75	2.12	2.65	NA	NA	1.71	NA
1860	NA	NA	1.04	NA	NA	NA	NA	0.99	1.53	1.06	1.48	NA	NA	0.67	NA
1861	NA	NA	1.18	NA	NA	NA	NA	0.41	0.45	0.54	0.94	NA	NA	0.35	NA
1862	NA	NA	1.82	NA	NA	NA	NA	0.84	0.54	1	0.95	NA	NA	0.63	NA
1863	NA	NA	1.61	NA	NA	NA	NA	1.41	0.98	1.01	0.81	NA	NA	1.28	NA
1864	NA	NA	1.25	NA	NA	NA	NA	0.47	0.36	0.58	0.53	NA	NA	0.42	NA
1865	NA	NA	1.55	NA	NA	NA	NA	0.76	0.23	0.41	0.62	NA	NA	0.68	NA
1866	NA	NA	1.95	NA	NA	NA	NA	1.89	0.7	1.02	1.04	NA	NA	2.32	NA
1867	1.14	NA	2.02	NA	NA	NA	NA	0.9	1.72	0.79	1.93	NA	NA	0.96	NA
1868	0.62	NA	1.58	NA	NA	NA	NA	0.91	2.7	0.96	1.45	NA	NA	1.14	NA
1869	0.85	NA	2.23	NA	NA	NA	NA	3.71	4.34	1.42	2.56	NA	NA	4.07	NA
1870	1.33	NA	2	NA	NA	NA	NA	2.33	3.05	2.42	2.48	NA	NA	3.77	NA
1871	1.63	NA	2.26	NA	NA	NA	NA	2.48	4.39	2.01	3.4	NA	NA	4.46	NA
1872	0.94	NA	1.71	NA	NA	NA	NA	3.12	1.68	2.45	1.79	NA	NA	5.13	NA
1873	1	NA	1.28	NA	NA	NA	NA	2.66	1.17	1.8	2.64	NA	NA	3.21	NA
1874	1.35	NA	1.56	NA	NA	NA	NA	3.17	2.13	2.2	2.84	1.13	NA	3.57	NA
1875	0.31	NA	1.92	NA	NA	3.4	NA	2.67	2.29	2.94	1.93	2.4	1.81	2.51	NA
1876	0.47	NA	2.26	NA	NA	2.59	NA	3.83	1.68	2.7	2.56	3.33	1.91	4.63	NA
1877	0.78	NA	1.98	NA	NA	2.43	NA	5.17	0.67	3.43	1.99	2.03	2.26	5.9	NA
1878	2.31	NA	2.33	NA	NA	2.8	NA	6.55	1.75	3.9	2.91	2.56	2.26	8.04	NA
