# Therrell - Vermilion River - QUSP - ITRDB IL024
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/28197
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-28197.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/il024-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; il024-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/il024.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/il024.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-10-29
#--------------------
# File_Last_Modified_Date
#   Date: 2019-10-29
#--------------------
# Title
#   Study_Name: Therrell - Vermilion River - QUSP - ITRDB IL024
#--------------------
# Investigators
#   Investigators: Therrell, M.D.; Meko, D.M.(https://orcid.org/0000-0002-5171-2724)
#--------------------
# Description_Notes_and_Keywords
#   Description: Kickapoo State Park, October 29th, 2014, Q. alba, Q. macrocarpa NOAA Template Raw Measurements file added 2020-03-09.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Vermilion River
#   Location: Illinois
#   Northernmost_Latitude: 40.142935
#   Southernmost_Latitude: 40.142935
#   Easternmost_Longitude: -87.742722
#   Westernmost_Longitude: -87.742722
#   Elevation_m: 164
#--------------------
# Data_Collection
#   Collection_Name: IL024
#   First_Year: 1839
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## VER01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## VER14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: VER14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	VER01A_raw	VER01B_raw	VER02A_raw	VER02B_raw	VER03B_raw	VER03A_raw	VER04A_raw	VER04B_raw	VER05A_raw	VER05B_raw	VER06A_raw	VER06B_raw	VER07A_raw	VER07B_raw	VER09B_raw	VER10A_raw	VER10B_raw	VER11A_raw	VER12A_raw	VER13A_raw	VER14_raw
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.762
1840	NA	NA	NA	NA	NA	2.661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.456
1841	NA	NA	NA	NA	NA	2.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.801
1842	NA	NA	NA	NA	NA	2.884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99
1843	NA	NA	NA	NA	NA	2.454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.279
1844	NA	NA	NA	NA	NA	2.343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.318
1845	NA	NA	NA	NA	NA	1.288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.842
1846	NA	NA	NA	NA	NA	1.778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.668
1847	NA	NA	NA	NA	NA	1.287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21
1848	NA	NA	NA	NA	NA	1.576	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.823	NA	NA	NA	NA	1.082
1849	NA	NA	NA	NA	NA	1.707	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.466	NA	1.745	NA	NA	0.952
1850	NA	NA	NA	NA	NA	0.931	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.683	NA	1.953	NA	NA	1.124
1851	NA	NA	NA	NA	NA	1.951	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.468	NA	2.159	NA	NA	0.859
1852	NA	NA	NA	NA	NA	1.303	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.118	NA	1.033	NA	NA	0.416
1853	NA	2.76	NA	NA	NA	1.543	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.857	NA	2.853	NA	NA	0.806
1854	NA	2.114	NA	NA	1.635	1.941	NA	NA	NA	NA	NA	3.329	NA	NA	NA	0.914	NA	2.452	NA	NA	0.55
1855	NA	2.515	NA	NA	1.38	1.674	NA	NA	NA	NA	NA	1.538	NA	NA	NA	1.114	NA	2.604	NA	NA	0.581
1856	NA	2.012	NA	NA	1.609	1.138	NA	NA	NA	NA	NA	1.461	NA	NA	NA	0.863	NA	1.622	NA	NA	0.691
1857	NA	2.459	NA	NA	1.833	1.175	NA	NA	NA	NA	NA	0.789	NA	NA	NA	0.94	NA	2.026	NA	NA	0.597
1858	NA	2.417	NA	NA	1.374	1.534	NA	NA	NA	NA	NA	1.167	NA	NA	NA	1.002	NA	3.29	NA	NA	0.628
1859	NA	2.036	NA	NA	1.545	1.725	NA	NA	NA	NA	NA	1.297	NA	NA	NA	1.288	NA	2.347	NA	NA	0.681
1860	NA	2.633	NA	NA	1.287	1.508	NA	NA	NA	NA	NA	1.755	NA	NA	NA	1.439	NA	2.898	NA	NA	1.019
1861	NA	2.018	NA	NA	1.006	1.017	NA	NA	NA	NA	NA	2.538	NA	NA	NA	2	NA	3.373	NA	NA	0.716
1862	NA	1.799	NA	NA	1.434	1.863	NA	NA	NA	NA	NA	1.973	NA	NA	NA	1.999	NA	3.708	NA	NA	0.747
1863	NA	1.685	NA	2.135	1.479	2.067	NA	NA	NA	NA	NA	1.396	NA	NA	NA	1.641	NA	2.845	NA	NA	0.587
1864	NA	1.005	NA	1.952	1.068	1.728	NA	NA	NA	NA	NA	0.767	NA	NA	NA	0.973	NA	1.974	NA	NA	0.465
1865	NA	0.885	NA	1.808	1.135	1.293	NA	NA	NA	NA	NA	0.516	NA	NA	NA	0.925	NA	1.468	NA	NA	0.393
1866	NA	0.937	NA	1.388	1.804	1.271	NA	NA	NA	NA	NA	0.703	NA	NA	NA	1.175	NA	1.886	NA	NA	0.393
1867	NA	0.644	NA	1.751	0.986	0.937	NA	NA	NA	NA	NA	0.401	NA	NA	NA	0.556	NA	1.429	NA	NA	0.235
1868	NA	0.905	NA	1.043	0.678	0.939	NA	NA	NA	NA	NA	0.292	NA	NA	NA	0.525	NA	1.419	NA	NA	0.347
1869	NA	1.239	NA	2.84	1.321	1.288	NA	NA	NA	NA	NA	0.627	NA	NA	NA	0.745	NA	1.595	NA	NA	0.163
1870	NA	0.767	NA	1.011	1.474	1.949	NA	NA	NA	NA	NA	0.469	NA	NA	NA	0.339	NA	1.442	NA	NA	0.329
1871	NA	0.526	NA	1.203	1.655	1.391	NA	2.2	NA	NA	NA	0.383	NA	NA	NA	0.252	NA	1.499	NA	NA	0.269
1872	NA	0.722	NA	1.633	1.901	1.863	NA	2.441	NA	NA	NA	0.282	NA	NA	NA	0.374	NA	1.93	NA	NA	0.547
1873	NA	0.487	NA	2.21	1.67	1.649	NA	1.892	NA	NA	NA	0.368	NA	NA	NA	0.272	NA	1.761	1.515	NA	0.221
1874	NA	0.532	NA	1.824	1.388	1.513	NA	1.989	NA	NA	NA	0.234	NA	NA	NA	0.203	NA	1.426	1.09	NA	0.607
1875	NA	0.825	NA	1.95	1.728	1.766	NA	2.591	NA	NA	NA	0.449	NA	NA	NA	0.177	NA	1.516	1.213	NA	0.389
1876	NA	1.464	NA	2.625	1.952	1.778	NA	2.234	NA	NA	NA	0.337	0.774	NA	NA	0.241	NA	1.496	1.45	NA	0.62
1877	NA	1.029	NA	1.389	1.533	1.135	NA	1.544	NA	NA	NA	0.327	0.48	NA	NA	0.164	NA	2.338	1.162	NA	0.268
1878	NA	2.161	NA	2.375	2.478	1.718	NA	2.32	NA	NA	NA	0.479	1.079	NA	NA	0.394	NA	2.617	2.009	NA	0.393
1879	NA	1.313	NA	1.303	2.088	1.407	NA	2.212	NA	NA	NA	0.348	0.76	NA	NA	0.303	NA	2.011	1.323	NA	0.341
1880	NA	1.527	3.707	1.275	1.459	1.155	NA	2.003	NA	NA	NA	0.455	0.681	NA	NA	0.408	NA	1.763	1.064	NA	0.233
1881	NA	1.346	4.928	1.597	1.527	1.463	NA	2.046	NA	NA	NA	0.52	1.163	NA	NA	0.647	NA	1.478	1.015	NA	0.127
1882	NA	2.417	6.152	1.82	1.808	1.565	NA	1.732	NA	NA	NA	1.791	1.046	NA	NA	1.172	NA	1.898	0.868	NA	0.187
1883	2.233	2.507	3.711	1.565	1.686	1.106	NA	1.701	NA	NA	NA	1.798	1.404	NA	NA	0.277	NA	1.187	0.844	NA	0.377
1884	1.899	2.261	4.611	1.975	2.525	2.156	NA	2.218	NA	NA	NA	1.429	1.455	NA	NA	0.228	NA	1.852	0.871	NA	0.957
1885	1.744	2.557	3.878	1.716	1.902	1.912	1.548	2.178	NA	NA	NA	1.483	1.952	NA	NA	0.261	NA	1.738	1.009	NA	0.962
1886	1.715	3.052	5.779	3.28	2.518	1.896	1.863	2.125	NA	NA	NA	2.273	1.712	NA	NA	0.346	NA	2.387	0.815	NA	0.7
1887	1.124	1.783	3.04	2.139	1.957	0.965	1.338	1.252	NA	NA	NA	0.852	1.067	NA	NA	0.305	NA	1.557	0.43	NA	0.438
