# Brantner - Alan Seeger Natural Area - QUSP - ITRDB PA017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/23810
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-23810.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/pa017-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; pa017-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/pa017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/pa017.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2018-04-04
#--------------------
# File_Last_Modified_Date
#   Date: 2018-04-04
#--------------------
# Title
#   Study_Name: Brantner - Alan Seeger Natural Area - QUSP - ITRDB PA017
#--------------------
# Investigators
#   Investigators: Brantner, B.; Lehman, S.; Copenhaver, I.; Osborne, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Alan Seeger Natural Area 2
#   Location: Pennsylvania
#   Northernmost_Latitude: 40.6955
#   Southernmost_Latitude: 40.6955
#   Easternmost_Longitude: -77.755
#   Westernmost_Longitude: -77.755
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: PA017
#   First_Year: 1828
#   Last_Year: 2016
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 1-48_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 1-48; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 3-48_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 3-48; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 9-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 9-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 21-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 21-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 27-48_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 27-48; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 32-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 32-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 70-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 70-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 73-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 73-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 74-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 74-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 100-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 100-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 102-30_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 102-30; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 122-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 122-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 123-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 123-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 135-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 135-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 137-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 137-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 145-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 145-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 146-40_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 146-40; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 204-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 204-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 204-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 204-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 206-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 206-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 206-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 206-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 207-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 207-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 207-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 207-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 208-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 208-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 202_1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 202_1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 203_1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 203_1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 203_2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 203_2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 208_2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 208_2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 209_2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 209_2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 215-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 215-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 218-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 218-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 212_2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 212_2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 213_1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 213_1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	1-48_raw	3-48_raw	9-30_raw	21-30_raw	27-48_raw	32-30_raw	70-30_raw	73-40_raw	74-40_raw	100-30_raw	102-30_raw	122-40_raw	123-40_raw	135-40_raw	137-40_raw	145-40_raw	146-40_raw	204-1_raw	204-2_raw	206-1_raw	206-2_raw	207-1_raw	207-2_raw	208-1_raw	202_1_raw	203_1_raw	203_2_raw	208_2_raw	209_2_raw	215-1_raw	218-1_raw	212_2_raw	213_1_raw
1828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.421	1.581	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.166	1.337	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	1.154	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64	0.803	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.207	0.522	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.029	0.952	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.014	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.926	1.014	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	0.614	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.987	0.464	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.424	1.357	0.681	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.752	1.255	0.874	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.673	1.354	1.512	NA	NA	NA	0.101	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.386	0.402	1.441	NA	NA	NA	0.004	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.809	0.959	0.49	NA	NA	NA	1.633	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.815	0.719	1.215	NA	NA	NA	1.822	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.129	1.185	0.976	NA	NA	NA	3.333	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.451	1.601	1.321	NA	NA	NA	2.442	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.304	1.178	1.703	NA	NA	NA	2.776	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.073	1.028	1.48	NA	NA	NA	1.539	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.505	1.68	1.293	NA	NA	NA	2.533	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.868	1.747	1.573	NA	NA	NA	2.517	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.145	1.107	2.253	NA	NA	NA	2.786	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656	0.716	2.137	NA	NA	NA	1.406	NA	NA	NA	NA	NA
1854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.078	1.174	1.328	NA	NA	NA	2.701	NA	NA	NA	NA	NA
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.967	1.124	1.724	NA	NA	NA	3.317	NA	NA	NA	NA	NA
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46	0.666	2.684	NA	NA	NA	1.179	NA	NA	NA	NA	NA
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.086	1.537	2.002	NA	NA	NA	2.463	NA	NA	NA	NA	NA
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.189	1.49	1.358	NA	NA	NA	1.544	NA	NA	NA	5.625	NA
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.725	1.815	1.544	NA	NA	2.71	2.001	NA	NA	NA	1.993	NA
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.539	1.897	1.33	5.674	NA	1.205	1.846	NA	NA	NA	1.292	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.655	NA	NA	NA	NA	NA	NA	1.422	1.755	1.576	1.552	NA	3.678	1.881	NA	NA	NA	1.026	1.437
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.656	NA	NA	NA	NA	NA	NA	1.944	1.66	2.263	1.284	NA	2.107	2.315	NA	NA	NA	1.949	1.218
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.258	NA	NA	NA	NA	NA	NA	2.078	1.895	2.898	2.754	4.492	2.164	2.973	NA	NA	NA	2.328	2.23
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.958	NA	NA	NA	NA	NA	NA	1.577	1.45	1.753	1.249	3.131	1.252	2.128	NA	NA	NA	1.187	1.63
1865	NA	NA	NA	NA	NA	NA	NA	2.226	2.173	NA	NA	NA	NA	NA	1.246	NA	NA	NA	NA	NA	NA	1.631	1.741	2.102	1.821	4.92	2.524	2.474	NA	NA	NA	2.548	1.804
1866	NA	NA	NA	NA	NA	NA	NA	0.9	1.614	NA	NA	NA	NA	NA	0.723	NA	NA	NA	NA	NA	1.216	1.41	1.369	1.606	1.361	2.966	2.371	2.349	NA	NA	NA	1.303	1.216
1867	NA	NA	NA	NA	NA	NA	NA	1.154	2.287	NA	NA	NA	NA	NA	0.834	NA	NA	NA	NA	NA	1.494	2.044	2.22	2.177	1.609	3.9	2.81	2.077	NA	NA	NA	2.425	1.735
1868	NA	NA	NA	NA	NA	NA	NA	0.786	1.373	NA	NA	NA	NA	NA	0.735	NA	NA	NA	NA	NA	1.202	1.652	1.839	1.364	1.397	4.004	2.072	1.983	NA	NA	NA	1.499	1.313
1869	NA	0.69	NA	NA	NA	NA	NA	1.204	2.077	NA	NA	NA	NA	NA	0.815	NA	NA	2.22	NA	NA	1.321	1.713	1.531	1.683	1.521	3.657	2.78	2.115	NA	NA	NA	1.602	1.51
1870	NA	0.621	NA	NA	NA	NA	NA	0.947	1.657	NA	NA	NA	NA	NA	0.938	NA	NA	1.885	NA	NA	1.172	1.479	1.38	1.686	1.308	2.902	2.149	2.512	NA	NA	NA	1.479	1.484
