# Black - Kaupi - PSME - ITRDB OR124
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38227
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38227.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or124-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or124.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or124.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Kaupi - PSME - ITRDB OR124
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Kaupi
#   Location: Oregon
#   Northernmost_Latitude: 45.917
#   Southernmost_Latitude: 45.917
#   Easternmost_Longitude: -123.294
#   Westernmost_Longitude: -123.294
#   Elevation_m: 246
#--------------------
# Data_Collection
#   Collection_Name: OR124
#   First_Year: 1692
#   Last_Year: 1868
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KAP01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KAP02F_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KAP02F; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KAP01A_raw	KAP01B_raw	KAP02A_raw	KAP02B_raw	KAP02C_raw	KAP02D_raw	KAP02E_raw	KAP02F_raw
1692	1.02	0.98	NA	NA	NA	NA	NA	NA
1693	0.89	0.83	NA	NA	NA	NA	NA	NA
1694	1.31	1.27	NA	NA	NA	NA	NA	NA
1695	1.2	1.34	NA	NA	NA	NA	NA	NA
1696	1.69	1.72	NA	NA	NA	NA	NA	NA
1697	2.88	2.58	NA	NA	NA	NA	NA	NA
1698	1.88	1.66	NA	NA	NA	NA	NA	NA
1699	1.46	1.29	NA	NA	NA	NA	NA	NA
1700	1.57	1.43	NA	NA	NA	NA	NA	NA
1701	1.32	1.32	NA	NA	NA	NA	NA	NA
1702	1.5	1.53	NA	NA	NA	NA	NA	NA
1703	1.22	1.26	NA	NA	NA	NA	NA	NA
1704	0.87	0.88	NA	NA	NA	NA	NA	NA
1705	0.56	0.48	NA	NA	NA	NA	NA	NA
1706	0.59	0.57	NA	NA	NA	NA	NA	NA
1707	0.63	0.67	NA	NA	NA	NA	NA	NA
1708	0.54	0.61	NA	NA	NA	NA	NA	NA
1709	0.59	0.64	NA	NA	NA	NA	NA	NA
1710	0.7	0.65	NA	NA	NA	NA	NA	NA
1711	0.74	0.64	NA	NA	NA	NA	NA	NA
1712	0.96	0.87	NA	NA	NA	NA	NA	NA
1713	0.53	0.5	NA	NA	NA	NA	NA	NA
1714	0.87	0.78	NA	NA	NA	NA	NA	NA
1715	1.04	0.9	NA	NA	NA	NA	NA	NA
1716	1.04	1	NA	NA	NA	NA	NA	NA
1717	0.7	0.69	NA	NA	NA	NA	NA	NA
1718	0.71	0.75	NA	NA	NA	NA	NA	NA
1719	0.74	0.66	NA	NA	NA	NA	NA	NA
1720	0.76	0.72	NA	NA	NA	NA	NA	NA
1721	0.72	0.75	NA	NA	NA	NA	NA	NA
1722	0.7	0.81	NA	NA	NA	NA	NA	NA
1723	0.78	0.88	NA	NA	NA	NA	NA	NA
1724	0.79	0.8	NA	NA	NA	NA	NA	NA
1725	0.73	0.88	NA	NA	NA	NA	NA	NA
1726	0.64	0.76	NA	NA	NA	NA	NA	NA
1727	0.47	0.57	NA	NA	NA	NA	NA	NA
1728	0.34	0.53	NA	NA	NA	NA	NA	NA
1729	0.37	0.58	NA	NA	NA	NA	NA	NA
1730	0.54	0.76	NA	NA	NA	NA	NA	NA
1731	0.61	0.81	NA	NA	NA	NA	NA	NA
1732	0.7	0.85	NA	NA	NA	NA	NA	NA
1733	0.66	0.85	NA	NA	NA	NA	NA	NA
1734	0.56	0.7	NA	NA	NA	NA	NA	NA
1735	0.6	0.8	NA	NA	NA	NA	NA	NA
1736	0.4	0.46	NA	NA	NA	NA	NA	NA
1737	0.3	0.33	NA	NA	NA	NA	NA	NA
1738	0.4	0.51	NA	NA	NA	NA	NA	NA
1739	0.18	0.37	NA	NA	NA	NA	NA	NA
1740	0.18	0.25	NA	NA	NA	NA	NA	NA
1741	0.18	0.26	NA	NA	NA	NA	NA	NA
1742	0.32	0.31	NA	NA	NA	NA	NA	NA
1743	0.45	0.61	NA	NA	NA	NA	NA	NA
1744	0.48	0.59	NA	NA	NA	NA	NA	NA
1745	0.42	0.51	NA	NA	NA	NA	NA	NA
1746	0.38	0.45	NA	NA	NA	NA	NA	NA
1747	0.38	0.51	NA	NA	NA	NA	NA	NA
1748	0.28	0.44	NA	NA	NA	NA	NA	NA
1749	0.26	0.51	NA	NA	NA	NA	NA	NA
1750	0.42	0.63	NA	NA	NA	NA	NA	NA
1751	0.42	0.6	NA	NA	NA	NA	NA	NA
1752	0.8	1.06	NA	NA	NA	NA	NA	NA
1753	0.76	1.08	NA	NA	NA	NA	NA	NA
1754	0.44	0.66	NA	NA	NA	NA	NA	NA
1755	0.34	0.48	NA	NA	NA	NA	NA	NA
1756	0.11	0.18	NA	NA	NA	NA	NA	NA
1757	0.12	0.15	NA	NA	NA	NA	NA	NA
1758	0.05	0.21	NA	NA	NA	NA	NA	NA
1759	0.32	0.32	NA	NA	NA	NA	NA	NA
1760	1.6	1.36	NA	NA	NA	NA	NA	NA
1761	2.4	1.95	NA	NA	NA	NA	NA	NA
1762	2.13	1.63	NA	NA	NA	NA	NA	NA
1763	2.75	2.9	NA	NA	NA	NA	NA	NA
1764	2.64	2.59	NA	NA	NA	NA	NA	NA
1765	4.04	3.96	NA	NA	NA	NA	NA	NA
1766	4.03	4.92	NA	NA	NA	NA	NA	NA
1767	3.81	3.23	NA	NA	NA	NA	NA	NA
1768	2.62	2.35	NA	NA	NA	NA	NA	NA
1769	3.13	3.18	NA	NA	NA	NA	NA	NA
1770	4.21	3.72	NA	NA	NA	NA	NA	NA
1771	5.64	5.23	NA	NA	NA	NA	NA	NA
1772	5.58	5.53	NA	NA	NA	NA	NA	NA
1773	4.54	4.65	NA	NA	NA	NA	7.74	7.43
1774	3.18	3.13	9.11	8.69	NA	NA	4.61	4.25
1775	4.5	4.91	10.76	10.12	9.41	9.36	3.19	3.27
1776	4	4.28	11.89	12.33	10.23	9.89	4.18	3.94
1777	3.58	3.5	9.75	9.04	7.44	7.27	2.85	2.41
1778	4.78	4.77	8.6	10.45	5.74	5.4	2.21	1.73
