# Larson - Pavick - QUSP - ITRDB WI047
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33949
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33949.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi047-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wi047-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi047.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wi047.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-07-03
#--------------------
# File_Last_Modified_Date
#   Date: 2021-07-03
#--------------------
# Title
#   Study_Name: Larson - Pavick - QUSP - ITRDB WI047
#--------------------
# Investigators
#   Investigators: Larson, E.R.(https://orcid.org/0000-0001-6628-1659); Allen, S.A.; Underwood, C.A.
#--------------------
# Description_Notes_and_Keywords
#   Description: Oak ring width data from the Driftless Area of southwest Wisconsin and northeast Iowa, USA, sampled from living oak trees, remnants, and archeological beams. NOAA Template Raw Measurements file added 2021-10-19.
#--------------------
# Publication
#   Authors: Larson, Evan R., Sara A. Allen, Chris A. Underwood
#   Journal_Name: Progress in Physical Geography
#   Published_Title: The Driftless Oaks: A new network of tree-ring chronologies to improve regional perspectives of drought in the Upper Midwest, USA
#   Published_Date_or_Year: 2021
#   Volume: 45
#   Pages: 375-406
#   Issue: 3
#   Report_Number: 
#   DOI: 10.1177/0309133320960670
#   Full_Citation: None
#   Abstract: New and updated multi-century tree-ring chronologies from living oak trees, remnants, and archeological beams from across the Driftless Area of southwest Wisconsin and northeast Iowa, USA, were developed to fill a spatial gap in the network of available tree-ring chronologies. We produced a robust 303-year summer drought reconstruction (June-August Palmer's Modified Drought Index (PMDI): r2 = 0.45) that identified clusters of extreme droughts and pluvials (PMDI <= -4.0 or >= 4.0) in the early 1700s and more even distributions of drought conditions, with the exception of the post 1930s period when drought became relatively infrequent. Compared to the Living Blended Drought Atlas (LBDA) and the North American Drought Atlas (NADA), our reconstruction more accurately represented moderate moisture conditions across the Driftless Area, the NADA and LBDA more closely represented extreme pluvials, and our reconstruction and the LBDA better represented extreme drought years. The three reconstructions largely captured the same high-frequency variability in drought conditions and differed most at low frequencies. Significant correlations were identified between our reconstruction and corn (r = 0.30, n = 91, p = 0.002) and soybean (r = 0.25, n  = 81, p = 0.012) yields, with the strength of the correlations increasing over recent decades suggesting a tighter coupling of interannual climate variability and crop productivity in the region. Superposed epoch analyses indicated significantly wetter conditions in the Driftless Area two years after major volcanic eruptions. In the context of long-term climatic variability, the Driftless Oaks drought reconstruction demonstrated that drought and pluvial conditions more extreme than those experienced during the instrumental record have occurred in the past.
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pavick
#   Location: Wisconsin
#   Northernmost_Latitude: 43.516
#   Southernmost_Latitude: 43.516
#   Easternmost_Longitude: -90.435
#   Westernmost_Longitude: -90.435
#   Elevation_m: 343
#--------------------
# Data_Collection
#   Collection_Name: WI047
#   First_Year: 1909
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PVK001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PVK001B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PVK002A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PVK002B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PVK003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PVK004A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PVK004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PVK001A_raw	PVK001B_raw	PVK002A_raw	PVK002B_raw	PVK003A_raw	PVK004A_raw
1909	2.511	NA	NA	NA	3.423	NA
1910	1.504	NA	NA	NA	2.578	NA
1911	1.353	NA	NA	NA	2.73	NA
1912	1.426	NA	NA	NA	3.93	NA
1913	1.909	NA	NA	NA	2.763	NA
1914	2.057	NA	NA	NA	4.823	6.382
1915	1.318	NA	NA	NA	3.919	4.262
1916	1.185	NA	NA	NA	2.363	2.697
1917	1.088	NA	NA	NA	3.852	4.669
1918	1.176	NA	NA	NA	2.729	3.336
1919	1.131	NA	NA	4.049	2.705	2.932
1920	0.962	NA	NA	2.439	2.012	2.48
1921	0.925	NA	NA	3.588	2.235	2.997
1922	0.846	NA	NA	0.715	1.693	2.973
1923	0.9	NA	NA	0.741	0.974	1.399
1924	0.668	NA	NA	0.681	1.332	1.651
1925	0.871	NA	NA	0.685	1.179	1.977
1926	0.65	1.013	NA	0.484	0.89	1.961
1927	0.645	1.222	NA	0.521	1.114	1.839
1928	0.782	1.245	NA	0.689	0.783	1.375
1929	0.773	1.256	NA	0.768	0.761	1.279
1930	0.884	1.306	NA	0.773	0.995	1.22
1931	0.898	0.823	NA	0.503	0.635	0.746
1932	0.412	0.796	NA	0.381	1.31	1.01
1933	0.702	1.053	NA	0.62	1.587	1.278
1934	0.703	0.457	NA	0.691	1.058	1.222
1935	0.403	1.157	NA	1.171	2.537	1.542
1936	0.853	1.159	NA	1.017	1.223	1.408
1937	0.679	0.957	NA	1.088	1.693	1.826
1938	0.631	0.922	NA	1.287	2.137	2.109
1939	0.816	0.82	NA	1.186	1.651	1.853
1940	0.684	0.611	NA	1.377	1.585	2.212
1941	0.742	0.788	NA	1.455	1.452	2.161
1942	0.846	1.639	NA	1.609	2.045	3.126
1943	0.569	0.788	NA	1.227	1.248	1.777
1944	0.648	0.904	2.922	1.057	1.31	1.893
1945	0.758	1.581	2.827	1.081	2.092	2.599
1946	0.774	0.97	1.98	0.892	1.921	2.112
1947	1.762	1.878	2.879	0.93	2.166	2.618
1948	1.202	1.176	1.42	0.762	1.331	1.495
1949	1.347	1.413	1.557	1.265	1.178	1.302
1950	1.526	2.965	2.49	1.365	2.042	2.3
1951	2.32	4.205	2.706	2.071	2.303	2.684
1952	2.793	4.592	2.244	1.866	1.963	2.275
1953	2.2	2.459	2.452	1.617	1.881	1.994
1954	2.478	2.384	2.666	2.153	1.39	1.87
1955	2.189	2.351	2.652	2.175	1.686	2.392
1956	1.416	1.414	1.885	1.204	1.706	1.978
1957	1.61	1.839	2.253	1.666	1.98	2.412
1958	1.184	1.484	1.005	1.142	1.441	1.674
1959	1.204	1.46	0.802	0.673	1.327	1.296
1960	2.045	3.201	2.646	1.884	1.533	1.727
1961	1.958	2.89	2.954	1.701	1.388	1.682
1962	2.454	2.576	3.888	1.67	1.796	2.065
1963	1.794	1.903	3.958	1.301	1.205	1.452
1964	2.112	1.63	4.105	1.187	1.113	1.203
1965	1.465	1.684	3.151	0.69	1.492	1.389
1966	1.737	1.98	4.034	1.205	1.282	1.21
1967	1.953	2.269	3.909	2.875	1.155	1.203
1968	3.42	3.835	5.268	3.061	1.908	2.193
1969	4.747	5.493	4.169	3.344	1.564	1.79
1970	4.103	3.96	4.402	3.57	0.924	1.271
1971	4.128	4.548	4.264	2.909	1.482	1.947
1972	4.052	5.378	4.698	3.707	1.455	1.725
1973	4.084	3.434	3.34	3.01	1.331	2.267
1974	3.996	3.234	4.86	4.02	1.01	1.868
1975	4.332	3.472	4.847	4.937	1.488	2.049
1976	3.324	3.018	2.852	2.612	1.097	1.457
1977	2.675	2.941	2.662	3.212	1.106	1.438
1978	4.721	5.155	4.338	4.295	1.862	2.338
1979	4.238	2.945	4.296	2.504	1.367	1.825
1980	4.549	4.087	4.956	3.028	1.677	2.241
1981	4.693	3.675	4.454	3.865	1.471	1.988
1982	4.448	4.487	4.1	3.976	0.994	1.46
1983	5.815	3.461	4.551	3.027	1.522	2.34
1984	3.915	3.244	4.782	3.004	1.352	1.745
1985	2.815	1.889	4.075	2.792	0.804	0.844
1986	4.845	3.661	4.614	2.995	1.206	1.276
1987	3.928	3.073	4.113	2.949	1.184	1.212
1988	1.699	1.988	1.853	1.157	0.927	1.122
1989	2.322	2.321	1.227	1.127	1.023	1.211
1990	5.09	2.261	3.291	1.764	1.402	2.002
1991	4.19	2.737	3.711	2.195	1.203	1.817
1992	3.707	2.603	2.917	2.44	1.417	2.093
1993	4.462	3.872	2.603	2.666	1.881	2.707
1994	3.056	2.518	1.945	1.785	1.004	1.581
1995	2.793	2.242	2.135	1.959	1.134	1.45
1996	3.048	1.778	1.75	1.78	0.937	1.446
1997	3.188	2.735	2.012	2.433	1.502	1.711
1998	4.233	3.325	2.93	3.197	1.692	2.408
1999	3.699	2.22	2.264	1.86	1.555	1.893
2000	2.787	2.92	2.814	3.069	1.13	1.367
2001	1.964	2.412	2.18	2.014	0.857	1.212
2002	2.041	2.031	2.15	2.761	1.121	1.389
2003	1.051	1.054	1.449	1.895	0.763	0.984
2004	2.007	2.189	2.234	2.867	0.867	1.112
2005	2.302	2.189	2.022	2.947	0.988	1.187
2006	1.818	1.603	1.644	2.37	0.74	1.374
2007	2.494	1.686	2.117	2.426	0.905	1.316
2008	2.252	1.853	3.261	3.628	1.39	1.858
2009	1.846	1.872	2.769	3.218	1	1.579
2010	2.769	2.326	3.108	3.038	1.506	2.024
2011	2.172	1.585	2.468	2.666	0.864	1.296
2012	1.12	1.185	1.374	2.074	0.661	0.954
2013	1.67	1.841	2.504	2.708	0.883	1.34
2014	2.232	2.55	2.962	3.351	0.885	1.206
