# Black - Soup - PSME - ITRDB OR127
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38230
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38230.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or127-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or127.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or127.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Soup - PSME - ITRDB OR127
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Soup
#   Location: Oregon
#   Northernmost_Latitude: 43.57
#   Southernmost_Latitude: 43.57
#   Easternmost_Longitude: -123.783
#   Westernmost_Longitude: -123.783
#   Elevation_m: 158
#--------------------
# Data_Collection
#   Collection_Name: OR127
#   First_Year: 1700
#   Last_Year: 1871
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOU01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU03B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOU02D_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOU02D; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOU01A_raw	SOU01B_raw	SOU02A_raw	SOU02B_raw	SOU03A_raw	SOU03B_raw	SOU04A_raw	SOU04B_raw	SOU02C_raw	SOU02D_raw
1700	NA	NA	NA	NA	NA	NA	NA	NA	6.09	5.81
1701	NA	NA	NA	NA	NA	NA	NA	NA	3.27	3.11
1702	NA	NA	NA	NA	NA	NA	NA	NA	7.56	7.42
1703	NA	NA	NA	NA	NA	NA	NA	NA	3.49	3.6
1704	NA	NA	NA	NA	NA	NA	NA	NA	4.98	5.15
1705	NA	NA	NA	NA	NA	NA	NA	NA	5.39	3.89
1706	NA	NA	NA	NA	NA	NA	NA	NA	4.19	3.98
1707	NA	NA	NA	NA	NA	NA	NA	NA	7.27	9.45
1708	NA	NA	NA	NA	NA	NA	NA	NA	6.53	5.62
1709	NA	NA	NA	NA	NA	NA	NA	NA	5.22	3.99
1710	NA	NA	NA	NA	NA	NA	NA	NA	4.98	4.45
1711	NA	NA	NA	NA	NA	NA	NA	NA	5.85	6.13
1712	NA	NA	7.03	7.06	NA	NA	NA	NA	6.16	5.94
1713	NA	NA	5.21	4.93	NA	NA	NA	NA	5.18	5.33
1714	NA	NA	5.79	5.88	NA	NA	NA	NA	5.55	5.34
1715	NA	NA	4.98	5.17	NA	NA	NA	NA	4.79	4.5
1716	NA	NA	4.01	4.24	NA	NA	NA	NA	4.81	4.49
1717	6.82	NA	1.89	1.89	NA	NA	NA	NA	2.84	2.55
1718	7.57	8.09	3.95	3.8	NA	NA	NA	NA	4.75	4.5
1719	9.06	9.67	5.06	4.66	NA	NA	NA	NA	4.89	5.02
1720	9.88	8.68	3.45	2.94	NA	NA	NA	NA	2.42	2.57
1721	7.5	7.89	2.57	2.34	NA	NA	NA	NA	1.69	1.84
1722	4.74	5.16	2.38	2.7	NA	NA	NA	NA	2.2	2.15
1723	5.25	4.3	3.9	4.47	NA	NA	NA	NA	3.29	3.58
1724	8.14	7.4	4.35	4.11	NA	NA	NA	NA	3.51	4.14
1725	7.05	6.61	3.89	3.34	NA	NA	NA	NA	3.18	3.07
1726	5.59	5.72	3.78	3.45	NA	NA	NA	NA	3.54	3.28
1727	4.46	4.53	3.23	3.33	NA	NA	NA	NA	3.22	3
1728	0.95	0.68	1.82	1.47	NA	NA	NA	NA	1.28	1.25
1729	0.93	2.4	2.41	2.26	NA	NA	NA	NA	2.04	2.01
1730	1.36	2.66	2.09	2.17	NA	NA	NA	NA	1.83	2.18
1731	1.65	2.63	2.85	2.58	NA	NA	NA	NA	2.84	2.83
1732	2.86	3.11	3.9	3.58	NA	NA	NA	NA	3.72	3.99
1733	4.49	3.65	3.48	2.83	NA	NA	NA	NA	2.98	3.19
1734	3.05	2.96	3.28	2.89	NA	NA	5.16	5.13	3.34	3.03
1735	3.56	3.67	2.66	2.42	NA	NA	5.62	5.59	2.71	3.46
1736	3.18	2.39	2.38	2.77	NA	NA	2.84	2.81	2.74	3.15
1737	3.13	2.7	2.08	2.92	NA	NA	3.98	6.34	3.1	2.91
1738	4.64	4.5	3.42	5.58	NA	NA	5.23	5.82	5.44	5.4
1739	1.23	1.25	2.23	3.11	NA	NA	1.15	1.45	2.84	2.23
1740	1.65	1.72	2.38	3.32	NA	NA	2.15	2.19	2.26	2.32
1741	2.1	2.06	3.2	3.73	NA	NA	1.81	2.65	2.94	2.48
1742	3.13	2.99	3.05	3.01	NA	NA	4.08	4.48	2.26	2
1743	0.98	1.05	3.14	2.42	NA	NA	8.38	7.87	1.93	1.88
1744	1.28	1.28	3.64	3.04	NA	NA	6.75	7.14	2.68	2.82
1745	1.15	1.14	3.94	3.98	NA	NA	7.12	7.8	2.73	2.34
1746	1.89	1.84	3.26	4.68	NA	NA	6.43	7.13	3.24	2.69
1747	2	2.04	2.95	4.4	NA	NA	4.89	5.51	3.74	3.36
1748	3.26	3.47	2.35	3.02	5.57	5.65	5.74	5.67	2.8	2.76
1749	2.63	2.53	2.36	2.9	4.55	4.6	6.66	5.73	2.92	3.09
1750	3.25	3.05	2.59	2.87	3.47	3.32	6.52	7.33	3.08	3.86
1751	2.49	2.42	2.3	2.41	2.32	2.3	3.75	4.67	3.12	3.33
1752	2.11	2.16	1.93	1.79	6.75	6.73	3.14	4.53	2.65	2.12
1753	2.79	2.87	2.15	2.66	5.88	5.66	2.33	2.67	3.1	2.64
1754	4.03	3.8	1.92	2.32	3.56	3.54	1.64	2.12	2.87	1.94
1755	3.85	3.66	2.56	3.04	3.46	3.58	1.42	1.67	3.16	2.26
1756	2.4	2.36	2.09	2.59	2.41	2.58	1.16	1.15	2.42	2.28
1757	2.96	2.98	2.06	2.05	3.73	3.51	0.91	1.15	2.2	2.45
1758	4.88	4.84	3.56	2.62	3.5	3.19	1.27	1.37	2.85	2.88
1759	2.92	2.92	2.72	1.91	2.26	2.14	0.92	1.16	2.63	2
1760	3.18	3.17	3.98	3.21	4.5	3.99	1.84	1.95	3.26	3.19
1761	3.07	3.09	4.09	3.77	4.61	4.33	1.93	1.82	3.47	3.17
1762	2.87	2.98	2.93	2.5	3.14	3.04	1.32	1.3	2.67	2.64
1763	2.74	2.88	2.99	2.86	2.64	2.61	1.23	1.31	3.11	3.19
1764	2.34	2.39	2.38	2	6.81	6.28	2.04	2.64	2.75	2.54
1765	2.07	2.07	2.69	2.54	5.78	5.2	2.51	2.75	2.5	2.81
1766	2.8	2.95	3.88	3.7	6.04	5.37	1.48	1.59	3.46	4.2
1767	2.2	2.14	2.96	2.67	5.09	4.38	1.24	1.28	2.68	2.47
1768	1.47	1.49	2.11	2.35	5.37	4.69	1.15	1.49	1.89	2.06
