# Swetnam - McKenna Park - PIPO - ITRDB NM061
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5084
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5084.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm061-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm061-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm061.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm061.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Swetnam - McKenna Park - PIPO - ITRDB NM061
#--------------------
# Investigators
#   Investigators: Swetnam, T.W.(https://orcid.org/0000-0001-7268-2184)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: McKenna Park
#   Location: New Mexico
#   Northernmost_Latitude: 33.25
#   Southernmost_Latitude: 33.25
#   Easternmost_Longitude: -108.5
#   Westernmost_Longitude: -108.5
#   Elevation_m: 2500
#--------------------
# Data_Collection
#   Collection_Name: NM061
#   First_Year: 1690
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 484011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 484052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 484052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	484011_raw	484012_raw	484021_raw	484022_raw	484031_raw	484032_raw	484041_raw	484042_raw	484051_raw	484052_raw
1673	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
1674	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
1675	1.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
1676	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
1677	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
1678	2.99	NA	NA	NA	NA	NA	NA	NA	NA	NA
1679	1.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
1680	2.01	NA	NA	NA	NA	NA	NA	NA	NA	NA
1681	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1682	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
1683	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
1684	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
1685	0.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
1686	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
1687	1.72	NA	NA	NA	NA	NA	NA	NA	NA	NA
1688	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
1689	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
1690	2.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
1691	2.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1692	2.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
1693	2.81	NA	NA	NA	NA	NA	NA	NA	NA	NA
1694	2.59	NA	NA	NA	NA	NA	NA	NA	NA	NA
1695	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
1696	1.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
1697	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
1698	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA
1699	1.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
1700	2.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
1701	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
1702	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
1703	2.28	NA	NA	NA	NA	NA	NA	NA	NA	NA
1704	1.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
1705	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1706	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA
1707	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
1708	1.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
1709	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
1710	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
1711	1.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
1712	1.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
1713	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
1714	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
1715	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
1716	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1717	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
1718	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1719	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
1720	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1721	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1722	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
1723	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA
1724	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
1725	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
1726	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
1727	1.53	NA	NA	NA	NA	NA	NA	NA	NA	NA
1728	2.4	NA	NA	NA	NA	NA	3.75	NA	NA	NA
1729	1.86	NA	NA	NA	NA	NA	3.69	NA	NA	NA
1730	2.97	NA	NA	NA	NA	NA	3.56	NA	NA	NA
1731	0.54	NA	NA	NA	NA	NA	3.74	NA	NA	NA
1732	2.05	NA	NA	NA	NA	NA	3.82	NA	NA	NA
1733	0.94	NA	NA	NA	NA	NA	2.56	NA	NA	NA
1734	1.97	NA	NA	NA	NA	NA	4.41	NA	NA	NA
1735	1.27	NA	NA	NA	NA	NA	3.68	NA	NA	NA
1736	2.38	NA	NA	NA	NA	NA	3.59	NA	NA	NA
1737	1.47	NA	NA	NA	NA	NA	3.05	NA	NA	NA
1738	1.78	1.98	NA	NA	NA	NA	2.61	NA	NA	NA
1739	1.23	1.04	NA	NA	NA	NA	1.9	NA	NA	NA
1740	0.55	0.45	NA	NA	NA	NA	1.73	NA	NA	NA
1741	2.08	1.22	NA	NA	NA	NA	3.16	NA	NA	NA
1742	1.02	0.87	NA	NA	NA	NA	2.86	NA	NA	NA
1743	1.95	1.2	NA	NA	NA	NA	3.15	NA	NA	NA
1744	1.65	1.01	NA	NA	NA	NA	3.4	NA	NA	NA
1745	1.96	0.94	NA	NA	NA	NA	3.59	NA	NA	NA
1746	3.71	2.48	NA	NA	NA	NA	4.18	NA	NA	NA
1747	2.56	1.5	NA	NA	NA	NA	3.67	NA	NA	NA
1748	0.58	0.39	NA	NA	NA	NA	1.41	NA	NA	NA
1749	2.1	1.5	NA	NA	NA	NA	3.39	NA	NA	NA
1750	1.44	1.56	NA	NA	NA	NA	3.55	NA	NA	NA
1751	1.7	0.88	NA	NA	NA	NA	4.53	NA	NA	NA
1752	0.61	0.48	NA	NA	NA	NA	2.26	NA	NA	NA
1753	1.22	1.09	NA	NA	NA	NA	1.41	NA	NA	NA
1754	2.49	1.46	NA	NA	NA	NA	3.47	NA	NA	NA
1755	1.43	1.31	NA	NA	NA	NA	3.01	NA	NA	NA
1756	1.72	1.16	NA	NA	NA	NA	2.94	NA	NA	NA
1757	1.17	0.75	NA	NA	NA	NA	1.82	NA	NA	NA
1758	2.29	1.45	NA	NA	NA	NA	3.35	3.26	3.81	NA
1759	2.28	1.5	NA	NA	NA	NA	3.86	4.03	3.8	NA
1760	1.16	0.92	NA	NA	NA	NA	3.64	3.49	2.98	NA
1761	1.7	1.4	NA	NA	NA	NA	2.23	2.44	1.87	NA
1762	2.02	2.03	NA	NA	NA	NA	3.34	4.51	3.9	NA
1763	0.77	0.83	NA	NA	NA	NA	2.1	2.88	2.69	NA
1764	2.3	2	NA	NA	NA	NA	2.73	4.15	3.41	NA
1765	1.82	1.9	NA	NA	NA	NA	2.35	3.61	3.41	NA
1766	2.48	2.18	NA	NA	NA	NA	2.87	4.04	4.46	NA
1767	1.63	1.42	NA	NA	NA	NA	2.73	3.85	4.5	NA
1768	0.76	0.69	NA	NA	NA	NA	2.86	3.69	3.77	NA
1769	1.08	1.03	NA	NA	NA	NA	2.83	3	3.76	NA
1770	0.76	0.79	NA	NA	NA	NA	3.07	3.4	2.54	NA
1771	1.47	1.52	NA	NA	NA	NA	3.79	3.98	3.9	NA
1772	1.1	1.23	NA	NA	NA	NA	2.59	3.24	2.95	NA
1773	0.51	0.35	NA	NA	NA	NA	0.75	0.9	1.16	NA
1774	0.76	0.77	NA	NA	NA	NA	1.99	2.32	2.24	NA
1775	1.17	1.39	NA	NA	NA	NA	2.04	2.08	2.37	NA
1776	1.57	1.59	NA	NA	NA	NA	2.3	2.4	2.35	NA
1777	1.2	1.2	NA	NA	NA	NA	1.72	1.81	1.44	NA
1778	1.73	1.65	NA	NA	NA	NA	2.73	3.22	2.64	NA
1779	1.17	0.92	NA	NA	NA	NA	2.27	2.2	1.8	2.21
1780	1	1.24	NA	NA	0.89	NA	1.69	2.35	1.48	2.31
1781	1.3	1.35	NA	NA	0.88	NA	1.98	2.32	1.93	2.51
1782	0.85	0.91	NA	NA	1.08	NA	0.66	1.51	0.53	0.91
1783	2.16	2.65	NA	NA	2.59	NA	2.32	4.12	2.6	3.32
1784	2.42	2.42	NA	NA	3.17	NA	3	4.85	2.98	3.34
1785	1.04	1.3	NA	NA	1	NA	1.77	2.91	1.77	2.13
1786	1.49	1.65	NA	NA	0.99	NA	1.57	2.43	1.56	1.71
1787	3.02	2.2	NA	NA	2.88	NA	3.05	3.91	3.33	3.19
1788	1.02	1.57	NA	NA	1.75	NA	1.26	1.63	1.08	1.53
1789	0.84	0.97	NA	NA	2.52	NA	1.52	2.02	1.86	1.9
1790	1.51	1.36	NA	NA	2.23	NA	1.51	1.93	1.9	2.22
1791	1.39	1.55	NA	NA	3.17	NA	2.52	2.93	2.27	2.53
1792	1.05	1.32	NA	NA	3.46	NA	2.65	3.15	3.08	3.53
1793	2.05	2.23	NA	NA	3.9	NA	3.74	4.17	3.82	4.74
1794	1.26	1.4	NA	NA	3.04	NA	2.86	3.15	2.3	2.82
1795	0.89	1.43	NA	NA	3.58	NA	2.6	3.08	2.6	3.12
1796	1	1.23	NA	NA	3.19	NA	3.17	2.81	2.16	2.86
1797	0.62	0.79	NA	NA	1.51	NA	1.58	1.12	1.08	1.28
1798	0.9	0.99	NA	NA	2.85	NA	2.18	1.88	2.17	2.1
1799	1.61	1.81	NA	NA	2.4	NA	2.57	1.84	3.06	3.25
1800	1.25	1.81	NA	NA	2.34	NA	2.2	1.6	1.86	1.79
1801	1.19	1.23	NA	NA	2.73	NA	1.82	1.49	1.88	1.59
1802	1.71	1.45	NA	NA	3.31	NA	1.42	1.55	2.52	2.48
1803	1.59	1.36	NA	NA	2.7	NA	1.21	1.05	1.66	1.64
1804	2.12	1.77	NA	NA	4.02	NA	2.39	2.84	3.55	3.1
1805	1.19	1.18	NA	NA	3.71	NA	2.15	2.31	2.84	3.56
1806	1.32	1.45	NA	NA	2.51	NA	1.32	1.85	1.68	2.72
1807	0.86	0.83	NA	NA	2.98	NA	1.81	2.35	2.57	3.03
1808	0.93	0.61	NA	NA	2.68	NA	1.42	2.4	2.07	3.01
1809	0.77	1.08	NA	NA	2.22	NA	1.63	2.66	2.21	2.26
1810	1.3	1.25	NA	NA	2.82	NA	1.7	3.14	2.73	1.99
1811	0.98	1.15	NA	NA	2.21	2.53	1.25	2.55	1.74	1.6
1812	0.63	0.63	NA	NA	2.37	2.13	1.26	2.47	1.49	1.51
1813	0.53	0.73	NA	NA	2.77	2.38	0.78	1.66	1.1	1.15
1814	1.42	1.52	NA	NA	2.27	3.71	1.13	2.32	2.27	1.63
1815	1.95	2.08	NA	NA	2.76	3.41	1.58	3.09	2.85	2.47
1816	1.34	1.97	NA	NA	3.91	3.63	1.55	3.04	2.64	2.38
1817	0.54	0.52	NA	NA	2.76	2.89	1.41	2.52	1.97	2.06
1818	0.5	0.57	NA	NA	2.58	1.96	0.6	1.53	1.1	1.45
1819	0.4	0.4	NA	NA	2.1	2	0.47	1.04	0.55	0.93
1820	0.63	0.7	NA	NA	1.4	1.42	0.38	1.01	0.57	0.74
1821	0.63	0.97	NA	NA	3.38	2.65	0.79	1.71	1.56	2.04
1822	0.4	0.57	NA	NA	2.83	2.59	0.61	0.93	0.36	0.46
1823	1.04	0.96	NA	NA	3.28	2.65	1.06	1.1	1.03	0.98
1824	1.04	1.37	NA	NA	3.54	3.1	1.47	1.71	1.72	1.42
1825	1.02	0.94	NA	NA	2.88	2.55	1.49	1.39	1.12	1.11
1826	1.21	1.38	NA	NA	3.43	3.23	1.72	1.63	1.75	1.46
1827	1.93	1.83	NA	NA	2.63	3.55	1.35	1.29	1.23	1.42
1828	1.35	1.76	NA	NA	3.32	4.09	2.05	2.7	2.37	2.58
