# Wyse - Platte Plains - QURU - ITRDB MI018
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5360
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5360.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi018-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; mi018-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/mi018.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mi018.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-05-25
#--------------------
# File_Last_Modified_Date
#   Date: 2006-05-25
#--------------------
# Title
#   Study_Name: Wyse - Platte Plains - QURU - ITRDB MI018
#--------------------
# Investigators
#   Investigators: Wyse, T.C.; Goebel, P.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Platte Plains
#   Location: Michigan
#   Northernmost_Latitude: 44.72
#   Southernmost_Latitude: 44.72
#   Easternmost_Longitude: -86.08
#   Westernmost_Longitude: -86.08
#   Elevation_m: 188
#--------------------
# Data_Collection
#   Collection_Name: MI018
#   First_Year: 1892
#   Last_Year: 2002
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus rubra L.
#   Common_Name: red oak
#   Tree_Species_Code: QURU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 10-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 5-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 5-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 12-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 12-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 27-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 27-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 25-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 25-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 4-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 4-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 18-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 18-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 3-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 3-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 7-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 7-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 26-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 26-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 45-1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 45-1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 15-2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 15-2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 9-3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 9-3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	10-1_raw	5-3_raw	12-2_raw	27-3_raw	25-2_raw	4-1_raw	18-2_raw	3-3_raw	7-1_raw	26-2_raw	45-1_raw	15-2_raw	9-3_raw
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.87
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.11
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.99
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	NA	NA	1.54
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.82	NA	NA	1.93
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91	NA	NA	1.4
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44	NA	NA	1.14
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	NA	NA	1.07
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52	NA	NA	0.79
1907	NA	NA	NA	0.3	NA	NA	NA	NA	NA	1.02	NA	NA	0.76
1908	NA	NA	NA	0.34	NA	NA	NA	NA	NA	1.14	NA	NA	1.18
1909	NA	NA	NA	0.42	NA	NA	NA	NA	NA	1.35	NA	NA	1.23
1910	NA	NA	NA	0.41	NA	NA	NA	NA	NA	0.85	NA	NA	0.93
1911	NA	NA	NA	0.46	NA	NA	NA	NA	NA	1.14	NA	NA	1.01
1912	NA	NA	NA	1.04	NA	NA	NA	NA	NA	1.48	NA	NA	1.82
1913	NA	NA	NA	1.07	NA	NA	NA	NA	1.36	1.57	NA	NA	1.78
1914	NA	NA	NA	0.95	NA	NA	NA	NA	1.95	1.4	NA	NA	2.41
1915	NA	NA	NA	0.9	NA	NA	NA	NA	1.26	1.1	NA	NA	1.19
1916	NA	NA	NA	0.37	NA	NA	NA	NA	1.01	1.27	NA	NA	0.8
1917	NA	0.38	NA	0.59	NA	NA	NA	NA	1.69	1.02	NA	NA	0.98
1918	NA	0.55	NA	0.21	NA	NA	NA	NA	1.11	1.23	NA	NA	0.89
1919	NA	0.68	NA	0.21	NA	NA	NA	NA	1.01	1.01	NA	NA	0.51
1920	NA	2.08	NA	0.68	NA	NA	NA	NA	1.86	1.4	NA	NA	0.89
1921	NA	1.23	NA	0.17	NA	NA	NA	NA	1.19	1.23	NA	NA	0.46
1922	NA	2.62	NA	0.68	NA	NA	NA	NA	1.7	1.65	NA	NA	1.02
1923	NA	1.86	NA	0.38	NA	NA	NA	NA	1.69	2.46	NA	NA	0.93
1924	NA	1.27	NA	0.64	NA	NA	NA	NA	1.35	1.61	NA	2.13	1.06
1925	NA	2.28	NA	0.59	NA	NA	NA	NA	1.27	1.61	NA	2.36	1.35
1926	NA	1.82	NA	0.68	NA	NA	NA	NA	1.44	1.27	NA	1.78	0.59
1927	2.49	1.39	NA	0.59	NA	NA	NA	NA	1.02	1.06	NA	1.48	0.89
1928	1.8	1.66	NA	1.1	NA	NA	NA	NA	1.45	0.97	NA	1.82	0.85
1929	1.1	1.78	NA	0.63	NA	NA	NA	NA	1.34	1.14	NA	1.57	1.31
1930	0.47	0.8	NA	0.17	NA	NA	NA	NA	0.93	0.76	NA	0.76	0.72
1931	0.25	0.76	3.01	0.21	NA	NA	NA	NA	0.85	0.51	NA	0.42	0.63
1932	0.42	0.85	3.6	0.17	NA	NA	NA	NA	0.84	0.55	NA	0.81	0.72
1933	0.51	1.35	1.35	0.34	NA	NA	NA	NA	1.11	0.85	NA	0.72	1.01
1934	0.68	1.69	2.08	0.51	NA	NA	NA	NA	1.1	0.97	NA	1.1	0.72
1935	0.97	1.86	1.78	0.47	NA	NA	NA	NA	1.01	1.01	NA	0.76	0.89
1936	0.34	1.23	0.85	0.42	NA	NA	NA	NA	0.68	0.68	NA	0.3	0.42
1937	0.51	1.31	1.4	1.1	NA	NA	NA	NA	0.68	0.93	NA	0.81	0.55
1938	0.8	1.52	1.73	1.7	NA	NA	NA	0.89	1.01	1.02	NA	0.84	0.72
1939	0.8	1.57	1.23	0.72	NA	NA	NA	0.72	1.18	1.06	NA	1.18	0.63
1940	1.52	1.65	1.44	0.76	NA	NA	NA	0.5	1.95	1.61	NA	1.87	1.1
1941	0.46	0.63	0.42	0.38	NA	3.19	NA	0.51	1.1	1.18	NA	0.84	0.76
1942	0.8	0.97	0.68	0.59	NA	4.92	NA	0.8	1.27	1.23	NA	1.19	0.63
1943	0.8	1.14	0.63	0.97	NA	2.27	NA	0.59	1.35	0.93	NA	0.93	0.76
1944	0.85	1.1	0.73	0.97	NA	2.71	NA	1.14	1.44	1.1	NA	1.1	0.89
1945	1.48	1.18	0.89	0.51	NA	1.94	NA	1.35	1.19	0.89	NA	1.27	0.89
1946	1.52	1.31	0.88	0.68	NA	2.29	0.64	1.06	1.36	0.97	NA	1.18	0.97
1947	1.27	1.44	0.97	0.59	NA	2.54	0.5	0.8	1.69	1.01	0.48	1.78	0.72
1948	1.65	1.32	0.89	0.38	NA	1.69	0.46	0.8	1.35	1.06	0.66	1.35	0.72
1949	0.8	0.76	0.26	0.21	NA	1.78	0.34	0.47	0.93	1.02	0.62	0.59	0.59
1950	1.1	1.05	0.64	0.59	NA	1.61	0.55	1.02	1.27	1.14	1.22	0.93	0.51
