# Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2946
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2946.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; nm545e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/nm545e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nm545e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Cleaveland - Pueblita Canyon - PIED - ITRDB NM545
#--------------------
# Investigators
#   Investigators: Cleaveland, M.K.; Harlan, T.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pueblita Canyon
#   Location: New Mexico
#   Northernmost_Latitude: 36.68
#   Southernmost_Latitude: 36.68
#   Easternmost_Longitude: -107.32
#   Westernmost_Longitude: -107.32
#   Elevation_m: 2073
#--------------------
# Data_Collection
#   Collection_Name: NM545
#   First_Year: 1760
#   Last_Year: 1978
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus edulis Engelm.
#   Common_Name: pinyon
#   Tree_Species_Code: PIED
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PP352E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP352E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP363E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP363E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP364E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP364E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PP373E_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PP373E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PP352E_raw	PP363E_raw	PP364E_raw	PP373E_raw
1760	0.74	NA	NA	NA
1761	0.9	NA	NA	NA
1762	0.95	NA	NA	NA
1763	0.73	NA	NA	NA
1764	0.82	NA	NA	NA
1765	0.9	NA	NA	NA
1766	1.13	NA	NA	NA
1767	1.1	NA	NA	NA
1768	0.97	NA	NA	NA
1769	0.83	NA	NA	NA
1770	1.15	NA	NA	NA
1771	1.21	NA	NA	NA
1772	0.63	NA	NA	NA
1773	0.57	NA	NA	NA
1774	0.74	NA	NA	NA
1775	0.66	NA	NA	NA
1776	0.56	NA	NA	NA
1777	0.45	NA	NA	NA
1778	0.7	NA	NA	NA
1779	0.43	NA	NA	NA
1780	0.16	NA	NA	NA
1781	0.45	NA	NA	NA
1782	0.54	NA	NA	NA
1783	0.76	NA	NA	NA
1784	1.3	NA	NA	NA
1785	0.71	NA	NA	NA
1786	0.85	NA	NA	NA
1787	1.09	NA	NA	NA
1788	0.92	NA	NA	NA
1789	0.91	NA	NA	NA
1790	0.83	NA	NA	NA
1791	1	NA	NA	NA
1792	0.78	NA	NA	NA
1793	1.25	NA	NA	NA
1794	1.02	NA	NA	NA
1795	0.79	NA	NA	NA
1796	0.81	NA	NA	NA
1797	0.66	NA	NA	NA
1798	0.52	NA	NA	NA
1799	0.67	NA	NA	NA
1800	0.64	NA	NA	NA
1801	0.56	NA	NA	NA
1802	0.74	NA	NA	NA
1803	0.53	NA	NA	NA
1804	0.39	NA	NA	NA
1805	0.31	NA	NA	NA
1806	0.19	NA	NA	NA
1807	0.56	NA	NA	NA
1808	0.57	NA	NA	NA
1809	0.54	NA	NA	NA
1810	0.57	NA	NA	NA
1811	0.72	NA	NA	NA
1812	0.68	NA	NA	NA
1813	0.53	NA	NA	NA
1814	0.66	NA	NA	NA
1815	0.95	NA	NA	NA
1816	1.36	NA	NA	NA
1817	1.11	NA	NA	NA
1818	0.31	NA	NA	NA
1819	0.33	NA	NA	NA
1820	0.56	NA	NA	NA
1821	0.73	NA	NA	NA
1822	0.3	NA	NA	NA
1823	0.35	NA	NA	NA
1824	0.32	NA	NA	NA
1825	0.44	NA	NA	NA
1826	0.43	NA	NA	NA
1827	0.42	NA	NA	NA
1828	0.75	NA	NA	NA
1829	0.42	NA	NA	NA
1830	0.5	NA	NA	NA
1831	0.73	NA	NA	NA
1832	0.96	NA	NA	NA
1833	0.72	NA	NA	NA
1834	0.83	NA	NA	NA
1835	0.83	NA	NA	NA
1836	0.59	NA	NA	NA
1837	0.56	NA	NA	0.32
1838	0.29	NA	NA	0.19
1839	0.42	NA	NA	0.41
1840	0.47	NA	NA	0.5
1841	0.54	NA	NA	0.65
1842	0.57	NA	NA	0.48
1843	0.55	NA	NA	0.6
1844	0.71	NA	NA	0.51
1845	0.57	0.16	NA	0.66
1846	0.6	0.82	NA	0.72
1847	0.41	0.4	NA	0.32
1848	0.63	1.06	NA	0.77
1849	0.9	1.15	NA	0.72
1850	0.87	1.64	NA	1.2
1851	0.32	0.82	NA	0.37
1852	0.92	1.77	NA	2.12
1853	0.6	1.61	NA	1.53
1854	0.95	1.78	NA	1.4
1855	0.83	1.93	NA	1.35
1856	0.74	1.57	NA	1.19
1857	0.54	1.56	NA	0.62
1858	0.74	1.08	NA	1.38
1859	0.52	1.73	NA	0.75
1860	0.6	1.61	NA	1.46
1861	0.25	0.86	NA	0.42
1862	0.5	1.64	NA	0.71
1863	0.48	1.61	NA	0.66
1864	0.27	1.35	NA	0.64
1865	0.29	1.69	NA	0.66
1866	0.87	2.23	NA	1.42
1867	0.88	2.11	NA	1.51
1868	0.65	1.79	NA	1.52
1869	0.6	1.72	NA	1.2
1870	0.02	0.79	NA	0.5
1871	0.25	0.75	NA	0.45
1872	0.21	1.05	NA	0.93
1873	0.35	0.96	NA	1.25
1874	0.51	1.57	NA	1.35
1875	0.3	1.84	NA	1.54
1876	0.19	0.83	NA	0.81
1877	0.64	1.77	NA	1.47
1878	0.57	1.32	NA	1.17
1879	0.43	0.99	NA	0.88
1880	0.53	1.28	1.54	1.06
1881	0.42	1	1.21	0.76
1882	0.33	0.82	0.91	0.4
1883	0.07	0.34	0.46	0.16
1884	0.17	0.73	0.86	0.31
