# Black - Carlton - PSME - ITRDB OR120
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38223
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38223.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or120-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/or120.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/or120.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-06-14
#--------------------
# File_Last_Modified_Date
#   Date: 2023-06-14
#--------------------
# Title
#   Study_Name: Black - Carlton - PSME - ITRDB OR120
#--------------------
# Investigators
#   Investigators: Black, Bryan A.; Struble, William T.; Wetherell, Logan; Roering, Joshua J.
#--------------------
# Description_Notes_and_Keywords
#   Description: trees drowned in a lake formed when a landslide impounded a stream
#--------------------
# Publication
#   Authors: Struble, William T.; Joshua J. Roering; William J. Burns; Nancy C. Calhoun; Logan R. Wetherell; Bryan A. Black
#   Published_Date_or_Year: 2021
#   Published_Title: The Preservation of Climate‐Driven Landslide Dams in Western Oregon
#   Journal_Name: J. Geophys. Res. Earth Surf.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1029/2020JF005908
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: United States Geological Survey National Earthquake Hazard Reduction Program
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Carlton
#   Location: Oregon
#   Northernmost_Latitude: 45.321
#   Southernmost_Latitude: 45.321
#   Easternmost_Longitude: -123.442
#   Westernmost_Longitude: -123.442
#   Elevation_m: 540
#--------------------
# Data_Collection
#   Collection_Name: OR120
#   First_Year: 1563
#   Last_Year: 1844
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CRL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CRL17B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CRL17B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CRL05A_raw	CRL05B_raw	CRL17A_raw	CRL17B_raw
1570	NA	NA	2.09	NA
1571	NA	NA	1.62	NA
1572	NA	NA	2.35	NA
1573	NA	NA	3.29	3.23
1574	NA	NA	3.28	3.26
1575	NA	NA	3.74	3.69
1576	NA	NA	2.86	2.85
1577	NA	NA	2.49	2.53
1578	NA	NA	2.57	2.59
1579	NA	NA	2.13	2.1
1580	NA	NA	1.86	1.88
1581	NA	NA	1.86	1.74
1582	NA	NA	2.13	2.04
1583	NA	NA	2.53	2.54
1584	NA	NA	2.15	2.17
1585	NA	NA	2.43	2.39
1586	NA	NA	1.84	1.68
1587	NA	NA	1.59	1.58
1588	NA	NA	1.84	1.84
1589	NA	NA	1.81	1.91
1590	NA	NA	2.08	2.14
1591	NA	NA	1.47	1.56
1592	NA	NA	2.05	1.97
1593	NA	NA	1.86	1.71
1594	NA	NA	1.43	1.3
1595	NA	NA	1.41	1.41
1596	NA	NA	1.47	1.38
1597	NA	NA	1.9	1.74
1598	NA	NA	1.78	1.74
1599	2.28	2.37	1.98	1.77
1600	1.86	1.92	1.43	1.47
1601	2.06	2.26	1.6	1.56
1602	2.69	2.82	1.65	1.72
1603	2.37	2.36	1.17	1.15
1604	2.13	1.99	1.48	1.47
1605	1.4	1.2	1.53	1.41
1606	1.54	1.56	1.62	1.54
1607	2.36	2.35	1.83	1.73
1608	3.69	3.6	1.74	1.81
1609	2.78	2.7	1.57	1.64
1610	2.25	2.22	1.63	1.69
1611	4.33	4.64	1.9	1.97
1612	3.38	3.44	1.57	1.71
1613	2.38	2.55	1.43	1.47
1614	1.92	1.96	1.61	1.66
1615	1.95	1.87	1.58	1.51
1616	2.03	1.96	1.54	1.48
1617	1.83	1.67	1.7	1.76
1618	1.14	1.1	1.36	1.4
1619	1.49	1.37	1.33	1.3
1620	1.35	1.15	1.11	1.05
1621	1.32	1.23	1.08	1.03
1622	2.14	2.03	1.21	1.04
1623	1.62	1.54	0.75	0.68
1624	1.58	1.56	0.38	0.34
1625	1.58	1.47	0.33	0.32
1626	1.33	1.3	0.45	0.56
1627	1.21	1.24	0.53	0.51
1628	1.19	1.23	0.5	0.46
1629	1.37	1.39	0.58	0.58
1630	1.33	1.44	0.54	0.49
1631	1.07	1.1	0.61	0.51
1632	1.62	1.6	0.75	0.82
1633	1.33	1.33	1.1	1.01
1634	1.28	1.23	1.09	1.02
1635	1.23	1.13	1	1.01
1636	1.42	1.28	1.22	1.17
1637	1.3	1.19	1.05	0.98
1638	1.57	1.44	1.17	1.12
1639	2.17	2.23	0.55	0.58
1640	1.84	2.07	0.46	0.43
1641	1.39	1.42	0.5	0.48
1642	1.46	1.52	0.64	0.6
1643	1.13	1.15	0.82	0.73
1644	1.06	1.08	0.97	1.02
1645	1.34	1.24	1.18	1.08
1646	1.58	1.47	1.3	1.37
1647	1.57	1.36	1.05	1.16
1648	1.55	1.9	1.11	0.95
1649	1.15	1.28	0.94	0.75
1650	1.58	1.6	0.75	0.91
1651	1.84	2.04	0.95	0.84
1652	1.83	2.09	0.87	0.8
1653	1.35	1.4	0.64	0.57
1654	1.67	1.77	0.9	0.89
1655	2.13	2.1	0.94	0.94
1656	2.04	2.09	0.63	0.61
1657	1.8	1.87	0.62	0.61
1658	2.28	2.27	0.76	0.73
1659	2.16	2.19	0.76	0.79
1660	3.35	3.3	0.84	0.85
1661	3.13	3.11	0.93	0.96
1662	1.76	1.81	0.95	0.93
1663	2.09	2.07	0.65	0.64
1664	2.46	2.37	0.73	0.74
1665	2.58	2.56	0.9	0.92
1666	1.9	1.86	1.02	1.01
1667	2.69	2.72	1.49	1.5
1668	2.19	2.2	1.39	1.38
1669	2.2	2.18	1.44	1.45
1670	2.25	2.24	1.78	1.81
1671	2.78	2.74	2.05	2.02
1672	2.55	2.52	2.31	2.3
1673	2.36	2.3	2.04	2.07
1674	2.25	2.25	1.94	1.89
1675	2.2	2.21	2.68	2.62
1676	2.11	2.12	2.44	2.4
1677	2.45	2.43	2.4	2.36
1678	2.1	2.15	1.98	1.98
1679	2.39	2.34	1.8	1.74
1680	1.91	1.92	1.56	1.52
1681	2.38	2.25	2.09	2.04
1682	2.57	2.46	2.24	2.2
1683	1.68	1.61	1.62	1.61
1684	1.87	1.88	1.37	1.43
1685	1.9	1.98	1.33	1.32
1686	2.09	2.17	1.46	1.45
1687	2.16	2.26	1.27	1.27
