# Kaiser - Taku Glacier Front Taku Inlet Juneau Area - PCSI - ITRDB AK4
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3673
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3673.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak4-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak4-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak4.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak4.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1997-01-06
#--------------------
# File_Last_Modified_Date
#   Date: 1997-01-06
#--------------------
# Title
#   Study_Name: Kaiser - Taku Glacier Front Taku Inlet Juneau Area - PCSI - ITRDB AK4
#--------------------
# Investigators
#   Investigators: Kaiser, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Taku Glacier Front  Taku Inlet  Juneau Area
#   Location: Alaska
#   Northernmost_Latitude: 58.43
#   Southernmost_Latitude: 58.43
#   Easternmost_Longitude: -134.02
#   Westernmost_Longitude: -134.02
#   Elevation_m: 1
#--------------------
# Data_Collection
#   Collection_Name: AK4
#   First_Year: 1895
#   Last_Year: 1986
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TAKU0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKU0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TAKU0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKU0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TAKU0030_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKU0030; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TAKU0040_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKU0040; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TAKU0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKU0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TAKUCH86_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TAKUCH86; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TAKU0010_raw	TAKU0020_raw	TAKU0030_raw	TAKU0040_raw	TAKU0050_raw	TAKUCH86_raw
1895	NA	NA	NA	3.76	NA	3.76
1896	NA	NA	NA	3.93	NA	3.93
1897	NA	NA	NA	3.56	NA	3.56
1898	NA	NA	0.39	4.14	NA	2.27
1899	NA	NA	2.04	4.53	NA	3.29
1900	NA	NA	1.93	5.42	NA	3.68
1901	NA	NA	2.22	5.66	NA	3.94
1902	NA	NA	4.47	5.41	NA	4.94
1903	NA	NA	5.18	5.27	NA	5.23
1904	NA	NA	4.62	3.88	NA	4.25
1905	NA	NA	4.84	5.86	0.22	3.64
1906	NA	0.33	5.03	5.78	0.97	3.03
1907	NA	2.13	6.14	6.71	1.1	4.02
1908	NA	3.46	5.15	5.73	0.69	3.21
1909	NA	3.25	4.85	5.21	1.19	3.26
1910	2.82	4.12	5.04	6.23	1.51	3.94
1911	2.06	3	5.39	6.49	2.75	3.94
1912	2.79	3.48	7.63	7.41	2.32	4.73
1913	3.52	4.83	7.16	7.09	3.07	5.13
1914	3.27	4.18	4.92	5.45	3.36	4.24
1915	4	4.88	5.7	6.97	3.46	5
1916	4.5	4.81	5.76	6.21	2.11	4.68
1917	5.05	5.93	6.3	6.24	1.63	5.03
1918	4.4	4.17	5.82	5.22	1.83	4.29
1919	5.17	5.38	5.85	4.36	1.44	4.44
1920	4.19	4.88	5.9	5.88	1.81	4.53
1921	3.91	3.94	6.45	5.35	1.66	4.26
1922	3.66	4.18	3.99	3.53	1.41	3.35
1923	3.64	4.12	5	3.57	1.31	3.53
1924	3.7	3.63	4.48	3.2	1.47	3.3
1925	4.05	5.04	3.89	3.61	1.81	3.68
1926	3.84	4.45	4.87	3.78	2.07	3.8
1927	2.92	3.58	4.07	3.51	1.36	3.09
1928	2.84	3.38	4.17	3.37	1.44	3.04
1929	3.22	3.31	4.3	3.08	1.63	3.11
1930	2.64	3.22	3.18	2.53	1.56	2.63
1931	2.97	4.17	3.61	2.53	1.44	2.94
1932	2.87	3.56	3.27	2.31	1.39	2.68
1933	2.89	3.95	3.14	2.31	1.32	2.72
1934	1.81	2.89	1.84	1.64	1.37	1.91
1935	1.92	2.53	2.67	1.14	0	1.65
1936	2.15	2.17	2.95	1.21	0	1.7
1937	1.54	1.94	1.82	1.42	0	1.34
1938	2.14	2.83	1.88	1.62	0	1.69
1939	1.74	3.12	2.45	1.67	0.67	1.93
1940	2.12	3.45	2.27	1.7	0.83	2.07
1941	2.27	2.44	2.19	2.04	0.88	1.96
1942	2.38	2.25	2.12	2.71	1.1	2.11
1943	2.24	1.56	2.61	2.73	1.06	2.04
1944	2.22	2.47	2.35	2.09	1.18	2.06
1945	1.68	2.04	1.63	1.85	0.98	1.64
1946	1.68	2.02	1.71	1.72	0.85	1.6
1947	1.6	1.89	1.69	1.34	0.72	1.45
1948	1.78	1.95	1.95	1.87	0.82	1.67
1949	1.67	1.77	2.16	1.47	0.71	1.56
1950	1.38	1.43	2.06	1.31	0.74	1.38
1951	1.22	1.25	1.64	1.07	0.42	1.12
1952	1.28	1.09	1.97	0.78	0.16	1.06
1953	1.25	1.07	1.67	0.98	0.1	1.01
1954	0.99	0.75	0.89	0.8	0	0.69
1955	1	0.94	1.16	0.6	0	0.74
1956	1.03	0.94	1.17	0.65	0	0.76
1957	0.87	0.73	0.94	0.59	0.07	0.64
1958	1.06	0.92	0.93	0.69	0.09	0.74
1959	1.38	1.24	2.13	0.7	0.06	1.1
1960	1.32	1.23	2.32	0.71	0.15	1.15
1961	1.25	1.21	2.23	0.68	0.15	1.1
1962	1.47	1.33	3.14	0.88	0.18	1.4
1963	1.43	1.58	3.03	1.08	0.25	1.47
1964	1.63	1.6	2.19	1.01	0.18	1.32
1965	1.3	0.92	2.96	0.4	0.12	1.14
1966	0.94	1.04	2.73	0.5	0.13	1.07
1967	0.84	0.9	1.9	0.37	0.11	0.82
1968	0.71	0.69	1.27	0.35	0.05	0.61
1969	0.61	0.45	1.14	0.17	0.04	0.48
1970	0.47	0.41	1.04	0.3	0.09	0.46
1971	0.36	0.35	0.82	0.17	0.04	0.35
1972	0.58	0.42	0.86	0.38	0	0.45
1973	0.54	0.48	0.86	0.35	0	0.45
1974	0.54	0.47	0.73	0.38	0	0.42
1975	0.52	0.47	0.66	0.35	0	0.4
1976	0.58	0.48	0.71	0.42	0	0.44
1977	0.64	0.61	0.79	0.41	0	0.49
1978	0.61	0.49	0.83	0.56	0.05	0.51
1979	0.51	0.39	0.51	0.6	0.04	0.41
1980	0.53	0.28	0.58	0.68	0.08	0.43
1981	0.44	0.15	0.37	0.44	0.03	0.29
1982	0.42	NA	0.19	0.32	0.06	0.25
