# Speer - LB Point - PILO - ITRDB CA690
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/27075
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-27075.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca690-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ca690-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ca690.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ca690.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2019-06-09
#--------------------
# File_Last_Modified_Date
#   Date: 2019-06-09
#--------------------
# Title
#   Study_Name: Speer - LB Point - PILO - ITRDB CA690
#--------------------
# Investigators
#   Investigators: Speer, J.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: Collected during the 2010 North American Dendroecological Fieldweek (NADEF), ecology group. NOAA Template Raw Measurements file added 2019-08-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: LB Point
#   Location: California
#   Northernmost_Latitude: 37.2942
#   Southernmost_Latitude: 37.2942
#   Easternmost_Longitude: -118.1057
#   Westernmost_Longitude: -118.1057
#   Elevation_m: 3230
#--------------------
# Data_Collection
#   Collection_Name: CA690
#   First_Year: 1284
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva
#   Common_Name: Intermountain bristlecone pine
#   Tree_Species_Code: PILO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LB304A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB304A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB250A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB250A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB333A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB333A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB335A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB335A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB294A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB294A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB214A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB214A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB222B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB222B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB258A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB258A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LB302A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LB302A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LB304A_raw	LB250A_raw	LB333A_raw	LB335A_raw	LB294A_raw	LB214A_raw	LB222B_raw	LB258A_raw	LB302A_raw
1284	NA	NA	NA	NA	NA	0.95	NA	NA	NA
1285	NA	NA	NA	NA	NA	0.825	NA	NA	NA
1286	NA	NA	NA	NA	0.355	0.3	NA	NA	NA
1287	NA	NA	NA	NA	0.595	0.815	NA	NA	NA
1288	NA	NA	NA	NA	0.76	0.99	NA	NA	NA
1289	NA	NA	NA	NA	0.495	0.7	NA	NA	NA
1290	NA	NA	NA	NA	0.675	0.47	NA	NA	NA
1291	NA	NA	NA	NA	0.635	0.555	NA	NA	NA
1292	NA	NA	NA	NA	0.78	0.695	NA	NA	NA
1293	NA	NA	NA	NA	0.75	0.495	NA	NA	NA
1294	NA	NA	NA	NA	0.705	0.45	NA	NA	NA
1295	NA	NA	NA	NA	0.89	0.74	NA	NA	NA
1296	NA	NA	NA	NA	0.9	1.17	NA	NA	NA
1297	NA	NA	NA	NA	0.88	0.865	NA	NA	NA
1298	NA	NA	NA	NA	0.85	0.815	NA	NA	NA
1299	NA	NA	NA	NA	1.045	0.69	NA	NA	NA
1300	NA	NA	NA	NA	0.885	0.7	NA	NA	NA
1301	NA	NA	NA	NA	1.07	0.925	NA	NA	NA
1302	NA	NA	NA	NA	0.97	0.53	NA	NA	NA
1303	NA	NA	NA	NA	0.925	0.555	NA	NA	NA
1304	NA	NA	NA	NA	0.94	0.54	NA	NA	NA
1305	NA	NA	NA	NA	0.885	0.515	NA	NA	NA
1306	NA	NA	NA	NA	0.74	0.71	NA	NA	NA
1307	NA	NA	NA	NA	0.765	0.64	NA	NA	NA
1308	NA	NA	NA	NA	0.57	0.485	NA	NA	NA
1309	NA	NA	NA	NA	0.715	1.2	NA	NA	NA
1310	NA	NA	NA	NA	0.485	0.865	NA	NA	NA
1311	NA	NA	NA	NA	0.48	0.975	NA	NA	NA
1312	NA	NA	NA	NA	0.72	1.265	NA	NA	NA
1313	NA	NA	NA	NA	0.7	0.985	NA	NA	NA
1314	NA	NA	NA	NA	0.85	1.325	NA	NA	NA
1315	NA	NA	NA	NA	1	1.22	NA	NA	NA
1316	NA	NA	NA	NA	0.6	0.695	NA	NA	NA
1317	NA	NA	NA	NA	0.73	0.715	NA	NA	NA
1318	NA	NA	NA	NA	0.56	0.72	NA	NA	NA
1319	NA	NA	NA	NA	0.65	0.945	NA	NA	NA
1320	NA	NA	NA	NA	0.615	0.85	NA	NA	NA
1321	NA	NA	NA	NA	0.71	0.665	NA	NA	NA
1322	NA	NA	NA	NA	0.695	0.565	NA	NA	NA
1323	NA	NA	NA	NA	0.68	0.43	NA	NA	NA
1324	NA	NA	NA	NA	0.635	0.36	NA	NA	NA
1325	NA	NA	NA	NA	0.675	0.84	NA	NA	NA
1326	NA	NA	NA	NA	0.715	0.68	NA	NA	NA
1327	NA	NA	NA	NA	0.745	0.77	NA	NA	NA
1328	NA	NA	NA	NA	0.815	0.7	NA	NA	NA
1329	NA	NA	NA	NA	0.815	0.965	NA	NA	NA
1330	NA	NA	NA	NA	0.69	0.68	NA	NA	NA
1331	NA	NA	NA	NA	0.87	0.675	NA	NA	NA
1332	NA	NA	NA	NA	1.035	0.84	NA	NA	NA
1333	NA	NA	NA	NA	0.65	0.71	NA	NA	NA
1334	NA	NA	NA	NA	0.69	0.6	NA	NA	NA
1335	NA	NA	NA	NA	0.445	0.675	NA	NA	NA
1336	NA	NA	NA	NA	0.53	0.67	NA	NA	NA
1337	NA	NA	NA	NA	0.24	0.385	NA	NA	NA
1338	NA	NA	NA	NA	0.63	0.665	NA	NA	NA
1339	NA	NA	NA	NA	0.385	0.315	NA	NA	NA
1340	NA	NA	NA	NA	0.31	0.31	NA	NA	NA
1341	NA	NA	NA	NA	0.545	0.375	NA	NA	NA
1342	NA	NA	NA	NA	0.595	0.335	NA	NA	NA
1343	NA	NA	NA	NA	0.78	0.31	NA	NA	NA
1344	NA	NA	NA	NA	0.735	0.36	NA	NA	NA
1345	NA	NA	NA	NA	0.745	0.435	NA	NA	NA
1346	NA	NA	NA	NA	0.8	0.45	NA	NA	NA
1347	NA	NA	NA	NA	0.68	0.75	NA	NA	NA
1348	NA	NA	NA	NA	0.505	0.44	NA	NA	NA
1349	NA	NA	NA	NA	0.385	0.435	NA	NA	NA
1350	NA	NA	NA	NA	0.44	0.52	NA	NA	NA
1351	NA	NA	NA	NA	0.34	0.39	NA	NA	NA
1352	NA	NA	NA	NA	0.22	0.35	NA	NA	NA
1353	NA	NA	NA	NA	0.39	0.49	NA	NA	NA
1354	NA	NA	NA	NA	0.39	0.42	NA	NA	NA
1355	NA	NA	NA	NA	0.45	0.425	NA	NA	NA
1356	NA	NA	NA	NA	0.595	0.455	NA	NA	NA
1357	NA	NA	NA	NA	0.69	0.395	NA	NA	NA
1358	NA	NA	NA	NA	0.525	0.305	NA	NA	NA
1359	NA	NA	NA	NA	0.615	0.35	NA	NA	NA
1360	NA	NA	NA	NA	0.525	0.265	NA	NA	NA
1361	NA	NA	NA	NA	0.57	0.365	NA	NA	NA
1362	NA	NA	NA	NA	0.375	0.22	NA	NA	NA
