# Kaiser - Yakutat Outer Terminal Moraine - PCSI - ITRDB AK142
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16480
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16480.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak142-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ak142-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak142.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak142.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-06-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-06-10
#--------------------
# Title
#   Study_Name: Kaiser - Yakutat Outer Terminal Moraine - PCSI - ITRDB AK142
#--------------------
# Investigators
#   Investigators: Kaiser, F.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Yakutat Outer Terminal Moraine
#   Location: Alaska
#   Northernmost_Latitude: 59.5525
#   Southernmost_Latitude: 59.5525
#   Easternmost_Longitude: -139.2894
#   Westernmost_Longitude: -139.2894
#   Elevation_m: 60
#--------------------
# Data_Collection
#   Collection_Name: AK142
#   First_Year: 1522
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea sitchensis (Bong.) Carrière
#   Common_Name: Sitka spruce
#   Tree_Species_Code: PCSI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OTMO0010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0020_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0020; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0050_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0050; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMO0060_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMO0060; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OTMOC100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OTMOC100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OTMO0010_raw	OTMO0020_raw	OTMO0050_raw	OTMO0060_raw	OTMOC100_raw
1522	NA	NA	NA	NA	0.38
1523	NA	NA	NA	NA	1.01
1524	NA	NA	NA	NA	0.71
1525	NA	NA	NA	NA	0.48
1526	NA	NA	NA	NA	1.1
1527	NA	NA	NA	NA	0.67
1528	NA	NA	NA	NA	0.65
1529	NA	NA	NA	NA	0.68
1530	NA	NA	NA	NA	0.79
1531	NA	NA	NA	NA	0.7
1532	NA	NA	NA	NA	0.71
1533	NA	NA	NA	NA	0.74
1534	NA	NA	NA	NA	0.69
1535	NA	NA	NA	NA	0.96
1536	NA	NA	NA	NA	0.98
1537	NA	NA	NA	NA	0.83
1538	NA	NA	NA	NA	0.9
1539	NA	NA	NA	NA	0.89
1540	NA	NA	NA	NA	0.53
1541	NA	NA	NA	NA	0.44
1542	NA	NA	NA	NA	0.52
1543	NA	NA	NA	NA	0.6
1544	NA	NA	NA	NA	0.76
1545	NA	NA	NA	NA	0.88
1546	NA	NA	NA	NA	0.83
1547	NA	NA	NA	NA	1.01
1548	NA	NA	NA	NA	0.72
1549	NA	NA	NA	NA	0.53
1550	NA	NA	NA	NA	0.47
1551	NA	NA	NA	NA	0.71
1552	NA	NA	NA	NA	0.5
1553	NA	NA	NA	NA	0.61
1554	NA	NA	NA	NA	0.57
1555	NA	NA	NA	NA	0.42
1556	NA	NA	NA	NA	0.56
1557	NA	NA	NA	NA	0.47
1558	NA	NA	NA	NA	0.66
1559	NA	NA	NA	NA	0.65
1560	NA	NA	NA	NA	0.58
1561	NA	NA	NA	NA	0.61
1562	NA	NA	NA	NA	0.65
1563	NA	NA	NA	NA	0.71
1564	NA	NA	NA	NA	0.83
1565	NA	NA	NA	NA	1.11
1566	NA	NA	NA	NA	1.25
1567	NA	NA	NA	NA	0.95
1568	NA	NA	NA	NA	0.95
1569	NA	NA	NA	NA	1.28
1570	NA	NA	NA	NA	1.24
1571	NA	NA	NA	NA	1.01
1572	NA	NA	NA	NA	1.02
1573	NA	NA	NA	NA	1.31
1574	NA	NA	NA	NA	1.27
1575	NA	NA	NA	NA	1.15
1576	NA	NA	NA	NA	0.9
1577	NA	NA	NA	NA	0.81
1578	NA	NA	NA	NA	1.02
1579	NA	NA	NA	NA	0.78
1580	NA	NA	NA	NA	0.83
1581	NA	NA	NA	NA	0.75
1582	NA	NA	NA	NA	0.99
1583	NA	NA	NA	NA	1.16
1584	NA	NA	NA	NA	0.95
1585	NA	NA	NA	NA	0.72
1586	NA	NA	NA	NA	0.74
1587	NA	NA	NA	NA	1
1588	NA	NA	NA	NA	0.95
1589	NA	NA	NA	NA	1.21
1590	NA	NA	NA	NA	1.22
1591	NA	NA	NA	NA	1.2
1592	NA	NA	NA	NA	1.18
1593	NA	NA	NA	NA	1.14
1594	NA	NA	NA	NA	1.29
1595	NA	NA	NA	NA	1.13
1596	NA	NA	NA	NA	0.94
1597	NA	NA	NA	NA	1.09
1598	NA	NA	NA	NA	1.05
1599	NA	NA	NA	NA	0.88
1600	NA	NA	NA	NA	0.79
1601	NA	NA	NA	NA	0.76
1602	NA	NA	NA	NA	0.65
1603	NA	NA	NA	NA	0.68
1604	NA	NA	NA	NA	0.79
1605	NA	NA	NA	NA	0.64
1606	NA	NA	NA	NA	0.71
1607	NA	NA	NA	NA	0.76
1608	NA	NA	NA	NA	0.79
1609	NA	NA	NA	NA	0.7
1610	NA	NA	NA	NA	0.77
1611	NA	NA	NA	NA	0.92
1612	NA	NA	NA	NA	0.99
1613	NA	NA	NA	NA	0.84
1614	NA	NA	NA	NA	0.77
1615	NA	NA	NA	NA	0.73
1616	NA	NA	NA	NA	0.74
1617	NA	NA	NA	NA	0.74
1618	NA	NA	NA	NA	0.68
1619	NA	NA	NA	NA	0.6
1620	NA	NA	NA	NA	0.6
1621	NA	NA	NA	NA	0.83
1622	NA	NA	NA	NA	0.75
1623	NA	NA	NA	NA	0.58
1624	NA	NA	NA	NA	0.5
1625	NA	NA	NA	NA	0.35
1626	NA	NA	NA	NA	0.31
1627	NA	NA	NA	NA	0.34
1628	NA	NA	NA	NA	0.31
1629	NA	NA	NA	NA	0.28
1630	NA	NA	NA	NA	0.36
1631	NA	NA	NA	NA	0.45
1632	NA	NA	NA	NA	0.64
1633	NA	NA	NA	NA	0.5
1634	NA	NA	NA	NA	0.64
1635	NA	NA	NA	NA	0.64
1636	NA	NA	NA	NA	0.71
1637	NA	NA	NA	NA	0.62
