# Patterson - Lower Truckee River Site BB - PPFR - ITRDB NV523
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/38299
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-38299.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/nv523-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/nv523.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/nv523.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-07-13
#--------------------
# File_Last_Modified_Date
#   Date: 2023-07-13
#--------------------
# Title
#   Study_Name: Patterson - Lower Truckee River Site BB - PPFR - ITRDB NV523
#--------------------
# Investigators
#   Investigators: Patterson, Noelle(https://orcid.org/0000-0002-6418-5548); Dong, Xiaoli(https://orcid.org/0000-0003-3303-0735); Lane, Belize(https://orcid.org/0000-0003-2331-7038); Csank, Adam(https://orcid.org/0000-0002-7001-4470); Rood, Stewart(https://orcid.org/0000-0003-1340-1172); Sandoval-Solis, Samuel (https://orcid.org/0000-0003-0329-3243)
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: UC Davis College of Agricultural and Environmental Sciences
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Lower Truckee River
#   Location: Nevada
#   Northernmost_Latitude: 39.7262
#   Southernmost_Latitude: 39.5255
#   Easternmost_Longitude: -119.3043
#   Westernmost_Longitude: -119.6133
#   Elevation_m: 1250
#--------------------
# Data_Collection
#   Collection_Name: NV523
#   First_Year: 1912
#   Last_Year: 2020
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Populus fremontii Wats.
#   Common_Name: Fremont cottonwood
#   Tree_Species_Code: PPFR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BB51_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB51; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB52_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB52; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB11B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB17_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB17; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB18_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB18; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BB6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BB6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BB51_raw	BB52_raw	BB15_raw	BB11A_raw	BB11B_raw	BB17_raw	BB18_raw	BB1_raw	BB2_raw	BB3_raw	BB4_raw	BB14_raw	BB6_raw
1912	NA	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	NA	2.96	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	3.17	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	3.65	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	3.55	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	2.57	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	3.77	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	4.23	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	3.56	NA	NA	NA	NA	NA	NA
1923	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	NA	2.45	NA	NA	NA	NA	NA	NA
1925	NA	NA	NA	NA	NA	NA	4.43	NA	NA	NA	NA	NA	NA
1926	NA	NA	NA	NA	NA	NA	4.02	NA	NA	NA	NA	NA	NA
1927	NA	NA	NA	NA	NA	NA	4.69	NA	NA	NA	NA	NA	NA
1928	NA	NA	NA	NA	NA	NA	3.27	NA	NA	NA	NA	NA	NA
1929	NA	NA	NA	NA	NA	NA	2.97	NA	NA	NA	NA	NA	NA
1930	NA	NA	NA	NA	NA	NA	3.35	NA	NA	NA	NA	NA	NA
1931	NA	NA	NA	NA	NA	NA	2.52	NA	NA	NA	NA	NA	NA
1932	NA	NA	NA	NA	NA	NA	4.29	NA	NA	NA	NA	NA	NA
1933	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA
1934	NA	NA	NA	NA	NA	NA	3.38	NA	NA	NA	NA	NA	NA
1935	NA	NA	NA	NA	NA	NA	1.63	NA	NA	NA	NA	NA	NA
1936	NA	NA	NA	NA	NA	NA	4.09	NA	NA	NA	NA	NA	NA
1937	NA	NA	NA	NA	NA	NA	9.74	NA	NA	NA	NA	NA	NA
1938	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA
1939	NA	NA	NA	NA	NA	NA	4.37	NA	NA	NA	NA	NA	NA
1940	NA	NA	NA	NA	NA	NA	5.33	NA	NA	NA	NA	NA	NA
1941	NA	NA	NA	NA	5.1	NA	5.46	NA	NA	NA	NA	NA	NA
1942	NA	NA	NA	NA	4.32	NA	4.55	NA	NA	NA	NA	NA	NA
1943	NA	NA	NA	NA	1.05	NA	3.93	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	8.46	7.73	NA	2.7	NA	NA	NA	NA	NA	NA
1945	NA	NA	NA	7.42	6.65	NA	6.28	NA	NA	NA	NA	NA	NA
1946	NA	NA	NA	6.86	6.14	NA	5.52	NA	NA	NA	NA	NA	NA
1947	2.29	NA	NA	6.25	5.79	NA	5.73	NA	NA	NA	NA	NA	NA
1948	1.89	NA	NA	6.55	6.35	NA	3.35	NA	NA	NA	NA	NA	NA
1949	1.32	NA	NA	4.28	3.94	NA	3.54	NA	NA	NA	NA	NA	NA
1950	1.71	NA	NA	5.68	5.77	NA	3.38	NA	NA	NA	NA	NA	NA
1951	3.69	NA	NA	10.2	10.22	NA	2.47	NA	NA	NA	NA	NA	NA
1952	6.75	NA	NA	7.44	6.71	NA	6.33	NA	NA	NA	NA	NA	NA
1953	6	NA	NA	6.08	6.78	NA	5	NA	NA	NA	NA	NA	NA
1954	4.55	NA	NA	5.97	5.98	NA	3.28	NA	NA	NA	NA	NA	NA
1955	3.89	NA	NA	7.57	7.42	NA	2.29	NA	NA	NA	NA	NA	NA
1956	3.66	NA	NA	5.89	5.51	NA	5.96	NA	NA	NA	NA	NA	NA
1957	2.84	NA	NA	8.38	8.28	NA	5.19	NA	NA	NA	NA	NA	NA
1958	3.54	NA	NA	6.63	6.08	NA	5.88	NA	NA	NA	NA	NA	NA
1959	4.58	NA	NA	6.55	6.6	NA	3	NA	NA	NA	NA	NA	NA
1960	4.46	NA	NA	8.54	8.57	NA	4.29	NA	NA	NA	NA	NA	NA
1961	4.04	NA	NA	12.5	12.15	NA	5.01	NA	NA	NA	NA	NA	NA
1962	7.61	NA	NA	6.34	5.77	NA	3.48	NA	NA	NA	NA	NA	NA
1963	6.85	NA	NA	9.45	8.31	NA	1.37	NA	NA	NA	NA	NA	NA
1964	12.53	NA	NA	9.35	8.84	NA	1.7	NA	NA	NA	NA	NA	NA
1965	12.87	NA	NA	3.68	4.22	NA	1.9	NA	NA	NA	NA	NA	NA
1966	9.98	NA	NA	2.9	2.8	NA	1.31	NA	NA	NA	NA	NA	NA
1967	11.14	NA	NA	8.52	8.04	NA	3.96	NA	NA	NA	NA	NA	NA
1968	8.85	NA	NA	5.05	5.26	NA	2.87	NA	NA	NA	NA	NA	NA
1969	11.17	NA	NA	6.98	7.92	NA	3.92	NA	NA	NA	NA	NA	NA
1970	10.89	NA	NA	5.66	5.66	NA	3.2	NA	NA	NA	NA	NA	NA
1971	10.42	NA	NA	6.96	7.6	NA	2.23	NA	NA	NA	NA	NA	NA
1972	8.47	NA	NA	4.61	4.39	NA	1.48	NA	NA	NA	NA	NA	NA
1973	8.79	NA	NA	4.57	4.45	NA	2.64	NA	NA	NA	NA	4.24	NA
1974	8.63	NA	NA	3.28	3.1	NA	4.65	NA	NA	NA	NA	1.71	NA
1975	6.36	NA	NA	3.94	4.46	NA	5.03	NA	NA	NA	NA	3.63	NA
1976	5.06	NA	NA	4.91	4.74	NA	4.65	NA	NA	NA	NA	3.23	NA
1977	3.95	NA	NA	4.68	4.67	NA	3.33	NA	NA	NA	NA	2.31	NA
1978	5.16	5.54	NA	5.99	5.96	NA	4.38	NA	NA	NA	NA	2.38	2.75
