# Woodhouse - Big Thompson Recollection - PSME - ITRDB CO592
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5283
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5283.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co592-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; co592-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/co592.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/co592.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2006-06-27
#--------------------
# File_Last_Modified_Date
#   Date: 2006-06-27
#--------------------
# Title
#   Study_Name: Woodhouse - Big Thompson Recollection - PSME - ITRDB CO592
#--------------------
# Investigators
#   Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753); Lukas, J.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Big Thompson Recollection
#   Location: Colorado
#   Northernmost_Latitude: 40.42
#   Southernmost_Latitude: 40.42
#   Easternmost_Longitude: -105.28
#   Westernmost_Longitude: -105.28
#   Elevation_m: 1890
#--------------------
# Data_Collection
#   Collection_Name: CO592
#   First_Year: 1550
#   Last_Year: 2000
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## rmd021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd131_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd131; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd141_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd141; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd142_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd142; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd151_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd151; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd152_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd152; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd122_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd122; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd212_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd212; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd231_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd231; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rmd232_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rmd232; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	rmd021_raw	rmd022_raw	rmd031_raw	rmd032_raw	rmd041_raw	rmd042_raw	rmd131_raw	rmd132_raw	rmd141_raw	rmd142_raw	rmd151_raw	rmd152_raw	rmd011_raw	rmd012_raw	rmd111_raw	rmd112_raw	rmd121_raw	rmd122_raw	rmd212_raw	rmd222_raw	rmd231_raw	rmd232_raw
1550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.941	0.31	NA	NA	NA	NA	NA	NA
1551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.271	0.476	NA	NA	NA	NA	NA	NA
1552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.608	0.321	NA	NA	NA	NA	NA	NA
1553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.089	0.554	NA	NA	NA	NA	NA	NA
1554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.092	0.946	0.439	NA	NA	NA	NA	NA	NA
1555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.131	0.934	0.483	NA	NA	NA	NA	NA	NA
1556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.088	0.796	0.391	NA	NA	NA	NA	NA	NA
1557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.106	1.078	0.5	NA	NA	NA	NA	NA	NA
1558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.522	0.592	0.217	NA	NA	NA	NA	NA	NA
1559	NA	NA	NA	NA	NA	NA	NA	NA	0.783	NA	NA	0.504	NA	0.914	1.133	0.437	NA	NA	NA	NA	NA	NA
1560	NA	NA	NA	NA	NA	NA	NA	NA	0.451	NA	NA	0.294	NA	0.731	0.539	0.247	NA	NA	NA	NA	NA	NA
1561	NA	NA	NA	NA	NA	NA	NA	NA	0.626	NA	NA	0.422	NA	0.855	0.737	0.39	NA	NA	NA	NA	NA	NA
1562	NA	NA	NA	NA	NA	NA	NA	NA	0.541	NA	NA	0.457	NA	0.899	0.956	0.474	NA	NA	NA	NA	NA	NA
1563	NA	NA	NA	NA	NA	NA	NA	NA	0.439	NA	NA	0.633	NA	0.553	0.417	0.279	NA	NA	NA	NA	NA	NA
1564	NA	NA	NA	NA	NA	NA	NA	NA	0.983	NA	0.694	0.874	1.644	1.396	0.847	0.588	NA	NA	NA	NA	NA	NA
1565	NA	NA	NA	NA	NA	NA	NA	NA	1.161	NA	0.953	0.917	1.661	1.093	1.204	0.843	NA	NA	NA	NA	NA	NA
1566	NA	NA	NA	NA	NA	NA	NA	NA	0.559	NA	0.443	0.305	1.212	1.088	0.875	0.584	NA	NA	NA	NA	NA	NA
1567	NA	NA	NA	NA	NA	NA	NA	NA	0.623	NA	0.523	0.423	0.721	0.753	0.505	0.464	NA	NA	NA	NA	NA	NA
1568	NA	NA	NA	NA	NA	NA	NA	NA	0.283	NA	0.335	0.211	0.207	0.171	0.161	0.135	NA	NA	NA	NA	NA	NA
1569	NA	NA	NA	NA	NA	NA	NA	NA	0.571	NA	0.529	0.277	0.524	0.317	0.361	0.249	NA	NA	NA	NA	NA	NA
1570	NA	NA	NA	NA	NA	NA	NA	NA	0.863	NA	0.72	0.373	1.02	0.928	0.748	0.54	NA	NA	NA	NA	NA	NA
1571	NA	NA	NA	NA	NA	NA	NA	NA	0.638	NA	0.776	0.61	0.691	0.468	0.434	0.42	NA	NA	NA	NA	NA	NA
1572	NA	NA	NA	NA	NA	NA	NA	NA	0.532	NA	0.655	0.461	0.802	0.646	0.7	0.425	NA	NA	NA	NA	NA	NA
1573	NA	NA	NA	NA	NA	NA	NA	NA	0.505	NA	0.416	0.223	0.677	0.34	0.448	0.272	NA	NA	NA	NA	NA	NA
1574	NA	NA	NA	NA	NA	NA	NA	NA	0.553	NA	0.419	0.296	0.921	0.446	0.548	0.335	NA	NA	NA	NA	NA	NA
1575	NA	NA	NA	NA	NA	NA	NA	NA	0.407	NA	0.342	0.265	0.732	0.39	0.43	0.26	NA	NA	NA	NA	NA	NA
1576	NA	NA	NA	NA	NA	NA	NA	NA	0.458	NA	0.293	0.217	0.414	0.192	0.289	0.173	NA	NA	NA	NA	NA	NA
1577	NA	NA	NA	NA	NA	NA	NA	NA	0.498	0.518	0.34	0.328	0.486	0.264	0.304	0.217	NA	NA	NA	NA	NA	NA
1578	NA	NA	NA	NA	NA	NA	NA	NA	1.274	1.306	0.746	0.578	1.579	1.167	1.085	0.805	NA	NA	NA	NA	NA	NA
1579	NA	NA	NA	NA	NA	NA	NA	NA	0.409	0.39	0.196	0.121	0.437	0.306	0.292	0.062	NA	NA	NA	NA	NA	NA
1580	NA	NA	NA	NA	NA	NA	NA	NA	0.387	0.635	0.288	0.245	0.453	0.252	0.354	0.215	NA	NA	NA	NA	NA	NA
1581	NA	NA	NA	NA	NA	NA	NA	NA	0.27	0.367	0.112	0.091	0.325	0.102	0.107	0.039	NA	NA	NA	NA	NA	NA
1582	NA	NA	NA	NA	NA	NA	NA	NA	0.458	0.76	0.318	0.203	0.638	0.444	0.374	0.208	NA	NA	NA	NA	NA	NA
1583	NA	NA	NA	NA	NA	NA	NA	NA	0.562	0.809	0.394	0.322	0.88	0.805	0.312	0.177	NA	NA	NA	NA	NA	NA
1584	NA	NA	NA	NA	NA	NA	NA	NA	0.376	0.486	0.326	0.279	0.602	0.439	0.303	0.229	NA	NA	NA	NA	NA	NA
1585	NA	NA	NA	NA	NA	NA	NA	NA	0.696	0.463	0.277	0.199	0.56	0.364	0.225	0.201	NA	NA	NA	NA	NA	NA
1586	NA	NA	NA	NA	NA	NA	NA	NA	0.381	0.51	0.175	0.128	0.514	0.306	0.178	0.135	NA	NA	NA	NA	NA	NA
1587	NA	NA	NA	NA	NA	NA	NA	NA	0.496	0.322	0.137	0.133	0.301	0.156	0.152	0.137	NA	NA	NA	NA	NA	NA
1588	NA	NA	NA	NA	NA	NA	NA	NA	0.77	0.382	0.274	0.234	0.411	0.28	0.236	0.211	NA	NA	NA	NA	NA	NA
1589	NA	NA	NA	NA	NA	NA	NA	NA	0.611	0.451	0.352	0.302	0.765	0.395	0.462	0.288	NA	NA	NA	NA	NA	NA
1590	NA	NA	NA	NA	NA	NA	NA	NA	0.22	0.41	0.17	0.097	0.682	0.251	0.186	0.098	NA	NA	NA	NA	NA	NA
1591	NA	NA	NA	NA	NA	NA	NA	NA	0.079	0.144	0.073	0.055	0.221	0.086	0.025	0.02	NA	NA	NA	NA	NA	NA
1592	NA	NA	NA	NA	NA	NA	NA	NA	0.415	0.655	0.322	0.31	0.905	0.434	0.468	0.357	NA	NA	NA	NA	NA	NA
1593	NA	NA	NA	NA	NA	NA	NA	NA	0.473	0.876	0.229	0.252	0.845	0.472	0.447	0.26	NA	NA	NA	NA	NA	NA
1594	NA	NA	NA	NA	NA	NA	NA	NA	0.816	1.414	0.545	0.437	1.342	0.563	0.858	0.487	NA	NA	NA	NA	NA	NA
1595	NA	NA	NA	NA	NA	NA	NA	NA	0.633	0.881	0.418	0.303	1.037	0.498	0.672	0.347	NA	NA	NA	NA	NA	NA
1596	NA	NA	NA	NA	NA	NA	NA	NA	0.788	1.067	0.634	0.37	1.348	0.569	0.972	0.598	NA	NA	NA	NA	NA	NA
1597	NA	NA	NA	NA	NA	NA	NA	NA	0.327	0.385	0.299	0.234	0.694	0.245	0.513	0.228	NA	NA	NA	NA	NA	NA
1598	NA	NA	NA	NA	NA	NA	NA	NA	0.258	0.316	0.262	0.159	0.44	0.114	0.361	0.211	NA	NA	NA	NA	NA	NA
