# Briffa - Fly Peak Chiricahua Mountains - PCEN - ITRDB AZ552
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2816
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2816.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az552e-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; az552e-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az552e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az552e.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-07-31
#--------------------
# File_Last_Modified_Date
#   Date: 2002-07-31
#--------------------
# Title
#   Study_Name: Briffa - Fly Peak Chiricahua Mountains - PCEN - ITRDB AZ552
#--------------------
# Investigators
#   Investigators: Briffa, K.R.(https://orcid.org/0000-0003-3323-3639); Schweingruber, F.H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2019-01-07. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Fly Peak Chiricahua Mountains
#   Location: Arizona
#   Northernmost_Latitude: 31.85
#   Southernmost_Latitude: 31.85
#   Easternmost_Longitude: -109.3
#   Westernmost_Longitude: -109.3
#   Elevation_m: 2790
#--------------------
# Data_Collection
#   Collection_Name: AZ552
#   First_Year: 1828
#   Last_Year: 1983
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  earlywood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea engelmannii Parry ex Engelm.
#   Common_Name: Engelmann spruce
#   Tree_Species_Code: PCEN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 735011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 735061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 735061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	735011_raw	735012_raw	735031_raw	735032_raw	735041_raw	735042_raw	735051_raw	735052_raw	735061_raw
1828	NA	NA	3.79	NA	NA	NA	NA	NA	NA
1829	NA	NA	7.62	NA	NA	NA	NA	NA	NA
1830	NA	NA	5.52	NA	NA	NA	NA	NA	NA
1831	NA	NA	4.38	NA	NA	NA	NA	NA	NA
1832	NA	NA	6.39	NA	NA	NA	NA	NA	NA
1833	NA	NA	5.86	NA	NA	NA	NA	NA	NA
1834	NA	NA	6.71	NA	NA	NA	NA	NA	NA
1835	NA	NA	5.66	NA	NA	NA	NA	NA	NA
1836	NA	NA	5	NA	NA	NA	NA	NA	NA
1837	NA	NA	6.41	NA	NA	NA	NA	NA	NA
1838	NA	NA	6.61	NA	NA	NA	NA	NA	NA
1839	NA	NA	6.33	NA	NA	NA	NA	NA	NA
1840	NA	NA	7.4	NA	NA	NA	NA	NA	NA
1841	NA	NA	3.96	NA	NA	NA	NA	NA	NA
1842	NA	NA	5.41	NA	NA	NA	NA	NA	NA
1843	NA	NA	3.99	NA	NA	NA	NA	NA	NA
1844	NA	NA	6.41	NA	NA	NA	NA	NA	NA
1845	NA	NA	6.08	NA	NA	NA	NA	NA	NA
1846	NA	NA	6.62	NA	NA	NA	NA	NA	NA
1847	NA	NA	5.45	NA	NA	NA	NA	NA	NA
1848	NA	NA	4.84	NA	NA	NA	NA	NA	NA
1849	NA	NA	4.6	NA	NA	NA	NA	NA	NA
1850	NA	NA	4.97	NA	NA	NA	NA	NA	NA
1851	NA	NA	3.59	NA	NA	NA	NA	NA	NA
1852	NA	NA	3.25	NA	NA	3.57	NA	NA	NA
1853	NA	NA	3.47	NA	NA	2.2	NA	NA	NA
1854	NA	NA	2.61	NA	NA	2.98	NA	NA	NA
1855	NA	NA	2.49	NA	NA	2.13	NA	NA	NA
1856	NA	NA	3.3	NA	NA	2.3	NA	NA	NA
1857	NA	NA	2.97	NA	NA	1.94	NA	NA	NA
1858	NA	NA	3.8	NA	NA	2.16	NA	NA	NA
1859	NA	NA	1.94	NA	NA	1.65	NA	NA	NA
1860	NA	NA	2.23	NA	NA	2.31	NA	NA	NA
1861	NA	NA	3.22	NA	NA	1.53	NA	NA	NA
1862	NA	NA	2.94	NA	1.3	1.63	NA	NA	NA
1863	NA	NA	1.3	NA	0.7	0.86	NA	NA	NA
1864	NA	NA	1.88	NA	1.88	1.56	NA	NA	NA
1865	NA	NA	1.23	NA	1.85	1.29	NA	NA	NA
1866	NA	NA	2.45	NA	2.17	1.85	NA	NA	NA
1867	NA	NA	2.3	6.64	1.26	1.34	NA	NA	NA
1868	NA	NA	2.17	4.07	1.94	1.77	NA	NA	NA
1869	NA	NA	2.86	4.9	1.83	1.82	NA	NA	NA
1870	NA	NA	2.63	3.84	1.9	1.85	NA	NA	NA
1871	NA	NA	3.07	5.38	1.4	1.52	NA	NA	2.52
1872	NA	NA	0.98	5.3	0.69	0.71	NA	NA	2.4
1873	NA	NA	1.46	4.26	1.1	1.26	NA	NA	2.54
1874	NA	NA	0.98	4.82	1.49	1.61	NA	NA	2.16
1875	NA	NA	1.55	5.01	1.26	1.52	NA	NA	1.92
1876	NA	NA	0.93	5.15	1.13	1.32	NA	NA	1.46
1877	NA	NA	1.61	4.9	1.4	1.63	NA	NA	1.87
1878	NA	NA	1.03	4.23	1.41	1.72	NA	NA	1.77
1879	NA	NA	0.9	4.2	0.87	0.98	NA	NA	1.62
1880	NA	NA	1.1	4.37	1.03	1.1	NA	2.62	1.68
1881	NA	NA	0.84	2.98	0.92	0.6	NA	3.86	1.85
1882	NA	NA	1.15	2.44	1.69	1.52	NA	4.25	2.74
1883	NA	NA	1.36	3.52	1.55	1.29	NA	3.9	1.89
1884	NA	NA	1.3	2.91	1.45	1.43	NA	4.3	1.14
1885	NA	NA	1.31	3.24	1.32	1.14	5.36	5.06	2.15
1886	NA	NA	0.99	2.65	1.02	0.87	3.49	3.73	1.12
1887	NA	2.65	1.04	5.96	1.12	0	5.08	5.2	1.92
1888	NA	2.28	0.9	1.35	1.34	0	4.67	5.09	2.08
1889	NA	3.52	1.32	1.76	1.52	1.53	5.25	5.41	2.4
1890	NA	2.89	0.98	1.5	0.93	1.2	4.32	4.5	1.65
1891	NA	2.91	1.15	1.74	1.6	1.82	5.07	5.49	2.12
1892	NA	2.87	0.83	1.22	0.97	1.58	3.88	4.91	1.54
1893	NA	2.79	0.84	1.1	0.61	0	3.93	5.5	1.41
1894	NA	1.9	0.58	0.86	0.64	0	2.91	3.96	1.38
1895	NA	3.27	0.61	0.89	0.43	0	4.7	5.44	2.37
1896	NA	1.9	0.67	0.81	0.67	0	2.66	3.78	1.41
1897	NA	2	0.6	0.85	0.59	0	2.49	3.7	1.65
1898	3.3	3.14	1.16	1.52	1.18	0.72	3.81	5.08	2.46
1899	2.53	2.27	1.01	1.34	1.94	0.91	3.59	4.85	1.91
1900	1.39	1.31	0.61	1.12	0.87	0.77	1.62	2.23	1.35
1901	2.75	2.1	0.62	1.05	1.31	1.12	1.99	2.71	1.6
1902	1.55	1.41	0.48	0.88	0.59	0.47	1.46	2.48	1.45
